# _root_ Lékaři mi to udělali jakousi zrychlenou metodou , trénoval jsem už po dvou týdnech místo šesti , jenže stejně jsem přišel o část letní přípravy .
#goldHeads=4,4,4,18,7,7,4,18,18,9,14,9,14,12,9,15,18,0,21,21,18,21,22,25,23,0,
#predictedHeads=4,4,4,18,7,7,4,4,0,9,14,9,14,12,9,15,18,9,21,21,18,21,22,25,23,0,
(0,1),-1.56848 # DEPENDENCYPART_ARC
(0,2),-1.20557 # DEPENDENCYPART_ARC
(0,3),-1.38621 # DEPENDENCYPART_ARC
(0,4),-0.709621 # DEPENDENCYPART_ARC
(0,5),-1.72579 # DEPENDENCYPART_ARC
(0,6),-2.04166 # DEPENDENCYPART_ARC
(0,7),-2.2077 # DEPENDENCYPART_ARC
(0,8),-0.792143 # DEPENDENCYPART_ARC
(0,9),-0.209039 # DEPENDENCYPART_ARC
(0,10),-0.512792 # DEPENDENCYPART_ARC
(0,11),-2.21512 # DEPENDENCYPART_ARC
(0,12),-4.31817 # DEPENDENCYPART_ARC
(0,13),-3.40812 # DEPENDENCYPART_ARC
(0,14),-3.9361 # DEPENDENCYPART_ARC
(0,15),-2.90633 # DEPENDENCYPART_ARC
(0,16),-3.2846 # DEPENDENCYPART_ARC
(0,17),-1.13984 # DEPENDENCYPART_ARC
(0,18),-0.888546 # DEPENDENCYPART_ARC
(0,19),-3.49296 # DEPENDENCYPART_ARC
(0,20),-1.85062 # DEPENDENCYPART_ARC
(0,21),-1.56951 # DEPENDENCYPART_ARC
(0,22),-6.48969 # DEPENDENCYPART_ARC
(0,23),-4.96478 # DEPENDENCYPART_ARC
(0,24),-4.05826 # DEPENDENCYPART_ARC
(0,25),-5.25174 # DEPENDENCYPART_ARC
(0,26),4.29963 # DEPENDENCYPART_ARC
(1,2),0.131692 # DEPENDENCYPART_ARC
(1,3),-1.15623 # DEPENDENCYPART_ARC
(1,4),0.695475 # DEPENDENCYPART_ARC
(1,5),-0.921124 # DEPENDENCYPART_ARC
(1,6),-3.86603 # DEPENDENCYPART_ARC
(1,7),-3.32023 # DEPENDENCYPART_ARC
(1,8),-0.48498 # DEPENDENCYPART_ARC
(1,9),-1.64608 # DEPENDENCYPART_ARC
(1,10),-3.02833 # DEPENDENCYPART_ARC
(1,11),-1.12871 # DEPENDENCYPART_ARC
(1,12),-2.7141 # DEPENDENCYPART_ARC
(1,13),-3.02115 # DEPENDENCYPART_ARC
(1,14),-3.90415 # DEPENDENCYPART_ARC
(1,15),-2.59436 # DEPENDENCYPART_ARC
(1,16),-3.29255 # DEPENDENCYPART_ARC
(1,17),-1.30458 # DEPENDENCYPART_ARC
(1,18),-1.91807 # DEPENDENCYPART_ARC
(1,19),-2.24959 # DEPENDENCYPART_ARC
(1,20),-5.76876 # DEPENDENCYPART_ARC
(1,21),-5.35519 # DEPENDENCYPART_ARC
(1,22),-4.40568 # DEPENDENCYPART_ARC
(1,23),-9.4221 # DEPENDENCYPART_ARC
(1,24),-6.93106 # DEPENDENCYPART_ARC
(1,25),-5.33023 # DEPENDENCYPART_ARC
(1,26),-8.23089 # DEPENDENCYPART_ARC
(2,1),-2.02059 # DEPENDENCYPART_ARC
(2,3),-0.0778519 # DEPENDENCYPART_ARC
(2,4),-1.91384 # DEPENDENCYPART_ARC
(2,5),-2.04215 # DEPENDENCYPART_ARC
(2,6),-1.49156 # DEPENDENCYPART_ARC
(2,7),-3.18323 # DEPENDENCYPART_ARC
(2,8),-1.20085 # DEPENDENCYPART_ARC
(2,9),-3.26711 # DEPENDENCYPART_ARC
(2,10),-4.02445 # DEPENDENCYPART_ARC
(2,11),-2.07645 # DEPENDENCYPART_ARC
(2,12),-2.03494 # DEPENDENCYPART_ARC
(2,13),-2.02691 # DEPENDENCYPART_ARC
(2,14),-3.36865 # DEPENDENCYPART_ARC
(2,15),-2.42139 # DEPENDENCYPART_ARC
(2,16),-2.83292 # DEPENDENCYPART_ARC
(2,17),-1.81265 # DEPENDENCYPART_ARC
(2,18),-2.66795 # DEPENDENCYPART_ARC
(2,19),-2.08894 # DEPENDENCYPART_ARC
(2,20),-6.41227 # DEPENDENCYPART_ARC
(2,21),-6.85135 # DEPENDENCYPART_ARC
(2,22),-2.71748 # DEPENDENCYPART_ARC
(2,23),-4.03965 # DEPENDENCYPART_ARC
(2,24),-3.73144 # DEPENDENCYPART_ARC
(2,25),-4.52441 # DEPENDENCYPART_ARC
(2,26),-3.06519 # DEPENDENCYPART_ARC
(3,1),-0.926743 # DEPENDENCYPART_ARC
(3,2),0.993362 # DEPENDENCYPART_ARC
(3,4),0.146223 # DEPENDENCYPART_ARC
(3,5),-0.469573 # DEPENDENCYPART_ARC
(3,6),-1.58539 # DEPENDENCYPART_ARC
(3,7),-0.709854 # DEPENDENCYPART_ARC
(3,8),-0.34489 # DEPENDENCYPART_ARC
(3,9),-2.25699 # DEPENDENCYPART_ARC
(3,10),-2.55392 # DEPENDENCYPART_ARC
(3,11),-1.53919 # DEPENDENCYPART_ARC
(3,12),-1.95147 # DEPENDENCYPART_ARC
(3,13),-1.92214 # DEPENDENCYPART_ARC
(3,14),-2.05286 # DEPENDENCYPART_ARC
