# _root_ Jde zhruba o polovinu Afriky , velkou část Asie , Jižní a Střední Ameriku a Irsko .
#goldHeads=0,4,1,15,4,15,8,15,8,15,12,14,12,15,3,15,0,
#predictedHeads=0,1,1,3,4,15,8,6,8,15,12,14,12,15,3,15,0,
(0,1),0.187051 # DEPENDENCYPART_ARC
(0,2),-0.971839 # DEPENDENCYPART_ARC
(0,3),-1.35226 # DEPENDENCYPART_ARC
(0,4),-1.57727 # DEPENDENCYPART_ARC
(0,5),-1.00181 # DEPENDENCYPART_ARC
(0,6),-0.438557 # DEPENDENCYPART_ARC
(0,7),-2.10921 # DEPENDENCYPART_ARC
(0,8),-2.21015 # DEPENDENCYPART_ARC
(0,9),-1.71662 # DEPENDENCYPART_ARC
(0,10),-0.828187 # DEPENDENCYPART_ARC
(0,11),-2.67325 # DEPENDENCYPART_ARC
(0,12),-0.954194 # DEPENDENCYPART_ARC
(0,13),-3.02509 # DEPENDENCYPART_ARC
(0,14),-2.40324 # DEPENDENCYPART_ARC
(0,15),-1.29493 # DEPENDENCYPART_ARC
(0,16),-2.81216 # DEPENDENCYPART_ARC
(0,17),3.80815 # DEPENDENCYPART_ARC
(1,2),1.56819 # DEPENDENCYPART_ARC
(1,3),2.59025 # DEPENDENCYPART_ARC
(1,4),0.532026 # DEPENDENCYPART_ARC
(1,5),-1.2472 # DEPENDENCYPART_ARC
(1,6),0.403684 # DEPENDENCYPART_ARC
(1,7),-3.32878 # DEPENDENCYPART_ARC
(1,8),-0.170326 # DEPENDENCYPART_ARC
(1,9),-2.87585 # DEPENDENCYPART_ARC
(1,10),0.221672 # DEPENDENCYPART_ARC
(1,11),-3.09203 # DEPENDENCYPART_ARC
(1,12),-0.0822642 # DEPENDENCYPART_ARC
(1,13),-4.55706 # DEPENDENCYPART_ARC
(1,14),-2.23946 # DEPENDENCYPART_ARC
(1,15),-0.252838 # DEPENDENCYPART_ARC
(1,16),-3.06894 # DEPENDENCYPART_ARC
(1,17),-0.638699 # DEPENDENCYPART_ARC
(2,1),-0.659778 # DEPENDENCYPART_ARC
(2,3),-0.399992 # DEPENDENCYPART_ARC
(2,4),-1.05655 # DEPENDENCYPART_ARC
(2,5),-1.43016 # DEPENDENCYPART_ARC
(2,6),-1.25685 # DEPENDENCYPART_ARC
(2,7),-1.64461 # DEPENDENCYPART_ARC
(2,8),-2.70319 # DEPENDENCYPART_ARC
(2,9),-2.78388 # DEPENDENCYPART_ARC
(2,10),-1.47777 # DEPENDENCYPART_ARC
(2,11),-2.21324 # DEPENDENCYPART_ARC
(2,12),-1.45639 # DEPENDENCYPART_ARC
(2,13),-2.40078 # DEPENDENCYPART_ARC
(2,14),-3.19681 # DEPENDENCYPART_ARC
(2,15),-1.90987 # DEPENDENCYPART_ARC
(2,16),-3.89845 # DEPENDENCYPART_ARC
(2,17),-3.64788 # DEPENDENCYPART_ARC
(3,1),-1.30703 # DEPENDENCYPART_ARC
(3,2),0.783513 # DEPENDENCYPART_ARC
(3,4),3.81437 # DEPENDENCYPART_ARC
(3,5),-1.90253 # DEPENDENCYPART_ARC
(3,6),0.560598 # DEPENDENCYPART_ARC
(3,7),-0.776062 # DEPENDENCYPART_ARC
(3,8),-0.986785 # DEPENDENCYPART_ARC
(3,9),-5.9134 # DEPENDENCYPART_ARC
(3,10),0.380073 # DEPENDENCYPART_ARC
(3,11),-1.51282 # DEPENDENCYPART_ARC
(3,12),0.309126 # DEPENDENCYPART_ARC
(3,13),-1.99117 # DEPENDENCYPART_ARC
(3,14),-4.06845 # DEPENDENCYPART_ARC
(3,15),0.702889 # DEPENDENCYPART_ARC
(3,16),-5.47794 # DEPENDENCYPART_ARC
(3,17),-1.75084 # DEPENDENCYPART_ARC
(4,1),-1.44563 # DEPENDENCYPART_ARC
(4,2),1.46631 # DEPENDENCYPART_ARC
(4,3),0.683919 # DEPENDENCYPART_ARC
(4,5),4.17449 # DEPENDENCYPART_ARC
(4,6),0.110678 # DEPENDENCYPART_ARC
(4,7),1.36576 # DEPENDENCYPART_ARC
(4,8),-0.975223 # DEPENDENCYPART_ARC
(4,9),1.91692 # DEPENDENCYPART_ARC
(4,10),0.175499 # DEPENDENCYPART_ARC
(4,11),0.843724 # DEPENDENCYPART_ARC
(4,12),-0.00516767 # DEPENDENCYPART_ARC
(4,13),-0.273991 # DEPENDENCYPART_ARC
(4,14),-1.72577 # DEPENDENCYPART_ARC
(4,15),0.36839 # DEPENDENCYPART_ARC
(4,16),-2.46582 # DEPENDENCYPART_ARC
(4,17),-5.60376 # DEPENDENCYPART_ARC
(5,1),-1.79531 # DEPENDENCYPART_ARC
(5,2),0.490507 # DEPENDENCYPART_ARC
(5,3),-1.13228 # DEPENDENCYPART_ARC
(5,4),-0.527222 # DEPENDENCYPART_ARC
(5,6),-0.881546 # DEPENDENCYPART_ARC
(5,7),-1.71449 # DEPENDENCYPART_ARC
(5,8),-4.61581 # DEPENDENCYPART_ARC
(5,9),0.308612 # DEPENDENCYPART_ARC
(5,10),-1.11816 # DEPENDENCYPART_ARC
(5,11),-2.58809 # DEPENDENCYPART_ARC
(5,12),-0.477914 # DEPENDENCYPART_ARC
(5,13),-3.92547 # DEPENDENCYPART_ARC
(5,14),-5.24388 # DEPENDENCYPART_ARC
(5,15),-1.08276 # DEPENDENCYPART_ARC
(5,16),-6.25032 # DEPENDENCYPART_ARC
(5,17),-5.93088 # DEPENDENCYPART_ARC
(6,1),0.295492 # DEPENDENCYPART_ARC
(6,2),0.290983 # DEPENDENCYPART_ARC
(6,3),0.528539 # DEPENDENCYPART_ARC
(6,4),1.42016 # DEPENDENCYPART_ARC
(6,5),1.50541 # DEPENDENCYPART_ARC
(6,7),0.662598 # DEPENDENCYPART_ARC
