# _root_ Podle Janouška již skončilo období kontroly formálních náležitostí přiznání a druhá fáze , tedy podrobná kontrola věcné správnosti , se právě rozbíhá .
#goldHeads=4,1,4,10,4,5,8,6,8,0,12,14,14,22,16,14,18,16,14,22,22,10,0,
#predictedHeads=4,1,4,0,4,5,8,6,10,8,12,10,14,22,16,22,18,16,22,22,22,12,0,
(0,1),-0.668822 # DEPENDENCYPART_ARC
(0,2),-1.12182 # DEPENDENCYPART_ARC
(0,3),-0.0929894 # DEPENDENCYPART_ARC
(0,4),0.677736 # DEPENDENCYPART_ARC
(0,5),-1.20396 # DEPENDENCYPART_ARC
(0,6),-1.96024 # DEPENDENCYPART_ARC
(0,7),-2.47541 # DEPENDENCYPART_ARC
(0,8),-2.61475 # DEPENDENCYPART_ARC
(0,9),-2.77877 # DEPENDENCYPART_ARC
(0,10),-0.949193 # DEPENDENCYPART_ARC
(0,11),-2.36729 # DEPENDENCYPART_ARC
(0,12),-2.13856 # DEPENDENCYPART_ARC
(0,13),-0.869178 # DEPENDENCYPART_ARC
(0,14),-1.52952 # DEPENDENCYPART_ARC
(0,15),-2.42726 # DEPENDENCYPART_ARC
(0,16),-2.59822 # DEPENDENCYPART_ARC
(0,17),-3.24786 # DEPENDENCYPART_ARC
(0,18),-3.6633 # DEPENDENCYPART_ARC
(0,19),-1.22707 # DEPENDENCYPART_ARC
(0,21),-3.20444 # DEPENDENCYPART_ARC
(0,22),-0.99509 # DEPENDENCYPART_ARC
(0,23),3.94582 # DEPENDENCYPART_ARC
(1,2),4.55731 # DEPENDENCYPART_ARC
(1,3),-0.505195 # DEPENDENCYPART_ARC
(1,4),-1.71109 # DEPENDENCYPART_ARC
(1,5),-3.63345 # DEPENDENCYPART_ARC
(1,6),-1.15063 # DEPENDENCYPART_ARC
(1,7),-2.27782 # DEPENDENCYPART_ARC
(1,8),-1.58052 # DEPENDENCYPART_ARC
(1,9),-2.12324 # DEPENDENCYPART_ARC
(1,10),-1.6134 # DEPENDENCYPART_ARC
(1,11),-3.82286 # DEPENDENCYPART_ARC
(1,12),-5.78364 # DEPENDENCYPART_ARC
(1,13),-1.2193 # DEPENDENCYPART_ARC
(1,14),-0.835909 # DEPENDENCYPART_ARC
(1,15),-4.29221 # DEPENDENCYPART_ARC
(1,16),-6.43853 # DEPENDENCYPART_ARC
(1,17),-2.94599 # DEPENDENCYPART_ARC
(1,18),-3.64612 # DEPENDENCYPART_ARC
(1,19),-1.51372 # DEPENDENCYPART_ARC
(1,21),-2.44377 # DEPENDENCYPART_ARC
(1,22),-3.39709 # DEPENDENCYPART_ARC
(1,23),-3.62661 # DEPENDENCYPART_ARC
(2,1),0.0225755 # DEPENDENCYPART_ARC
(2,3),0.498974 # DEPENDENCYPART_ARC
(2,4),-1.63966 # DEPENDENCYPART_ARC
(2,5),-2.62767 # DEPENDENCYPART_ARC
(2,6),-0.952868 # DEPENDENCYPART_ARC
(2,7),-2.96721 # DEPENDENCYPART_ARC
(2,8),-2.1113 # DEPENDENCYPART_ARC
(2,9),-2.26724 # DEPENDENCYPART_ARC
(2,10),-0.173396 # DEPENDENCYPART_ARC
(2,11),-4.7119 # DEPENDENCYPART_ARC
(2,12),-3.72737 # DEPENDENCYPART_ARC
(2,13),-1.34837 # DEPENDENCYPART_ARC
(2,14),-0.318469 # DEPENDENCYPART_ARC
(2,15),-4.83395 # DEPENDENCYPART_ARC
(2,16),-3.64139 # DEPENDENCYPART_ARC
(2,17),-2.95715 # DEPENDENCYPART_ARC
(2,18),-3.25028 # DEPENDENCYPART_ARC
(2,19),-1.36168 # DEPENDENCYPART_ARC
(2,20),-5.09388 # DEPENDENCYPART_ARC
(2,21),-1.56675 # DEPENDENCYPART_ARC
(2,22),-4.36687 # DEPENDENCYPART_ARC
(2,23),-9.18654 # DEPENDENCYPART_ARC
(3,1),-0.510323 # DEPENDENCYPART_ARC
(3,2),-0.987836 # DEPENDENCYPART_ARC
(3,4),-0.949919 # DEPENDENCYPART_ARC
(3,5),-1.50391 # DEPENDENCYPART_ARC
(3,6),-2.10095 # DEPENDENCYPART_ARC
(3,7),-1.71475 # DEPENDENCYPART_ARC
(3,8),-2.72681 # DEPENDENCYPART_ARC
(3,9),-3.02109 # DEPENDENCYPART_ARC
(3,10),-1.38325 # DEPENDENCYPART_ARC
(3,11),-2.31299 # DEPENDENCYPART_ARC
(3,12),-3.72459 # DEPENDENCYPART_ARC
(3,13),-1.70807 # DEPENDENCYPART_ARC
(3,14),-2.25139 # DEPENDENCYPART_ARC
(3,15),-2.75545 # DEPENDENCYPART_ARC
(3,16),-4.41797 # DEPENDENCYPART_ARC
(3,17),-2.74019 # DEPENDENCYPART_ARC
(3,18),-4.64202 # DEPENDENCYPART_ARC
(3,19),-2.06841 # DEPENDENCYPART_ARC
(3,21),-2.55572 # DEPENDENCYPART_ARC
(3,22),-3.27347 # DEPENDENCYPART_ARC
(3,23),-4.63515 # DEPENDENCYPART_ARC
(4,1),3.74986 # DEPENDENCYPART_ARC
(4,2),-0.918574 # DEPENDENCYPART_ARC
(4,3),2.6848 # DEPENDENCYPART_ARC
(4,5),3.10872 # DEPENDENCYPART_ARC
(4,6),-0.21819 # DEPENDENCYPART_ARC
(4,7),-3.52301 # DEPENDENCYPART_ARC
(4,8),-1.78554 # DEPENDENCYPART_ARC
(4,9),-1.22426 # DEPENDENCYPART_ARC
(4,10),0.283502 # DEPENDENCYPART_ARC
(4,11),-2.29925 # DEPENDENCYPART_ARC
(4,12),-0.340528 # DEPENDENCYPART_ARC
(4,13),-0.0570301 # DEPENDENCYPART_ARC
(4,14),0.279352 # DEPENDENCYPART_ARC
(4,15),-2.82832 # DEPENDENCYPART_ARC
(4,16),-0.773991 # DEPENDENCYPART_ARC
(4,17),-5.45972 # DEPENDENCYPART_ARC
(4,18),-2.89468 # DEPENDENCYPART_ARC
(4,19),-0.485546 # DEPENDENCYPART_ARC
(4,20),-3.21067 # DEPENDENCYPART_ARC
(4,21),-2.46996 # DEPENDENCYPART_ARC
(4,22),-2.81031 # DEPENDENCYPART_ARC
(4,23),-1.15748 # DEPENDENCYPART_ARC
(5,1),-0.291028 # DEPENDENCYPART_ARC
(5,2),-2.64687 # DEPENDENCYPART_ARC
(5,3),0.11417 # DEPENDENCYPART_ARC
(5,4),-2.49559 # DEPENDENCYPART_ARC
(5,6),3.55944 # DEPENDENCYPART_ARC
(5,7),-1.43464 # DEPENDENCYPART_ARC
(5,8),1.31911 # DEPENDENCYPART_ARC
(5,9),1.78729 # DEPENDENCYPART_ARC
(5,10),0.56489 # DEPENDENCYPART_ARC
(5,11),-1.49497 # DEPENDENCYPART_ARC
(5,12),-0.961688 # DEPENDENCYPART_ARC
(5,13),-0.117725 # DEPENDENCYPART_ARC
(5,14),0.81381 # DEPENDENCYPART_ARC
(5,15),-1.46172 # DEPENDENCYPART_ARC
(5,16),-1.46534 # DEPENDENCYPART_ARC
(5,17),-2.40381 # DEPENDENCYPART_ARC
(5,18),-0.387223 # DEPENDENCYPART_ARC
(5,19),-0.571787 # DEPENDENCYPART_ARC
(5,20),-2.5948 # DEPENDENCYPART_ARC
(5,21),-0.704466 # DEPENDENCYPART_ARC
(5,22),-1.52297 # DEPENDENCYPART_ARC
(5,23),-7.39392 # DEPENDENCYPART_ARC
(6,1),-1.13154 # DEPENDENCYPART_ARC
(6,2),-0.676196 # DEPENDENCYPART_ARC
(6,3),0.0198189 # DEPENDENCYPART_ARC
(6,4),-2.02643 # DEPENDENCYPART_ARC
(6,5),-1.53049 # DEPENDENCYPART_ARC
(6,7),1.05428 # DEPENDENCYPART_ARC
(6,8),3.05578 # DEPENDENCYPART_ARC
(6,9),1.90273 # DEPENDENCYPART_ARC
(6,10),0.776146 # DEPENDENCYPART_ARC
(6,11),-1.5246 # DEPENDENCYPART_ARC
(6,12),-0.976288 # DEPENDENCYPART_ARC
(6,13),-0.507868 # DEPENDENCYPART_ARC
(6,14),0.165445 # DEPENDENCYPART_ARC
(6,15),-1.96302 # DEPENDENCYPART_ARC
(6,16),-1.86736 # DEPENDENCYPART_ARC
(6,17),-0.337527 # DEPENDENCYPART_ARC
(6,18),0.135258 # DEPENDENCYPART_ARC
(6,19),-0.927656 # DEPENDENCYPART_ARC
