# _root_ Poslanci má náležet zdaněný , třeba velký , ale jen jeden plat .
#goldHeads=3,0,2,9,9,7,9,9,12,11,9,2,0,
#predictedHeads=2,9,2,3,9,7,5,9,0,11,12,9,0,
(0,1),-1.9421 # DEPENDENCYPART_ARC
(0,2),-0.145368 # DEPENDENCYPART_ARC
(0,3),-0.513038 # DEPENDENCYPART_ARC
(0,4),-1.68895 # DEPENDENCYPART_ARC
(0,5),-0.675257 # DEPENDENCYPART_ARC
(0,6),-1.4378 # DEPENDENCYPART_ARC
(0,7),-1.96446 # DEPENDENCYPART_ARC
(0,8),-1.04495 # DEPENDENCYPART_ARC
(0,9),0.272546 # DEPENDENCYPART_ARC
(0,10),-2.14256 # DEPENDENCYPART_ARC
(0,11),-3.07701 # DEPENDENCYPART_ARC
(0,12),-2.47741 # DEPENDENCYPART_ARC
(0,13),3.23965 # DEPENDENCYPART_ARC
(1,2),-0.979249 # DEPENDENCYPART_ARC
(1,3),-1.27109 # DEPENDENCYPART_ARC
(1,4),-3.05645 # DEPENDENCYPART_ARC
(1,5),-1.01242 # DEPENDENCYPART_ARC
(1,6),-0.824764 # DEPENDENCYPART_ARC
(1,7),-3.72079 # DEPENDENCYPART_ARC
(1,8),-0.893798 # DEPENDENCYPART_ARC
(1,9),-0.795139 # DEPENDENCYPART_ARC
(1,10),-1.15402 # DEPENDENCYPART_ARC
(1,11),-3.7543 # DEPENDENCYPART_ARC
(1,12),-4.59721 # DEPENDENCYPART_ARC
(1,13),-3.15509 # DEPENDENCYPART_ARC
(2,1),2.56982 # DEPENDENCYPART_ARC
(2,3),3.32973 # DEPENDENCYPART_ARC
(2,4),0.474723 # DEPENDENCYPART_ARC
(2,5),0.380634 # DEPENDENCYPART_ARC
(2,6),0.174349 # DEPENDENCYPART_ARC
(2,7),-0.781973 # DEPENDENCYPART_ARC
(2,8),-0.0625751 # DEPENDENCYPART_ARC
(2,9),0.174005 # DEPENDENCYPART_ARC
(2,10),-0.384479 # DEPENDENCYPART_ARC
(2,11),-1.23883 # DEPENDENCYPART_ARC
(2,12),0.0217825 # DEPENDENCYPART_ARC
(2,13),-0.606914 # DEPENDENCYPART_ARC
(3,1),2.48103 # DEPENDENCYPART_ARC
(3,2),-0.395328 # DEPENDENCYPART_ARC
(3,4),2.13029 # DEPENDENCYPART_ARC
(3,5),0.380827 # DEPENDENCYPART_ARC
(3,6),-0.280032 # DEPENDENCYPART_ARC
(3,7),-0.201628 # DEPENDENCYPART_ARC
(3,8),0.0856648 # DEPENDENCYPART_ARC
(3,9),0.547741 # DEPENDENCYPART_ARC
(3,10),-0.94553 # DEPENDENCYPART_ARC
(3,11),-0.866113 # DEPENDENCYPART_ARC
(3,12),-1.94415 # DEPENDENCYPART_ARC
(3,13),-0.736013 # DEPENDENCYPART_ARC
(4,1),-0.539184 # DEPENDENCYPART_ARC
(4,2),-2.43332 # DEPENDENCYPART_ARC
(4,3),0.0862764 # DEPENDENCYPART_ARC
(4,5),-0.179765 # DEPENDENCYPART_ARC
(4,6),-0.0512588 # DEPENDENCYPART_ARC
(4,7),-1.77232 # DEPENDENCYPART_ARC
(4,8),-0.784684 # DEPENDENCYPART_ARC
(4,9),-0.236002 # DEPENDENCYPART_ARC
(4,10),-1.05873 # DEPENDENCYPART_ARC
(4,11),-1.43374 # DEPENDENCYPART_ARC
(4,12),-3.12951 # DEPENDENCYPART_ARC
(4,13),-1.6083 # DEPENDENCYPART_ARC
(5,1),-0.0734711 # DEPENDENCYPART_ARC
(5,2),0.852415 # DEPENDENCYPART_ARC
(5,3),0.35482 # DEPENDENCYPART_ARC
(5,4),1.96313 # DEPENDENCYPART_ARC
(5,6),0.377393 # DEPENDENCYPART_ARC
(5,7),1.68211 # DEPENDENCYPART_ARC
(5,8),0.437018 # DEPENDENCYPART_ARC
(5,9),0.517304 # DEPENDENCYPART_ARC
(5,10),-0.210277 # DEPENDENCYPART_ARC
(5,11),0.144251 # DEPENDENCYPART_ARC
(5,12),0.0304613 # DEPENDENCYPART_ARC
(5,13),-0.786169 # DEPENDENCYPART_ARC
(6,1),-1.21598 # DEPENDENCYPART_ARC
(6,2),-0.873634 # DEPENDENCYPART_ARC
