# _root_ ( Herečky navíc údajně strávily tři týdny speciálním výcvikem na ranči , kde se učily jezdit na koních , zacházet se zbraněmi a dokonce i žvýkat tabák . )
#goldHeads=5,5,5,5,0,7,5,9,5,5,10,15,15,15,11,23,16,17,23,23,20,21,15,26,26,23,26,0,5,
#predictedHeads=5,5,5,5,0,7,5,9,5,9,10,15,15,15,11,15,16,17,15,23,20,21,15,26,26,23,26,0,23,
(0,1),1.10853 # DEPENDENCYPART_ARC
(0,2),0.0978655 # DEPENDENCYPART_ARC
(0,3),0.73572 # DEPENDENCYPART_ARC
(0,4),0.0268078 # DEPENDENCYPART_ARC
(0,5),0.502301 # DEPENDENCYPART_ARC
(0,6),-1.89574 # DEPENDENCYPART_ARC
(0,7),-1.16626 # DEPENDENCYPART_ARC
(0,8),-1.10278 # DEPENDENCYPART_ARC
(0,9),-1.17282 # DEPENDENCYPART_ARC
(0,10),-1.37747 # DEPENDENCYPART_ARC
(0,11),-1.75233 # DEPENDENCYPART_ARC
(0,12),-0.00804341 # DEPENDENCYPART_ARC
(0,13),-1.53712 # DEPENDENCYPART_ARC
(0,14),-2.48427 # DEPENDENCYPART_ARC
(0,15),-0.63378 # DEPENDENCYPART_ARC
(0,16),-1.18775 # DEPENDENCYPART_ARC
(0,17),-4.2907 # DEPENDENCYPART_ARC
(0,18),-3.36927 # DEPENDENCYPART_ARC
(0,19),-0.398569 # DEPENDENCYPART_ARC
(0,20),-1.03027 # DEPENDENCYPART_ARC
(0,21),-6.61495 # DEPENDENCYPART_ARC
(0,22),-3.49616 # DEPENDENCYPART_ARC
(0,23),-0.533937 # DEPENDENCYPART_ARC
(0,24),-3.71484 # DEPENDENCYPART_ARC
(0,25),-2.94657 # DEPENDENCYPART_ARC
(0,26),-3.05405 # DEPENDENCYPART_ARC
(0,27),-4.08002 # DEPENDENCYPART_ARC
(0,28),3.06449 # DEPENDENCYPART_ARC
(0,29),-3.2973 # DEPENDENCYPART_ARC
(1,2),-1.3638 # DEPENDENCYPART_ARC
(1,3),-1.38953 # DEPENDENCYPART_ARC
(1,4),-1.6333 # DEPENDENCYPART_ARC
(1,5),-1.51616 # DEPENDENCYPART_ARC
(1,6),-2.34797 # DEPENDENCYPART_ARC
(1,7),-2.85746 # DEPENDENCYPART_ARC
(1,8),-2.12653 # DEPENDENCYPART_ARC
(1,9),-3.52648 # DEPENDENCYPART_ARC
(1,10),-2.66324 # DEPENDENCYPART_ARC
(1,11),-3.25914 # DEPENDENCYPART_ARC
(1,12),-2.0685 # DEPENDENCYPART_ARC
(1,13),-2.45699 # DEPENDENCYPART_ARC
(1,14),-3.60125 # DEPENDENCYPART_ARC
(1,15),-2.73969 # DEPENDENCYPART_ARC
(1,16),-3.16299 # DEPENDENCYPART_ARC
(1,17),-3.76589 # DEPENDENCYPART_ARC
(1,18),-4.83802 # DEPENDENCYPART_ARC
(1,19),-2.61483 # DEPENDENCYPART_ARC
(1,20),-3.76994 # DEPENDENCYPART_ARC
(1,21),-4.22753 # DEPENDENCYPART_ARC
(1,22),-5.26824 # DEPENDENCYPART_ARC
(1,23),-3.36612 # DEPENDENCYPART_ARC
(1,24),-3.40316 # DEPENDENCYPART_ARC
(1,25),-3.84026 # DEPENDENCYPART_ARC
(1,26),-4.76594 # DEPENDENCYPART_ARC
(1,27),-6.40462 # DEPENDENCYPART_ARC
(1,28),-4.77078 # DEPENDENCYPART_ARC
(1,29),-5.19652 # DEPENDENCYPART_ARC
(2,1),-0.591336 # DEPENDENCYPART_ARC
(2,3),0.618958 # DEPENDENCYPART_ARC
(2,4),-0.236929 # DEPENDENCYPART_ARC
(2,5),-0.255001 # DEPENDENCYPART_ARC
(2,6),-2.38167 # DEPENDENCYPART_ARC
(2,7),-3.80171 # DEPENDENCYPART_ARC
(2,8),-3.2127 # DEPENDENCYPART_ARC
(2,9),-2.53161 # DEPENDENCYPART_ARC
(2,10),0.130979 # DEPENDENCYPART_ARC
(2,11),-2.32681 # DEPENDENCYPART_ARC
(2,12),-0.432929 # DEPENDENCYPART_ARC
(2,13),-0.898312 # DEPENDENCYPART_ARC
(2,14),-2.41923 # DEPENDENCYPART_ARC
(2,15),-1.99865 # DEPENDENCYPART_ARC
(2,16),-2.61047 # DEPENDENCYPART_ARC
(2,17),-2.66609 # DEPENDENCYPART_ARC
(2,18),-4.78733 # DEPENDENCYPART_ARC
(2,19),-1.11303 # DEPENDENCYPART_ARC
(2,20),-4.67995 # DEPENDENCYPART_ARC
(2,21),-3.33952 # DEPENDENCYPART_ARC
(2,22),-7.75353 # DEPENDENCYPART_ARC
(2,23),-1.85142 # DEPENDENCYPART_ARC
(2,24),-1.97904 # DEPENDENCYPART_ARC
(2,25),-3.75046 # DEPENDENCYPART_ARC
(2,26),-6.44648 # DEPENDENCYPART_ARC
(2,27),-10.6356 # DEPENDENCYPART_ARC
(2,28),-8.78015 # DEPENDENCYPART_ARC
(2,29),-3.54123 # DEPENDENCYPART_ARC
(3,1),-0.598413 # DEPENDENCYPART_ARC
(3,2),-0.65249 # DEPENDENCYPART_ARC
(3,4),0.631775 # DEPENDENCYPART_ARC
(3,5),-0.475315 # DEPENDENCYPART_ARC
(3,6),-0.743671 # DEPENDENCYPART_ARC
(3,7),-1.01027 # DEPENDENCYPART_ARC
(3,8),-0.88771 # DEPENDENCYPART_ARC
(3,9),-1.59957 # DEPENDENCYPART_ARC
(3,10),-1.33684 # DEPENDENCYPART_ARC
(3,11),-2.06452 # DEPENDENCYPART_ARC
(3,12),-0.864471 # DEPENDENCYPART_ARC
(3,13),-1.16075 # DEPENDENCYPART_ARC
(3,14),-2.13758 # DEPENDENCYPART_ARC
(3,15),-1.57148 # DEPENDENCYPART_ARC
(3,16),-1.8511 # DEPENDENCYPART_ARC
(3,17),-2.06104 # DEPENDENCYPART_ARC
(3,18),-3.35967 # DEPENDENCYPART_ARC
(3,19),-1.44574 # DEPENDENCYPART_ARC
(3,20),-2.2753 # DEPENDENCYPART_ARC
(3,21),-2.51865 # DEPENDENCYPART_ARC
(3,22),-4.07528 # DEPENDENCYPART_ARC
(3,23),-2.82667 # DEPENDENCYPART_ARC
(3,24),-2.10758 # DEPENDENCYPART_ARC
(3,25),-3.35197 # DEPENDENCYPART_ARC
(3,26),-2.88293 # DEPENDENCYPART_ARC
(3,27),-4.58463 # DEPENDENCYPART_ARC
(3,28),-4.61304 # DEPENDENCYPART_ARC
(3,29),-2.59793 # DEPENDENCYPART_ARC
(4,1),-0.766068 # DEPENDENCYPART_ARC
(4,2),-1.48462 # DEPENDENCYPART_ARC
(4,3),0.917891 # DEPENDENCYPART_ARC
(4,5),-1.05917 # DEPENDENCYPART_ARC
(4,6),-1.35101 # DEPENDENCYPART_ARC
(4,7),-1.80758 # DEPENDENCYPART_ARC
(4,8),-2.31221 # DEPENDENCYPART_ARC
(4,9),-2.63369 # DEPENDENCYPART_ARC
(4,10),-1.65559 # DEPENDENCYPART_ARC
(4,11),-3.00059 # DEPENDENCYPART_ARC
(4,12),-1.19777 # DEPENDENCYPART_ARC
(4,13),-1.71915 # DEPENDENCYPART_ARC
(4,14),-2.83617 # DEPENDENCYPART_ARC
(4,15),-2.71809 # DEPENDENCYPART_ARC
(4,16),-2.16388 # DEPENDENCYPART_ARC
(4,17),-2.45772 # DEPENDENCYPART_ARC
(4,18),-4.30669 # DEPENDENCYPART_ARC
(4,19),-1.67295 # DEPENDENCYPART_ARC
(4,20),-2.58064 # DEPENDENCYPART_ARC
(4,21),-2.02808 # DEPENDENCYPART_ARC
(4,22),-5.55725 # DEPENDENCYPART_ARC
(4,23),-2.86716 # DEPENDENCYPART_ARC
(4,24),-2.58631 # DEPENDENCYPART_ARC
(4,25),-3.59338 # DEPENDENCYPART_ARC
(4,26),-3.09915 # DEPENDENCYPART_ARC
(4,27),-5.96968 # DEPENDENCYPART_ARC
(4,28),-4.82617 # DEPENDENCYPART_ARC
(4,29),-3.00147 # DEPENDENCYPART_ARC
(5,1),1.95487 # DEPENDENCYPART_ARC
(5,2),3.31698 # DEPENDENCYPART_ARC
(5,3),2.60188 # DEPENDENCYPART_ARC
(5,4),3.16301 # DEPENDENCYPART_ARC
(5,6),0.76823 # DEPENDENCYPART_ARC
(5,7),3.39129 # DEPENDENCYPART_ARC
(5,8),-0.782118 # DEPENDENCYPART_ARC
(5,9),1.89591 # DEPENDENCYPART_ARC
(5,10),1.39503 # DEPENDENCYPART_ARC
(5,11),-0.554645 # DEPENDENCYPART_ARC
(5,12),0.595088 # DEPENDENCYPART_ARC
(5,13),-0.0190609 # DEPENDENCYPART_ARC
(5,14),-0.422115 # DEPENDENCYPART_ARC
(5,15),-1.59765 # DEPENDENCYPART_ARC
(5,16),0.40132 # DEPENDENCYPART_ARC
(5,17),-0.47007 # DEPENDENCYPART_ARC
(5,18),-3.00817 # DEPENDENCYPART_ARC
(5,19),0.421284 # DEPENDENCYPART_ARC
(5,20),-1.08505 # DEPENDENCYPART_ARC
(5,21),-1.15 # DEPENDENCYPART_ARC
(5,22),-3.24327 # DEPENDENCYPART_ARC
(5,23),-0.476301 # DEPENDENCYPART_ARC
(5,24),-2.54733 # DEPENDENCYPART_ARC
(5,25),-1.57498 # DEPENDENCYPART_ARC
(5,26),-2.25859 # DEPENDENCYPART_ARC
(5,27),-3.05638 # DEPENDENCYPART_ARC
(5,28),-0.780089 # DEPENDENCYPART_ARC
(5,29),-0.45306 # DEPENDENCYPART_ARC
(6,1),-1.93296 # DEPENDENCYPART_ARC
(6,2),-2.3809 # DEPENDENCYPART_ARC
(6,3),-0.748026 # DEPENDENCYPART_ARC
(6,4),-0.73731 # DEPENDENCYPART_ARC
(6,5),-1.76717 # DEPENDENCYPART_ARC
(6,7),1.07446 # DEPENDENCYPART_ARC
(6,8),-1.16415 # DEPENDENCYPART_ARC
(6,9),-0.826786 # DEPENDENCYPART_ARC
(6,10),-0.529174 # DEPENDENCYPART_ARC
(6,11),-1.20926 # DEPENDENCYPART_ARC
(6,12),-1.60313 # DEPENDENCYPART_ARC
(6,13),-1.30713 # DEPENDENCYPART_ARC
(6,14),-2.26417 # DEPENDENCYPART_ARC
(6,15),-4.23782 # DEPENDENCYPART_ARC
(6,16),-2.09256 # DEPENDENCYPART_ARC
(6,17),-1.98572 # DEPENDENCYPART_ARC
(6,18),-2.7883 # DEPENDENCYPART_ARC
(6,19),-2.45154 # DEPENDENCYPART_ARC
(6,20),-2.45776 # DEPENDENCYPART_ARC
(6,21),-2.89189 # DEPENDENCYPART_ARC
(6,22),-4.26526 # DEPENDENCYPART_ARC
(6,23),-1.90756 # DEPENDENCYPART_ARC
(6,24),-2.16577 # DEPENDENCYPART_ARC
(6,25),-2.52718 # DEPENDENCYPART_ARC
(6,26),-2.72279 # DEPENDENCYPART_ARC
(6,27),-4.48053 # DEPENDENCYPART_ARC
(6,28),-4.094 # DEPENDENCYPART_ARC
(6,29),-2.68399 # DEPENDENCYPART_ARC
(7,1),-0.367323 # DEPENDENCYPART_ARC
(7,2),-2.77052 # DEPENDENCYPART_ARC
(7,3),0.482785 # DEPENDENCYPART_ARC
(7,4),0.37307 # DEPENDENCYPART_ARC
(7,5),-0.367991 # DEPENDENCYPART_ARC
(7,6),4.37075 # DEPENDENCYPART_ARC
(7,8),0.480615 # DEPENDENCYPART_ARC
(7,9),0.717742 # DEPENDENCYPART_ARC
(7,10),1.27822 # DEPENDENCYPART_ARC
(7,11),0.186937 # DEPENDENCYPART_ARC
(7,12),-0.439714 # DEPENDENCYPART_ARC
(7,13),-0.340249 # DEPENDENCYPART_ARC
(7,14),-2.24683 # DEPENDENCYPART_ARC
(7,15),0.878834 # DEPENDENCYPART_ARC
(7,16),-0.105027 # DEPENDENCYPART_ARC
(7,17),-1.91411 # DEPENDENCYPART_ARC
(7,18),-2.89623 # DEPENDENCYPART_ARC
(7,19),-1.24778 # DEPENDENCYPART_ARC
(7,20),-2.546 # DEPENDENCYPART_ARC
(7,21),-2.64586 # DEPENDENCYPART_ARC
(7,22),-5.90013 # DEPENDENCYPART_ARC
(7,23),-1.07265 # DEPENDENCYPART_ARC
(7,24),-1.45478 # DEPENDENCYPART_ARC
(7,25),-2.72476 # DEPENDENCYPART_ARC
(7,26),-4.23623 # DEPENDENCYPART_ARC
(7,27),-6.7374 # DEPENDENCYPART_ARC
(7,28),-7.34879 # DEPENDENCYPART_ARC
(7,29),-2.68733 # DEPENDENCYPART_ARC
(8,1),-0.920665 # DEPENDENCYPART_ARC
(8,2),-3.92251 # DEPENDENCYPART_ARC
(8,3),-0.395034 # DEPENDENCYPART_ARC
(8,4),0.0798833 # DEPENDENCYPART_ARC
(8,5),-3.49163 # DEPENDENCYPART_ARC
(8,6),-0.812304 # DEPENDENCYPART_ARC
(8,7),-0.608516 # DEPENDENCYPART_ARC
(8,9),1.78653 # DEPENDENCYPART_ARC
(8,10),0.502589 # DEPENDENCYPART_ARC
(8,11),-2.5658 # DEPENDENCYPART_ARC
(8,12),-0.595364 # DEPENDENCYPART_ARC
(8,13),-0.613184 # DEPENDENCYPART_ARC
(8,14),-1.86463 # DEPENDENCYPART_ARC
(8,15),-2.13245 # DEPENDENCYPART_ARC
(8,16),-0.980361 # DEPENDENCYPART_ARC
(8,17),-1.49128 # DEPENDENCYPART_ARC
(8,18),-4.52549 # DEPENDENCYPART_ARC
(8,19),-1.19876 # DEPENDENCYPART_ARC
(8,20),-1.53172 # DEPENDENCYPART_ARC
(8,21),-2.45671 # DEPENDENCYPART_ARC
(8,22),-4.96519 # DEPENDENCYPART_ARC
(8,23),-1.5976 # DEPENDENCYPART_ARC
(8,24),-1.82033 # DEPENDENCYPART_ARC
(8,25),-2.07956 # DEPENDENCYPART_ARC
(8,26),-2.48745 # DEPENDENCYPART_ARC
(8,27),-7.72863 # DEPENDENCYPART_ARC
(8,28),-3.57177 # DEPENDENCYPART_ARC
(8,29),-1.39711 # DEPENDENCYPART_ARC
(9,1),-1.40971 # DEPENDENCYPART_ARC
(9,2),-5.02782 # DEPENDENCYPART_ARC
(9,3),-1.13209 # DEPENDENCYPART_ARC
(9,4),-0.997056 # DEPENDENCYPART_ARC
(9,5),-3.56554 # DEPENDENCYPART_ARC
(9,6),-1.81068 # DEPENDENCYPART_ARC
(9,7),-1.78765 # DEPENDENCYPART_ARC
(9,8),5.38062 # DEPENDENCYPART_ARC
(9,10),2.1995 # DEPENDENCYPART_ARC
(9,11),0.135147 # DEPENDENCYPART_ARC
(9,12),-0.122635 # DEPENDENCYPART_ARC
(9,13),0.0172133 # DEPENDENCYPART_ARC
(9,14),-1.59908 # DEPENDENCYPART_ARC
(9,15),-0.128311 # DEPENDENCYPART_ARC
(9,16),0.682794 # DEPENDENCYPART_ARC
(9,17),-1.5908 # DEPENDENCYPART_ARC
(9,18),-4.51894 # DEPENDENCYPART_ARC
(9,19),-0.911938 # DEPENDENCYPART_ARC
(9,20),-1.96172 # DEPENDENCYPART_ARC
(9,21),-2.66167 # DEPENDENCYPART_ARC
(9,22),-5.5157 # DEPENDENCYPART_ARC
(9,23),-0.878932 # DEPENDENCYPART_ARC
(9,24),-1.20294 # DEPENDENCYPART_ARC
(9,25),-2.613 # DEPENDENCYPART_ARC
(9,26),-3.85214 # DEPENDENCYPART_ARC
(9,27),-8.46991 # DEPENDENCYPART_ARC
(9,28),-5.88034 # DEPENDENCYPART_ARC
(9,29),-2.22074 # DEPENDENCYPART_ARC
(10,1),-2.63549 # DEPENDENCYPART_ARC
(10,2),-4.02504 # DEPENDENCYPART_ARC
(10,3),-2.25345 # DEPENDENCYPART_ARC
(10,4),-2.48371 # DEPENDENCYPART_ARC
(10,5),-2.63986 # DEPENDENCYPART_ARC
(10,6),-2.10611 # DEPENDENCYPART_ARC
(10,7),-2.59503 # DEPENDENCYPART_ARC
(10,8),-1.14149 # DEPENDENCYPART_ARC
(10,9),-1.17835 # DEPENDENCYPART_ARC
(10,11),4.12358 # DEPENDENCYPART_ARC
(10,12),-0.288734 # DEPENDENCYPART_ARC
(10,13),-0.184238 # DEPENDENCYPART_ARC
(10,14),-1.40598 # DEPENDENCYPART_ARC
(10,15),-2.34784 # DEPENDENCYPART_ARC
(10,16),-1.7709 # DEPENDENCYPART_ARC
(10,17),-2.03244 # DEPENDENCYPART_ARC
(10,18),-1.8636 # DEPENDENCYPART_ARC
(10,19),-1.87949 # DEPENDENCYPART_ARC
(10,20),-2.03961 # DEPENDENCYPART_ARC
(10,21),-2.48926 # DEPENDENCYPART_ARC
(10,22),-5.96942 # DEPENDENCYPART_ARC
(10,23),-3.27288 # DEPENDENCYPART_ARC
(10,24),-2.33366 # DEPENDENCYPART_ARC
(10,25),-4.39024 # DEPENDENCYPART_ARC
(10,26),-2.33589 # DEPENDENCYPART_ARC
(10,27),-9.89397 # DEPENDENCYPART_ARC
(10,28),-3.17217 # DEPENDENCYPART_ARC
(10,29),-3.56338 # DEPENDENCYPART_ARC
(11,1),-2.12173 # DEPENDENCYPART_ARC
(11,2),-5.05617 # DEPENDENCYPART_ARC
(11,3),-1.84189 # DEPENDENCYPART_ARC
(11,4),-2.13283 # DEPENDENCYPART_ARC
(11,5),-4.75446 # DEPENDENCYPART_ARC
(11,6),-3.7427 # DEPENDENCYPART_ARC
(11,7),-3.01461 # DEPENDENCYPART_ARC
(11,8),0.441338 # DEPENDENCYPART_ARC
(11,9),-2.04172 # DEPENDENCYPART_ARC
(11,10),0.730831 # DEPENDENCYPART_ARC
(11,12),-0.268201 # DEPENDENCYPART_ARC
(11,13),0.0547498 # DEPENDENCYPART_ARC
(11,14),-1.28947 # DEPENDENCYPART_ARC
(11,15),1.10785 # DEPENDENCYPART_ARC
(11,16),1.2541 # DEPENDENCYPART_ARC
(11,17),-1.42588 # DEPENDENCYPART_ARC
(11,18),-3.5938 # DEPENDENCYPART_ARC
(11,19),-0.538014 # DEPENDENCYPART_ARC
(11,20),-1.27312 # DEPENDENCYPART_ARC
(11,21),-2.48693 # DEPENDENCYPART_ARC
(11,22),-5.52707 # DEPENDENCYPART_ARC
(11,23),-0.131991 # DEPENDENCYPART_ARC
(11,24),-1.11096 # DEPENDENCYPART_ARC
(11,25),-1.8762 # DEPENDENCYPART_ARC
(11,26),-3.40063 # DEPENDENCYPART_ARC
(11,27),-8.05451 # DEPENDENCYPART_ARC
(11,28),-4.78991 # DEPENDENCYPART_ARC
(11,29),-2.15328 # DEPENDENCYPART_ARC
(12,1),0.198834 # DEPENDENCYPART_ARC
(12,2),-1.29358 # DEPENDENCYPART_ARC
(12,3),-0.612845 # DEPENDENCYPART_ARC
(12,4),-0.649445 # DEPENDENCYPART_ARC
(12,5),-0.0448504 # DEPENDENCYPART_ARC
(12,6),-0.511127 # DEPENDENCYPART_ARC
(12,7),-0.524562 # DEPENDENCYPART_ARC
(12,8),-0.471181 # DEPENDENCYPART_ARC
(12,9),-0.0907688 # DEPENDENCYPART_ARC
(12,10),-0.647193 # DEPENDENCYPART_ARC
(12,11),0.645921 # DEPENDENCYPART_ARC
(12,13),-0.602031 # DEPENDENCYPART_ARC
(12,14),-0.425666 # DEPENDENCYPART_ARC
(12,15),0.121362 # DEPENDENCYPART_ARC
(12,16),-0.128686 # DEPENDENCYPART_ARC
(12,17),-1.18644 # DEPENDENCYPART_ARC
(12,18),-1.88652 # DEPENDENCYPART_ARC
(12,19),-0.374728 # DEPENDENCYPART_ARC
(12,20),-1.4449 # DEPENDENCYPART_ARC
(12,21),-1.88713 # DEPENDENCYPART_ARC
(12,22),-3.09525 # DEPENDENCYPART_ARC
(12,23),-0.429139 # DEPENDENCYPART_ARC
(12,24),-1.817 # DEPENDENCYPART_ARC
(12,25),-1.75095 # DEPENDENCYPART_ARC
(12,26),-2.74578 # DEPENDENCYPART_ARC
(12,27),-4.32445 # DEPENDENCYPART_ARC
(12,28),-0.814748 # DEPENDENCYPART_ARC
(12,29),-1.27851 # DEPENDENCYPART_ARC
(13,1),-2.02786 # DEPENDENCYPART_ARC
(13,2),-2.03887 # DEPENDENCYPART_ARC
(13,3),-1.13097 # DEPENDENCYPART_ARC
(13,4),-1.11415 # DEPENDENCYPART_ARC
(13,5),-1.20423 # DEPENDENCYPART_ARC
(13,6),-0.789444 # DEPENDENCYPART_ARC
