# _root_ Ne tak kvůli ní samé , jako kvůli ekonomické i politické transformaci , jíž je garantem a která tou dobou ještě nebude zcela u konce .
#goldHeads=2,0,0,3,4,7,0,7,10,12,10,8,17,16,17,15,12,22,20,22,22,17,22,22,24,0,
#predictedHeads=2,4,6,3,12,7,0,7,10,12,10,8,15,17,12,15,15,20,20,22,22,17,25,22,24,0,
(0,1),0.265987 # DEPENDENCYPART_ARC
(0,2),-0.235941 # DEPENDENCYPART_ARC
(0,3),-0.413142 # DEPENDENCYPART_ARC
(0,5),-1.23583 # DEPENDENCYPART_ARC
(0,6),-0.374717 # DEPENDENCYPART_ARC
(0,7),-0.0737514 # DEPENDENCYPART_ARC
(0,8),-1.56825 # DEPENDENCYPART_ARC
(0,9),-2.10693 # DEPENDENCYPART_ARC
(0,10),-2.74542 # DEPENDENCYPART_ARC
(0,11),-2.50303 # DEPENDENCYPART_ARC
(0,12),-1.20721 # DEPENDENCYPART_ARC
(0,13),-0.846455 # DEPENDENCYPART_ARC
(0,15),-0.421868 # DEPENDENCYPART_ARC
(0,16),-2.83684 # DEPENDENCYPART_ARC
(0,17),-1.54471 # DEPENDENCYPART_ARC
(0,18),-2.31029 # DEPENDENCYPART_ARC
(0,19),-2.27114 # DEPENDENCYPART_ARC
(0,20),-3.22408 # DEPENDENCYPART_ARC
(0,21),-2.72846 # DEPENDENCYPART_ARC
(0,22),-1.92615 # DEPENDENCYPART_ARC
(0,23),-3.54128 # DEPENDENCYPART_ARC
(0,24),-4.87873 # DEPENDENCYPART_ARC
(0,25),-3.77823 # DEPENDENCYPART_ARC
(0,26),4.6899 # DEPENDENCYPART_ARC
(1,2),-0.379722 # DEPENDENCYPART_ARC
(1,3),-0.807002 # DEPENDENCYPART_ARC
(1,6),-0.835019 # DEPENDENCYPART_ARC
(1,7),-1.08069 # DEPENDENCYPART_ARC
(1,8),-1.726 # DEPENDENCYPART_ARC
(1,9),-2.25319 # DEPENDENCYPART_ARC
(1,10),-1.28152 # DEPENDENCYPART_ARC
(1,11),-2.39466 # DEPENDENCYPART_ARC
(1,12),-2.12899 # DEPENDENCYPART_ARC
(1,13),-1.2895 # DEPENDENCYPART_ARC
(1,15),-2.47144 # DEPENDENCYPART_ARC
(1,16),-2.36378 # DEPENDENCYPART_ARC
(1,17),-1.42834 # DEPENDENCYPART_ARC
(1,19),-2.62016 # DEPENDENCYPART_ARC
(1,20),-2.60791 # DEPENDENCYPART_ARC
(1,21),-2.17939 # DEPENDENCYPART_ARC
(1,22),-2.78932 # DEPENDENCYPART_ARC
(1,23),-2.26364 # DEPENDENCYPART_ARC
(1,24),-2.92942 # DEPENDENCYPART_ARC
(1,25),-2.68317 # DEPENDENCYPART_ARC
