# _root_ Milionový poplatek za vydání osvědčení , které umožňuje vést lékárnu , zakázalo vybírat Ministerstvo pro hospodářskou soutěž .
#goldHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
#predictedHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
(0,1),-0.581592 # DEPENDENCYPART_ARC
(0,2),-0.83233 # DEPENDENCYPART_ARC
(0,3),0.617561 # DEPENDENCYPART_ARC
(0,4),-1.15426 # DEPENDENCYPART_ARC
(0,5),-1.16678 # DEPENDENCYPART_ARC
(0,6),0.0680537 # DEPENDENCYPART_ARC
(0,7),-1.12243 # DEPENDENCYPART_ARC
(0,8),0.285922 # DEPENDENCYPART_ARC
(0,9),-0.0319491 # DEPENDENCYPART_ARC
(0,10),-2.80529 # DEPENDENCYPART_ARC
(0,11),-0.434429 # DEPENDENCYPART_ARC
(0,12),0.642776 # DEPENDENCYPART_ARC
(0,13),-0.895398 # DEPENDENCYPART_ARC
(0,14),-4.11579 # DEPENDENCYPART_ARC
(0,15),-3.3081 # DEPENDENCYPART_ARC
(0,16),-3.40694 # DEPENDENCYPART_ARC
(0,17),-4.41116 # DEPENDENCYPART_ARC
(0,18),3.63737 # DEPENDENCYPART_ARC
(1,2),-0.782866 # DEPENDENCYPART_ARC
(1,3),0.300063 # DEPENDENCYPART_ARC
(1,4),-2.70613 # DEPENDENCYPART_ARC
(1,5),-2.61271 # DEPENDENCYPART_ARC
(1,6),-0.881334 # DEPENDENCYPART_ARC
(1,7),-4.5728 # DEPENDENCYPART_ARC
(1,8),-3.22205 # DEPENDENCYPART_ARC
(1,9),-1.5895 # DEPENDENCYPART_ARC
(1,10),-5.42171 # DEPENDENCYPART_ARC
(1,11),-1.48176 # DEPENDENCYPART_ARC
(1,12),-3.76868 # DEPENDENCYPART_ARC
(1,13),-2.6614 # DEPENDENCYPART_ARC
(1,14),-6.88506 # DEPENDENCYPART_ARC
(1,15),-2.7369 # DEPENDENCYPART_ARC
(1,16),-4.92308 # DEPENDENCYPART_ARC
(1,17),-7.26043 # DEPENDENCYPART_ARC
(1,18),-4.25998 # DEPENDENCYPART_ARC
(2,1),5.06345 # DEPENDENCYPART_ARC
(2,3),2.48045 # DEPENDENCYPART_ARC
(2,4),0.26469 # DEPENDENCYPART_ARC
(2,5),0.967063 # DEPENDENCYPART_ARC
(2,6),-0.211238 # DEPENDENCYPART_ARC
(2,7),-3.17781 # DEPENDENCYPART_ARC
(2,8),0.565931 # DEPENDENCYPART_ARC
(2,9),1.0909 # DEPENDENCYPART_ARC
(2,10),-4.09251 # DEPENDENCYPART_ARC
(2,11),-0.774697 # DEPENDENCYPART_ARC
(2,12),-3.28154 # DEPENDENCYPART_ARC
(2,13),-1.72316 # DEPENDENCYPART_ARC
(2,14),-5.5809 # DEPENDENCYPART_ARC
(2,15),-1.66352 # DEPENDENCYPART_ARC
(2,16),-3.37423 # DEPENDENCYPART_ARC
(2,17),-5.49269 # DEPENDENCYPART_ARC
(2,18),-6.33663 # DEPENDENCYPART_ARC
(3,1),-1.50001 # DEPENDENCYPART_ARC
(3,2),-1.47022 # DEPENDENCYPART_ARC
(3,4),3.89785 # DEPENDENCYPART_ARC
(3,5),-1.61266 # DEPENDENCYPART_ARC
(3,6),-0.374145 # DEPENDENCYPART_ARC
(3,7),-2.26546 # DEPENDENCYPART_ARC
(3,8),-1.60631 # DEPENDENCYPART_ARC
(3,9),-1.53001 # DEPENDENCYPART_ARC
(3,10),-3.61163 # DEPENDENCYPART_ARC
(3,11),-1.51999 # DEPENDENCYPART_ARC
(3,12),-2.36685 # DEPENDENCYPART_ARC
(3,13),-1.93537 # DEPENDENCYPART_ARC
(3,14),-9.31119 # DEPENDENCYPART_ARC
(3,15),-2.24596 # DEPENDENCYPART_ARC
(3,16),-1.75618 # DEPENDENCYPART_ARC
(3,17),-7.9456 # DEPENDENCYPART_ARC
(3,18),-3.66054 # DEPENDENCYPART_ARC
(4,1),-0.385 # DEPENDENCYPART_ARC
(4,2),-1.50788 # DEPENDENCYPART_ARC
(4,3),1.18757 # DEPENDENCYPART_ARC
(4,5),3.85549 # DEPENDENCYPART_ARC
(4,6),-0.0321379 # DEPENDENCYPART_ARC
(4,7),-1.77432 # DEPENDENCYPART_ARC
(4,8),0.944818 # DEPENDENCYPART_ARC
(4,9),1.2383 # DEPENDENCYPART_ARC
(4,10),-2.82173 # DEPENDENCYPART_ARC
(4,11),-0.530054 # DEPENDENCYPART_ARC
(4,12),-2.52901 # DEPENDENCYPART_ARC
(4,13),-1.34422 # DEPENDENCYPART_ARC
(4,14),-5.00136 # DEPENDENCYPART_ARC
(4,15),-1.2458 # DEPENDENCYPART_ARC
(4,16),-2.83104 # DEPENDENCYPART_ARC
(4,17),-4.27174 # DEPENDENCYPART_ARC
(4,18),-5.23541 # DEPENDENCYPART_ARC
(5,1),-2.69668 # DEPENDENCYPART_ARC
(5,2),-3.28607 # DEPENDENCYPART_ARC
(5,3),-0.610664 # DEPENDENCYPART_ARC
(5,4),0.351364 # DEPENDENCYPART_ARC
(5,6),-0.0621707 # DEPENDENCYPART_ARC
(5,7),-1.33873 # DEPENDENCYPART_ARC
(5,8),1.76222 # DEPENDENCYPART_ARC
(5,9),1.3681 # DEPENDENCYPART_ARC
(5,10),-4.42551 # DEPENDENCYPART_ARC
(5,11),0.0678215 # DEPENDENCYPART_ARC
(5,12),-1.99304 # DEPENDENCYPART_ARC
(5,13),-1.29725 # DEPENDENCYPART_ARC
(5,14),-4.77023 # DEPENDENCYPART_ARC
(5,15),-1.26648 # DEPENDENCYPART_ARC
(5,16),-4.60765 # DEPENDENCYPART_ARC
(5,17),-6.02956 # DEPENDENCYPART_ARC
(5,18),-4.58797 # DEPENDENCYPART_ARC
(6,1),-1.64448 # DEPENDENCYPART_ARC
(6,2),-0.967696 # DEPENDENCYPART_ARC
(6,3),-1.4561 # DEPENDENCYPART_ARC
(6,4),-0.488413 # DEPENDENCYPART_ARC
(6,5),-0.998829 # DEPENDENCYPART_ARC
(6,7),-0.792665 # DEPENDENCYPART_ARC
(6,8),0.168466 # DEPENDENCYPART_ARC
(6,9),-0.639059 # DEPENDENCYPART_ARC
(6,10),-2.21335 # DEPENDENCYPART_ARC
(6,11),-1.07748 # DEPENDENCYPART_ARC
(6,12),-1.8779 # DEPENDENCYPART_ARC
(6,13),-2.20732 # DEPENDENCYPART_ARC
(6,14),-4.59037 # DEPENDENCYPART_ARC
(6,15),-2.7821 # DEPENDENCYPART_ARC
(6,16),-3.29926 # DEPENDENCYPART_ARC
(6,17),-4.38616 # DEPENDENCYPART_ARC
(6,18),-1.5429 # DEPENDENCYPART_ARC
(7,1),-3.68024 # DEPENDENCYPART_ARC
(7,2),-2.31833 # DEPENDENCYPART_ARC
(7,3),-0.613075 # DEPENDENCYPART_ARC
(7,4),-1.84492 # DEPENDENCYPART_ARC
(7,5),-1.06693 # DEPENDENCYPART_ARC
(7,6),-0.293032 # DEPENDENCYPART_ARC
(7,8),-0.0998583 # DEPENDENCYPART_ARC
(7,9),-1.07012 # DEPENDENCYPART_ARC
(7,10),-1.32164 # DEPENDENCYPART_ARC
(7,11),-0.48148 # DEPENDENCYPART_ARC
(7,12),-2.91281 # DEPENDENCYPART_ARC
(7,13),-3.34204 # DEPENDENCYPART_ARC
(7,14),-1.35131 # DEPENDENCYPART_ARC
(7,15),-2.09317 # DEPENDENCYPART_ARC
(7,16),-3.06531 # DEPENDENCYPART_ARC
(7,17),-2.13187 # DEPENDENCYPART_ARC
(7,18),-1.23594 # DEPENDENCYPART_ARC
(8,1),-2.96857 # DEPENDENCYPART_ARC
(8,2),-0.00892889 # DEPENDENCYPART_ARC
(8,3),-0.727075 # DEPENDENCYPART_ARC
(8,4),-0.254185 # DEPENDENCYPART_ARC
(8,5),-3.00603 # DEPENDENCYPART_ARC
(8,6),2.41413 # DEPENDENCYPART_ARC
(8,7),3.66622 # DEPENDENCYPART_ARC
(8,9),3.58293 # DEPENDENCYPART_ARC
(8,10),1.99909 # DEPENDENCYPART_ARC
(8,11),1.48283 # DEPENDENCYPART_ARC
(8,12),-2.09479 # DEPENDENCYPART_ARC
(8,13),0.440603 # DEPENDENCYPART_ARC
(8,14),-0.698649 # DEPENDENCYPART_ARC
(8,15),-0.755913 # DEPENDENCYPART_ARC
(8,16),-5.68999 # DEPENDENCYPART_ARC
(8,17),-1.42059 # DEPENDENCYPART_ARC
(8,18),-0.333632 # DEPENDENCYPART_ARC
(9,1),-1.48274 # DEPENDENCYPART_ARC
(9,2),0.660104 # DEPENDENCYPART_ARC
(9,3),-0.730773 # DEPENDENCYPART_ARC
(9,4),0.385447 # DEPENDENCYPART_ARC
(9,5),-2.61288 # DEPENDENCYPART_ARC
(9,6),0.752333 # DEPENDENCYPART_ARC
(9,7),1.43296 # DEPENDENCYPART_ARC
(9,8),-0.344447 # DEPENDENCYPART_ARC
(9,10),4.18102 # DEPENDENCYPART_ARC
(9,11),1.00923 # DEPENDENCYPART_ARC
(9,12),-0.0672422 # DEPENDENCYPART_ARC
(9,13),0.229964 # DEPENDENCYPART_ARC
(9,14),-1.33329 # DEPENDENCYPART_ARC
(9,15),-0.0109662 # DEPENDENCYPART_ARC
(9,16),-3.47206 # DEPENDENCYPART_ARC
(9,17),-0.450689 # DEPENDENCYPART_ARC
(9,18),-0.719241 # DEPENDENCYPART_ARC
(10,1),-2.88049 # DEPENDENCYPART_ARC
(10,2),-2.78161 # DEPENDENCYPART_ARC
(10,3),-0.682918 # DEPENDENCYPART_ARC
(10,4),-1.65863 # DEPENDENCYPART_ARC
(10,5),-4.00353 # DEPENDENCYPART_ARC
(10,6),-1.25051 # DEPENDENCYPART_ARC
(10,7),-2.5971 # DEPENDENCYPART_ARC
(10,8),-0.514693 # DEPENDENCYPART_ARC
(10,9),0.773131 # DEPENDENCYPART_ARC
(10,11),-0.675712 # DEPENDENCYPART_ARC
(10,12),-0.591044 # DEPENDENCYPART_ARC
(10,13),1.27372 # DEPENDENCYPART_ARC
(10,14),-3.17583 # DEPENDENCYPART_ARC
(10,15),-0.690724 # DEPENDENCYPART_ARC
(10,16),-1.10818 # DEPENDENCYPART_ARC
(10,17),-3.2808 # DEPENDENCYPART_ARC
(10,18),-3.19095 # DEPENDENCYPART_ARC
(11,1),-1.24787 # DEPENDENCYPART_ARC
(11,2),-0.340851 # DEPENDENCYPART_ARC
(11,3),-1.11989 # DEPENDENCYPART_ARC
(11,4),0.323566 # DEPENDENCYPART_ARC
(11,5),-0.434198 # DEPENDENCYPART_ARC
(11,6),0.22508 # DEPENDENCYPART_ARC
(11,7),0.873864 # DEPENDENCYPART_ARC
(11,8),1.02626 # DEPENDENCYPART_ARC
(11,9),0.912486 # DEPENDENCYPART_ARC
(11,10),0.351391 # DEPENDENCYPART_ARC
(11,12),0.239013 # DEPENDENCYPART_ARC
(11,13),-0.179833 # DEPENDENCYPART_ARC
(11,14),-1.53011 # DEPENDENCYPART_ARC
(11,15),-0.568761 # DEPENDENCYPART_ARC
(11,16),-1.43528 # DEPENDENCYPART_ARC
(11,17),-1.81319 # DEPENDENCYPART_ARC
(11,18),-0.224444 # DEPENDENCYPART_ARC
(12,1),-3.25119 # DEPENDENCYPART_ARC
(12,2),-0.675985 # DEPENDENCYPART_ARC
(12,3),-0.991963 # DEPENDENCYPART_ARC
(12,4),-0.00646626 # DEPENDENCYPART_ARC
(12,5),-1.8573 # DEPENDENCYPART_ARC
(12,6),0.296329 # DEPENDENCYPART_ARC
(12,7),1.92909 # DEPENDENCYPART_ARC
(12,8),-0.656463 # DEPENDENCYPART_ARC
(12,9),1.13461 # DEPENDENCYPART_ARC
(12,10),-0.384503 # DEPENDENCYPART_ARC
(12,11),0.32552 # DEPENDENCYPART_ARC
(12,13),4.30335 # DEPENDENCYPART_ARC
(12,14),2.64938 # DEPENDENCYPART_ARC
(12,15),1.32984 # DEPENDENCYPART_ARC
(12,16),-2.91844 # DEPENDENCYPART_ARC
(12,17),0.842665 # DEPENDENCYPART_ARC
(12,18),0.226652 # DEPENDENCYPART_ARC
(13,1),-1.3124 # DEPENDENCYPART_ARC
(13,2),0.73757 # DEPENDENCYPART_ARC
(13,3),-1.22781 # DEPENDENCYPART_ARC
(13,4),0.110625 # DEPENDENCYPART_ARC
(13,5),-2.864 # DEPENDENCYPART_ARC
(13,6),-0.227659 # DEPENDENCYPART_ARC
(13,7),0.299312 # DEPENDENCYPART_ARC
(13,8),-2.22189 # DEPENDENCYPART_ARC
(13,9),-1.08577 # DEPENDENCYPART_ARC
(13,10),0.567264 # DEPENDENCYPART_ARC
(13,11),-0.342327 # DEPENDENCYPART_ARC
(13,12),0.913047 # DEPENDENCYPART_ARC
(13,14),2.01647 # DEPENDENCYPART_ARC
(13,15),1.89366 # DEPENDENCYPART_ARC
(13,16),-1.04635 # DEPENDENCYPART_ARC
(13,17),1.99995 # DEPENDENCYPART_ARC
(13,18),-0.30887 # DEPENDENCYPART_ARC
(14,1),-7.49414 # DEPENDENCYPART_ARC
(14,2),-6.8446 # DEPENDENCYPART_ARC
(14,3),-1.12154 # DEPENDENCYPART_ARC
(14,4),-4.43969 # DEPENDENCYPART_ARC
(14,5),-5.18594 # DEPENDENCYPART_ARC
(14,6),-2.91139 # DEPENDENCYPART_ARC
(14,7),-1.68242 # DEPENDENCYPART_ARC
(14,8),-2.45755 # DEPENDENCYPART_ARC
(14,9),-1.27848 # DEPENDENCYPART_ARC
(14,10),-4.69891 # DEPENDENCYPART_ARC
(14,11),-1.60757 # DEPENDENCYPART_ARC
(14,12),-2.18119 # DEPENDENCYPART_ARC
(14,13),0.0113796 # DEPENDENCYPART_ARC
