# _root_ Pokud nebude jeho smlouva zrušena , je rozhodnut zanechat vůbec fotbalu , uvedl manažer brazilského hráče Ricardo Fuica .
#goldHeads=7,5,4,5,1,1,13,7,8,11,9,7,0,18,16,14,18,13,0,
#predictedHeads=7,5,4,5,1,1,13,7,8,11,9,1,0,18,16,17,18,13,0,
(0,1),-0.237298 # DEPENDENCYPART_ARC
(0,2),-0.763534 # DEPENDENCYPART_ARC
(0,3),-0.444953 # DEPENDENCYPART_ARC
(0,4),-2.37871 # DEPENDENCYPART_ARC
(0,5),-0.736016 # DEPENDENCYPART_ARC
(0,6),-0.135272 # DEPENDENCYPART_ARC
(0,7),0.735918 # DEPENDENCYPART_ARC
(0,8),-0.897875 # DEPENDENCYPART_ARC
(0,9),-1.58088 # DEPENDENCYPART_ARC
(0,10),-1.87749 # DEPENDENCYPART_ARC
(0,11),-4.93353 # DEPENDENCYPART_ARC
(0,12),-0.476555 # DEPENDENCYPART_ARC
(0,13),1.46914 # DEPENDENCYPART_ARC
(0,14),-5.44328 # DEPENDENCYPART_ARC
(0,15),-4.02142 # DEPENDENCYPART_ARC
(0,16),-6.45725 # DEPENDENCYPART_ARC
(0,17),-5.50882 # DEPENDENCYPART_ARC
(0,18),-5.43064 # DEPENDENCYPART_ARC
(0,19),4.49188 # DEPENDENCYPART_ARC
(1,2),3.1015 # DEPENDENCYPART_ARC
(1,3),0.432704 # DEPENDENCYPART_ARC
(1,4),-0.915881 # DEPENDENCYPART_ARC
(1,5),2.14966 # DEPENDENCYPART_ARC
(1,6),3.04025 # DEPENDENCYPART_ARC
(1,7),-0.0724735 # DEPENDENCYPART_ARC
(1,8),-0.160825 # DEPENDENCYPART_ARC
(1,9),-0.81248 # DEPENDENCYPART_ARC
(1,10),-1.36696 # DEPENDENCYPART_ARC
(1,11),-3.68341 # DEPENDENCYPART_ARC
(1,12),1.97692 # DEPENDENCYPART_ARC
(1,13),-3.35473 # DEPENDENCYPART_ARC
(1,14),-4.4542 # DEPENDENCYPART_ARC
(1,15),-2.40815 # DEPENDENCYPART_ARC
(1,16),-4.71087 # DEPENDENCYPART_ARC
(1,17),-5.04711 # DEPENDENCYPART_ARC
(1,18),-5.40714 # DEPENDENCYPART_ARC
(1,19),-3.03767 # DEPENDENCYPART_ARC
(2,1),1.0795 # DEPENDENCYPART_ARC
(2,3),-1.11378 # DEPENDENCYPART_ARC
(2,4),1.47552 # DEPENDENCYPART_ARC
(2,5),0.202936 # DEPENDENCYPART_ARC
(2,6),0.133334 # DEPENDENCYPART_ARC
(2,7),-1.51068 # DEPENDENCYPART_ARC
(2,8),-2.00654 # DEPENDENCYPART_ARC
(2,9),-2.33643 # DEPENDENCYPART_ARC
(2,10),-1.04787 # DEPENDENCYPART_ARC
(2,11),-3.32367 # DEPENDENCYPART_ARC
(2,12),-0.671774 # DEPENDENCYPART_ARC
(2,13),-5.13299 # DEPENDENCYPART_ARC
(2,14),-4.11074 # DEPENDENCYPART_ARC
(2,15),-4.58164 # DEPENDENCYPART_ARC
(2,16),-5.01284 # DEPENDENCYPART_ARC
(2,17),-4.58738 # DEPENDENCYPART_ARC
(2,18),-4.15143 # DEPENDENCYPART_ARC
(2,19),-1.66558 # DEPENDENCYPART_ARC
(3,1),-1.28409 # DEPENDENCYPART_ARC
(3,2),-1.35646 # DEPENDENCYPART_ARC
(3,4),-1.06837 # DEPENDENCYPART_ARC
(3,5),-2.63869 # DEPENDENCYPART_ARC
(3,6),-0.932699 # DEPENDENCYPART_ARC
(3,7),-4.96207 # DEPENDENCYPART_ARC
(3,8),-3.36807 # DEPENDENCYPART_ARC
(3,9),-4.50866 # DEPENDENCYPART_ARC
(3,10),-1.52385 # DEPENDENCYPART_ARC
(3,11),-3.87827 # DEPENDENCYPART_ARC
(3,12),-0.972094 # DEPENDENCYPART_ARC
(3,13),-7.08772 # DEPENDENCYPART_ARC
(3,14),-3.74178 # DEPENDENCYPART_ARC
(3,15),-4.34727 # DEPENDENCYPART_ARC
(3,16),-4.52902 # DEPENDENCYPART_ARC
(3,17),-5.97722 # DEPENDENCYPART_ARC
