# _root_ Ženy , které byly donuceny poskytovat sexuální služby japonským vojákům za války , budou odškodněny formou zřízení center pro vzdělávání žen v jednotlivých zemích .
#goldHeads=15,5,5,5,1,5,8,6,10,6,6,11,5,15,0,15,16,17,18,19,20,18,24,22,0,
#predictedHeads=0,5,5,5,1,5,8,6,10,6,10,11,5,15,8,15,16,17,18,19,20,20,24,22,0,
(0,1),0.0808117 # DEPENDENCYPART_ARC
(0,2),0.109179 # DEPENDENCYPART_ARC
(0,3),-1.08391 # DEPENDENCYPART_ARC
(0,4),0.356327 # DEPENDENCYPART_ARC
(0,5),-0.0177659 # DEPENDENCYPART_ARC
(0,6),-0.731382 # DEPENDENCYPART_ARC
(0,7),-2.44301 # DEPENDENCYPART_ARC
(0,8),-3.37521 # DEPENDENCYPART_ARC
(0,9),-2.50439 # DEPENDENCYPART_ARC
(0,10),-3.13447 # DEPENDENCYPART_ARC
(0,11),-2.36081 # DEPENDENCYPART_ARC
(0,12),-3.93151 # DEPENDENCYPART_ARC
(0,13),-0.415897 # DEPENDENCYPART_ARC
(0,14),0.142697 # DEPENDENCYPART_ARC
(0,15),-1.11521 # DEPENDENCYPART_ARC
(0,16),-5.03631 # DEPENDENCYPART_ARC
(0,17),-5.35127 # DEPENDENCYPART_ARC
(0,18),-5.79256 # DEPENDENCYPART_ARC
(0,19),-4.77051 # DEPENDENCYPART_ARC
(0,20),-5.73278 # DEPENDENCYPART_ARC
(0,21),-5.75789 # DEPENDENCYPART_ARC
(0,22),-4.94005 # DEPENDENCYPART_ARC
(0,23),-4.80919 # DEPENDENCYPART_ARC
(0,24),-6.03688 # DEPENDENCYPART_ARC
(0,25),3.94271 # DEPENDENCYPART_ARC
(1,2),0.456238 # DEPENDENCYPART_ARC
(1,3),0.707668 # DEPENDENCYPART_ARC
(1,4),1.93705 # DEPENDENCYPART_ARC
(1,5),1.83169 # DEPENDENCYPART_ARC
(1,6),0.309404 # DEPENDENCYPART_ARC
(1,7),-2.19128 # DEPENDENCYPART_ARC
(1,8),-5.03461 # DEPENDENCYPART_ARC
(1,9),-1.93536 # DEPENDENCYPART_ARC
(1,10),-4.00709 # DEPENDENCYPART_ARC
(1,11),-0.472796 # DEPENDENCYPART_ARC
(1,12),-2.46712 # DEPENDENCYPART_ARC
(1,13),-0.173207 # DEPENDENCYPART_ARC
(1,14),-4.0091 # DEPENDENCYPART_ARC
(1,15),-2.64974 # DEPENDENCYPART_ARC
(1,16),-6.84312 # DEPENDENCYPART_ARC
(1,17),-3.67494 # DEPENDENCYPART_ARC
(1,18),-4.05805 # DEPENDENCYPART_ARC
(1,19),-2.71477 # DEPENDENCYPART_ARC
(1,20),-9.07394 # DEPENDENCYPART_ARC
(1,21),-5.32977 # DEPENDENCYPART_ARC
(1,22),-2.58732 # DEPENDENCYPART_ARC
(1,23),-2.75932 # DEPENDENCYPART_ARC
(1,24),-6.44711 # DEPENDENCYPART_ARC
(1,25),-9.70411 # DEPENDENCYPART_ARC
(2,1),-0.632328 # DEPENDENCYPART_ARC
(2,3),-0.771558 # DEPENDENCYPART_ARC
(2,4),-0.488341 # DEPENDENCYPART_ARC
(2,5),-0.923565 # DEPENDENCYPART_ARC
(2,6),-1.4318 # DEPENDENCYPART_ARC
(2,7),-2.6312 # DEPENDENCYPART_ARC
(2,8),-3.45141 # DEPENDENCYPART_ARC
(2,9),-3.00881 # DEPENDENCYPART_ARC
(2,10),-3.93971 # DEPENDENCYPART_ARC
(2,11),-3.35466 # DEPENDENCYPART_ARC
(2,12),-4.13248 # DEPENDENCYPART_ARC
(2,13),-1.49101 # DEPENDENCYPART_ARC
(2,14),-3.04598 # DEPENDENCYPART_ARC
(2,15),-3.38826 # DEPENDENCYPART_ARC
(2,16),-5.88246 # DEPENDENCYPART_ARC
(2,17),-6.15454 # DEPENDENCYPART_ARC
(2,18),-6.36426 # DEPENDENCYPART_ARC
(2,19),-4.41119 # DEPENDENCYPART_ARC
(2,20),-7.31773 # DEPENDENCYPART_ARC
(2,21),-6.83447 # DEPENDENCYPART_ARC
(2,22),-5.18628 # DEPENDENCYPART_ARC
(2,23),-5.47445 # DEPENDENCYPART_ARC
