# _root_ Během SNP působily na území Slovenska vojenské mise Spojenců , a to sovětská , britská a americká .
#goldHeads=3,1,0,3,4,5,8,3,8,16,12,16,16,16,16,8,16,0,
#predictedHeads=3,1,0,3,4,5,8,3,8,11,12,16,16,16,16,5,16,0,
(0,1),-0.714729 # DEPENDENCYPART_ARC
(0,2),-1.69503 # DEPENDENCYPART_ARC
(0,3),0.363061 # DEPENDENCYPART_ARC
(0,4),-1.60907 # DEPENDENCYPART_ARC
(0,5),-2.37349 # DEPENDENCYPART_ARC
(0,6),-1.454 # DEPENDENCYPART_ARC
(0,7),-2.28524 # DEPENDENCYPART_ARC
(0,8),-1.9973 # DEPENDENCYPART_ARC
(0,9),-2.87912 # DEPENDENCYPART_ARC
(0,10),-0.71276 # DEPENDENCYPART_ARC
(0,11),-0.212606 # DEPENDENCYPART_ARC
(0,12),-2.90067 # DEPENDENCYPART_ARC
(0,13),-2.9075 # DEPENDENCYPART_ARC
(0,14),-1.35927 # DEPENDENCYPART_ARC
(0,15),-3.09071 # DEPENDENCYPART_ARC
(0,16),-1.70448 # DEPENDENCYPART_ARC
(0,17),-3.37808 # DEPENDENCYPART_ARC
(0,18),3.62716 # DEPENDENCYPART_ARC
(1,2),4.12764 # DEPENDENCYPART_ARC
(1,3),-1.83216 # DEPENDENCYPART_ARC
(1,4),-1.75332 # DEPENDENCYPART_ARC
(1,5),-1.11249 # DEPENDENCYPART_ARC
(1,6),-1.78715 # DEPENDENCYPART_ARC
(1,7),-3.96704 # DEPENDENCYPART_ARC
(1,8),-6.43099 # DEPENDENCYPART_ARC
(1,9),-4.84542 # DEPENDENCYPART_ARC
(1,10),-1.37401 # DEPENDENCYPART_ARC
(1,11),-1.81741 # DEPENDENCYPART_ARC
(1,12),-4.93645 # DEPENDENCYPART_ARC
(1,13),-4.15529 # DEPENDENCYPART_ARC
(1,14),-1.58642 # DEPENDENCYPART_ARC
(1,15),-4.18886 # DEPENDENCYPART_ARC
(1,16),-2.27052 # DEPENDENCYPART_ARC
(1,17),-4.45079 # DEPENDENCYPART_ARC
(1,18),-3.06021 # DEPENDENCYPART_ARC
(2,1),-0.311167 # DEPENDENCYPART_ARC
(2,3),-2.66303 # DEPENDENCYPART_ARC
(2,4),-1.67775 # DEPENDENCYPART_ARC
(2,5),-2.99244 # DEPENDENCYPART_ARC
(2,6),-0.383607 # DEPENDENCYPART_ARC
(2,7),-4.221 # DEPENDENCYPART_ARC
(2,8),-2.33383 # DEPENDENCYPART_ARC
(2,9),-4.07364 # DEPENDENCYPART_ARC
(2,10),-1.18572 # DEPENDENCYPART_ARC
(2,11),-0.92568 # DEPENDENCYPART_ARC
(2,12),-1.72406 # DEPENDENCYPART_ARC
(2,13),-5.20679 # DEPENDENCYPART_ARC
(2,14),-1.25272 # DEPENDENCYPART_ARC
(2,15),-5.05221 # DEPENDENCYPART_ARC
(2,16),-1.52144 # DEPENDENCYPART_ARC
(2,17),-5.95867 # DEPENDENCYPART_ARC
(2,18),-6.62133 # DEPENDENCYPART_ARC
(3,1),3.59558 # DEPENDENCYPART_ARC
(3,2),-0.164715 # DEPENDENCYPART_ARC
(3,4),2.69788 # DEPENDENCYPART_ARC
(3,5),0.0487955 # DEPENDENCYPART_ARC
(3,6),-0.540016 # DEPENDENCYPART_ARC
(3,7),0.342571 # DEPENDENCYPART_ARC
(3,8),1.97112 # DEPENDENCYPART_ARC
