# _root_ " Turnaj je zařazen do nejnižší kategorie , a proto jsme museli sehnat bydlení do 80 dolarů za noc , což znamenalo v Praze velký problém .
#goldHeads=9,4,4,9,4,7,5,9,0,9,12,20,12,13,14,17,15,17,18,9,22,20,22,23,26,22,0,
#predictedHeads=20,4,4,9,4,7,5,9,0,9,12,9,12,13,14,17,15,17,18,10,22,20,22,23,26,22,0,
(0,1),-0.369886 # DEPENDENCYPART_ARC
(0,2),-0.82332 # DEPENDENCYPART_ARC
(0,3),-0.177771 # DEPENDENCYPART_ARC
(0,4),-0.407628 # DEPENDENCYPART_ARC
(0,5),-1.59454 # DEPENDENCYPART_ARC
(0,6),-2.15036 # DEPENDENCYPART_ARC
(0,7),-2.62232 # DEPENDENCYPART_ARC
(0,8),-0.19208 # DEPENDENCYPART_ARC
(0,9),0.206487 # DEPENDENCYPART_ARC
(0,10),0.525731 # DEPENDENCYPART_ARC
(0,11),-2.43993 # DEPENDENCYPART_ARC
(0,12),-1.53641 # DEPENDENCYPART_ARC
(0,13),-2.12753 # DEPENDENCYPART_ARC
(0,14),-4.7907 # DEPENDENCYPART_ARC
(0,15),-4.45598 # DEPENDENCYPART_ARC
(0,16),-1.99262 # DEPENDENCYPART_ARC
(0,17),-5.14627 # DEPENDENCYPART_ARC
(0,18),-4.77995 # DEPENDENCYPART_ARC
(0,19),-4.82322 # DEPENDENCYPART_ARC
(0,20),-0.343512 # DEPENDENCYPART_ARC
(0,22),-2.32392 # DEPENDENCYPART_ARC
(0,23),-6.48591 # DEPENDENCYPART_ARC
(0,24),-5.25752 # DEPENDENCYPART_ARC
(0,25),-4.61819 # DEPENDENCYPART_ARC
(0,26),-5.5672 # DEPENDENCYPART_ARC
(0,27),3.83 # DEPENDENCYPART_ARC
(1,2),-3.40468 # DEPENDENCYPART_ARC
(1,3),-2.54763 # DEPENDENCYPART_ARC
(1,4),-3.01989 # DEPENDENCYPART_ARC
(1,5),-3.78118 # DEPENDENCYPART_ARC
(1,6),-3.47096 # DEPENDENCYPART_ARC
(1,7),-5.16677 # DEPENDENCYPART_ARC
(1,8),-3.06983 # DEPENDENCYPART_ARC
(1,9),-3.18234 # DEPENDENCYPART_ARC
(1,10),-3.35885 # DEPENDENCYPART_ARC
(1,11),-4.4439 # DEPENDENCYPART_ARC
(1,12),-4.55433 # DEPENDENCYPART_ARC
(1,13),-5.02339 # DEPENDENCYPART_ARC
(1,14),-6.93269 # DEPENDENCYPART_ARC
(1,15),-5.33043 # DEPENDENCYPART_ARC
(1,16),-5.3477 # DEPENDENCYPART_ARC
(1,17),-6.99668 # DEPENDENCYPART_ARC
(1,18),-5.4751 # DEPENDENCYPART_ARC
(1,19),-7.37921 # DEPENDENCYPART_ARC
(1,20),-3.86166 # DEPENDENCYPART_ARC
(1,22),-5.96664 # DEPENDENCYPART_ARC
(1,23),-6.64973 # DEPENDENCYPART_ARC
(1,24),-8.53247 # DEPENDENCYPART_ARC
(1,25),-6.34374 # DEPENDENCYPART_ARC
(1,26),-8.70926 # DEPENDENCYPART_ARC
(1,27),-4.97761 # DEPENDENCYPART_ARC
(2,1),0.294584 # DEPENDENCYPART_ARC
(2,3),-0.153245 # DEPENDENCYPART_ARC
(2,4),-0.86831 # DEPENDENCYPART_ARC
(2,5),-0.319876 # DEPENDENCYPART_ARC
(2,6),-3.55081 # DEPENDENCYPART_ARC
(2,7),-0.473069 # DEPENDENCYPART_ARC
(2,8),-0.433342 # DEPENDENCYPART_ARC
(2,9),-0.720002 # DEPENDENCYPART_ARC
(2,10),-1.37361 # DEPENDENCYPART_ARC
(2,11),-4.72346 # DEPENDENCYPART_ARC
(2,12),-5.84475 # DEPENDENCYPART_ARC
(2,13),-5.81177 # DEPENDENCYPART_ARC
(2,14),-7.69824 # DEPENDENCYPART_ARC
(2,15),-2.07527 # DEPENDENCYPART_ARC
(2,16),-2.42798 # DEPENDENCYPART_ARC
(2,17),-4.83528 # DEPENDENCYPART_ARC
(2,18),-2.62299 # DEPENDENCYPART_ARC
(2,19),-8.98638 # DEPENDENCYPART_ARC
(2,20),-2.1519 # DEPENDENCYPART_ARC
(2,21),-4.01373 # DEPENDENCYPART_ARC
(2,22),-8.54952 # DEPENDENCYPART_ARC
(2,23),-4.88349 # DEPENDENCYPART_ARC
(2,24),-7.4037 # DEPENDENCYPART_ARC
(2,25),-5.55507 # DEPENDENCYPART_ARC
(2,26),-9.8218 # DEPENDENCYPART_ARC
(2,27),-9.74831 # DEPENDENCYPART_ARC
(3,1),1.51731 # DEPENDENCYPART_ARC
(3,2),2.59019 # DEPENDENCYPART_ARC
(3,4),2.54493 # DEPENDENCYPART_ARC
(3,5),0.900601 # DEPENDENCYPART_ARC
(3,6),-3.89829 # DEPENDENCYPART_ARC
(3,7),-1.33584 # DEPENDENCYPART_ARC
(3,8),-0.484944 # DEPENDENCYPART_ARC
(3,9),-0.158293 # DEPENDENCYPART_ARC
(3,10),-0.233146 # DEPENDENCYPART_ARC
(3,11),-2.56115 # DEPENDENCYPART_ARC
(3,12),-5.00586 # DEPENDENCYPART_ARC
(3,13),-2.62479 # DEPENDENCYPART_ARC
(3,14),-3.13601 # DEPENDENCYPART_ARC
(3,15),-1.2889 # DEPENDENCYPART_ARC
(3,16),-2.73257 # DEPENDENCYPART_ARC
(3,17),-5.40401 # DEPENDENCYPART_ARC
(3,18),-2.50648 # DEPENDENCYPART_ARC
(3,19),-4.59883 # DEPENDENCYPART_ARC
(3,20),-1.78077 # DEPENDENCYPART_ARC
(3,21),-5.43595 # DEPENDENCYPART_ARC
(3,22),-6.83664 # DEPENDENCYPART_ARC
(3,23),-2.06205 # DEPENDENCYPART_ARC
(3,24),-7.2335 # DEPENDENCYPART_ARC
(3,25),-6.1359 # DEPENDENCYPART_ARC
(3,26),-4.94472 # DEPENDENCYPART_ARC
(3,27),-2.29973 # DEPENDENCYPART_ARC
(4,1),2.00159 # DEPENDENCYPART_ARC
(4,2),2.77758 # DEPENDENCYPART_ARC
(4,3),2.86584 # DEPENDENCYPART_ARC
(4,5),2.02261 # DEPENDENCYPART_ARC
(4,6),-3.78942 # DEPENDENCYPART_ARC
(4,7),-0.917997 # DEPENDENCYPART_ARC
(4,8),0.0166714 # DEPENDENCYPART_ARC
(4,9),0.0740771 # DEPENDENCYPART_ARC
(4,10),0.150943 # DEPENDENCYPART_ARC
(4,11),-3.20832 # DEPENDENCYPART_ARC
(4,12),-3.47971 # DEPENDENCYPART_ARC
(4,13),-1.95271 # DEPENDENCYPART_ARC
(4,14),-3.45791 # DEPENDENCYPART_ARC
(4,15),-1.80285 # DEPENDENCYPART_ARC
(4,16),-2.43141 # DEPENDENCYPART_ARC
(4,17),-4.34263 # DEPENDENCYPART_ARC
(4,18),-1.59509 # DEPENDENCYPART_ARC
(4,19),-5.62843 # DEPENDENCYPART_ARC
(4,20),-0.924448 # DEPENDENCYPART_ARC
(4,22),-5.32985 # DEPENDENCYPART_ARC
(4,23),-2.621 # DEPENDENCYPART_ARC
(4,24),-7.79145 # DEPENDENCYPART_ARC
(4,25),-7.76713 # DEPENDENCYPART_ARC
(4,26),-5.21142 # DEPENDENCYPART_ARC
(4,27),-1.96925 # DEPENDENCYPART_ARC
(5,1),-0.745445 # DEPENDENCYPART_ARC
(5,2),-1.8971 # DEPENDENCYPART_ARC
(5,3),-1.35471 # DEPENDENCYPART_ARC
(5,6),0.75216 # DEPENDENCYPART_ARC
(5,7),3.87489 # DEPENDENCYPART_ARC
(5,8),-0.20607 # DEPENDENCYPART_ARC
(5,9),-0.268486 # DEPENDENCYPART_ARC
(5,10),-1.66932 # DEPENDENCYPART_ARC
(5,11),-0.978259 # DEPENDENCYPART_ARC
(5,12),-2.33849 # DEPENDENCYPART_ARC
(5,14),-4.80286 # DEPENDENCYPART_ARC
(5,15),-1.79964 # DEPENDENCYPART_ARC
(5,16),-2.75508 # DEPENDENCYPART_ARC
(5,17),-3.29186 # DEPENDENCYPART_ARC
(5,18),-2.57874 # DEPENDENCYPART_ARC
(5,19),-8.052 # DEPENDENCYPART_ARC
(5,20),-3.14386 # DEPENDENCYPART_ARC
