# _root_ avšak hlavním důvodem , proč se nekonají oba špičkové jazzové festivaly , je nedostatek peněz .
#goldHeads=0,3,13,7,7,7,3,11,11,11,7,7,1,13,14,0,
#predictedHeads=13,3,4,7,7,7,1,11,11,11,7,7,0,13,14,0,
(0,1),0.613669 # DEPENDENCYPART_ARC
(0,2),-1.02665 # DEPENDENCYPART_ARC
(0,3),-0.90779 # DEPENDENCYPART_ARC
(0,4),-0.521348 # DEPENDENCYPART_ARC
(0,5),-0.100307 # DEPENDENCYPART_ARC
(0,6),-1.47634 # DEPENDENCYPART_ARC
(0,7),0.105737 # DEPENDENCYPART_ARC
(0,8),-2.1259 # DEPENDENCYPART_ARC
(0,9),-1.99452 # DEPENDENCYPART_ARC
(0,10),-2.00512 # DEPENDENCYPART_ARC
(0,11),-2.05814 # DEPENDENCYPART_ARC
(0,12),-0.547154 # DEPENDENCYPART_ARC
(0,13),0.43355 # DEPENDENCYPART_ARC
(0,14),-3.03854 # DEPENDENCYPART_ARC
(0,15),-3.80211 # DEPENDENCYPART_ARC
(0,16),3.96772 # DEPENDENCYPART_ARC
(1,2),1.72241 # DEPENDENCYPART_ARC
(1,3),0.373817 # DEPENDENCYPART_ARC
(1,4),0.83144 # DEPENDENCYPART_ARC
(1,5),-0.6771 # DEPENDENCYPART_ARC
(1,6),-1.079 # DEPENDENCYPART_ARC
(1,7),0.859437 # DEPENDENCYPART_ARC
(1,8),-0.907097 # DEPENDENCYPART_ARC
(1,9),-1.58774 # DEPENDENCYPART_ARC
(1,10),-1.66797 # DEPENDENCYPART_ARC
(1,11),-2.27261 # DEPENDENCYPART_ARC
(1,12),0.791634 # DEPENDENCYPART_ARC
(1,13),-0.0877025 # DEPENDENCYPART_ARC
(1,14),-3.39805 # DEPENDENCYPART_ARC
(1,15),-3.27477 # DEPENDENCYPART_ARC
(1,16),-1.43656 # DEPENDENCYPART_ARC
(2,1),-0.143027 # DEPENDENCYPART_ARC
(2,3),0.0188978 # DEPENDENCYPART_ARC
(2,4),-0.79404 # DEPENDENCYPART_ARC
(2,5),-0.939807 # DEPENDENCYPART_ARC
(2,6),-1.70898 # DEPENDENCYPART_ARC
(2,7),-2.4121 # DEPENDENCYPART_ARC
(2,8),-1.90836 # DEPENDENCYPART_ARC
(2,9),-5.10372 # DEPENDENCYPART_ARC
(2,10),-5.14364 # DEPENDENCYPART_ARC
(2,11),-4.85332 # DEPENDENCYPART_ARC
(2,12),-1.14571 # DEPENDENCYPART_ARC
(2,13),-3.33647 # DEPENDENCYPART_ARC
(2,14),-6.43525 # DEPENDENCYPART_ARC
(2,15),-6.20176 # DEPENDENCYPART_ARC
(2,16),-3.22953 # DEPENDENCYPART_ARC
(3,1),1.23132 # DEPENDENCYPART_ARC
(3,2),4.59328 # DEPENDENCYPART_ARC
(3,4),-0.104042 # DEPENDENCYPART_ARC
(3,5),0.212128 # DEPENDENCYPART_ARC
(3,6),-1.07896 # DEPENDENCYPART_ARC
(3,7),0.842959 # DEPENDENCYPART_ARC
(3,8),-1.90616 # DEPENDENCYPART_ARC
(3,9),-2.3491 # DEPENDENCYPART_ARC
(3,10),-2.49792 # DEPENDENCYPART_ARC
(3,11),-2.10781 # DEPENDENCYPART_ARC
(3,12),-0.0159914 # DEPENDENCYPART_ARC
(3,13),-1.79338 # DEPENDENCYPART_ARC
(3,14),-3.51071 # DEPENDENCYPART_ARC
(3,15),-1.20387 # DEPENDENCYPART_ARC
(3,16),-4.67728 # DEPENDENCYPART_ARC
(4,1),0.185833 # DEPENDENCYPART_ARC
(4,2),0.487468 # DEPENDENCYPART_ARC
(4,3),0.434359 # DEPENDENCYPART_ARC
(4,5),0.169963 # DEPENDENCYPART_ARC
(4,6),0.277242 # DEPENDENCYPART_ARC
(4,7),0.885454 # DEPENDENCYPART_ARC
(4,8),-0.185584 # DEPENDENCYPART_ARC
