# _root_ Předseda Halík považuje Wintrovo jednání za jistou odplatu Spartě z doby , kdy byl požádán , aby projednal odstupné za sparťanského hráče Františka Kučeru v Chicagu .
#goldHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,19,22,24,24,20,24,25,0,
#predictedHeads=2,3,0,5,3,3,8,6,8,5,10,15,15,15,11,17,15,17,18,19,22,24,24,18,19,25,0,
(0,1),0.00199458 # DEPENDENCYPART_ARC
(0,2),-0.517732 # DEPENDENCYPART_ARC
(0,3),0.983435 # DEPENDENCYPART_ARC
(0,4),-0.844566 # DEPENDENCYPART_ARC
(0,5),-1.47987 # DEPENDENCYPART_ARC
(0,6),-0.453282 # DEPENDENCYPART_ARC
(0,7),-1.63836 # DEPENDENCYPART_ARC
(0,8),-1.7157 # DEPENDENCYPART_ARC
(0,9),-1.22078 # DEPENDENCYPART_ARC
(0,10),-2.34249 # DEPENDENCYPART_ARC
(0,11),-2.60379 # DEPENDENCYPART_ARC
(0,12),-0.147168 # DEPENDENCYPART_ARC
(0,13),-1.63484 # DEPENDENCYPART_ARC
(0,14),0.185815 # DEPENDENCYPART_ARC
(0,15),-0.456888 # DEPENDENCYPART_ARC
(0,16),-0.597283 # DEPENDENCYPART_ARC
(0,17),-3.87129 # DEPENDENCYPART_ARC
(0,18),-1.06344 # DEPENDENCYPART_ARC
(0,19),-4.78751 # DEPENDENCYPART_ARC
(0,20),-4.13384 # DEPENDENCYPART_ARC
(0,21),-3.83186 # DEPENDENCYPART_ARC
(0,22),-4.52393 # DEPENDENCYPART_ARC
(0,23),-4.79979 # DEPENDENCYPART_ARC
(0,24),-4.54806 # DEPENDENCYPART_ARC
(0,25),-5.12759 # DEPENDENCYPART_ARC
(0,26),-4.70141 # DEPENDENCYPART_ARC
(0,27),3.94423 # DEPENDENCYPART_ARC
(1,2),2.08456 # DEPENDENCYPART_ARC
(1,3),-0.73989 # DEPENDENCYPART_ARC
(1,4),-2.55577 # DEPENDENCYPART_ARC
(1,5),-3.60359 # DEPENDENCYPART_ARC
(1,6),-0.323792 # DEPENDENCYPART_ARC
(1,7),-4.15067 # DEPENDENCYPART_ARC
(1,8),-5.0338 # DEPENDENCYPART_ARC
(1,9),-2.40417 # DEPENDENCYPART_ARC
(1,10),-0.201491 # DEPENDENCYPART_ARC
(1,11),-2.49441 # DEPENDENCYPART_ARC
(1,12),-0.938794 # DEPENDENCYPART_ARC
(1,13),-1.04957 # DEPENDENCYPART_ARC
(1,14),-3.29511 # DEPENDENCYPART_ARC
(1,15),-2.97458 # DEPENDENCYPART_ARC
(1,16),-1.64732 # DEPENDENCYPART_ARC
(1,17),-2.19754 # DEPENDENCYPART_ARC
(1,18),-6.36803 # DEPENDENCYPART_ARC
(1,19),-8.55091 # DEPENDENCYPART_ARC
(1,20),-3.51481 # DEPENDENCYPART_ARC
(1,21),-5.26327 # DEPENDENCYPART_ARC
(1,22),-9.17394 # DEPENDENCYPART_ARC
(1,23),-9.52342 # DEPENDENCYPART_ARC
(1,24),-9.68992 # DEPENDENCYPART_ARC
(1,25),-4.10531 # DEPENDENCYPART_ARC
(1,26),-7.40679 # DEPENDENCYPART_ARC
(1,27),-11.4834 # DEPENDENCYPART_ARC
(2,1),5.76478 # DEPENDENCYPART_ARC
(2,3),-0.687345 # DEPENDENCYPART_ARC
(2,4),-2.37601 # DEPENDENCYPART_ARC
