# _root_ Kdo tomu věří i dnes , vidí - stejně jako dřív - svět jako rejdiště ideologů , a útočných záměrů .
#goldHeads=3,3,7,5,3,3,0,9,7,9,10,9,7,15,13,18,18,15,20,18,0,
#predictedHeads=3,3,6,5,3,7,0,9,7,9,10,9,12,9,14,15,18,15,20,18,0,
(0,1),-0.630474 # DEPENDENCYPART_ARC
(0,2),-0.786114 # DEPENDENCYPART_ARC
(0,3),0.195552 # DEPENDENCYPART_ARC
(0,4),-2.094 # DEPENDENCYPART_ARC
(0,5),-1.30805 # DEPENDENCYPART_ARC
(0,6),-0.210038 # DEPENDENCYPART_ARC
(0,7),0.410942 # DEPENDENCYPART_ARC
(0,8),-0.128075 # DEPENDENCYPART_ARC
(0,9),-1.59322 # DEPENDENCYPART_ARC
(0,10),-1.52271 # DEPENDENCYPART_ARC
(0,11),-1.91205 # DEPENDENCYPART_ARC
(0,12),-0.27736 # DEPENDENCYPART_ARC
(0,13),-2.7748 # DEPENDENCYPART_ARC
(0,14),-2.81653 # DEPENDENCYPART_ARC
(0,15),-3.02505 # DEPENDENCYPART_ARC
(0,16),-3.24706 # DEPENDENCYPART_ARC
(0,17),-1.7481 # DEPENDENCYPART_ARC
(0,18),-1.43248 # DEPENDENCYPART_ARC
(0,19),-4.06564 # DEPENDENCYPART_ARC
(0,20),-4.12119 # DEPENDENCYPART_ARC
(0,21),4.20564 # DEPENDENCYPART_ARC
(1,2),1.90856 # DEPENDENCYPART_ARC
(1,3),-0.797195 # DEPENDENCYPART_ARC
(1,4),-0.79004 # DEPENDENCYPART_ARC
(1,5),-1.11101 # DEPENDENCYPART_ARC
(1,6),-0.998956 # DEPENDENCYPART_ARC
(1,7),-2.38714 # DEPENDENCYPART_ARC
(1,8),-1.08279 # DEPENDENCYPART_ARC
(1,9),-1.28299 # DEPENDENCYPART_ARC
(1,10),-2.02026 # DEPENDENCYPART_ARC
(1,11),-1.66338 # DEPENDENCYPART_ARC
(1,12),-1.55947 # DEPENDENCYPART_ARC
(1,13),-2.03921 # DEPENDENCYPART_ARC
(1,14),-3.06899 # DEPENDENCYPART_ARC
(1,15),-2.2255 # DEPENDENCYPART_ARC
(1,16),-2.15006 # DEPENDENCYPART_ARC
(1,17),-1.72651 # DEPENDENCYPART_ARC
(1,18),-2.50232 # DEPENDENCYPART_ARC
(1,19),-2.7521 # DEPENDENCYPART_ARC
(1,20),-2.61783 # DEPENDENCYPART_ARC
(1,21),-2.50689 # DEPENDENCYPART_ARC
(2,1),-0.099345 # DEPENDENCYPART_ARC
(2,3),0.124663 # DEPENDENCYPART_ARC
(2,4),0.286962 # DEPENDENCYPART_ARC
(2,5),-0.0455998 # DEPENDENCYPART_ARC
(2,6),-0.0748852 # DEPENDENCYPART_ARC
(2,7),-1.83174 # DEPENDENCYPART_ARC
(2,8),-0.0942093 # DEPENDENCYPART_ARC
(2,9),-0.949201 # DEPENDENCYPART_ARC
(2,10),-1.19808 # DEPENDENCYPART_ARC
(2,11),-1.46565 # DEPENDENCYPART_ARC
(2,12),-0.497567 # DEPENDENCYPART_ARC
(2,13),-1.84311 # DEPENDENCYPART_ARC
(2,14),-2.06419 # DEPENDENCYPART_ARC
(2,15),-1.84751 # DEPENDENCYPART_ARC
(2,16),-2.56549 # DEPENDENCYPART_ARC
(2,17),-1.05331 # DEPENDENCYPART_ARC
(2,18),-1.92811 # DEPENDENCYPART_ARC
(2,19),-3.34723 # DEPENDENCYPART_ARC
(2,20),-3.00604 # DEPENDENCYPART_ARC
(2,21),-1.63249 # DEPENDENCYPART_ARC
(3,1),2.83672 # DEPENDENCYPART_ARC
(3,2),3.29757 # DEPENDENCYPART_ARC
(3,4),0.0642208 # DEPENDENCYPART_ARC
(3,5),1.65995 # DEPENDENCYPART_ARC
(3,6),1.05698 # DEPENDENCYPART_ARC
(3,7),-0.848825 # DEPENDENCYPART_ARC
(3,8),-0.378928 # DEPENDENCYPART_ARC
(3,9),-0.303743 # DEPENDENCYPART_ARC
(3,10),0.0684466 # DEPENDENCYPART_ARC
(3,11),-0.603727 # DEPENDENCYPART_ARC
(3,12),-0.471641 # DEPENDENCYPART_ARC
(3,13),-2.37838 # DEPENDENCYPART_ARC
(3,14),-0.570964 # DEPENDENCYPART_ARC
(3,15),-2.55912 # DEPENDENCYPART_ARC
