# _root_ Na posezení a debatu s Leonhardem býval čas večer , když se vrátil z mnichovského rozhlasu , děti se odebraly k spánku a v domě byl klid .
#goldHeads=8,3,1,3,3,5,0,7,7,11,7,13,23,13,16,14,23,20,20,23,20,21,11,26,24,23,26,0,
#predictedHeads=7,3,1,3,4,5,0,7,7,11,7,13,11,13,16,14,11,20,20,23,20,21,11,23,24,23,26,0,
(0,1),-0.644946 # DEPENDENCYPART_ARC
(0,2),-0.934852 # DEPENDENCYPART_ARC
(0,3),-0.994028 # DEPENDENCYPART_ARC
(0,4),-1.17807 # DEPENDENCYPART_ARC
(0,5),-0.726811 # DEPENDENCYPART_ARC
(0,6),-2.12063 # DEPENDENCYPART_ARC
(0,7),0.463622 # DEPENDENCYPART_ARC
(0,8),-1.81853 # DEPENDENCYPART_ARC
(0,9),-1.79094 # DEPENDENCYPART_ARC
(0,10),-0.727386 # DEPENDENCYPART_ARC
(0,11),-1.48838 # DEPENDENCYPART_ARC
(0,12),-3.19303 # DEPENDENCYPART_ARC
(0,13),-0.953356 # DEPENDENCYPART_ARC
(0,14),-4.65722 # DEPENDENCYPART_ARC
(0,15),-3.68808 # DEPENDENCYPART_ARC
(0,16),-3.55404 # DEPENDENCYPART_ARC
(0,17),-1.63793 # DEPENDENCYPART_ARC
(0,18),-3.9215 # DEPENDENCYPART_ARC
(0,19),-4.33701 # DEPENDENCYPART_ARC
(0,20),-0.970629 # DEPENDENCYPART_ARC
(0,21),-5.12621 # DEPENDENCYPART_ARC
(0,22),-3.94211 # DEPENDENCYPART_ARC
(0,23),-2.01076 # DEPENDENCYPART_ARC
(0,24),-5.02849 # DEPENDENCYPART_ARC
(0,25),-5.51816 # DEPENDENCYPART_ARC
(0,26),-1.62482 # DEPENDENCYPART_ARC
(0,27),-3.46737 # DEPENDENCYPART_ARC
(0,28),4.77276 # DEPENDENCYPART_ARC
(1,2),3.74091 # DEPENDENCYPART_ARC
(1,3),1.99179 # DEPENDENCYPART_ARC
(1,4),0.256108 # DEPENDENCYPART_ARC
(1,5),-1.29142 # DEPENDENCYPART_ARC
(1,6),-1.83932 # DEPENDENCYPART_ARC
(1,7),-2.07111 # DEPENDENCYPART_ARC
(1,8),-6.26038 # DEPENDENCYPART_ARC
(1,9),-1.17636 # DEPENDENCYPART_ARC
(1,10),-1.54746 # DEPENDENCYPART_ARC
(1,11),-2.44036 # DEPENDENCYPART_ARC
(1,12),-2.90626 # DEPENDENCYPART_ARC
(1,13),-2.64873 # DEPENDENCYPART_ARC
(1,14),-2.29015 # DEPENDENCYPART_ARC
(1,15),-3.91215 # DEPENDENCYPART_ARC
(1,16),-9.74117 # DEPENDENCYPART_ARC
(1,17),-2.19096 # DEPENDENCYPART_ARC
(1,18),-10.3224 # DEPENDENCYPART_ARC
(1,19),-4.84066 # DEPENDENCYPART_ARC
(1,20),-3.10056 # DEPENDENCYPART_ARC
(1,21),-3.09952 # DEPENDENCYPART_ARC
(1,22),-11.5292 # DEPENDENCYPART_ARC
(1,23),-5.15536 # DEPENDENCYPART_ARC
(1,24),-3.23558 # DEPENDENCYPART_ARC
(1,25),-11.5456 # DEPENDENCYPART_ARC
(1,26),-3.73638 # DEPENDENCYPART_ARC
(1,27),-17.103 # DEPENDENCYPART_ARC
(1,28),-4.49589 # DEPENDENCYPART_ARC
(2,1),-0.759704 # DEPENDENCYPART_ARC
(2,3),-0.260349 # DEPENDENCYPART_ARC
(2,4),-0.918347 # DEPENDENCYPART_ARC
(2,5),-0.10633 # DEPENDENCYPART_ARC
(2,6),-2.49836 # DEPENDENCYPART_ARC
(2,7),-2.42217 # DEPENDENCYPART_ARC
(2,8),-4.17429 # DEPENDENCYPART_ARC
(2,9),-1.36893 # DEPENDENCYPART_ARC
(2,10),-1.83608 # DEPENDENCYPART_ARC
(2,11),-2.65625 # DEPENDENCYPART_ARC
(2,12),-1.67811 # DEPENDENCYPART_ARC
(2,13),-4.85112 # DEPENDENCYPART_ARC
(2,14),-3.37745 # DEPENDENCYPART_ARC
(2,15),-5.45456 # DEPENDENCYPART_ARC
(2,16),-2.83309 # DEPENDENCYPART_ARC
(2,17),-2.13107 # DEPENDENCYPART_ARC
(2,18),-4.98016 # DEPENDENCYPART_ARC
(2,19),-2.9163 # DEPENDENCYPART_ARC
(2,20),-5.90906 # DEPENDENCYPART_ARC
(2,21),-4.69345 # DEPENDENCYPART_ARC
(2,22),-6.76511 # DEPENDENCYPART_ARC
(2,23),-3.81297 # DEPENDENCYPART_ARC
(2,24),-5.04212 # DEPENDENCYPART_ARC
(2,25),-6.72574 # DEPENDENCYPART_ARC
(2,26),-8.12831 # DEPENDENCYPART_ARC
(2,27),-9.50091 # DEPENDENCYPART_ARC
(2,28),-11.4714 # DEPENDENCYPART_ARC
(3,1),0.366515 # DEPENDENCYPART_ARC
(3,2),5.38651 # DEPENDENCYPART_ARC
(3,4),3.50929 # DEPENDENCYPART_ARC
(3,5),1.35137 # DEPENDENCYPART_ARC
(3,6),1.21699 # DEPENDENCYPART_ARC
(3,7),0.939544 # DEPENDENCYPART_ARC
(3,8),-0.348783 # DEPENDENCYPART_ARC
(3,9),-0.167904 # DEPENDENCYPART_ARC
(3,10),0.0184371 # DEPENDENCYPART_ARC
(3,11),0.527517 # DEPENDENCYPART_ARC
(3,12),-1.28446 # DEPENDENCYPART_ARC
(3,13),-0.553711 # DEPENDENCYPART_ARC
