# _root_ 2 . etapu ( 201 km , cíl v Galway ) vyhrál Vanderaerden za 5 : 18 : 37 , 2 .
#goldHeads=3,1,12,7,7,5,3,7,8,9,7,0,12,12,18,18,18,14,18,21,19,0,
#predictedHeads=3,1,7,3,3,5,0,7,8,9,7,0,12,12,16,14,18,14,18,16,20,0,
(0,1),0.658033 # DEPENDENCYPART_ARC
(0,2),0.589522 # DEPENDENCYPART_ARC
(0,3),0.00521074 # DEPENDENCYPART_ARC
(0,4),0.470226 # DEPENDENCYPART_ARC
(0,5),0.11015 # DEPENDENCYPART_ARC
(0,6),0.39314 # DEPENDENCYPART_ARC
(0,7),0.465757 # DEPENDENCYPART_ARC
(0,8),-0.538697 # DEPENDENCYPART_ARC
(0,9),-0.123331 # DEPENDENCYPART_ARC
(0,10),0.511104 # DEPENDENCYPART_ARC
(0,11),-1.40695 # DEPENDENCYPART_ARC
(0,12),1.07186 # DEPENDENCYPART_ARC
(0,13),-1.46844 # DEPENDENCYPART_ARC
(0,14),-0.139772 # DEPENDENCYPART_ARC
(0,15),-1.09185 # DEPENDENCYPART_ARC
(0,16),-1.3485 # DEPENDENCYPART_ARC
(0,17),-1.28348 # DEPENDENCYPART_ARC
(0,18),-1.88788 # DEPENDENCYPART_ARC
(0,19),-0.419426 # DEPENDENCYPART_ARC
(0,20),-0.0775637 # DEPENDENCYPART_ARC
(0,21),-0.412663 # DEPENDENCYPART_ARC
(0,22),2.66724 # DEPENDENCYPART_ARC
(1,2),2.63182 # DEPENDENCYPART_ARC
(1,3),-0.946773 # DEPENDENCYPART_ARC
(1,4),-0.917056 # DEPENDENCYPART_ARC
(1,5),-0.972968 # DEPENDENCYPART_ARC
(1,6),-1.90512 # DEPENDENCYPART_ARC
(1,7),-1.40086 # DEPENDENCYPART_ARC
(1,8),-4.04817 # DEPENDENCYPART_ARC
(1,9),-1.46174 # DEPENDENCYPART_ARC
(1,10),-4.00172 # DEPENDENCYPART_ARC
(1,11),-1.27879 # DEPENDENCYPART_ARC
(1,12),-2.56253 # DEPENDENCYPART_ARC
(1,13),-4.83431 # DEPENDENCYPART_ARC
(1,14),-2.05473 # DEPENDENCYPART_ARC
(1,15),-4.43008 # DEPENDENCYPART_ARC
(1,16),-2.7789 # DEPENDENCYPART_ARC
(1,17),-4.12366 # DEPENDENCYPART_ARC
(1,18),-3.30879 # DEPENDENCYPART_ARC
(1,19),-4.73271 # DEPENDENCYPART_ARC
(1,20),-2.09877 # DEPENDENCYPART_ARC
(1,21),-5.70433 # DEPENDENCYPART_ARC
(1,22),-7.72512 # DEPENDENCYPART_ARC
(2,1),-1.0498 # DEPENDENCYPART_ARC
(2,3),-1.23713 # DEPENDENCYPART_ARC
(2,4),-1.56293 # DEPENDENCYPART_ARC
(2,5),-1.81625 # DEPENDENCYPART_ARC
(2,6),-1.65029 # DEPENDENCYPART_ARC
(2,7),-1.47329 # DEPENDENCYPART_ARC
