# _root_ Na to , jaké právní prostředky nápravy bude nutno v konkrétním případě předem vyčerpat , mohou vznikat nejrůznější názory .
#goldHeads=19,1,8,6,6,14,6,2,8,8,12,10,14,8,8,0,16,19,16,0,
#predictedHeads=16,1,8,6,6,14,6,14,8,14,12,10,14,2,14,0,16,19,16,0,
(0,1),-1.20268 # DEPENDENCYPART_ARC
(0,2),-1.04218 # DEPENDENCYPART_ARC
(0,3),-0.168418 # DEPENDENCYPART_ARC
(0,4),-1.82878 # DEPENDENCYPART_ARC
(0,5),-1.91999 # DEPENDENCYPART_ARC
(0,6),-1.46665 # DEPENDENCYPART_ARC
(0,7),-2.57625 # DEPENDENCYPART_ARC
(0,8),0.252708 # DEPENDENCYPART_ARC
(0,9),-1.743 # DEPENDENCYPART_ARC
(0,10),-2.53307 # DEPENDENCYPART_ARC
(0,11),-2.89188 # DEPENDENCYPART_ARC
(0,12),-2.98159 # DEPENDENCYPART_ARC
(0,13),-1.76078 # DEPENDENCYPART_ARC
(0,14),-1.27189 # DEPENDENCYPART_ARC
(0,15),-0.892901 # DEPENDENCYPART_ARC
(0,16),0.0207412 # DEPENDENCYPART_ARC
(0,17),-1.47365 # DEPENDENCYPART_ARC
(0,18),-3.6336 # DEPENDENCYPART_ARC
(0,19),-4.1646 # DEPENDENCYPART_ARC
(0,20),4.2728 # DEPENDENCYPART_ARC
(1,2),3.92179 # DEPENDENCYPART_ARC
(1,3),0.240835 # DEPENDENCYPART_ARC
(1,4),-0.365152 # DEPENDENCYPART_ARC
(1,5),-0.451421 # DEPENDENCYPART_ARC
(1,6),1.83179 # DEPENDENCYPART_ARC
(1,7),-2.05704 # DEPENDENCYPART_ARC
(1,8),-1.64603 # DEPENDENCYPART_ARC
(1,9),-1.59734 # DEPENDENCYPART_ARC
(1,10),-1.74519 # DEPENDENCYPART_ARC
(1,11),-1.76701 # DEPENDENCYPART_ARC
(1,12),-2.07431 # DEPENDENCYPART_ARC
(1,13),-1.53579 # DEPENDENCYPART_ARC
(1,14),-1.79276 # DEPENDENCYPART_ARC
(1,15),-1.83597 # DEPENDENCYPART_ARC
(1,16),-2.43956 # DEPENDENCYPART_ARC
(1,17),-2.05178 # DEPENDENCYPART_ARC
(1,18),-4.29461 # DEPENDENCYPART_ARC
(1,19),-8.53933 # DEPENDENCYPART_ARC
(1,20),-2.92665 # DEPENDENCYPART_ARC
(2,1),0.88684 # DEPENDENCYPART_ARC
(2,3),0.353651 # DEPENDENCYPART_ARC
(2,4),0.198069 # DEPENDENCYPART_ARC
(2,5),-0.438408 # DEPENDENCYPART_ARC
(2,6),-0.193896 # DEPENDENCYPART_ARC
(2,7),-0.445509 # DEPENDENCYPART_ARC
(2,8),0.732172 # DEPENDENCYPART_ARC
(2,9),-0.141663 # DEPENDENCYPART_ARC
(2,10),-0.901761 # DEPENDENCYPART_ARC
(2,11),-1.71577 # DEPENDENCYPART_ARC
(2,12),-1.07501 # DEPENDENCYPART_ARC
(2,13),-0.615292 # DEPENDENCYPART_ARC
(2,14),1.47369 # DEPENDENCYPART_ARC
(2,15),0.0361662 # DEPENDENCYPART_ARC
(2,16),-1.84742 # DEPENDENCYPART_ARC
(2,17),-0.806565 # DEPENDENCYPART_ARC
(2,18),-3.46681 # DEPENDENCYPART_ARC
(2,19),-3.1103 # DEPENDENCYPART_ARC
(2,20),-0.464841 # DEPENDENCYPART_ARC
(3,1),-0.521819 # DEPENDENCYPART_ARC
(3,2),0.268274 # DEPENDENCYPART_ARC
(3,4),0.0632754 # DEPENDENCYPART_ARC
(3,5),0.60783 # DEPENDENCYPART_ARC
(3,6),-0.339796 # DEPENDENCYPART_ARC
(3,7),-0.722812 # DEPENDENCYPART_ARC
(3,8),0.0335919 # DEPENDENCYPART_ARC
(3,9),-1.15582 # DEPENDENCYPART_ARC
(3,10),-1.46574 # DEPENDENCYPART_ARC
(3,11),-0.851169 # DEPENDENCYPART_ARC
(3,12),-2.13505 # DEPENDENCYPART_ARC
(3,13),-1.27869 # DEPENDENCYPART_ARC
(3,14),-0.631634 # DEPENDENCYPART_ARC
(3,15),-0.388567 # DEPENDENCYPART_ARC
(3,16),-1.61425 # DEPENDENCYPART_ARC
(3,17),-1.7062 # DEPENDENCYPART_ARC
(3,18),-2.03796 # DEPENDENCYPART_ARC
(3,19),-4.23217 # DEPENDENCYPART_ARC
(3,20),-1.1983 # DEPENDENCYPART_ARC
(4,1),-0.861141 # DEPENDENCYPART_ARC
(4,2),-0.494193 # DEPENDENCYPART_ARC
(4,3),-0.226189 # DEPENDENCYPART_ARC
(4,5),0.272252 # DEPENDENCYPART_ARC
(4,6),0.0615412 # DEPENDENCYPART_ARC
(4,7),-0.837216 # DEPENDENCYPART_ARC
(4,8),-2.27891 # DEPENDENCYPART_ARC
(4,9),-1.35861 # DEPENDENCYPART_ARC
(4,10),-0.890389 # DEPENDENCYPART_ARC
(4,11),-2.47466 # DEPENDENCYPART_ARC
(4,12),-1.06366 # DEPENDENCYPART_ARC
(4,13),-1.42168 # DEPENDENCYPART_ARC
(4,14),-1.90008 # DEPENDENCYPART_ARC
(4,15),-1.35486 # DEPENDENCYPART_ARC
(4,16),-4.56611 # DEPENDENCYPART_ARC
(4,17),-3.92196 # DEPENDENCYPART_ARC
(4,18),-3.57941 # DEPENDENCYPART_ARC
(4,19),-3.05203 # DEPENDENCYPART_ARC
(4,20),-1.79328 # DEPENDENCYPART_ARC
(5,1),0.0167821 # DEPENDENCYPART_ARC
(5,2),-0.60778 # DEPENDENCYPART_ARC
(5,3),-0.0530215 # DEPENDENCYPART_ARC
(5,4),1.57559 # DEPENDENCYPART_ARC
(5,6),-0.31647 # DEPENDENCYPART_ARC
(5,7),-0.482331 # DEPENDENCYPART_ARC
(5,8),-2.63955 # DEPENDENCYPART_ARC
(5,9),-2.51573 # DEPENDENCYPART_ARC
(5,10),-0.993669 # DEPENDENCYPART_ARC
(5,11),-3.49934 # DEPENDENCYPART_ARC
(5,12),-2.66611 # DEPENDENCYPART_ARC
(5,13),-1.26353 # DEPENDENCYPART_ARC
(5,14),-1.11118 # DEPENDENCYPART_ARC
(5,15),-0.844839 # DEPENDENCYPART_ARC
(5,16),-3.8645 # DEPENDENCYPART_ARC
(5,17),-2.02671 # DEPENDENCYPART_ARC
(5,18),-4.72426 # DEPENDENCYPART_ARC
(5,19),-6.47456 # DEPENDENCYPART_ARC
(5,20),-3.02621 # DEPENDENCYPART_ARC
(6,1),0.0298055 # DEPENDENCYPART_ARC
(6,2),-0.235343 # DEPENDENCYPART_ARC
(6,3),0.384904 # DEPENDENCYPART_ARC
(6,4),4.0183 # DEPENDENCYPART_ARC
(6,5),4.59279 # DEPENDENCYPART_ARC
(6,7),4.32568 # DEPENDENCYPART_ARC
(6,8),-0.729116 # DEPENDENCYPART_ARC
(6,9),-2.38145 # DEPENDENCYPART_ARC
(6,10),0.180136 # DEPENDENCYPART_ARC
(6,11),-1.712 # DEPENDENCYPART_ARC
(6,12),-0.596039 # DEPENDENCYPART_ARC
(6,13),-0.280157 # DEPENDENCYPART_ARC
(6,14),-0.901604 # DEPENDENCYPART_ARC
(6,15),-0.988008 # DEPENDENCYPART_ARC
(6,16),-3.754 # DEPENDENCYPART_ARC
(6,17),-2.96818 # DEPENDENCYPART_ARC
(6,18),-4.52386 # DEPENDENCYPART_ARC
(6,19),-4.87605 # DEPENDENCYPART_ARC
(6,20),-4.92035 # DEPENDENCYPART_ARC
(7,1),-0.695994 # DEPENDENCYPART_ARC
(7,2),-1.8695 # DEPENDENCYPART_ARC
(7,3),-0.605086 # DEPENDENCYPART_ARC
(7,4),-2.2744 # DEPENDENCYPART_ARC
(7,5),-3.15667 # DEPENDENCYPART_ARC
(7,6),-1.87409 # DEPENDENCYPART_ARC
(7,8),-0.687207 # DEPENDENCYPART_ARC
(7,9),-0.824954 # DEPENDENCYPART_ARC
(7,10),-0.132962 # DEPENDENCYPART_ARC
(7,11),-2.67756 # DEPENDENCYPART_ARC
(7,12),-1.68981 # DEPENDENCYPART_ARC
(7,13),-0.708458 # DEPENDENCYPART_ARC
(7,14),-1.83368 # DEPENDENCYPART_ARC
(7,15),-1.25278 # DEPENDENCYPART_ARC
(7,16),-5.03541 # DEPENDENCYPART_ARC
(7,17),-3.57079 # DEPENDENCYPART_ARC
(7,18),-7.19758 # DEPENDENCYPART_ARC
(7,19),-4.61571 # DEPENDENCYPART_ARC
(7,20),-4.85288 # DEPENDENCYPART_ARC
(8,1),0.786999 # DEPENDENCYPART_ARC
(8,2),-2.3197 # DEPENDENCYPART_ARC
(8,3),1.27621 # DEPENDENCYPART_ARC
(8,4),-0.966301 # DEPENDENCYPART_ARC
(8,5),-2.63006 # DEPENDENCYPART_ARC
(8,6),-0.422824 # DEPENDENCYPART_ARC
(8,7),-1.71572 # DEPENDENCYPART_ARC
(8,9),4.59664 # DEPENDENCYPART_ARC
(8,10),0.825975 # DEPENDENCYPART_ARC
(8,11),-2.25475 # DEPENDENCYPART_ARC
(8,12),0.495345 # DEPENDENCYPART_ARC
(8,13),0.48569 # DEPENDENCYPART_ARC
(8,14),0.881189 # DEPENDENCYPART_ARC
(8,15),0.298932 # DEPENDENCYPART_ARC
(8,16),-2.60743 # DEPENDENCYPART_ARC
(8,17),-1.38897 # DEPENDENCYPART_ARC
(8,18),-3.21178 # DEPENDENCYPART_ARC
(8,19),-2.29652 # DEPENDENCYPART_ARC
(8,20),-1.03396 # DEPENDENCYPART_ARC
(9,1),0.0511867 # DEPENDENCYPART_ARC
(9,2),-0.501919 # DEPENDENCYPART_ARC
(9,3),-0.259651 # DEPENDENCYPART_ARC
(9,4),-0.672994 # DEPENDENCYPART_ARC
(9,5),-1.98252 # DEPENDENCYPART_ARC
(9,6),-0.335849 # DEPENDENCYPART_ARC
(9,7),-0.345471 # DEPENDENCYPART_ARC
(9,8),1.84959 # DEPENDENCYPART_ARC
(9,10),1.10804 # DEPENDENCYPART_ARC
(9,11),-0.365324 # DEPENDENCYPART_ARC
(9,12),-0.311488 # DEPENDENCYPART_ARC
(9,13),0.204271 # DEPENDENCYPART_ARC
(9,14),0.380884 # DEPENDENCYPART_ARC
(9,15),0.312097 # DEPENDENCYPART_ARC
(9,16),-2.62838 # DEPENDENCYPART_ARC
(9,17),-0.676794 # DEPENDENCYPART_ARC
(9,18),-2.6774 # DEPENDENCYPART_ARC
(9,19),-3.34858 # DEPENDENCYPART_ARC
(9,20),-1.34393 # DEPENDENCYPART_ARC
(10,1),-3.55386 # DEPENDENCYPART_ARC
(10,2),-1.95036 # DEPENDENCYPART_ARC
(10,3),-2.08376 # DEPENDENCYPART_ARC
(10,4),-2.31303 # DEPENDENCYPART_ARC
(10,5),-2.79607 # DEPENDENCYPART_ARC
(10,6),-3.48892 # DEPENDENCYPART_ARC
(10,7),-2.42024 # DEPENDENCYPART_ARC
(10,8),-1.88588 # DEPENDENCYPART_ARC
(10,9),-0.625405 # DEPENDENCYPART_ARC
(10,11),1.33344 # DEPENDENCYPART_ARC
(10,12),4.72302 # DEPENDENCYPART_ARC
(10,13),-0.281809 # DEPENDENCYPART_ARC
(10,14),-0.821965 # DEPENDENCYPART_ARC
(10,15),-0.967372 # DEPENDENCYPART_ARC
(10,16),-1.50228 # DEPENDENCYPART_ARC
(10,17),-1.47986 # DEPENDENCYPART_ARC
(10,18),-3.0927 # DEPENDENCYPART_ARC
(10,19),-4.39709 # DEPENDENCYPART_ARC
(10,20),-2.32234 # DEPENDENCYPART_ARC
(11,1),-2.20513 # DEPENDENCYPART_ARC
(11,2),-2.78681 # DEPENDENCYPART_ARC
(11,3),-2.11117 # DEPENDENCYPART_ARC
(11,4),-2.5085 # DEPENDENCYPART_ARC
(11,5),-5.20621 # DEPENDENCYPART_ARC
(11,6),-2.92164 # DEPENDENCYPART_ARC
(11,7),-3.4618 # DEPENDENCYPART_ARC
(11,8),-2.43574 # DEPENDENCYPART_ARC
(11,9),-1.82238 # DEPENDENCYPART_ARC
(11,10),-0.633006 # DEPENDENCYPART_ARC
(11,12),-0.372011 # DEPENDENCYPART_ARC
(11,13),-1.14265 # DEPENDENCYPART_ARC
(11,14),-1.40669 # DEPENDENCYPART_ARC
(11,15),-1.50303 # DEPENDENCYPART_ARC
(11,16),-3.5869 # DEPENDENCYPART_ARC
(11,17),-2.62243 # DEPENDENCYPART_ARC
(11,18),-5.62959 # DEPENDENCYPART_ARC
(11,19),-5.11224 # DEPENDENCYPART_ARC
(11,20),-2.54375 # DEPENDENCYPART_ARC
(12,1),0.244578 # DEPENDENCYPART_ARC
(12,2),-1.20101 # DEPENDENCYPART_ARC
(12,3),-0.812852 # DEPENDENCYPART_ARC
(12,4),-0.944551 # DEPENDENCYPART_ARC
(12,5),-2.71422 # DEPENDENCYPART_ARC
(12,6),-2.6757 # DEPENDENCYPART_ARC
(12,7),-1.80329 # DEPENDENCYPART_ARC
(12,8),-1.38142 # DEPENDENCYPART_ARC
(12,9),-0.408476 # DEPENDENCYPART_ARC
(12,10),1.56251 # DEPENDENCYPART_ARC
(12,11),5.75537 # DEPENDENCYPART_ARC
(12,13),0.572997 # DEPENDENCYPART_ARC
(12,14),-0.127699 # DEPENDENCYPART_ARC
(12,15),-0.712111 # DEPENDENCYPART_ARC
(12,16),-3.38587 # DEPENDENCYPART_ARC
(12,17),-1.93236 # DEPENDENCYPART_ARC
(12,18),-4.37095 # DEPENDENCYPART_ARC
(12,19),-3.44211 # DEPENDENCYPART_ARC
(12,20),-2.29045 # DEPENDENCYPART_ARC
(13,1),-2.13793 # DEPENDENCYPART_ARC
(13,2),-1.41971 # DEPENDENCYPART_ARC
(13,3),-1.57535 # DEPENDENCYPART_ARC
(13,4),-1.28005 # DEPENDENCYPART_ARC
(13,5),-1.74497 # DEPENDENCYPART_ARC
(13,6),-1.89507 # DEPENDENCYPART_ARC
(13,7),-1.50768 # DEPENDENCYPART_ARC
(13,8),-1.14317 # DEPENDENCYPART_ARC
(13,9),-0.977758 # DEPENDENCYPART_ARC
(13,10),-0.284627 # DEPENDENCYPART_ARC
(13,11),-0.321748 # DEPENDENCYPART_ARC
(13,12),-1.06965 # DEPENDENCYPART_ARC
(13,14),-0.13124 # DEPENDENCYPART_ARC
(13,15),-0.806682 # DEPENDENCYPART_ARC
(13,16),-1.18295 # DEPENDENCYPART_ARC
(13,17),-1.40589 # DEPENDENCYPART_ARC
(13,18),-1.34821 # DEPENDENCYPART_ARC
(13,19),-2.30747 # DEPENDENCYPART_ARC
(13,20),-1.21738 # DEPENDENCYPART_ARC
(14,1),1.62211 # DEPENDENCYPART_ARC
(14,2),0.00823543 # DEPENDENCYPART_ARC
(14,3),0.739603 # DEPENDENCYPART_ARC
(14,4),1.98955 # DEPENDENCYPART_ARC
(14,5),-0.8269 # DEPENDENCYPART_ARC
(14,6),2.25507 # DEPENDENCYPART_ARC
(14,7),-0.128486 # DEPENDENCYPART_ARC
(14,8),1.83699 # DEPENDENCYPART_ARC
(14,9),-0.94331 # DEPENDENCYPART_ARC
(14,10),1.38075 # DEPENDENCYPART_ARC
(14,11),-1.0954 # DEPENDENCYPART_ARC
(14,12),2.03721 # DEPENDENCYPART_ARC
(14,13),2.37607 # DEPENDENCYPART_ARC
(14,15),1.07197 # DEPENDENCYPART_ARC
(14,16),-0.272766 # DEPENDENCYPART_ARC
