# _root_ Ptáte se , zda to byl Burdys , nebo Pouzar .
#goldHeads=0,1,4,1,6,4,9,9,6,9,0,
#predictedHeads=0,1,4,1,6,4,6,9,7,9,0,
(0,1),0.425907 # DEPENDENCYPART_ARC
(0,2),-1.31385 # DEPENDENCYPART_ARC
(0,3),-0.443481 # DEPENDENCYPART_ARC
(0,4),-1.60888 # DEPENDENCYPART_ARC
(0,5),-1.65929 # DEPENDENCYPART_ARC
(0,6),-1.28391 # DEPENDENCYPART_ARC
(0,7),-2.6908 # DEPENDENCYPART_ARC
(0,8),-0.960274 # DEPENDENCYPART_ARC
(0,9),-1.86387 # DEPENDENCYPART_ARC
(0,10),-3.18954 # DEPENDENCYPART_ARC
(0,11),3.78682 # DEPENDENCYPART_ARC
(1,2),3.90227 # DEPENDENCYPART_ARC
(1,3),0.37254 # DEPENDENCYPART_ARC
(1,4),1.65266 # DEPENDENCYPART_ARC
(1,5),-0.261077 # DEPENDENCYPART_ARC
(1,6),-0.893224 # DEPENDENCYPART_ARC
(1,7),-1.33533 # DEPENDENCYPART_ARC
(1,8),0.101996 # DEPENDENCYPART_ARC
(1,9),0.73408 # DEPENDENCYPART_ARC
(1,10),-2.68984 # DEPENDENCYPART_ARC
(1,11),-0.348225 # DEPENDENCYPART_ARC
(2,1),-1.55139 # DEPENDENCYPART_ARC
(2,3),-1.50234 # DEPENDENCYPART_ARC
(2,4),-0.752683 # DEPENDENCYPART_ARC
(2,5),-3.14285 # DEPENDENCYPART_ARC
(2,6),-2.06756 # DEPENDENCYPART_ARC
(2,7),-2.26246 # DEPENDENCYPART_ARC
(2,8),-1.34933 # DEPENDENCYPART_ARC
(2,9),-2.06482 # DEPENDENCYPART_ARC
(2,10),-2.34335 # DEPENDENCYPART_ARC
(2,11),-2.02977 # DEPENDENCYPART_ARC
(3,1),-0.536236 # DEPENDENCYPART_ARC
(3,2),0.35309 # DEPENDENCYPART_ARC
(3,4),0.399433 # DEPENDENCYPART_ARC
