# _root_ Dochovala se v podobě překrásného iluminovaného rukopisu , v němž jsou nejen popsány , ale i vyobrazeny scény ze středověkého městského dění .
#goldHeads=0,1,1,3,7,7,4,11,11,9,7,13,15,15,11,17,15,11,18,22,22,19,0,
#predictedHeads=0,1,1,3,7,7,4,11,13,9,13,13,15,15,1,17,15,17,18,22,22,19,0,
(0,1),0.0149395 # DEPENDENCYPART_ARC
(0,3),-1.63462 # DEPENDENCYPART_ARC
(0,4),-2.74438 # DEPENDENCYPART_ARC
(0,5),-2.66679 # DEPENDENCYPART_ARC
(0,6),-2.96865 # DEPENDENCYPART_ARC
(0,7),-3.16945 # DEPENDENCYPART_ARC
(0,8),-0.980733 # DEPENDENCYPART_ARC
(0,9),-2.94703 # DEPENDENCYPART_ARC
(0,11),-1.41795 # DEPENDENCYPART_ARC
(0,12),-1.54779 # DEPENDENCYPART_ARC
(0,13),-1.48016 # DEPENDENCYPART_ARC
(0,14),-1.41893 # DEPENDENCYPART_ARC
(0,15),-0.943541 # DEPENDENCYPART_ARC
(0,16),-4.05256 # DEPENDENCYPART_ARC
(0,17),-2.62595 # DEPENDENCYPART_ARC
(0,18),-4.84503 # DEPENDENCYPART_ARC
(0,19),-5.85277 # DEPENDENCYPART_ARC
(0,20),-5.07033 # DEPENDENCYPART_ARC
(0,21),-4.94825 # DEPENDENCYPART_ARC
(0,22),-5.5622 # DEPENDENCYPART_ARC
(0,23),4.4393 # DEPENDENCYPART_ARC
(1,2),3.94137 # DEPENDENCYPART_ARC
(1,3),2.11582 # DEPENDENCYPART_ARC
(1,4),0.157374 # DEPENDENCYPART_ARC
(1,5),-1.84193 # DEPENDENCYPART_ARC
(1,6),-2.75816 # DEPENDENCYPART_ARC
(1,7),-0.102591 # DEPENDENCYPART_ARC
(1,8),0.047036 # DEPENDENCYPART_ARC
(1,9),-0.0638961 # DEPENDENCYPART_ARC
(1,11),-1.50995 # DEPENDENCYPART_ARC
(1,12),-0.851372 # DEPENDENCYPART_ARC
(1,13),-0.522835 # DEPENDENCYPART_ARC
(1,14),-0.391863 # DEPENDENCYPART_ARC
(1,15),0.424082 # DEPENDENCYPART_ARC
(1,16),-1.18407 # DEPENDENCYPART_ARC
(1,17),-2.51726 # DEPENDENCYPART_ARC
(1,18),-2.17271 # DEPENDENCYPART_ARC
(1,19),-1.63419 # DEPENDENCYPART_ARC
(1,20),-6.46128 # DEPENDENCYPART_ARC
(1,21),-7.03344 # DEPENDENCYPART_ARC
(1,22),-4.21917 # DEPENDENCYPART_ARC
(1,23),-1.13247 # DEPENDENCYPART_ARC
(3,1),-2.04352 # DEPENDENCYPART_ARC
(3,4),3.05865 # DEPENDENCYPART_ARC
(3,5),-1.97881 # DEPENDENCYPART_ARC
(3,6),-2.56624 # DEPENDENCYPART_ARC
(3,7),-2.64429 # DEPENDENCYPART_ARC
(3,8),-0.539229 # DEPENDENCYPART_ARC
(3,9),-2.54896 # DEPENDENCYPART_ARC
(3,10),-1.53488 # DEPENDENCYPART_ARC
(3,11),-2.33907 # DEPENDENCYPART_ARC
(3,12),-1.57358 # DEPENDENCYPART_ARC
(3,14),-2.44304 # DEPENDENCYPART_ARC
(3,15),-1.95543 # DEPENDENCYPART_ARC
(3,16),-3.75416 # DEPENDENCYPART_ARC
(3,18),-8.02976 # DEPENDENCYPART_ARC
(3,19),-3.2193 # DEPENDENCYPART_ARC
(3,20),-4.2906 # DEPENDENCYPART_ARC
(3,21),-4.4173 # DEPENDENCYPART_ARC
(3,22),-8.70726 # DEPENDENCYPART_ARC
(3,23),-4.22114 # DEPENDENCYPART_ARC
(4,1),-3.41535 # DEPENDENCYPART_ARC
(4,2),-1.88017 # DEPENDENCYPART_ARC
(4,3),2.4241 # DEPENDENCYPART_ARC
(4,5),-0.337508 # DEPENDENCYPART_ARC
(4,6),-1.04214 # DEPENDENCYPART_ARC
(4,7),2.17884 # DEPENDENCYPART_ARC
(4,8),-0.0289127 # DEPENDENCYPART_ARC
(4,9),-0.451922 # DEPENDENCYPART_ARC
(4,10),-1.47083 # DEPENDENCYPART_ARC
(4,11),-0.252769 # DEPENDENCYPART_ARC
(4,12),-0.172677 # DEPENDENCYPART_ARC
(4,13),-0.746859 # DEPENDENCYPART_ARC
(4,14),-0.4975 # DEPENDENCYPART_ARC
(4,15),0.0429882 # DEPENDENCYPART_ARC
(4,16),-1.68486 # DEPENDENCYPART_ARC
(4,17),-3.01583 # DEPENDENCYPART_ARC
(4,18),-5.30726 # DEPENDENCYPART_ARC
(4,19),-1.30457 # DEPENDENCYPART_ARC
(4,20),-4.99907 # DEPENDENCYPART_ARC
(4,21),-4.61243 # DEPENDENCYPART_ARC
(4,22),-3.29545 # DEPENDENCYPART_ARC
(4,23),-6.04307 # DEPENDENCYPART_ARC
(5,1),-5.02179 # DEPENDENCYPART_ARC
(5,2),-0.704601 # DEPENDENCYPART_ARC
(5,3),-0.0444721 # DEPENDENCYPART_ARC
(5,4),-1.85659 # DEPENDENCYPART_ARC
(5,6),-1.98689 # DEPENDENCYPART_ARC
(5,7),0.371709 # DEPENDENCYPART_ARC
(5,8),-0.413317 # DEPENDENCYPART_ARC
(5,9),-0.533092 # DEPENDENCYPART_ARC
(5,11),-2.03098 # DEPENDENCYPART_ARC
(5,12),-1.07895 # DEPENDENCYPART_ARC
(5,13),-2.54607 # DEPENDENCYPART_ARC
(5,14),-1.40583 # DEPENDENCYPART_ARC
(5,15),-1.10377 # DEPENDENCYPART_ARC
(5,16),-1.51521 # DEPENDENCYPART_ARC
(5,17),-3.30079 # DEPENDENCYPART_ARC
(5,18),-4.11248 # DEPENDENCYPART_ARC
(5,19),-1.8736 # DEPENDENCYPART_ARC
(5,20),-5.41743 # DEPENDENCYPART_ARC
(5,21),-5.51755 # DEPENDENCYPART_ARC
(5,22),-4.15358 # DEPENDENCYPART_ARC
(5,23),-3.15217 # DEPENDENCYPART_ARC
(6,1),-5.2835 # DEPENDENCYPART_ARC
(6,2),-0.983394 # DEPENDENCYPART_ARC
(6,3),-0.678483 # DEPENDENCYPART_ARC
(6,4),-2.79187 # DEPENDENCYPART_ARC
(6,5),-0.712267 # DEPENDENCYPART_ARC
(6,7),-0.696107 # DEPENDENCYPART_ARC
(6,8),-0.617979 # DEPENDENCYPART_ARC
(6,9),-1.06907 # DEPENDENCYPART_ARC
(6,11),-2.31814 # DEPENDENCYPART_ARC
(6,12),-1.46467 # DEPENDENCYPART_ARC
