# _root_ Pro pedagogický dozor může být potěšující , že jejich účast při soutěžích bude odměňována podle zákona o cestovních náhradách , a v tomto směru jsou postaveni na roveň ostatním pracovníkům vyslaným na služební cestu .
#goldHeads=4,3,1,21,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,8,0,25,24,22,21,25,26,27,30,28,30,31,34,32,0,
#predictedHeads=4,3,1,0,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,21,14,26,24,22,21,25,26,27,30,26,30,31,34,32,0,
(0,1),-0.886763 # DEPENDENCYPART_ARC
(0,2),-0.723072 # DEPENDENCYPART_ARC
(0,3),-1.17018 # DEPENDENCYPART_ARC
(0,4),0.539177 # DEPENDENCYPART_ARC
(0,5),-0.317164 # DEPENDENCYPART_ARC
(0,6),-1.49034 # DEPENDENCYPART_ARC
(0,7),-0.280279 # DEPENDENCYPART_ARC
(0,8),-3.27271 # DEPENDENCYPART_ARC
(0,9),-1.54975 # DEPENDENCYPART_ARC
(0,10),-2.64038 # DEPENDENCYPART_ARC
(0,11),-2.38703 # DEPENDENCYPART_ARC
(0,12),-4.43642 # DEPENDENCYPART_ARC
(0,13),-0.319103 # DEPENDENCYPART_ARC
(0,14),-1.09707 # DEPENDENCYPART_ARC
(0,15),-4.81178 # DEPENDENCYPART_ARC
(0,16),-4.92803 # DEPENDENCYPART_ARC
(0,17),-5.33145 # DEPENDENCYPART_ARC
(0,18),-4.11042 # DEPENDENCYPART_ARC
(0,19),-4.88478 # DEPENDENCYPART_ARC
(0,20),-0.885682 # DEPENDENCYPART_ARC
(0,21),-0.878688 # DEPENDENCYPART_ARC
(0,22),-6.21505 # DEPENDENCYPART_ARC
(0,23),-2.84289 # DEPENDENCYPART_ARC
(0,24),-5.79134 # DEPENDENCYPART_ARC
(0,25),-2.39539 # DEPENDENCYPART_ARC
(0,26),-2.23866 # DEPENDENCYPART_ARC
(0,27),-8.98295 # DEPENDENCYPART_ARC
(0,28),-6.46836 # DEPENDENCYPART_ARC
(0,29),-5.25475 # DEPENDENCYPART_ARC
(0,30),-6.25525 # DEPENDENCYPART_ARC
(0,31),-5.83489 # DEPENDENCYPART_ARC
(0,32),-9.9247 # DEPENDENCYPART_ARC
(0,33),-5.46993 # DEPENDENCYPART_ARC
(0,34),-6.94044 # DEPENDENCYPART_ARC
(0,35),5.3634 # DEPENDENCYPART_ARC
(1,2),1.70826 # DEPENDENCYPART_ARC
(1,3),4.85433 # DEPENDENCYPART_ARC
(1,4),-0.663078 # DEPENDENCYPART_ARC
(1,5),-0.499404 # DEPENDENCYPART_ARC
(1,6),-1.9657 # DEPENDENCYPART_ARC
(1,7),-1.50685 # DEPENDENCYPART_ARC
(1,8),-1.55382 # DEPENDENCYPART_ARC
(1,9),-3.79272 # DEPENDENCYPART_ARC
(1,10),-5.01397 # DEPENDENCYPART_ARC
(1,11),-1.81163 # DEPENDENCYPART_ARC
(1,12),-3.62053 # DEPENDENCYPART_ARC
(1,13),-1.74748 # DEPENDENCYPART_ARC
(1,14),-1.87706 # DEPENDENCYPART_ARC
(1,15),-2.09166 # DEPENDENCYPART_ARC
(1,16),-8.87225 # DEPENDENCYPART_ARC
(1,17),-2.31387 # DEPENDENCYPART_ARC
(1,18),-3.01124 # DEPENDENCYPART_ARC
(1,19),-8.61469 # DEPENDENCYPART_ARC
(1,20),-3.60836 # DEPENDENCYPART_ARC
(1,21),-6.32928 # DEPENDENCYPART_ARC
(1,22),-2.67696 # DEPENDENCYPART_ARC
(1,23),-4.73562 # DEPENDENCYPART_ARC
(1,24),-9.49392 # DEPENDENCYPART_ARC
(1,25),-2.67485 # DEPENDENCYPART_ARC
(1,26),-2.57669 # DEPENDENCYPART_ARC
(1,27),-3.10385 # DEPENDENCYPART_ARC
