# _root_ Jednotky , které se již stabilizovaly , odvádějí naopak dobré výsledky .
#goldHeads=8,6,6,6,6,1,6,0,8,11,8,0,
#predictedHeads=8,6,6,6,6,1,6,0,8,11,8,0,
(0,1),0.220391 # DEPENDENCYPART_ARC
(0,2),0.263611 # DEPENDENCYPART_ARC
(0,3),-0.75184 # DEPENDENCYPART_ARC
(0,4),-0.727958 # DEPENDENCYPART_ARC
(0,5),-0.116046 # DEPENDENCYPART_ARC
(0,6),0.596205 # DEPENDENCYPART_ARC
(0,7),-0.0157781 # DEPENDENCYPART_ARC
(0,8),0.854195 # DEPENDENCYPART_ARC
(0,9),-0.201336 # DEPENDENCYPART_ARC
(0,10),-2.09311 # DEPENDENCYPART_ARC
(0,11),-2.02533 # DEPENDENCYPART_ARC
(0,12),3.89646 # DEPENDENCYPART_ARC
(1,2),0.487045 # DEPENDENCYPART_ARC
(1,3),0.735206 # DEPENDENCYPART_ARC
(1,4),-0.891625 # DEPENDENCYPART_ARC
(1,5),0.418472 # DEPENDENCYPART_ARC
(1,6),2.64103 # DEPENDENCYPART_ARC
(1,7),0.642513 # DEPENDENCYPART_ARC
(1,8),0.506048 # DEPENDENCYPART_ARC
(1,9),0.121194 # DEPENDENCYPART_ARC
(1,10),-3.13188 # DEPENDENCYPART_ARC
(1,11),-5.28557 # DEPENDENCYPART_ARC
(1,12),-1.3024 # DEPENDENCYPART_ARC
(2,1),-0.230368 # DEPENDENCYPART_ARC
(2,3),-1.08936 # DEPENDENCYPART_ARC
(2,4),-1.1392 # DEPENDENCYPART_ARC
(2,5),-1.15571 # DEPENDENCYPART_ARC
(2,6),-0.144877 # DEPENDENCYPART_ARC
(2,7),-0.904196 # DEPENDENCYPART_ARC
(2,8),-1.23603 # DEPENDENCYPART_ARC
(2,9),-1.63683 # DEPENDENCYPART_ARC
(2,10),-1.97829 # DEPENDENCYPART_ARC
(2,11),-2.79238 # DEPENDENCYPART_ARC
(2,12),-0.998168 # DEPENDENCYPART_ARC
(3,1),-1.65797 # DEPENDENCYPART_ARC
(3,2),-0.4237 # DEPENDENCYPART_ARC
(3,4),-0.197808 # DEPENDENCYPART_ARC
(3,5),-0.330068 # DEPENDENCYPART_ARC
(3,6),-0.327154 # DEPENDENCYPART_ARC
(3,7),-0.479066 # DEPENDENCYPART_ARC
(3,8),-1.63223 # DEPENDENCYPART_ARC
(3,9),-0.943932 # DEPENDENCYPART_ARC
(3,10),-2.81996 # DEPENDENCYPART_ARC
(3,11),-2.38876 # DEPENDENCYPART_ARC
(3,12),-0.730437 # DEPENDENCYPART_ARC
(4,1),-2.62101 # DEPENDENCYPART_ARC
(4,2),-1.45869 # DEPENDENCYPART_ARC
(4,3),-1.32041 # DEPENDENCYPART_ARC
(4,5),-1.10715 # DEPENDENCYPART_ARC
(4,6),-3.07354 # DEPENDENCYPART_ARC
(4,7),-1.96382 # DEPENDENCYPART_ARC
(4,8),-4.22394 # DEPENDENCYPART_ARC
(4,9),-2.42687 # DEPENDENCYPART_ARC
(4,10),-3.03502 # DEPENDENCYPART_ARC
(4,11),-2.47102 # DEPENDENCYPART_ARC
(4,12),-2.24293 # DEPENDENCYPART_ARC
(5,1),-1.85442 # DEPENDENCYPART_ARC
(5,2),-0.86209 # DEPENDENCYPART_ARC
(5,3),-0.919984 # DEPENDENCYPART_ARC
(5,4),-0.570198 # DEPENDENCYPART_ARC
(5,6),-0.812396 # DEPENDENCYPART_ARC
(5,7),-1.26105 # DEPENDENCYPART_ARC
(5,8),-1.81729 # DEPENDENCYPART_ARC
(5,9),-1.58117 # DEPENDENCYPART_ARC
(5,10),-1.995 # DEPENDENCYPART_ARC
(5,11),-2.99377 # DEPENDENCYPART_ARC
(5,12),-1.90964 # DEPENDENCYPART_ARC
(6,1),2.06835 # DEPENDENCYPART_ARC
(6,2),2.25091 # DEPENDENCYPART_ARC
(6,3),3.43608 # DEPENDENCYPART_ARC
(6,4),4.67842 # DEPENDENCYPART_ARC
(6,5),3.22708 # DEPENDENCYPART_ARC
(6,7),1.13214 # DEPENDENCYPART_ARC
(6,8),-0.8829 # DEPENDENCYPART_ARC
(6,9),-0.607099 # DEPENDENCYPART_ARC
(6,10),-2.98063 # DEPENDENCYPART_ARC
(6,11),0.417738 # DEPENDENCYPART_ARC
(6,12),-0.987809 # DEPENDENCYPART_ARC
(7,1),-0.0467796 # DEPENDENCYPART_ARC
(7,2),0.10643 # DEPENDENCYPART_ARC
(7,3),0.751579 # DEPENDENCYPART_ARC
(7,4),0.961434 # DEPENDENCYPART_ARC
(7,5),0.194415 # DEPENDENCYPART_ARC
(7,6),0.903306 # DEPENDENCYPART_ARC
(7,8),0.576421 # DEPENDENCYPART_ARC
(7,9),-0.305911 # DEPENDENCYPART_ARC
(7,10),-0.162854 # DEPENDENCYPART_ARC
(7,11),-1.20809 # DEPENDENCYPART_ARC
(7,12),-0.540593 # DEPENDENCYPART_ARC
(8,1),2.3763 # DEPENDENCYPART_ARC
(8,2),1.2616 # DEPENDENCYPART_ARC
(8,3),2.36413 # DEPENDENCYPART_ARC
(8,4),2.60561 # DEPENDENCYPART_ARC
(8,5),1.50371 # DEPENDENCYPART_ARC
(8,6),0.198098 # DEPENDENCYPART_ARC
(8,7),0.568321 # DEPENDENCYPART_ARC
(8,9),2.11331 # DEPENDENCYPART_ARC
(8,10),-0.652372 # DEPENDENCYPART_ARC
(8,11),3.2896 # DEPENDENCYPART_ARC
(8,12),0.663628 # DEPENDENCYPART_ARC
(9,1),-1.52022 # DEPENDENCYPART_ARC
(9,2),-1.03511 # DEPENDENCYPART_ARC
(9,3),-0.834711 # DEPENDENCYPART_ARC
(9,4),-0.911986 # DEPENDENCYPART_ARC
(9,5),-0.662381 # DEPENDENCYPART_ARC
(9,6),-0.536936 # DEPENDENCYPART_ARC
(9,7),-0.608911 # DEPENDENCYPART_ARC
(9,8),-0.0401075 # DEPENDENCYPART_ARC
(9,10),-0.236007 # DEPENDENCYPART_ARC
(9,11),-0.193513 # DEPENDENCYPART_ARC
(9,12),-0.31304 # DEPENDENCYPART_ARC
(10,1),-5.17953 # DEPENDENCYPART_ARC
(10,2),-1.78337 # DEPENDENCYPART_ARC
(10,3),-3.26607 # DEPENDENCYPART_ARC
(10,4),-1.20422 # DEPENDENCYPART_ARC
(10,5),-0.910491 # DEPENDENCYPART_ARC
(10,6),-2.63666 # DEPENDENCYPART_ARC
(10,7),-1.00371 # DEPENDENCYPART_ARC
(10,8),-3.18827 # DEPENDENCYPART_ARC
(10,9),1.15524 # DEPENDENCYPART_ARC
(10,11),-0.142661 # DEPENDENCYPART_ARC
(10,12),-0.243157 # DEPENDENCYPART_ARC
(11,1),-6.14341 # DEPENDENCYPART_ARC
(11,2),-1.01375 # DEPENDENCYPART_ARC
(11,3),-2.46275 # DEPENDENCYPART_ARC
(11,4),-2.17446 # DEPENDENCYPART_ARC
(11,5),-0.494137 # DEPENDENCYPART_ARC
(11,6),-1.1271 # DEPENDENCYPART_ARC
(11,7),-0.641714 # DEPENDENCYPART_ARC
(11,8),-0.761281 # DEPENDENCYPART_ARC
(11,9),1.00582 # DEPENDENCYPART_ARC
(11,10),4.31074 # DEPENDENCYPART_ARC
(11,12),0.625171 # DEPENDENCYPART_ARC
(12,1),-4.77287 # DEPENDENCYPART_ARC
(12,2),-3.33165 # DEPENDENCYPART_ARC
(12,3),-3.09553 # DEPENDENCYPART_ARC
(12,4),-3.09588 # DEPENDENCYPART_ARC
(12,5),-3.59543 # DEPENDENCYPART_ARC
(12,6),-4.0329 # DEPENDENCYPART_ARC
(12,7),-3.23278 # DEPENDENCYPART_ARC
(12,8),-3.24471 # DEPENDENCYPART_ARC
(12,9),-2.70864 # DEPENDENCYPART_ARC
(12,10),-3.06039 # DEPENDENCYPART_ARC
(12,11),-3.30635 # DEPENDENCYPART_ARC
