# _root_ Zjistil , že se guma dobře váže s kukuřičným sirupem , který je schopen absorbovat prakticky jakoukoliv chuťovou esenci .
#goldHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,17,19,19,15,0,
#predictedHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,15,19,19,15,0,
(0,1),0.0795381 # DEPENDENCYPART_ARC
(0,2),-0.472325 # DEPENDENCYPART_ARC
(0,3),-1.19837 # DEPENDENCYPART_ARC
(0,4),-1.42603 # DEPENDENCYPART_ARC
(0,5),-2.17905 # DEPENDENCYPART_ARC
(0,6),-0.926496 # DEPENDENCYPART_ARC
(0,7),-0.945568 # DEPENDENCYPART_ARC
(0,8),-3.01293 # DEPENDENCYPART_ARC
(0,9),-2.67886 # DEPENDENCYPART_ARC
(0,10),-2.96244 # DEPENDENCYPART_ARC
(0,11),-0.786045 # DEPENDENCYPART_ARC
(0,12),-2.14565 # DEPENDENCYPART_ARC
(0,13),-1.39611 # DEPENDENCYPART_ARC
(0,14),-3.17788 # DEPENDENCYPART_ARC
(0,15),-2.66094 # DEPENDENCYPART_ARC
(0,16),-2.84533 # DEPENDENCYPART_ARC
(0,17),-2.2193 # DEPENDENCYPART_ARC
(0,18),-3.7046 # DEPENDENCYPART_ARC
(0,19),-4.90951 # DEPENDENCYPART_ARC
(0,20),4.57217 # DEPENDENCYPART_ARC
(1,2),0.598338 # DEPENDENCYPART_ARC
(1,3),2.2259 # DEPENDENCYPART_ARC
(1,4),0.148282 # DEPENDENCYPART_ARC
(1,5),-0.543505 # DEPENDENCYPART_ARC
(1,6),0.00231073 # DEPENDENCYPART_ARC
(1,7),-1.18815 # DEPENDENCYPART_ARC
(1,8),-0.577469 # DEPENDENCYPART_ARC
(1,9),-3.58132 # DEPENDENCYPART_ARC
(1,10),-1.52437 # DEPENDENCYPART_ARC
(1,11),-0.35759 # DEPENDENCYPART_ARC
(1,12),-3.50939 # DEPENDENCYPART_ARC
(1,13),-1.35738 # DEPENDENCYPART_ARC
(1,14),-1.5375 # DEPENDENCYPART_ARC
(1,15),-1.05136 # DEPENDENCYPART_ARC
(1,16),-1.85249 # DEPENDENCYPART_ARC
(1,17),-4.42193 # DEPENDENCYPART_ARC
(1,18),-7.54088 # DEPENDENCYPART_ARC
(1,19),-3.55996 # DEPENDENCYPART_ARC
(1,20),-0.937819 # DEPENDENCYPART_ARC
(2,1),-0.811564 # DEPENDENCYPART_ARC
(2,3),0.223462 # DEPENDENCYPART_ARC
(2,4),-1.05471 # DEPENDENCYPART_ARC
(2,5),-1.4329 # DEPENDENCYPART_ARC
(2,6),-1.02726 # DEPENDENCYPART_ARC
(2,7),-0.508061 # DEPENDENCYPART_ARC
(2,8),-2.07936 # DEPENDENCYPART_ARC
(2,9),-1.64438 # DEPENDENCYPART_ARC
(2,10),-2.82312 # DEPENDENCYPART_ARC
(2,11),-1.25037 # DEPENDENCYPART_ARC
(2,12),-2.13806 # DEPENDENCYPART_ARC
(2,13),-1.61767 # DEPENDENCYPART_ARC
(2,14),-2.64585 # DEPENDENCYPART_ARC
(2,15),-2.27778 # DEPENDENCYPART_ARC
(2,16),-2.59846 # DEPENDENCYPART_ARC
(2,17),-2.54772 # DEPENDENCYPART_ARC
(2,18),-2.38315 # DEPENDENCYPART_ARC
