# _root_ Podstatné je , že tyto peníze nejdou z podstaty , ale z lepších než očekávaných výsledků hospodaření .
#goldHeads=2,0,4,2,6,7,4,11,8,11,7,11,16,13,14,12,16,0,
#predictedHeads=2,0,4,2,6,7,4,7,8,11,7,11,12,13,14,12,16,0,
(0,1),-0.458973 # DEPENDENCYPART_ARC
(0,2),0.255148 # DEPENDENCYPART_ARC
(0,3),0.179326 # DEPENDENCYPART_ARC
(0,4),-1.61192 # DEPENDENCYPART_ARC
(0,5),-1.62518 # DEPENDENCYPART_ARC
(0,6),-2.8967 # DEPENDENCYPART_ARC
(0,7),-0.341228 # DEPENDENCYPART_ARC
(0,8),-2.86424 # DEPENDENCYPART_ARC
(0,9),-3.54984 # DEPENDENCYPART_ARC
(0,10),-0.556946 # DEPENDENCYPART_ARC
(0,11),0.482754 # DEPENDENCYPART_ARC
(0,12),-3.52917 # DEPENDENCYPART_ARC
(0,13),-4.23364 # DEPENDENCYPART_ARC
(0,14),-4.47392 # DEPENDENCYPART_ARC
(0,15),-4.26361 # DEPENDENCYPART_ARC
(0,16),-4.1758 # DEPENDENCYPART_ARC
(0,17),-3.69726 # DEPENDENCYPART_ARC
(0,18),3.88227 # DEPENDENCYPART_ARC
(1,2),-1.17273 # DEPENDENCYPART_ARC
(1,3),-1.05217 # DEPENDENCYPART_ARC
(1,4),-0.371342 # DEPENDENCYPART_ARC
(1,5),-2.68244 # DEPENDENCYPART_ARC
(1,6),-2.89437 # DEPENDENCYPART_ARC
(1,7),-3.71281 # DEPENDENCYPART_ARC
(1,8),-1.86354 # DEPENDENCYPART_ARC
(1,9),-4.16685 # DEPENDENCYPART_ARC
(1,10),-1.55093 # DEPENDENCYPART_ARC
(1,11),-1.76785 # DEPENDENCYPART_ARC
(1,12),-3.15355 # DEPENDENCYPART_ARC
(1,13),-5.57005 # DEPENDENCYPART_ARC
(1,14),-1.01644 # DEPENDENCYPART_ARC
(1,15),-5.03093 # DEPENDENCYPART_ARC
(1,16),-4.53207 # DEPENDENCYPART_ARC
(1,17),-6.31011 # DEPENDENCYPART_ARC
(1,18),-3.28194 # DEPENDENCYPART_ARC
(2,1),3.06646 # DEPENDENCYPART_ARC
(2,3),0.691206 # DEPENDENCYPART_ARC
(2,4),2.064 # DEPENDENCYPART_ARC
(2,5),-2.48339 # DEPENDENCYPART_ARC
(2,6),-1.28142 # DEPENDENCYPART_ARC
(2,7),-1.35257 # DEPENDENCYPART_ARC
(2,8),-1.25035 # DEPENDENCYPART_ARC
(2,9),-4.45989 # DEPENDENCYPART_ARC
(2,10),0.0907284 # DEPENDENCYPART_ARC
(2,11),0.163872 # DEPENDENCYPART_ARC
(2,12),-1.58727 # DEPENDENCYPART_ARC
(2,13),-4.8651 # DEPENDENCYPART_ARC
(2,14),-1.77196 # DEPENDENCYPART_ARC
(2,15),-6.51685 # DEPENDENCYPART_ARC
(2,16),-5.12216 # DEPENDENCYPART_ARC
(2,17),-4.95025 # DEPENDENCYPART_ARC
(2,18),-1.40654 # DEPENDENCYPART_ARC
(3,1),-1.07412 # DEPENDENCYPART_ARC
(3,2),-0.880918 # DEPENDENCYPART_ARC
(3,4),0.218353 # DEPENDENCYPART_ARC
(3,5),-1.22442 # DEPENDENCYPART_ARC
(3,6),-1.49121 # DEPENDENCYPART_ARC
(3,7),-0.487143 # DEPENDENCYPART_ARC
(3,8),-2.12214 # DEPENDENCYPART_ARC
(3,9),-2.72155 # DEPENDENCYPART_ARC
(3,10),-1.1525 # DEPENDENCYPART_ARC
(3,11),-1.26978 # DEPENDENCYPART_ARC
(3,12),-2.54136 # DEPENDENCYPART_ARC
(3,13),-2.53591 # DEPENDENCYPART_ARC
(3,14),-2.11312 # DEPENDENCYPART_ARC
(3,15),-2.38171 # DEPENDENCYPART_ARC
(3,16),-3.39178 # DEPENDENCYPART_ARC
(3,17),-3.33948 # DEPENDENCYPART_ARC
(3,18),-1.92575 # DEPENDENCYPART_ARC
(4,1),-1.25451 # DEPENDENCYPART_ARC
(4,2),-1.19759 # DEPENDENCYPART_ARC
(4,3),2.73175 # DEPENDENCYPART_ARC
(4,5),0.263197 # DEPENDENCYPART_ARC
(4,6),-1.57536 # DEPENDENCYPART_ARC
(4,7),2.45723 # DEPENDENCYPART_ARC
(4,8),-1.63161 # DEPENDENCYPART_ARC
(4,9),-2.04696 # DEPENDENCYPART_ARC
(4,10),0.77548 # DEPENDENCYPART_ARC
(4,11),0.578167 # DEPENDENCYPART_ARC
(4,12),-1.77051 # DEPENDENCYPART_ARC
(4,13),-2.67438 # DEPENDENCYPART_ARC
(4,14),-0.872033 # DEPENDENCYPART_ARC
(4,15),-2.97133 # DEPENDENCYPART_ARC
(4,16),-3.72602 # DEPENDENCYPART_ARC
(4,17),-3.54172 # DEPENDENCYPART_ARC
(4,18),-0.406613 # DEPENDENCYPART_ARC
(5,1),-2.90246 # DEPENDENCYPART_ARC
(5,2),-3.7697 # DEPENDENCYPART_ARC
(5,3),-0.971701 # DEPENDENCYPART_ARC
(5,4),-0.272644 # DEPENDENCYPART_ARC
(5,6),0.361742 # DEPENDENCYPART_ARC
(5,7),-1.46189 # DEPENDENCYPART_ARC
(5,8),0.104489 # DEPENDENCYPART_ARC
(5,9),-1.39024 # DEPENDENCYPART_ARC
(5,10),-0.744311 # DEPENDENCYPART_ARC
(5,11),-0.566394 # DEPENDENCYPART_ARC
(5,12),-0.734191 # DEPENDENCYPART_ARC
(5,13),-2.63242 # DEPENDENCYPART_ARC
(5,14),-1.10014 # DEPENDENCYPART_ARC
(5,15),-2.70538 # DEPENDENCYPART_ARC
(5,16),-1.72931 # DEPENDENCYPART_ARC
(5,17),-2.0886 # DEPENDENCYPART_ARC
(5,18),-1.55626 # DEPENDENCYPART_ARC
(6,1),-1.81515 # DEPENDENCYPART_ARC
(6,2),-2.25308 # DEPENDENCYPART_ARC
(6,3),-0.120892 # DEPENDENCYPART_ARC
(6,4),-0.127565 # DEPENDENCYPART_ARC
(6,5),5.22644 # DEPENDENCYPART_ARC
(6,7),-1.61212 # DEPENDENCYPART_ARC
(6,8),-0.926383 # DEPENDENCYPART_ARC
(6,9),-1.80594 # DEPENDENCYPART_ARC
(6,10),-1.56557 # DEPENDENCYPART_ARC
(6,11),-1.15933 # DEPENDENCYPART_ARC
(6,12),-1.44619 # DEPENDENCYPART_ARC
(6,13),-3.29455 # DEPENDENCYPART_ARC
(6,14),-2.27181 # DEPENDENCYPART_ARC
(6,15),-3.6242 # DEPENDENCYPART_ARC
(6,16),-2.17332 # DEPENDENCYPART_ARC
(6,17),-2.31551 # DEPENDENCYPART_ARC
(6,18),-5.09902 # DEPENDENCYPART_ARC
(7,1),-1.04132 # DEPENDENCYPART_ARC
(7,2),-1.74027 # DEPENDENCYPART_ARC
(7,3),0.355931 # DEPENDENCYPART_ARC
(7,4),-0.130788 # DEPENDENCYPART_ARC
(7,5),2.21615 # DEPENDENCYPART_ARC
(7,6),4.17549 # DEPENDENCYPART_ARC
(7,8),2.21096 # DEPENDENCYPART_ARC
(7,9),-0.109004 # DEPENDENCYPART_ARC
(7,10),0.709968 # DEPENDENCYPART_ARC
(7,11),1.51634 # DEPENDENCYPART_ARC
(7,12),-0.0544862 # DEPENDENCYPART_ARC
(7,13),-3.47725 # DEPENDENCYPART_ARC
(7,14),-0.221078 # DEPENDENCYPART_ARC
(7,15),-5.35375 # DEPENDENCYPART_ARC
(7,16),-2.42793 # DEPENDENCYPART_ARC
(7,17),-2.97368 # DEPENDENCYPART_ARC
(7,18),-0.388263 # DEPENDENCYPART_ARC
(8,1),-4.06524 # DEPENDENCYPART_ARC
(8,2),-3.4009 # DEPENDENCYPART_ARC
(8,3),-0.756342 # DEPENDENCYPART_ARC
(8,4),-1.7591 # DEPENDENCYPART_ARC
(8,5),-2.36461 # DEPENDENCYPART_ARC
(8,6),-2.54048 # DEPENDENCYPART_ARC
(8,7),-1.31634 # DEPENDENCYPART_ARC
(8,9),3.62919 # DEPENDENCYPART_ARC
(8,10),-0.0490003 # DEPENDENCYPART_ARC
(8,11),-0.482882 # DEPENDENCYPART_ARC
(8,12),-1.06889 # DEPENDENCYPART_ARC
(8,13),-0.704352 # DEPENDENCYPART_ARC
(8,14),-1.00586 # DEPENDENCYPART_ARC
(8,15),-2.29862 # DEPENDENCYPART_ARC
(8,16),-0.833455 # DEPENDENCYPART_ARC
(8,17),-2.4345 # DEPENDENCYPART_ARC
(8,18),-1.84053 # DEPENDENCYPART_ARC
(9,1),-6.77974 # DEPENDENCYPART_ARC
(9,2),-2.78562 # DEPENDENCYPART_ARC
(9,3),-1.73783 # DEPENDENCYPART_ARC
(9,4),-2.57461 # DEPENDENCYPART_ARC
(9,5),-3.67241 # DEPENDENCYPART_ARC
(9,6),-5.40861 # DEPENDENCYPART_ARC
(9,7),-2.37017 # DEPENDENCYPART_ARC
(9,8),0.523349 # DEPENDENCYPART_ARC
(9,10),-0.5216 # DEPENDENCYPART_ARC
(9,11),0.294613 # DEPENDENCYPART_ARC
(9,12),-1.04646 # DEPENDENCYPART_ARC
(9,13),-3.12319 # DEPENDENCYPART_ARC
(9,14),-0.969887 # DEPENDENCYPART_ARC
(9,15),-4.44195 # DEPENDENCYPART_ARC
(9,16),-0.366357 # DEPENDENCYPART_ARC
(9,17),-0.0974322 # DEPENDENCYPART_ARC
(9,18),-3.55708 # DEPENDENCYPART_ARC
(10,1),-2.5624 # DEPENDENCYPART_ARC
(10,2),-1.44828 # DEPENDENCYPART_ARC
(10,3),-0.141566 # DEPENDENCYPART_ARC
(10,4),-0.355573 # DEPENDENCYPART_ARC
(10,5),-1.0187 # DEPENDENCYPART_ARC
(10,6),-1.44632 # DEPENDENCYPART_ARC
(10,7),-0.278641 # DEPENDENCYPART_ARC
(10,8),-0.902494 # DEPENDENCYPART_ARC
(10,9),-0.117397 # DEPENDENCYPART_ARC
(10,11),0.157828 # DEPENDENCYPART_ARC
(10,12),-0.382965 # DEPENDENCYPART_ARC
(10,13),-0.821678 # DEPENDENCYPART_ARC
(10,14),-0.608047 # DEPENDENCYPART_ARC
(10,15),-1.23462 # DEPENDENCYPART_ARC
(10,16),-1.24101 # DEPENDENCYPART_ARC
(10,17),-1.08392 # DEPENDENCYPART_ARC
(10,18),-0.926235 # DEPENDENCYPART_ARC
(11,1),-1.70816 # DEPENDENCYPART_ARC
(11,2),0.327864 # DEPENDENCYPART_ARC
(11,3),0.643266 # DEPENDENCYPART_ARC
(11,4),0.216626 # DEPENDENCYPART_ARC
(11,5),0.198916 # DEPENDENCYPART_ARC
(11,6),0.55505 # DEPENDENCYPART_ARC
(11,7),1.77258 # DEPENDENCYPART_ARC
(11,8),1.95594 # DEPENDENCYPART_ARC
(11,9),1.13032 # DEPENDENCYPART_ARC
(11,10),2.55191 # DEPENDENCYPART_ARC
(11,12),1.26843 # DEPENDENCYPART_ARC
(11,13),1.0232 # DEPENDENCYPART_ARC
(11,14),0.833153 # DEPENDENCYPART_ARC
(11,15),0.349523 # DEPENDENCYPART_ARC
(11,16),0.0520355 # DEPENDENCYPART_ARC
(11,17),-0.169893 # DEPENDENCYPART_ARC
