# _root_ Situaci ztěžuje skutečnost , že výrobní družstva invalidů musejí být zisková , aby se udržela .
#goldHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
#predictedHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
(0,1),-1.92464 # DEPENDENCYPART_ARC
(0,2),0.199787 # DEPENDENCYPART_ARC
(0,3),-1.21189 # DEPENDENCYPART_ARC
(0,4),-0.524025 # DEPENDENCYPART_ARC
(0,5),-2.81002 # DEPENDENCYPART_ARC
(0,6),-2.40493 # DEPENDENCYPART_ARC
(0,7),-2.27875 # DEPENDENCYPART_ARC
(0,8),-4.34404 # DEPENDENCYPART_ARC
(0,9),0.0457954 # DEPENDENCYPART_ARC
(0,10),-1.6926 # DEPENDENCYPART_ARC
(0,11),-3.39119 # DEPENDENCYPART_ARC
(0,12),-1.21077 # DEPENDENCYPART_ARC
(0,13),-4.58898 # DEPENDENCYPART_ARC
(0,14),-4.00035 # DEPENDENCYPART_ARC
(0,15),-1.6674 # DEPENDENCYPART_ARC
(0,16),3.70481 # DEPENDENCYPART_ARC
(1,2),0.383324 # DEPENDENCYPART_ARC
(1,3),-1.14262 # DEPENDENCYPART_ARC
(1,4),-0.198025 # DEPENDENCYPART_ARC
(1,5),0.0862 # DEPENDENCYPART_ARC
(1,6),-3.62078 # DEPENDENCYPART_ARC
(1,7),-1.40651 # DEPENDENCYPART_ARC
(1,8),-0.0142856 # DEPENDENCYPART_ARC
(1,9),-3.87109 # DEPENDENCYPART_ARC
(1,10),-2.54598 # DEPENDENCYPART_ARC
(1,11),-5.16087 # DEPENDENCYPART_ARC
(1,12),-1.09037 # DEPENDENCYPART_ARC
(1,13),-1.78212 # DEPENDENCYPART_ARC
(1,14),-2.27984 # DEPENDENCYPART_ARC
(1,15),-5.32871 # DEPENDENCYPART_ARC
(1,16),-5.07261 # DEPENDENCYPART_ARC
(2,1),2.76731 # DEPENDENCYPART_ARC
(2,3),3.69372 # DEPENDENCYPART_ARC
(2,4),0.249107 # DEPENDENCYPART_ARC
(2,5),1.2572 # DEPENDENCYPART_ARC
(2,6),-2.20459 # DEPENDENCYPART_ARC
(2,7),-1.11761 # DEPENDENCYPART_ARC
(2,8),-3.70921 # DEPENDENCYPART_ARC
(2,9),-2.5416 # DEPENDENCYPART_ARC
(2,10),-1.75893 # DEPENDENCYPART_ARC
(2,11),-3.01198 # DEPENDENCYPART_ARC
(2,12),-0.471416 # DEPENDENCYPART_ARC
(2,13),-0.495762 # DEPENDENCYPART_ARC
(2,14),-3.10876 # DEPENDENCYPART_ARC
(2,15),-5.0725 # DEPENDENCYPART_ARC
(2,16),-0.933593 # DEPENDENCYPART_ARC
(3,1),-2.40182 # DEPENDENCYPART_ARC
(3,2),-0.79925 # DEPENDENCYPART_ARC
(3,4),0.0109023 # DEPENDENCYPART_ARC
(3,5),2.61317 # DEPENDENCYPART_ARC
(3,6),-1.91832 # DEPENDENCYPART_ARC
(3,7),0.731547 # DEPENDENCYPART_ARC
(3,8),1.41151 # DEPENDENCYPART_ARC
(3,9),-0.805388 # DEPENDENCYPART_ARC
(3,10),-0.489521 # DEPENDENCYPART_ARC
(3,11),-3.23689 # DEPENDENCYPART_ARC
(3,12),-0.536179 # DEPENDENCYPART_ARC
(3,13),-0.107444 # DEPENDENCYPART_ARC
(3,14),-2.91735 # DEPENDENCYPART_ARC
(3,15),-3.00703 # DEPENDENCYPART_ARC
(3,16),-4.56962 # DEPENDENCYPART_ARC
(4,1),-0.588167 # DEPENDENCYPART_ARC
(4,2),-0.196619 # DEPENDENCYPART_ARC
(4,3),-0.0651562 # DEPENDENCYPART_ARC
(4,5),0.206074 # DEPENDENCYPART_ARC
(4,6),-0.60337 # DEPENDENCYPART_ARC
(4,7),-0.57968 # DEPENDENCYPART_ARC
(4,8),-0.943908 # DEPENDENCYPART_ARC
(4,9),-0.00522269 # DEPENDENCYPART_ARC
(4,10),-0.475671 # DEPENDENCYPART_ARC
(4,11),-2.32303 # DEPENDENCYPART_ARC
(4,12),-0.635088 # DEPENDENCYPART_ARC
(4,13),-1.46333 # DEPENDENCYPART_ARC
(4,14),-2.0574 # DEPENDENCYPART_ARC
(4,15),-2.19467 # DEPENDENCYPART_ARC
(4,16),-0.925191 # DEPENDENCYPART_ARC
(5,1),-1.07574 # DEPENDENCYPART_ARC
(5,2),-1.43521 # DEPENDENCYPART_ARC
(5,3),0.383541 # DEPENDENCYPART_ARC
(5,4),2.65482 # DEPENDENCYPART_ARC
(5,6),1.30715 # DEPENDENCYPART_ARC
(5,7),-0.503384 # DEPENDENCYPART_ARC
(5,8),-1.74516 # DEPENDENCYPART_ARC
(5,9),2.60059 # DEPENDENCYPART_ARC
(5,10),1.19361 # DEPENDENCYPART_ARC
(5,11),-1.95304 # DEPENDENCYPART_ARC
(5,12),0.86393 # DEPENDENCYPART_ARC
(5,13),-0.550387 # DEPENDENCYPART_ARC
(5,14),-2.64545 # DEPENDENCYPART_ARC
(5,15),-0.556658 # DEPENDENCYPART_ARC
(5,16),-0.832773 # DEPENDENCYPART_ARC
(6,1),-3.96279 # DEPENDENCYPART_ARC
(6,2),-2.98478 # DEPENDENCYPART_ARC
(6,3),-3.14016 # DEPENDENCYPART_ARC
(6,4),-1.3181 # DEPENDENCYPART_ARC
(6,5),-1.04526 # DEPENDENCYPART_ARC
(6,7),-1.10711 # DEPENDENCYPART_ARC
(6,8),-1.05978 # DEPENDENCYPART_ARC
(6,9),-2.92973 # DEPENDENCYPART_ARC
(6,10),-1.62734 # DEPENDENCYPART_ARC
(6,11),-2.64812 # DEPENDENCYPART_ARC
(6,12),-1.11821 # DEPENDENCYPART_ARC
(6,13),-0.820414 # DEPENDENCYPART_ARC
(6,14),-2.19872 # DEPENDENCYPART_ARC
(6,15),-4.12029 # DEPENDENCYPART_ARC
(6,16),-1.97235 # DEPENDENCYPART_ARC
(7,1),-7.02238 # DEPENDENCYPART_ARC
(7,2),-2.87544 # DEPENDENCYPART_ARC
(7,3),-3.66296 # DEPENDENCYPART_ARC
(7,4),-0.0524035 # DEPENDENCYPART_ARC
(7,5),-0.130196 # DEPENDENCYPART_ARC
(7,6),4.88348 # DEPENDENCYPART_ARC
(7,8),3.70357 # DEPENDENCYPART_ARC
(7,9),-0.808124 # DEPENDENCYPART_ARC
(7,10),-1.17 # DEPENDENCYPART_ARC
(7,11),-1.40422 # DEPENDENCYPART_ARC
(7,12),-1.25149 # DEPENDENCYPART_ARC
(7,13),-1.20842 # DEPENDENCYPART_ARC
(7,14),-1.57252 # DEPENDENCYPART_ARC
(7,15),-4.35223 # DEPENDENCYPART_ARC
(7,16),-2.92866 # DEPENDENCYPART_ARC
(8,1),-7.5001 # DEPENDENCYPART_ARC
(8,2),-3.27624 # DEPENDENCYPART_ARC
(8,3),-7.18707 # DEPENDENCYPART_ARC
(8,4),-0.811973 # DEPENDENCYPART_ARC
(8,5),-1.30294 # DEPENDENCYPART_ARC
(8,6),-0.878615 # DEPENDENCYPART_ARC
(8,7),-2.86635 # DEPENDENCYPART_ARC
(8,9),-0.989189 # DEPENDENCYPART_ARC
