# _root_ Nyní věnujme pozornost oblasti , která sice není středem pozornosti širší veřejnosti , přesto může podstatnou měrou ovlivnit rozvoj budoucích generací - mimoškolní činnosti dětí a žáků .
#goldHeads=2,0,2,22,14,14,14,14,8,9,12,10,14,4,14,17,18,15,18,21,19,2,24,22,26,24,26,0,
#predictedHeads=2,13,2,2,2,8,8,4,8,9,12,10,14,15,0,17,15,15,18,21,19,14,22,23,26,24,26,0,
(0,1),0.0201042 # DEPENDENCYPART_ARC
(0,2),0.0529442 # DEPENDENCYPART_ARC
(0,3),-1.25346 # DEPENDENCYPART_ARC
(0,4),-0.567856 # DEPENDENCYPART_ARC
(0,5),0.21821 # DEPENDENCYPART_ARC
(0,6),-0.592344 # DEPENDENCYPART_ARC
(0,7),-0.745595 # DEPENDENCYPART_ARC
(0,8),0.062328 # DEPENDENCYPART_ARC
(0,9),-2.40931 # DEPENDENCYPART_ARC
(0,10),-2.95379 # DEPENDENCYPART_ARC
(0,11),-2.57471 # DEPENDENCYPART_ARC
(0,12),-3.23805 # DEPENDENCYPART_ARC
(0,13),-0.608149 # DEPENDENCYPART_ARC
(0,14),-0.14889 # DEPENDENCYPART_ARC
(0,15),0.637679 # DEPENDENCYPART_ARC
(0,16),-2.72872 # DEPENDENCYPART_ARC
(0,17),-4.56123 # DEPENDENCYPART_ARC
(0,18),-1.65642 # DEPENDENCYPART_ARC
(0,19),-4.849 # DEPENDENCYPART_ARC
(0,20),-3.90868 # DEPENDENCYPART_ARC
(0,21),-5.24001 # DEPENDENCYPART_ARC
(0,22),-1.57495 # DEPENDENCYPART_ARC
(0,23),-3.60978 # DEPENDENCYPART_ARC
(0,24),-4.89034 # DEPENDENCYPART_ARC
(0,25),-6.01685 # DEPENDENCYPART_ARC
(0,26),-1.49536 # DEPENDENCYPART_ARC
(0,27),-6.54804 # DEPENDENCYPART_ARC
(0,28),4.1625 # DEPENDENCYPART_ARC
(1,2),-0.0851477 # DEPENDENCYPART_ARC
(1,3),-1.04681 # DEPENDENCYPART_ARC
(1,4),-1.46603 # DEPENDENCYPART_ARC
(1,5),-0.690401 # DEPENDENCYPART_ARC
(1,6),-1.57461 # DEPENDENCYPART_ARC
(1,7),-0.971271 # DEPENDENCYPART_ARC
(1,8),-1.32591 # DEPENDENCYPART_ARC
(1,9),-3.24583 # DEPENDENCYPART_ARC
(1,10),-3.28243 # DEPENDENCYPART_ARC
(1,11),-1.83459 # DEPENDENCYPART_ARC
(1,12),-3.69093 # DEPENDENCYPART_ARC
(1,13),-1.42797 # DEPENDENCYPART_ARC
(1,14),-1.56677 # DEPENDENCYPART_ARC
(1,15),-2.11949 # DEPENDENCYPART_ARC
(1,16),-2.30941 # DEPENDENCYPART_ARC
(1,17),-4.31929 # DEPENDENCYPART_ARC
(1,18),-2.28653 # DEPENDENCYPART_ARC
(1,19),-5.29599 # DEPENDENCYPART_ARC
(1,20),-2.42557 # DEPENDENCYPART_ARC
(1,21),-5.59391 # DEPENDENCYPART_ARC
(1,22),-1.99852 # DEPENDENCYPART_ARC
(1,23),-2.58278 # DEPENDENCYPART_ARC
(1,24),-6.01557 # DEPENDENCYPART_ARC
(1,25),-5.66602 # DEPENDENCYPART_ARC
(1,26),-3.29246 # DEPENDENCYPART_ARC
(1,27),-6.46022 # DEPENDENCYPART_ARC
(1,28),-6.05986 # DEPENDENCYPART_ARC
(2,1),3.1445 # DEPENDENCYPART_ARC
(2,3),3.49794 # DEPENDENCYPART_ARC
(2,4),2.20223 # DEPENDENCYPART_ARC
(2,5),1.22833 # DEPENDENCYPART_ARC
(2,6),-0.425559 # DEPENDENCYPART_ARC
(2,7),0.553958 # DEPENDENCYPART_ARC
(2,8),0.0609664 # DEPENDENCYPART_ARC
(2,9),-0.144226 # DEPENDENCYPART_ARC
(2,10),-1.3903 # DEPENDENCYPART_ARC
(2,11),-2.83298 # DEPENDENCYPART_ARC
(2,12),-1.96256 # DEPENDENCYPART_ARC
(2,13),0.530078 # DEPENDENCYPART_ARC
(2,14),0.927166 # DEPENDENCYPART_ARC
(2,15),-1.673 # DEPENDENCYPART_ARC
(2,16),-3.91058 # DEPENDENCYPART_ARC
(2,17),-2.26526 # DEPENDENCYPART_ARC
(2,18),-0.694246 # DEPENDENCYPART_ARC
(2,19),-1.88059 # DEPENDENCYPART_ARC
(2,20),-4.49379 # DEPENDENCYPART_ARC
(2,21),-3.3491 # DEPENDENCYPART_ARC
(2,22),-0.105122 # DEPENDENCYPART_ARC
(2,23),-4.46611 # DEPENDENCYPART_ARC
(2,24),-3.68735 # DEPENDENCYPART_ARC
(2,25),-3.68494 # DEPENDENCYPART_ARC
(2,26),0.311028 # DEPENDENCYPART_ARC
(2,27),-4.62603 # DEPENDENCYPART_ARC
(2,28),-0.807434 # DEPENDENCYPART_ARC
(3,1),-0.0205045 # DEPENDENCYPART_ARC
(3,2),0.51253 # DEPENDENCYPART_ARC
(3,4),1.10067 # DEPENDENCYPART_ARC
(3,5),-1.14962 # DEPENDENCYPART_ARC
(3,6),-2.6531 # DEPENDENCYPART_ARC
(3,7),-0.859655 # DEPENDENCYPART_ARC
(3,8),-0.63249 # DEPENDENCYPART_ARC
(3,9),-3.90081 # DEPENDENCYPART_ARC
(3,10),-1.17944 # DEPENDENCYPART_ARC
(3,11),-1.44636 # DEPENDENCYPART_ARC
(3,12),-1.70167 # DEPENDENCYPART_ARC
(3,13),-1.17137 # DEPENDENCYPART_ARC
(3,14),-1.9907 # DEPENDENCYPART_ARC
(3,15),-2.67062 # DEPENDENCYPART_ARC
(3,16),-3.07775 # DEPENDENCYPART_ARC
(3,17),-4.48886 # DEPENDENCYPART_ARC
(3,18),-2.41541 # DEPENDENCYPART_ARC
(3,19),-6.21788 # DEPENDENCYPART_ARC
(3,20),-4.1972 # DEPENDENCYPART_ARC
(3,21),-4.12556 # DEPENDENCYPART_ARC
(3,22),-3.01684 # DEPENDENCYPART_ARC
(3,23),-4.87426 # DEPENDENCYPART_ARC
(3,24),-5.91829 # DEPENDENCYPART_ARC
(3,25),-4.01609 # DEPENDENCYPART_ARC
(3,26),-1.97983 # DEPENDENCYPART_ARC
(3,27),-5.32007 # DEPENDENCYPART_ARC
(3,28),-12.4879 # DEPENDENCYPART_ARC
(4,1),0.0681074 # DEPENDENCYPART_ARC
(4,2),0.133195 # DEPENDENCYPART_ARC
(4,3),1.52953 # DEPENDENCYPART_ARC
(4,5),0.129797 # DEPENDENCYPART_ARC
(4,6),-1.19607 # DEPENDENCYPART_ARC
(4,7),0.394683 # DEPENDENCYPART_ARC
(4,8),1.18126 # DEPENDENCYPART_ARC
(4,9),-2.22203 # DEPENDENCYPART_ARC
(4,10),-0.00352609 # DEPENDENCYPART_ARC
(4,11),0.389587 # DEPENDENCYPART_ARC
(4,12),-0.2959 # DEPENDENCYPART_ARC
(4,13),0.221796 # DEPENDENCYPART_ARC
(4,14),-1.12713 # DEPENDENCYPART_ARC
(4,15),-0.682901 # DEPENDENCYPART_ARC
(4,16),-0.797541 # DEPENDENCYPART_ARC
(4,17),-3.3462 # DEPENDENCYPART_ARC
(4,18),-0.671355 # DEPENDENCYPART_ARC
(4,19),-7.07145 # DEPENDENCYPART_ARC
(4,20),-2.24528 # DEPENDENCYPART_ARC
(4,21),-2.98746 # DEPENDENCYPART_ARC
(4,22),-1.89757 # DEPENDENCYPART_ARC
(4,23),-2.82055 # DEPENDENCYPART_ARC
(4,24),-5.01982 # DEPENDENCYPART_ARC
(4,25),-3.50643 # DEPENDENCYPART_ARC
(4,26),-0.266044 # DEPENDENCYPART_ARC
(4,27),-4.98897 # DEPENDENCYPART_ARC
(4,28),-10.6221 # DEPENDENCYPART_ARC
(5,1),-0.972636 # DEPENDENCYPART_ARC
(5,2),-0.418725 # DEPENDENCYPART_ARC
(5,3),-0.852825 # DEPENDENCYPART_ARC
(5,4),-1.14627 # DEPENDENCYPART_ARC
(5,6),-0.995335 # DEPENDENCYPART_ARC
(5,7),-1.23029 # DEPENDENCYPART_ARC
(5,8),-0.057192 # DEPENDENCYPART_ARC
(5,9),-2.05385 # DEPENDENCYPART_ARC
(5,10),-1.92142 # DEPENDENCYPART_ARC
(5,11),-1.93979 # DEPENDENCYPART_ARC
(5,12),-2.34311 # DEPENDENCYPART_ARC
(5,13),-1.14155 # DEPENDENCYPART_ARC
(5,14),-2.45113 # DEPENDENCYPART_ARC
(5,15),-0.793359 # DEPENDENCYPART_ARC
(5,16),-2.8897 # DEPENDENCYPART_ARC
(5,17),-3.9934 # DEPENDENCYPART_ARC
(5,18),-2.45022 # DEPENDENCYPART_ARC
(5,19),-4.79771 # DEPENDENCYPART_ARC
(5,20),-3.29818 # DEPENDENCYPART_ARC
(5,21),-4.56711 # DEPENDENCYPART_ARC
(5,22),-3.2577 # DEPENDENCYPART_ARC
(5,23),-3.94364 # DEPENDENCYPART_ARC
(5,24),-5.41734 # DEPENDENCYPART_ARC
(5,25),-4.98303 # DEPENDENCYPART_ARC
(5,26),-2.25497 # DEPENDENCYPART_ARC
(5,27),-5.46046 # DEPENDENCYPART_ARC
(5,28),-3.58892 # DEPENDENCYPART_ARC
(6,1),-1.12363 # DEPENDENCYPART_ARC
(6,2),-1.4136 # DEPENDENCYPART_ARC
(6,3),-2.6157 # DEPENDENCYPART_ARC
(6,4),-1.78482 # DEPENDENCYPART_ARC
(6,5),-0.612949 # DEPENDENCYPART_ARC
(6,7),0.416664 # DEPENDENCYPART_ARC
(6,8),-1.34488 # DEPENDENCYPART_ARC
(6,9),-1.5835 # DEPENDENCYPART_ARC
(6,10),-1.47074 # DEPENDENCYPART_ARC
(6,11),-1.21375 # DEPENDENCYPART_ARC
(6,12),-1.74727 # DEPENDENCYPART_ARC
(6,13),-0.876415 # DEPENDENCYPART_ARC
(6,14),-1.39282 # DEPENDENCYPART_ARC
(6,15),-2.86838 # DEPENDENCYPART_ARC
(6,16),-1.72124 # DEPENDENCYPART_ARC
(6,17),-3.06161 # DEPENDENCYPART_ARC
(6,18),-3.40094 # DEPENDENCYPART_ARC
(6,19),-3.36865 # DEPENDENCYPART_ARC
(6,20),-3.57786 # DEPENDENCYPART_ARC
(6,21),-3.21997 # DEPENDENCYPART_ARC
(6,22),-2.03745 # DEPENDENCYPART_ARC
(6,23),-3.10433 # DEPENDENCYPART_ARC
(6,24),-3.57515 # DEPENDENCYPART_ARC
(6,25),-4.05324 # DEPENDENCYPART_ARC
(6,26),-2.0662 # DEPENDENCYPART_ARC
