# _root_ A míra exportního výkonu , vztahující objem vývozu na jednoho obyvatele , je žalostná :
#goldHeads=0,13,4,2,6,2,6,7,6,11,9,6,1,13,0,
#predictedHeads=13,1,4,2,6,2,6,7,7,11,9,6,0,13,0,
(0,1),-0.235262 # DEPENDENCYPART_ARC
(0,2),-2.04258 # DEPENDENCYPART_ARC
(0,3),-2.45359 # DEPENDENCYPART_ARC
(0,4),-2.71311 # DEPENDENCYPART_ARC
(0,5),-1.54815 # DEPENDENCYPART_ARC
(0,6),-2.40485 # DEPENDENCYPART_ARC
(0,7),-3.01725 # DEPENDENCYPART_ARC
(0,8),-3.33603 # DEPENDENCYPART_ARC
(0,9),-2.04388 # DEPENDENCYPART_ARC
(0,10),-3.65745 # DEPENDENCYPART_ARC
(0,11),-3.0804 # DEPENDENCYPART_ARC
(0,12),-1.4526 # DEPENDENCYPART_ARC
(0,13),0.622501 # DEPENDENCYPART_ARC
(0,14),-3.48256 # DEPENDENCYPART_ARC
(0,15),1.73056 # DEPENDENCYPART_ARC
(1,2),1.44851 # DEPENDENCYPART_ARC
(1,3),1.06245 # DEPENDENCYPART_ARC
(1,4),0.286625 # DEPENDENCYPART_ARC
(1,5),0.312405 # DEPENDENCYPART_ARC
(1,6),0.17686 # DEPENDENCYPART_ARC
(1,7),-0.962932 # DEPENDENCYPART_ARC
(1,8),-1.04112 # DEPENDENCYPART_ARC
(1,9),-0.523741 # DEPENDENCYPART_ARC
(1,10),-0.796079 # DEPENDENCYPART_ARC
(1,11),-1.63208 # DEPENDENCYPART_ARC
(1,12),0.653909 # DEPENDENCYPART_ARC
(1,13),0.719511 # DEPENDENCYPART_ARC
(1,14),-2.28198 # DEPENDENCYPART_ARC
(1,15),-0.776143 # DEPENDENCYPART_ARC
(2,1),-0.274338 # DEPENDENCYPART_ARC
(2,3),0.0457598 # DEPENDENCYPART_ARC
(2,4),3.41772 # DEPENDENCYPART_ARC
(2,5),0.605201 # DEPENDENCYPART_ARC
(2,6),2.02077 # DEPENDENCYPART_ARC
(2,7),-1.93749 # DEPENDENCYPART_ARC
(2,8),1.07415 # DEPENDENCYPART_ARC
(2,9),0.846045 # DEPENDENCYPART_ARC
(2,10),-2.49066 # DEPENDENCYPART_ARC
(2,11),-4.26768 # DEPENDENCYPART_ARC
(2,12),-0.255337 # DEPENDENCYPART_ARC
(2,13),-1.29652 # DEPENDENCYPART_ARC
(2,14),-0.275768 # DEPENDENCYPART_ARC
(2,15),-1.65128 # DEPENDENCYPART_ARC
(3,1),0.210731 # DEPENDENCYPART_ARC
(3,2),-1.25547 # DEPENDENCYPART_ARC
(3,4),0.633721 # DEPENDENCYPART_ARC
(3,5),-0.825777 # DEPENDENCYPART_ARC
(3,6),-2.99237 # DEPENDENCYPART_ARC
(3,7),-2.76696 # DEPENDENCYPART_ARC
(3,8),-3.66013 # DEPENDENCYPART_ARC
(3,9),-1.09405 # DEPENDENCYPART_ARC
(3,10),-2.91198 # DEPENDENCYPART_ARC
(3,11),-4.31347 # DEPENDENCYPART_ARC
(3,12),-0.949423 # DEPENDENCYPART_ARC
(3,13),-3.39526 # DEPENDENCYPART_ARC
(3,14),-5.50556 # DEPENDENCYPART_ARC
(3,15),-2.68511 # DEPENDENCYPART_ARC
(4,1),0.0199377 # DEPENDENCYPART_ARC
(4,2),-1.79198 # DEPENDENCYPART_ARC
(4,3),5.83951 # DEPENDENCYPART_ARC
(4,5),-0.438446 # DEPENDENCYPART_ARC
(4,6),-1.00063 # DEPENDENCYPART_ARC
(4,7),-2.51231 # DEPENDENCYPART_ARC
(4,8),0.925788 # DEPENDENCYPART_ARC
(4,9),-0.13445 # DEPENDENCYPART_ARC
(4,10),-3.40696 # DEPENDENCYPART_ARC
(4,11),-5.00004 # DEPENDENCYPART_ARC
(4,12),-0.412298 # DEPENDENCYPART_ARC
(4,13),-1.17782 # DEPENDENCYPART_ARC
(4,14),-3.99596 # DEPENDENCYPART_ARC
(4,15),-1.50157 # DEPENDENCYPART_ARC
(5,1),0.163498 # DEPENDENCYPART_ARC
(5,2),0.878139 # DEPENDENCYPART_ARC
(5,3),0.952183 # DEPENDENCYPART_ARC
(5,4),1.63664 # DEPENDENCYPART_ARC
(5,6),0.506892 # DEPENDENCYPART_ARC
(5,7),1.2863 # DEPENDENCYPART_ARC
(5,8),0.663827 # DEPENDENCYPART_ARC
(5,9),0.417524 # DEPENDENCYPART_ARC
(5,10),0.0145175 # DEPENDENCYPART_ARC
(5,11),0.180043 # DEPENDENCYPART_ARC
(5,12),0.664334 # DEPENDENCYPART_ARC
(5,13),-0.0690746 # DEPENDENCYPART_ARC
(5,14),-1.33762 # DEPENDENCYPART_ARC
(5,15),-0.486681 # DEPENDENCYPART_ARC
(6,1),-0.752094 # DEPENDENCYPART_ARC
(6,2),-1.01767 # DEPENDENCYPART_ARC
(6,3),-2.14898 # DEPENDENCYPART_ARC
(6,4),-1.58276 # DEPENDENCYPART_ARC
(6,5),0.958525 # DEPENDENCYPART_ARC
(6,7),2.83843 # DEPENDENCYPART_ARC
(6,8),1.28128 # DEPENDENCYPART_ARC
(6,9),1.10304 # DEPENDENCYPART_ARC
(6,10),-0.304965 # DEPENDENCYPART_ARC
(6,11),-0.420069 # DEPENDENCYPART_ARC
(6,12),0.826062 # DEPENDENCYPART_ARC
(6,13),-1.70518 # DEPENDENCYPART_ARC
(6,14),-2.17231 # DEPENDENCYPART_ARC
(6,15),-0.752229 # DEPENDENCYPART_ARC
(7,1),-0.348755 # DEPENDENCYPART_ARC
(7,2),-3.46507 # DEPENDENCYPART_ARC
(7,3),1.66701 # DEPENDENCYPART_ARC
(7,4),-2.71041 # DEPENDENCYPART_ARC
(7,5),0.391731 # DEPENDENCYPART_ARC
(7,6),-0.737024 # DEPENDENCYPART_ARC
(7,8),4.54298 # DEPENDENCYPART_ARC
(7,9),1.96098 # DEPENDENCYPART_ARC
(7,10),-0.165597 # DEPENDENCYPART_ARC
(7,11),-0.775899 # DEPENDENCYPART_ARC
(7,12),-0.0930217 # DEPENDENCYPART_ARC
(7,13),-0.844121 # DEPENDENCYPART_ARC
(7,14),-3.18653 # DEPENDENCYPART_ARC
(7,15),-0.830702 # DEPENDENCYPART_ARC
(8,1),-0.637725 # DEPENDENCYPART_ARC
(8,2),-3.586 # DEPENDENCYPART_ARC
(8,3),1.87663 # DEPENDENCYPART_ARC
(8,4),-2.37913 # DEPENDENCYPART_ARC
(8,5),-0.337476 # DEPENDENCYPART_ARC
(8,6),-1.18315 # DEPENDENCYPART_ARC
(8,7),-0.72081 # DEPENDENCYPART_ARC
(8,9),1.63289 # DEPENDENCYPART_ARC
(8,10),-1.81984 # DEPENDENCYPART_ARC
(8,11),-3.88848 # DEPENDENCYPART_ARC
(8,12),-0.461403 # DEPENDENCYPART_ARC
(8,13),-1.4338 # DEPENDENCYPART_ARC
(8,14),-3.42664 # DEPENDENCYPART_ARC
(8,15),-1.13622 # DEPENDENCYPART_ARC
(9,1),-1.94522 # DEPENDENCYPART_ARC
(9,2),-3.50736 # DEPENDENCYPART_ARC
(9,3),-2.41221 # DEPENDENCYPART_ARC
(9,4),-1.79642 # DEPENDENCYPART_ARC
(9,5),-0.984492 # DEPENDENCYPART_ARC
(9,6),-2.23363 # DEPENDENCYPART_ARC
(9,7),-1.22968 # DEPENDENCYPART_ARC
(9,8),0.149103 # DEPENDENCYPART_ARC
(9,10),2.91573 # DEPENDENCYPART_ARC
(9,11),4.13512 # DEPENDENCYPART_ARC
(9,12),-0.0606012 # DEPENDENCYPART_ARC
(9,13),-0.60574 # DEPENDENCYPART_ARC
(9,14),-1.96675 # DEPENDENCYPART_ARC
(9,15),-0.104003 # DEPENDENCYPART_ARC
(10,1),-1.78269 # DEPENDENCYPART_ARC
(10,2),-2.76754 # DEPENDENCYPART_ARC
(10,3),-3.50728 # DEPENDENCYPART_ARC
(10,4),-0.969384 # DEPENDENCYPART_ARC
(10,5),-1.71449 # DEPENDENCYPART_ARC
