# _root_ Nepřispěje - li sponzor , nezbude škole než využít možností , které jí dává zákonodárce .
#goldHeads=3,3,6,1,3,0,6,6,8,9,14,14,14,10,14,0,
#predictedHeads=3,3,6,1,3,0,6,7,8,9,14,14,14,10,14,0,
(0,1),-0.265799 # DEPENDENCYPART_ARC
(0,2),-0.552642 # DEPENDENCYPART_ARC
(0,3),-0.900737 # DEPENDENCYPART_ARC
(0,4),-1.35723 # DEPENDENCYPART_ARC
(0,5),-0.3598 # DEPENDENCYPART_ARC
(0,6),0.733813 # DEPENDENCYPART_ARC
(0,7),-2.83876 # DEPENDENCYPART_ARC
(0,8),-2.67132 # DEPENDENCYPART_ARC
(0,9),-2.58738 # DEPENDENCYPART_ARC
(0,10),-4.87044 # DEPENDENCYPART_ARC
(0,11),-1.09293 # DEPENDENCYPART_ARC
(0,12),-2.64254 # DEPENDENCYPART_ARC
(0,13),-2.63915 # DEPENDENCYPART_ARC
(0,14),-1.73818 # DEPENDENCYPART_ARC
(0,15),-4.8812 # DEPENDENCYPART_ARC
(0,16),3.92285 # DEPENDENCYPART_ARC
(1,2),0.712472 # DEPENDENCYPART_ARC
(1,3),1.00817 # DEPENDENCYPART_ARC
(1,4),2.26466 # DEPENDENCYPART_ARC
(1,5),0.987251 # DEPENDENCYPART_ARC
(1,6),-1.44318 # DEPENDENCYPART_ARC
(1,7),0.343664 # DEPENDENCYPART_ARC
(1,8),0.653828 # DEPENDENCYPART_ARC
(1,9),0.383158 # DEPENDENCYPART_ARC
(1,10),-3.58733 # DEPENDENCYPART_ARC
(1,11),0.028555 # DEPENDENCYPART_ARC
(1,12),-5.51532 # DEPENDENCYPART_ARC
(1,13),-2.23235 # DEPENDENCYPART_ARC
(1,14),-2.86165 # DEPENDENCYPART_ARC
(1,15),-3.18559 # DEPENDENCYPART_ARC
(1,16),-0.741176 # DEPENDENCYPART_ARC
(2,1),-0.360337 # DEPENDENCYPART_ARC
(2,3),-0.0134831 # DEPENDENCYPART_ARC
(2,4),0.523255 # DEPENDENCYPART_ARC
(2,5),-0.202137 # DEPENDENCYPART_ARC
(2,6),-0.684527 # DEPENDENCYPART_ARC
(2,7),-1.0097 # DEPENDENCYPART_ARC
(2,8),-0.45138 # DEPENDENCYPART_ARC
(2,9),-1.6142 # DEPENDENCYPART_ARC
(2,10),-2.21849 # DEPENDENCYPART_ARC
(2,11),-0.88876 # DEPENDENCYPART_ARC
(2,12),-2.24248 # DEPENDENCYPART_ARC
(2,13),-2.18918 # DEPENDENCYPART_ARC
(2,14),-2.1272 # DEPENDENCYPART_ARC
(2,15),-3.51898 # DEPENDENCYPART_ARC
(2,16),-1.22873 # DEPENDENCYPART_ARC
(3,1),2.96639 # DEPENDENCYPART_ARC
(3,2),2.94712 # DEPENDENCYPART_ARC
(3,4),0.711743 # DEPENDENCYPART_ARC
(3,5),1.80353 # DEPENDENCYPART_ARC
(3,6),0.59064 # DEPENDENCYPART_ARC
(3,7),-0.506681 # DEPENDENCYPART_ARC
(3,8),-0.0476269 # DEPENDENCYPART_ARC
(3,9),-0.168831 # DEPENDENCYPART_ARC
(3,10),-1.17863 # DEPENDENCYPART_ARC
(3,11),0.612827 # DEPENDENCYPART_ARC
(3,14),-0.875853 # DEPENDENCYPART_ARC
(3,15),-1.34579 # DEPENDENCYPART_ARC
(3,16),-0.834074 # DEPENDENCYPART_ARC
(4,1),-2.46489 # DEPENDENCYPART_ARC
(4,2),0.197699 # DEPENDENCYPART_ARC
(4,3),0.999654 # DEPENDENCYPART_ARC
(4,5),-0.455907 # DEPENDENCYPART_ARC
(4,6),-1.74826 # DEPENDENCYPART_ARC
(4,7),-2.77809 # DEPENDENCYPART_ARC
(4,8),-0.495339 # DEPENDENCYPART_ARC
(4,9),-2.37804 # DEPENDENCYPART_ARC
(4,10),-1.73664 # DEPENDENCYPART_ARC
(4,11),-1.56002 # DEPENDENCYPART_ARC
(4,12),-5.14791 # DEPENDENCYPART_ARC
(4,13),-3.55946 # DEPENDENCYPART_ARC
(4,14),-3.35048 # DEPENDENCYPART_ARC
(4,15),-4.78758 # DEPENDENCYPART_ARC
(4,16),-4.66501 # DEPENDENCYPART_ARC
(5,1),0.42946 # DEPENDENCYPART_ARC
(5,2),0.337102 # DEPENDENCYPART_ARC
(5,3),0.307159 # DEPENDENCYPART_ARC
(5,4),0.208889 # DEPENDENCYPART_ARC
(5,6),0.244231 # DEPENDENCYPART_ARC
(5,7),-0.425345 # DEPENDENCYPART_ARC
(5,8),-0.473126 # DEPENDENCYPART_ARC
(5,9),-1.08634 # DEPENDENCYPART_ARC
