# _root_ Neuspěje - li ani do této doby , je to signál , že cena byla špatně stanovena a je na místě úvaha o jejím snížení .
#goldHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,17,17,17,18,13,18,19,20,19,22,25,23,0,
#predictedHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,15,18,17,18,13,18,19,20,19,22,25,23,0,
(0,1),-0.260077 # DEPENDENCYPART_ARC
(0,2),-0.54692 # DEPENDENCYPART_ARC
(0,3),-0.935588 # DEPENDENCYPART_ARC
(0,4),-1.79637 # DEPENDENCYPART_ARC
(0,5),-1.56801 # DEPENDENCYPART_ARC
(0,6),-1.78547 # DEPENDENCYPART_ARC
(0,7),-2.52759 # DEPENDENCYPART_ARC
(0,8),-0.502384 # DEPENDENCYPART_ARC
(0,9),0.224031 # DEPENDENCYPART_ARC
(0,10),-1.76317 # DEPENDENCYPART_ARC
(0,11),-2.45817 # DEPENDENCYPART_ARC
(0,12),-1.0797 # DEPENDENCYPART_ARC
(0,13),-4.83009 # DEPENDENCYPART_ARC
(0,14),-4.53856 # DEPENDENCYPART_ARC
(0,15),-0.842653 # DEPENDENCYPART_ARC
(0,16),-2.75534 # DEPENDENCYPART_ARC
(0,17),-2.24538 # DEPENDENCYPART_ARC
(0,18),-1.22083 # DEPENDENCYPART_ARC
(0,19),-2.85149 # DEPENDENCYPART_ARC
(0,20),-6.78102 # DEPENDENCYPART_ARC
(0,21),-5.97453 # DEPENDENCYPART_ARC
(0,22),-4.97996 # DEPENDENCYPART_ARC
(0,23),-6.86825 # DEPENDENCYPART_ARC
(0,25),-6.21621 # DEPENDENCYPART_ARC
(0,26),4.81579 # DEPENDENCYPART_ARC
(1,2),0.807629 # DEPENDENCYPART_ARC
(1,3),1.06336 # DEPENDENCYPART_ARC
(1,4),1.47921 # DEPENDENCYPART_ARC
(1,5),1.0349 # DEPENDENCYPART_ARC
(1,6),-1.79289 # DEPENDENCYPART_ARC
(1,7),-0.322432 # DEPENDENCYPART_ARC
(1,8),0.909453 # DEPENDENCYPART_ARC
(1,9),-0.864601 # DEPENDENCYPART_ARC
(1,10),0.18918 # DEPENDENCYPART_ARC
(1,11),-0.0357996 # DEPENDENCYPART_ARC
(1,12),0.14102 # DEPENDENCYPART_ARC
(1,13),0.0257147 # DEPENDENCYPART_ARC
(1,14),-3.22238 # DEPENDENCYPART_ARC
(1,15),-1.85834 # DEPENDENCYPART_ARC
(1,16),-1.12281 # DEPENDENCYPART_ARC
(1,17),-1.37215 # DEPENDENCYPART_ARC
(1,18),-0.71152 # DEPENDENCYPART_ARC
(1,19),-4.28087 # DEPENDENCYPART_ARC
(1,20),-2.98585 # DEPENDENCYPART_ARC
(1,21),-7.51219 # DEPENDENCYPART_ARC
(1,22),-4.73918 # DEPENDENCYPART_ARC
(1,23),-3.92388 # DEPENDENCYPART_ARC
(1,24),-8.26458 # DEPENDENCYPART_ARC
(1,25),-6.69463 # DEPENDENCYPART_ARC
(1,26),-0.975498 # DEPENDENCYPART_ARC
(2,1),-0.371175 # DEPENDENCYPART_ARC
(2,3),-0.147201 # DEPENDENCYPART_ARC
(2,4),-0.410864 # DEPENDENCYPART_ARC
(2,5),-1.00287 # DEPENDENCYPART_ARC
(2,6),-0.94929 # DEPENDENCYPART_ARC
(2,7),-0.382573 # DEPENDENCYPART_ARC
(2,8),-0.222083 # DEPENDENCYPART_ARC
(2,9),-1.08899 # DEPENDENCYPART_ARC
(2,10),-1.15519 # DEPENDENCYPART_ARC
(2,11),-1.75102 # DEPENDENCYPART_ARC
(2,12),-0.537166 # DEPENDENCYPART_ARC
(2,13),-1.61428 # DEPENDENCYPART_ARC
(2,14),-3.08017 # DEPENDENCYPART_ARC
(2,15),-1.59197 # DEPENDENCYPART_ARC
(2,16),-2.00997 # DEPENDENCYPART_ARC
(2,17),-1.87464 # DEPENDENCYPART_ARC
(2,18),-1.42318 # DEPENDENCYPART_ARC
(2,19),-2.44786 # DEPENDENCYPART_ARC
(2,20),-4.11511 # DEPENDENCYPART_ARC
(2,21),-5.02683 # DEPENDENCYPART_ARC
(2,22),-5.23477 # DEPENDENCYPART_ARC
(2,23),-4.13302 # DEPENDENCYPART_ARC
(2,24),-3.23992 # DEPENDENCYPART_ARC
(2,25),-5.57017 # DEPENDENCYPART_ARC
(2,26),-2.1815 # DEPENDENCYPART_ARC
(3,1),2.91905 # DEPENDENCYPART_ARC
(3,2),3.00184 # DEPENDENCYPART_ARC
(3,4),0.813333 # DEPENDENCYPART_ARC
(3,5),0.264192 # DEPENDENCYPART_ARC
(3,6),-0.0588713 # DEPENDENCYPART_ARC
(3,7),-0.31611 # DEPENDENCYPART_ARC
(3,8),2.23191 # DEPENDENCYPART_ARC
(3,9),0.302872 # DEPENDENCYPART_ARC
(3,10),-0.719506 # DEPENDENCYPART_ARC
(3,11),-0.940365 # DEPENDENCYPART_ARC
(3,12),0.900815 # DEPENDENCYPART_ARC
(3,13),-0.282116 # DEPENDENCYPART_ARC
(3,14),-0.979038 # DEPENDENCYPART_ARC
(3,15),-0.351923 # DEPENDENCYPART_ARC
(3,16),-0.598577 # DEPENDENCYPART_ARC
(3,17),-0.73831 # DEPENDENCYPART_ARC
(3,18),-0.35634 # DEPENDENCYPART_ARC
(3,19),-1.66285 # DEPENDENCYPART_ARC
(3,20),-1.55564 # DEPENDENCYPART_ARC
(3,21),-1.57722 # DEPENDENCYPART_ARC
(3,22),-1.4518 # DEPENDENCYPART_ARC
(3,23),-1.71679 # DEPENDENCYPART_ARC
(3,24),-1.72276 # DEPENDENCYPART_ARC
(3,25),-1.57326 # DEPENDENCYPART_ARC
(3,26),-1.44445 # DEPENDENCYPART_ARC
(4,1),-0.0967678 # DEPENDENCYPART_ARC
(4,2),0.482594 # DEPENDENCYPART_ARC
(4,3),0.782529 # DEPENDENCYPART_ARC
(4,5),0.278238 # DEPENDENCYPART_ARC
(4,6),-0.126745 # DEPENDENCYPART_ARC
(4,7),-0.390996 # DEPENDENCYPART_ARC
(4,8),0.134275 # DEPENDENCYPART_ARC
(4,9),-0.346894 # DEPENDENCYPART_ARC
(4,10),-1.57871 # DEPENDENCYPART_ARC
(4,11),-1.96542 # DEPENDENCYPART_ARC
(4,12),-1.14807 # DEPENDENCYPART_ARC
(4,13),-1.89576 # DEPENDENCYPART_ARC
(4,14),-3.02133 # DEPENDENCYPART_ARC
(4,15),-2.33938 # DEPENDENCYPART_ARC
(4,16),-1.56597 # DEPENDENCYPART_ARC
(4,17),-3.2969 # DEPENDENCYPART_ARC
(4,18),-1.17631 # DEPENDENCYPART_ARC
(4,19),-4.14803 # DEPENDENCYPART_ARC
(4,20),-2.76459 # DEPENDENCYPART_ARC
(4,21),-5.13898 # DEPENDENCYPART_ARC
(4,22),-4.96932 # DEPENDENCYPART_ARC
(4,23),-3.00791 # DEPENDENCYPART_ARC
(4,24),-2.9909 # DEPENDENCYPART_ARC
(4,25),-5.37175 # DEPENDENCYPART_ARC
(4,26),-3.34651 # DEPENDENCYPART_ARC
(5,1),-1.9137 # DEPENDENCYPART_ARC
(5,2),0.652655 # DEPENDENCYPART_ARC
(5,3),-0.292957 # DEPENDENCYPART_ARC
(5,4),0.0821326 # DEPENDENCYPART_ARC
(5,6),2.26289 # DEPENDENCYPART_ARC
(5,7),3.94128 # DEPENDENCYPART_ARC
(5,8),0.131265 # DEPENDENCYPART_ARC
(5,9),-1.00782 # DEPENDENCYPART_ARC
(5,10),-2.20281 # DEPENDENCYPART_ARC
(5,11),-3.70035 # DEPENDENCYPART_ARC
(5,12),-0.946842 # DEPENDENCYPART_ARC
(5,13),-1.65427 # DEPENDENCYPART_ARC
(5,14),-5.60178 # DEPENDENCYPART_ARC
(5,15),-2.25983 # DEPENDENCYPART_ARC
(5,16),-2.32054 # DEPENDENCYPART_ARC
(5,18),-4.32014 # DEPENDENCYPART_ARC
(5,19),-2.08692 # DEPENDENCYPART_ARC
(5,20),-2.64354 # DEPENDENCYPART_ARC
(5,21),-7.78772 # DEPENDENCYPART_ARC
(5,22),-11.6302 # DEPENDENCYPART_ARC
(5,23),-2.87727 # DEPENDENCYPART_ARC
(5,24),-4.28895 # DEPENDENCYPART_ARC
(5,25),-10.7207 # DEPENDENCYPART_ARC
(5,26),-4.49816 # DEPENDENCYPART_ARC
(6,1),-2.71349 # DEPENDENCYPART_ARC
