# _root_ Stál na břehu řeky s hořícím stromem v ruce a svítil té , která přeplouvala řeku , držíc se za chvost koně . . .
#goldHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,18,14,18,18,20,21,0,0,0,
#predictedHeads=10,1,2,3,4,7,5,7,8,0,10,11,15,15,12,15,15,15,18,18,20,21,0,0,0,
(0,1),0.2746 # DEPENDENCYPART_ARC
(0,2),-1.70026 # DEPENDENCYPART_ARC
(0,3),-2.10811 # DEPENDENCYPART_ARC
(0,4),-2.19735 # DEPENDENCYPART_ARC
(0,5),-2.02052 # DEPENDENCYPART_ARC
(0,6),-2.34408 # DEPENDENCYPART_ARC
(0,7),-2.27671 # DEPENDENCYPART_ARC
(0,8),-1.97277 # DEPENDENCYPART_ARC
(0,9),-3.02639 # DEPENDENCYPART_ARC
(0,10),-0.144943 # DEPENDENCYPART_ARC
(0,11),-1.14512 # DEPENDENCYPART_ARC
(0,12),-2.43272 # DEPENDENCYPART_ARC
(0,13),-0.936423 # DEPENDENCYPART_ARC
(0,14),-2.3902 # DEPENDENCYPART_ARC
(0,15),-1.40306 # DEPENDENCYPART_ARC
(0,16),-4.11636 # DEPENDENCYPART_ARC
(0,17),-0.930949 # DEPENDENCYPART_ARC
(0,18),-0.986549 # DEPENDENCYPART_ARC
(0,19),-4.35545 # DEPENDENCYPART_ARC
(0,20),-5.5254 # DEPENDENCYPART_ARC
(0,21),-4.84045 # DEPENDENCYPART_ARC
(0,22),-5.14819 # DEPENDENCYPART_ARC
(0,23),1.90262 # DEPENDENCYPART_ARC
(0,24),1.79767 # DEPENDENCYPART_ARC
(0,25),3.66909 # DEPENDENCYPART_ARC
(1,2),2.47672 # DEPENDENCYPART_ARC
(1,3),0.345861 # DEPENDENCYPART_ARC
(1,4),-0.0505147 # DEPENDENCYPART_ARC
(1,5),1.59555 # DEPENDENCYPART_ARC
(1,6),-1.53625 # DEPENDENCYPART_ARC
(1,7),0.680141 # DEPENDENCYPART_ARC
(1,8),0.498195 # DEPENDENCYPART_ARC
(1,9),-2.39797 # DEPENDENCYPART_ARC
(1,10),-0.00645085 # DEPENDENCYPART_ARC
(1,11),-2.42873 # DEPENDENCYPART_ARC
(1,12),-1.58637 # DEPENDENCYPART_ARC
(1,13),-0.189025 # DEPENDENCYPART_ARC
(1,14),-3.30805 # DEPENDENCYPART_ARC
(1,15),-3.32126 # DEPENDENCYPART_ARC
(1,16),-1.85181 # DEPENDENCYPART_ARC
(1,17),0.41354 # DEPENDENCYPART_ARC
(1,18),-1.21121 # DEPENDENCYPART_ARC
(1,19),-2.212 # DEPENDENCYPART_ARC
(1,20),-1.49131 # DEPENDENCYPART_ARC
(1,21),-4.96849 # DEPENDENCYPART_ARC
(1,22),-5.71409 # DEPENDENCYPART_ARC
(1,23),-1.1853 # DEPENDENCYPART_ARC
(1,24),-0.983376 # DEPENDENCYPART_ARC
(1,25),-0.925522 # DEPENDENCYPART_ARC
(2,1),-1.33832 # DEPENDENCYPART_ARC
