# _root_ Z ruské strany jde o suroviny , jako je plyn a ropa , z české o různé zboží .
#goldHeads=4,3,1,13,4,5,8,6,8,11,9,11,0,13,14,13,18,16,0,
#predictedHeads=4,3,1,0,4,5,8,6,8,11,9,11,9,13,14,13,18,16,0,
(0,1),-0.894786 # DEPENDENCYPART_ARC
(0,2),-1.09885 # DEPENDENCYPART_ARC
(0,3),-1.78999 # DEPENDENCYPART_ARC
(0,4),0.231225 # DEPENDENCYPART_ARC
(0,5),-1.71477 # DEPENDENCYPART_ARC
(0,6),-1.80002 # DEPENDENCYPART_ARC
(0,7),-0.205675 # DEPENDENCYPART_ARC
(0,8),-0.864766 # DEPENDENCYPART_ARC
(0,9),-0.74142 # DEPENDENCYPART_ARC
(0,10),-2.70358 # DEPENDENCYPART_ARC
(0,11),-1.62826 # DEPENDENCYPART_ARC
(0,12),-2.84203 # DEPENDENCYPART_ARC
(0,13),-0.571322 # DEPENDENCYPART_ARC
(0,14),-4.64534 # DEPENDENCYPART_ARC
(0,15),-3.74293 # DEPENDENCYPART_ARC
(0,16),-3.97762 # DEPENDENCYPART_ARC
(0,17),-3.54123 # DEPENDENCYPART_ARC
(0,18),-3.11671 # DEPENDENCYPART_ARC
(0,19),4.3436 # DEPENDENCYPART_ARC
(1,2),1.52027 # DEPENDENCYPART_ARC
(1,3),4.70609 # DEPENDENCYPART_ARC
(1,4),-0.614535 # DEPENDENCYPART_ARC
(1,5),-0.896059 # DEPENDENCYPART_ARC
(1,6),-2.94548 # DEPENDENCYPART_ARC
(1,7),-0.5635 # DEPENDENCYPART_ARC
(1,8),-2.34588 # DEPENDENCYPART_ARC
(1,9),-0.829025 # DEPENDENCYPART_ARC
(1,10),-6.75193 # DEPENDENCYPART_ARC
(1,11),-1.30318 # DEPENDENCYPART_ARC
(1,12),-7.85483 # DEPENDENCYPART_ARC
(1,13),-1.86906 # DEPENDENCYPART_ARC
(1,14),-1.78971 # DEPENDENCYPART_ARC
(1,15),-1.32241 # DEPENDENCYPART_ARC
(1,16),-2.17955 # DEPENDENCYPART_ARC
(1,17),-2.97186 # DEPENDENCYPART_ARC
(1,18),-8.85779 # DEPENDENCYPART_ARC
(1,19),-3.2258 # DEPENDENCYPART_ARC
(2,1),-0.529016 # DEPENDENCYPART_ARC
(2,3),-0.493019 # DEPENDENCYPART_ARC
