# _root_ Tento počet zahrnuje vedle dětí osvojených i děti , pro něž měli otevřenou náruč , a hlavně srdce pěstouni .
#goldHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,16,16,12,18,16,12,0,
#predictedHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,12,16,12,18,16,16,0,
(0,1),-0.644148 # DEPENDENCYPART_ARC
(0,2),-1.71805 # DEPENDENCYPART_ARC
(0,3),0.19349 # DEPENDENCYPART_ARC
(0,4),-1.33258 # DEPENDENCYPART_ARC
(0,5),-2.94253 # DEPENDENCYPART_ARC
(0,6),-2.76502 # DEPENDENCYPART_ARC
(0,7),-2.82974 # DEPENDENCYPART_ARC
(0,8),-3.03546 # DEPENDENCYPART_ARC
(0,9),-0.851285 # DEPENDENCYPART_ARC
(0,10),-2.42092 # DEPENDENCYPART_ARC
(0,12),-0.134955 # DEPENDENCYPART_ARC
(0,13),-3.37312 # DEPENDENCYPART_ARC
(0,14),-3.60801 # DEPENDENCYPART_ARC
(0,15),-1.09286 # DEPENDENCYPART_ARC
(0,16),-0.544333 # DEPENDENCYPART_ARC
(0,17),-3.03284 # DEPENDENCYPART_ARC
(0,18),-3.62151 # DEPENDENCYPART_ARC
(0,19),-3.25842 # DEPENDENCYPART_ARC
(0,20),3.94273 # DEPENDENCYPART_ARC
(1,2),-0.0502151 # DEPENDENCYPART_ARC
(1,3),-2.04409 # DEPENDENCYPART_ARC
(1,4),-0.551011 # DEPENDENCYPART_ARC
(1,5),-2.47621 # DEPENDENCYPART_ARC
(1,6),-3.31624 # DEPENDENCYPART_ARC
(1,7),-1.88001 # DEPENDENCYPART_ARC
(1,8),-2.91864 # DEPENDENCYPART_ARC
(1,9),-1.61104 # DEPENDENCYPART_ARC
(1,10),-2.05546 # DEPENDENCYPART_ARC
(1,12),-3.84831 # DEPENDENCYPART_ARC
(1,13),-3.68531 # DEPENDENCYPART_ARC
(1,14),-3.47491 # DEPENDENCYPART_ARC
(1,15),-2.01675 # DEPENDENCYPART_ARC
(1,16),-2.0294 # DEPENDENCYPART_ARC
(1,17),-2.79468 # DEPENDENCYPART_ARC
(1,18),-4.21534 # DEPENDENCYPART_ARC
(1,19),-3.04974 # DEPENDENCYPART_ARC
(1,20),-2.94429 # DEPENDENCYPART_ARC
(2,1),5.84573 # DEPENDENCYPART_ARC
(2,3),-1.18092 # DEPENDENCYPART_ARC
(2,4),-1.1509 # DEPENDENCYPART_ARC
(2,5),-1.18555 # DEPENDENCYPART_ARC
(2,6),-3.89038 # DEPENDENCYPART_ARC
(2,7),-1.5007 # DEPENDENCYPART_ARC
(2,8),-5.17475 # DEPENDENCYPART_ARC
(2,9),-1.23494 # DEPENDENCYPART_ARC
(2,10),-1.95975 # DEPENDENCYPART_ARC
(2,11),-3.98758 # DEPENDENCYPART_ARC
(2,12),-3.17435 # DEPENDENCYPART_ARC
(2,13),-5.86096 # DEPENDENCYPART_ARC
(2,14),-6.48078 # DEPENDENCYPART_ARC
(2,15),-1.64403 # DEPENDENCYPART_ARC
(2,16),-1.81344 # DEPENDENCYPART_ARC
(2,17),-2.35575 # DEPENDENCYPART_ARC
(2,18),-8.04545 # DEPENDENCYPART_ARC
(2,19),-5.79685 # DEPENDENCYPART_ARC
(2,20),-6.9168 # DEPENDENCYPART_ARC
(3,1),2.07303 # DEPENDENCYPART_ARC
(3,2),3.91984 # DEPENDENCYPART_ARC
(3,4),2.78538 # DEPENDENCYPART_ARC
(3,5),-0.888885 # DEPENDENCYPART_ARC
(3,6),-2.06062 # DEPENDENCYPART_ARC
(3,7),0.263342 # DEPENDENCYPART_ARC
(3,8),0.351041 # DEPENDENCYPART_ARC
(3,9),0.660282 # DEPENDENCYPART_ARC
(3,10),-0.402553 # DEPENDENCYPART_ARC
(3,12),-2.16517 # DEPENDENCYPART_ARC
