# _root_ Doposud jsme byli zvyklí na to , že školy organizovaly nejrůznější soutěže , zájezdy nebo přehlídky a peníze na ně byly vždy nějakým způsobem zajištěny .
#goldHeads=3,3,0,3,4,5,8,6,10,17,15,15,15,15,10,15,8,25,18,19,25,25,24,25,17,0,
#predictedHeads=3,3,0,3,4,5,8,6,10,8,12,10,15,15,25,15,15,17,25,19,25,25,24,25,12,0,
(0,1),-0.180183 # DEPENDENCYPART_ARC
(0,2),0.0207753 # DEPENDENCYPART_ARC
(0,3),0.320265 # DEPENDENCYPART_ARC
(0,4),-1.75955 # DEPENDENCYPART_ARC
(0,5),-2.24877 # DEPENDENCYPART_ARC
(0,6),-1.51571 # DEPENDENCYPART_ARC
(0,7),-0.386065 # DEPENDENCYPART_ARC
(0,8),-2.78428 # DEPENDENCYPART_ARC
(0,9),-3.49171 # DEPENDENCYPART_ARC
(0,10),-0.526461 # DEPENDENCYPART_ARC
(0,11),-3.22407 # DEPENDENCYPART_ARC
(0,12),-3.79979 # DEPENDENCYPART_ARC
(0,13),-1.03339 # DEPENDENCYPART_ARC
(0,14),-4.13679 # DEPENDENCYPART_ARC
(0,15),-2.98518 # DEPENDENCYPART_ARC
(0,16),-4.81615 # DEPENDENCYPART_ARC
(0,17),-2.0481 # DEPENDENCYPART_ARC
(0,18),-4.75739 # DEPENDENCYPART_ARC
(0,19),-4.77031 # DEPENDENCYPART_ARC
(0,20),-2.99933 # DEPENDENCYPART_ARC
(0,21),-2.04771 # DEPENDENCYPART_ARC
(0,22),-4.16437 # DEPENDENCYPART_ARC
(0,23),-2.41333 # DEPENDENCYPART_ARC
(0,24),-6.13522 # DEPENDENCYPART_ARC
(0,25),-2.07472 # DEPENDENCYPART_ARC
(0,26),4.53579 # DEPENDENCYPART_ARC
(1,2),0.134104 # DEPENDENCYPART_ARC
(1,3),-0.37149 # DEPENDENCYPART_ARC
(1,4),-0.7955 # DEPENDENCYPART_ARC
(1,5),-0.890823 # DEPENDENCYPART_ARC
(1,6),-1.124 # DEPENDENCYPART_ARC
(1,7),-0.423429 # DEPENDENCYPART_ARC
(1,8),-1.14988 # DEPENDENCYPART_ARC
(1,9),-2.3489 # DEPENDENCYPART_ARC
(1,10),-1.50855 # DEPENDENCYPART_ARC
(1,11),-1.73284 # DEPENDENCYPART_ARC
(1,12),-3.04252 # DEPENDENCYPART_ARC
(1,13),-0.591191 # DEPENDENCYPART_ARC
(1,14),-3.33481 # DEPENDENCYPART_ARC
(1,15),-2.08783 # DEPENDENCYPART_ARC
(1,16),-3.65111 # DEPENDENCYPART_ARC
(1,17),-2.41219 # DEPENDENCYPART_ARC
(1,18),-4.23848 # DEPENDENCYPART_ARC
(1,19),-2.98157 # DEPENDENCYPART_ARC
(1,20),-2.64255 # DEPENDENCYPART_ARC
(1,21),-2.76993 # DEPENDENCYPART_ARC
(1,22),-2.30377 # DEPENDENCYPART_ARC
(1,23),-2.87641 # DEPENDENCYPART_ARC
(1,24),-5.33487 # DEPENDENCYPART_ARC
(1,25),-2.68348 # DEPENDENCYPART_ARC
(1,26),-3.92752 # DEPENDENCYPART_ARC
(2,1),0.867508 # DEPENDENCYPART_ARC
(2,3),-0.695254 # DEPENDENCYPART_ARC
(2,4),-0.684988 # DEPENDENCYPART_ARC
(2,5),-1.16204 # DEPENDENCYPART_ARC
(2,6),-1.51828 # DEPENDENCYPART_ARC
(2,7),-0.90868 # DEPENDENCYPART_ARC
(2,8),-0.664629 # DEPENDENCYPART_ARC
(2,9),-4.45062 # DEPENDENCYPART_ARC
(2,10),-4.60649 # DEPENDENCYPART_ARC
(2,11),-7.07345 # DEPENDENCYPART_ARC
(2,12),-4.30538 # DEPENDENCYPART_ARC
(2,13),-0.61886 # DEPENDENCYPART_ARC
(2,14),-4.97789 # DEPENDENCYPART_ARC
(2,15),-1.63506 # DEPENDENCYPART_ARC
(2,16),-5.32624 # DEPENDENCYPART_ARC
(2,17),-1.45478 # DEPENDENCYPART_ARC
(2,18),-5.78935 # DEPENDENCYPART_ARC
(2,19),-4.44099 # DEPENDENCYPART_ARC
(2,20),-6.67271 # DEPENDENCYPART_ARC
(2,21),-6.6614 # DEPENDENCYPART_ARC
(2,22),-2.84675 # DEPENDENCYPART_ARC
(2,23),-6.42461 # DEPENDENCYPART_ARC
(2,24),-6.70692 # DEPENDENCYPART_ARC
(2,25),-4.60466 # DEPENDENCYPART_ARC
(2,26),-1.75051 # DEPENDENCYPART_ARC
(3,1),1.76075 # DEPENDENCYPART_ARC
(3,2),4.06693 # DEPENDENCYPART_ARC
(3,4),3.85304 # DEPENDENCYPART_ARC
(3,5),1.17642 # DEPENDENCYPART_ARC
(3,6),-0.0660304 # DEPENDENCYPART_ARC
(3,7),0.484828 # DEPENDENCYPART_ARC
(3,8),0.764607 # DEPENDENCYPART_ARC
(3,9),-2.90195 # DEPENDENCYPART_ARC
(3,10),-3.06387 # DEPENDENCYPART_ARC
(3,11),-5.19693 # DEPENDENCYPART_ARC
(3,12),-1.73191 # DEPENDENCYPART_ARC
(3,13),0.666645 # DEPENDENCYPART_ARC
(3,14),-2.26143 # DEPENDENCYPART_ARC
(3,15),-0.591979 # DEPENDENCYPART_ARC
(3,16),-3.55717 # DEPENDENCYPART_ARC
(3,17),-0.79554 # DEPENDENCYPART_ARC
(3,18),-3.87171 # DEPENDENCYPART_ARC
(3,19),-2.2592 # DEPENDENCYPART_ARC
(3,20),-5.45527 # DEPENDENCYPART_ARC
(3,21),-5.90827 # DEPENDENCYPART_ARC
(3,22),-2.01031 # DEPENDENCYPART_ARC
(3,23),-4.85731 # DEPENDENCYPART_ARC
(3,24),-5.55017 # DEPENDENCYPART_ARC
(3,25),-3.91831 # DEPENDENCYPART_ARC
(3,26),-1.22567 # DEPENDENCYPART_ARC
(4,1),0.173592 # DEPENDENCYPART_ARC
(4,2),0.614673 # DEPENDENCYPART_ARC
(4,3),-0.115284 # DEPENDENCYPART_ARC
