# _root_ Předpisem , který upravuje organizování a hlavně financování soutěží a přehlídek žáků , je vyhláška č . 431 / 1992 Sb .
#goldHeads=14,4,4,1,6,4,8,6,10,6,10,11,4,0,14,15,16,16,20,18,16,21,
#predictedHeads=14,4,4,6,4,1,8,6,10,8,10,11,4,0,14,15,16,16,20,18,20,0,
(0,1),0.00866673 # DEPENDENCYPART_ARC
(0,2),0.223259 # DEPENDENCYPART_ARC
(0,3),-0.686252 # DEPENDENCYPART_ARC
(0,4),0.56191 # DEPENDENCYPART_ARC
(0,5),-1.74637 # DEPENDENCYPART_ARC
(0,6),0.221987 # DEPENDENCYPART_ARC
(0,7),-0.819488 # DEPENDENCYPART_ARC
(0,8),-1.60871 # DEPENDENCYPART_ARC
(0,9),-2.15566 # DEPENDENCYPART_ARC
(0,10),-0.805649 # DEPENDENCYPART_ARC
(0,11),-2.9155 # DEPENDENCYPART_ARC
(0,12),-2.28759 # DEPENDENCYPART_ARC
(0,13),-0.745435 # DEPENDENCYPART_ARC
(0,14),0.840921 # DEPENDENCYPART_ARC
(0,15),-2.89604 # DEPENDENCYPART_ARC
(0,16),-2.86422 # DEPENDENCYPART_ARC
(0,17),1.13708 # DEPENDENCYPART_ARC
(0,18),-1.90966 # DEPENDENCYPART_ARC
(0,19),-3.66988 # DEPENDENCYPART_ARC
(0,20),-2.6598 # DEPENDENCYPART_ARC
(0,21),-2.63772 # DEPENDENCYPART_ARC
(0,22),3.70156 # DEPENDENCYPART_ARC
(1,2),0.324346 # DEPENDENCYPART_ARC
(1,3),-1.46594 # DEPENDENCYPART_ARC
(1,4),2.11854 # DEPENDENCYPART_ARC
(1,5),-2.65217 # DEPENDENCYPART_ARC
(1,6),1.0093 # DEPENDENCYPART_ARC
(1,7),-0.319265 # DEPENDENCYPART_ARC
(1,8),-3.76919 # DEPENDENCYPART_ARC
(1,9),-0.947383 # DEPENDENCYPART_ARC
(1,10),0.253237 # DEPENDENCYPART_ARC
(1,11),-1.83523 # DEPENDENCYPART_ARC
(1,12),-1.69475 # DEPENDENCYPART_ARC
(1,13),-0.148143 # DEPENDENCYPART_ARC
(1,14),-2.42333 # DEPENDENCYPART_ARC
(1,15),-4.65332 # DEPENDENCYPART_ARC
(1,16),-2.08958 # DEPENDENCYPART_ARC
(1,17),-5.40796 # DEPENDENCYPART_ARC
(1,18),-1.52604 # DEPENDENCYPART_ARC
(1,19),-0.36933 # DEPENDENCYPART_ARC
(1,20),-1.16368 # DEPENDENCYPART_ARC
(1,21),-3.619 # DEPENDENCYPART_ARC
(1,22),-8.30469 # DEPENDENCYPART_ARC
