# _root_ Stačí jen , aby se jedné z nich pokusil násilím zmocnit oplzlý klient , a autoritativní šéfka kurtizán jej bez mrknutí oka odstřelí .
#goldHeads=15,1,4,1,9,11,6,7,4,11,9,13,9,15,0,17,23,17,23,23,20,21,15,0,
#predictedHeads=0,1,4,1,9,9,6,7,4,9,9,13,15,15,11,17,23,17,23,23,20,21,15,0,
(0,1),0.0167956 # DEPENDENCYPART_ARC
(0,2),-1.01905 # DEPENDENCYPART_ARC
(0,3),-0.316683 # DEPENDENCYPART_ARC
(0,4),-1.67943 # DEPENDENCYPART_ARC
(0,6),-2.64473 # DEPENDENCYPART_ARC
(0,7),-2.47149 # DEPENDENCYPART_ARC
(0,9),-1.37678 # DEPENDENCYPART_ARC
(0,10),-4.16111 # DEPENDENCYPART_ARC
(0,11),-2.30157 # DEPENDENCYPART_ARC
(0,12),-3.58286 # DEPENDENCYPART_ARC
(0,13),-3.89727 # DEPENDENCYPART_ARC
(0,14),-1.10037 # DEPENDENCYPART_ARC
(0,15),-1.25869 # DEPENDENCYPART_ARC
(0,16),-3.75074 # DEPENDENCYPART_ARC
(0,17),-4.44861 # DEPENDENCYPART_ARC
(0,18),-6.04882 # DEPENDENCYPART_ARC
(0,19),-3.44477 # DEPENDENCYPART_ARC
(0,20),-5.18175 # DEPENDENCYPART_ARC
(0,21),-5.6146 # DEPENDENCYPART_ARC
(0,22),-6.16366 # DEPENDENCYPART_ARC
(0,23),-2.97104 # DEPENDENCYPART_ARC
(0,24),4.03476 # DEPENDENCYPART_ARC
(1,2),0.152536 # DEPENDENCYPART_ARC
(1,3),0.245864 # DEPENDENCYPART_ARC
(1,4),2.1637 # DEPENDENCYPART_ARC
(1,5),0.0703372 # DEPENDENCYPART_ARC
(1,6),-0.921913 # DEPENDENCYPART_ARC
(1,7),-0.599116 # DEPENDENCYPART_ARC
(1,9),-2.18012 # DEPENDENCYPART_ARC
(1,10),-2.43123 # DEPENDENCYPART_ARC
(1,11),-0.190577 # DEPENDENCYPART_ARC
(1,12),-3.21841 # DEPENDENCYPART_ARC
(1,13),-2.37513 # DEPENDENCYPART_ARC
(1,14),-0.476087 # DEPENDENCYPART_ARC
(1,15),-0.273218 # DEPENDENCYPART_ARC
(1,16),-5.03936 # DEPENDENCYPART_ARC
(1,17),-3.3837 # DEPENDENCYPART_ARC
(1,18),-6.32016 # DEPENDENCYPART_ARC
(1,19),-3.32084 # DEPENDENCYPART_ARC
(1,20),-1.79429 # DEPENDENCYPART_ARC
(1,21),-7.34167 # DEPENDENCYPART_ARC
(1,22),-6.6278 # DEPENDENCYPART_ARC
(1,23),-3.66411 # DEPENDENCYPART_ARC
(1,24),-1.31658 # DEPENDENCYPART_ARC
(2,1),-0.495009 # DEPENDENCYPART_ARC
