# _root_ Toman žádal později v dopise ministra vnitra Noska , s kterým se dobře znal , o vydání svého syna a stejně učinili i příbuzní ze Slovenska a dokonce až z Austrálie .
#goldHeads=2,20,2,2,4,8,6,2,14,14,10,14,14,8,14,2,16,19,17,0,22,20,24,22,27,25,24,31,31,27,30,0,
#predictedHeads=2,0,2,2,4,8,6,2,14,14,10,14,14,8,20,14,16,19,17,17,22,20,24,22,24,25,22,29,31,27,30,0,
(0,1),-1.23872 # DEPENDENCYPART_ARC
(0,2),-0.138728 # DEPENDENCYPART_ARC
(0,3),-0.515352 # DEPENDENCYPART_ARC
(0,4),-1.06816 # DEPENDENCYPART_ARC
(0,5),-1.88198 # DEPENDENCYPART_ARC
(0,6),-1.40026 # DEPENDENCYPART_ARC
(0,7),-2.08136 # DEPENDENCYPART_ARC
(0,8),-1.32748 # DEPENDENCYPART_ARC
(0,9),-0.676372 # DEPENDENCYPART_ARC
(0,10),-3.12416 # DEPENDENCYPART_ARC
(0,11),-2.00221 # DEPENDENCYPART_ARC
(0,12),-2.9464 # DEPENDENCYPART_ARC
(0,13),-1.95828 # DEPENDENCYPART_ARC
(0,14),-1.02943 # DEPENDENCYPART_ARC
(0,15),-0.963015 # DEPENDENCYPART_ARC
(0,16),-3.28152 # DEPENDENCYPART_ARC
(0,17),-3.80855 # DEPENDENCYPART_ARC
(0,18),-2.26285 # DEPENDENCYPART_ARC
(0,19),-3.91772 # DEPENDENCYPART_ARC
(0,20),-0.525585 # DEPENDENCYPART_ARC
(0,21),-3.86611 # DEPENDENCYPART_ARC
(0,22),-1.25608 # DEPENDENCYPART_ARC
(0,23),-3.65062 # DEPENDENCYPART_ARC
(0,24),-3.7082 # DEPENDENCYPART_ARC
(0,25),-5.73418 # DEPENDENCYPART_ARC
(0,26),-3.70405 # DEPENDENCYPART_ARC
(0,27),-1.24956 # DEPENDENCYPART_ARC
(0,28),-5.333 # DEPENDENCYPART_ARC
(0,29),-4.62209 # DEPENDENCYPART_ARC
(0,30),-7.90939 # DEPENDENCYPART_ARC
(0,31),-4.2271 # DEPENDENCYPART_ARC
(0,32),4.37405 # DEPENDENCYPART_ARC
(1,2),-0.137408 # DEPENDENCYPART_ARC
(1,3),-1.09792 # DEPENDENCYPART_ARC
(1,4),-2.01089 # DEPENDENCYPART_ARC
(1,5),-2.86163 # DEPENDENCYPART_ARC
(1,6),-4.79492 # DEPENDENCYPART_ARC
(1,7),-2.26034 # DEPENDENCYPART_ARC
(1,8),-6.88123 # DEPENDENCYPART_ARC
(1,9),-0.676628 # DEPENDENCYPART_ARC
(1,10),-2.45539 # DEPENDENCYPART_ARC
(1,11),-3.65578 # DEPENDENCYPART_ARC
(1,12),-3.00716 # DEPENDENCYPART_ARC
(1,13),-2.10855 # DEPENDENCYPART_ARC
(1,14),-1.78495 # DEPENDENCYPART_ARC
(1,15),-1.20705 # DEPENDENCYPART_ARC
(1,16),-4.58879 # DEPENDENCYPART_ARC
(1,17),-8.56015 # DEPENDENCYPART_ARC
(1,18),-3.36727 # DEPENDENCYPART_ARC
(1,19),-6.02947 # DEPENDENCYPART_ARC
(1,20),-1.04533 # DEPENDENCYPART_ARC
(1,21),-2.88829 # DEPENDENCYPART_ARC
(1,22),-3.86943 # DEPENDENCYPART_ARC
(1,23),-3.14607 # DEPENDENCYPART_ARC
(1,24),-7.953 # DEPENDENCYPART_ARC
(1,25),-4.21984 # DEPENDENCYPART_ARC
(1,26),-7.06712 # DEPENDENCYPART_ARC
(1,27),-2.4585 # DEPENDENCYPART_ARC
(1,28),-2.51911 # DEPENDENCYPART_ARC
(1,29),-5.23153 # DEPENDENCYPART_ARC
(1,30),-6.50182 # DEPENDENCYPART_ARC
(1,31),-8.37641 # DEPENDENCYPART_ARC
(1,32),-11.5528 # DEPENDENCYPART_ARC
(2,1),3.522 # DEPENDENCYPART_ARC
(2,3),2.23586 # DEPENDENCYPART_ARC
(2,4),2.80132 # DEPENDENCYPART_ARC
(2,5),1.02125 # DEPENDENCYPART_ARC
(2,6),2.728 # DEPENDENCYPART_ARC
(2,7),0.568295 # DEPENDENCYPART_ARC
(2,8),2.7789 # DEPENDENCYPART_ARC
(2,9),1.11697 # DEPENDENCYPART_ARC
(2,10),0.769605 # DEPENDENCYPART_ARC
(2,11),-1.02045 # DEPENDENCYPART_ARC
(2,12),-0.157005 # DEPENDENCYPART_ARC
(2,13),0.830356 # DEPENDENCYPART_ARC
(2,14),-0.9233 # DEPENDENCYPART_ARC
