# _root_ Světová návrhářská smetánka se totiž rozhodla všem , které jsou nevšímavé vůči kouzlu negližé , vyhlásit nelítostný boj a ve svých kolekcích povýšit prádlo do řad oficiálního svrchního ošacení .
#goldHeads=3,3,6,6,6,0,16,10,10,7,10,11,12,13,10,19,18,16,6,23,22,20,19,23,23,25,29,29,26,0,
#predictedHeads=3,3,6,6,6,0,6,10,10,7,10,11,12,13,10,19,18,16,10,23,22,20,19,23,23,25,29,29,26,0,
(0,1),-0.091768 # DEPENDENCYPART_ARC
(0,2),-0.239404 # DEPENDENCYPART_ARC
(0,3),-1.12357 # DEPENDENCYPART_ARC
(0,4),-1.32784 # DEPENDENCYPART_ARC
(0,5),-0.421795 # DEPENDENCYPART_ARC
(0,6),0.661368 # DEPENDENCYPART_ARC
(0,7),-1.42725 # DEPENDENCYPART_ARC
(0,8),0.0638424 # DEPENDENCYPART_ARC
(0,9),-1.58409 # DEPENDENCYPART_ARC
(0,10),-0.95126 # DEPENDENCYPART_ARC
(0,11),-2.24969 # DEPENDENCYPART_ARC
(0,12),-2.71408 # DEPENDENCYPART_ARC
(0,13),-2.44644 # DEPENDENCYPART_ARC
(0,14),-2.10841 # DEPENDENCYPART_ARC
(0,15),-0.565278 # DEPENDENCYPART_ARC
(0,16),-0.0598858 # DEPENDENCYPART_ARC
(0,17),-2.99165 # DEPENDENCYPART_ARC
(0,18),-3.83562 # DEPENDENCYPART_ARC
(0,19),-0.660843 # DEPENDENCYPART_ARC
(0,20),-5.07097 # DEPENDENCYPART_ARC
(0,21),-2.47353 # DEPENDENCYPART_ARC
(0,22),-5.24107 # DEPENDENCYPART_ARC
(0,23),-1.70179 # DEPENDENCYPART_ARC
(0,24),-4.8505 # DEPENDENCYPART_ARC
(0,25),-4.30954 # DEPENDENCYPART_ARC
(0,26),-5.70559 # DEPENDENCYPART_ARC
(0,27),-4.58827 # DEPENDENCYPART_ARC
(0,28),-4.61221 # DEPENDENCYPART_ARC
(0,29),-5.56828 # DEPENDENCYPART_ARC
(0,30),4.81337 # DEPENDENCYPART_ARC
(1,2),-0.677772 # DEPENDENCYPART_ARC
(1,3),-0.620218 # DEPENDENCYPART_ARC
(1,4),-0.83638 # DEPENDENCYPART_ARC
(1,5),-0.773437 # DEPENDENCYPART_ARC
(1,6),-2.90915 # DEPENDENCYPART_ARC
(1,7),-1.02091 # DEPENDENCYPART_ARC
(1,8),-0.912849 # DEPENDENCYPART_ARC
(1,9),-3.53548 # DEPENDENCYPART_ARC
(1,10),-2.98067 # DEPENDENCYPART_ARC
(1,11),-2.51716 # DEPENDENCYPART_ARC
(1,12),-1.42791 # DEPENDENCYPART_ARC
(1,13),-2.26714 # DEPENDENCYPART_ARC
(1,14),-3.2492 # DEPENDENCYPART_ARC
(1,15),-1.26459 # DEPENDENCYPART_ARC
(1,16),-1.75347 # DEPENDENCYPART_ARC
(1,17),-4.18037 # DEPENDENCYPART_ARC
(1,18),-5.89904 # DEPENDENCYPART_ARC
(1,19),-2.42087 # DEPENDENCYPART_ARC
(1,20),-3.44564 # DEPENDENCYPART_ARC
(1,21),-3.95209 # DEPENDENCYPART_ARC
(1,22),-5.60865 # DEPENDENCYPART_ARC
(1,23),-2.42954 # DEPENDENCYPART_ARC
(1,24),-7.99269 # DEPENDENCYPART_ARC
(1,25),-3.28562 # DEPENDENCYPART_ARC
(1,26),-7.57345 # DEPENDENCYPART_ARC
(1,27),-6.31039 # DEPENDENCYPART_ARC
(1,28),-6.50599 # DEPENDENCYPART_ARC
(1,29),-7.46222 # DEPENDENCYPART_ARC
(1,30),-5.69969 # DEPENDENCYPART_ARC
(2,1),0.271915 # DEPENDENCYPART_ARC
(2,3),-0.124938 # DEPENDENCYPART_ARC
(2,4),-0.296137 # DEPENDENCYPART_ARC
(2,5),-0.688316 # DEPENDENCYPART_ARC
(2,6),-2.89158 # DEPENDENCYPART_ARC
(2,7),-0.848895 # DEPENDENCYPART_ARC
(2,8),-0.844203 # DEPENDENCYPART_ARC
(2,9),-3.57358 # DEPENDENCYPART_ARC
(2,10),-3.01717 # DEPENDENCYPART_ARC
(2,11),-2.44461 # DEPENDENCYPART_ARC
(2,12),-1.35768 # DEPENDENCYPART_ARC
(2,13),-2.51412 # DEPENDENCYPART_ARC
(2,14),-3.58997 # DEPENDENCYPART_ARC
(2,15),-1.26363 # DEPENDENCYPART_ARC
(2,16),-1.81497 # DEPENDENCYPART_ARC
(2,17),-4.03381 # DEPENDENCYPART_ARC
(2,18),-5.98018 # DEPENDENCYPART_ARC
(2,19),-2.40089 # DEPENDENCYPART_ARC
(2,20),-3.7867 # DEPENDENCYPART_ARC
(2,21),-3.9006 # DEPENDENCYPART_ARC
(2,22),-6.09202 # DEPENDENCYPART_ARC
(2,23),-2.46228 # DEPENDENCYPART_ARC
(2,24),-8.05607 # DEPENDENCYPART_ARC
(2,25),-3.60758 # DEPENDENCYPART_ARC
(2,26),-7.66629 # DEPENDENCYPART_ARC
(2,27),-6.24183 # DEPENDENCYPART_ARC
(2,28),-6.22267 # DEPENDENCYPART_ARC
(2,29),-7.74885 # DEPENDENCYPART_ARC
(2,30),-5.60841 # DEPENDENCYPART_ARC
(3,1),4.49201 # DEPENDENCYPART_ARC
(3,2),5.2074 # DEPENDENCYPART_ARC
(3,4),0.465941 # DEPENDENCYPART_ARC
