# _root_ Místo toho jsou jen profesionálně velmi slušně odvedeným , poutavým , leč značně konfekčním řemeslem .
#goldHeads=3,1,0,8,8,7,8,12,12,12,12,15,14,12,3,0,
#predictedHeads=3,1,0,5,3,7,8,9,12,9,12,3,14,15,12,0,
(0,1),-1.02414 # DEPENDENCYPART_ARC
(0,2),-1.87868 # DEPENDENCYPART_ARC
(0,3),-0.2055 # DEPENDENCYPART_ARC
(0,4),-0.737903 # DEPENDENCYPART_ARC
(0,5),-1.23004 # DEPENDENCYPART_ARC
(0,6),-1.30579 # DEPENDENCYPART_ARC
(0,7),-1.36343 # DEPENDENCYPART_ARC
(0,8),-2.00351 # DEPENDENCYPART_ARC
(0,9),-1.42893 # DEPENDENCYPART_ARC
(0,10),-2.1716 # DEPENDENCYPART_ARC
(0,11),-1.43485 # DEPENDENCYPART_ARC
(0,12),-0.627446 # DEPENDENCYPART_ARC
(0,13),-1.99906 # DEPENDENCYPART_ARC
(0,14),-2.72627 # DEPENDENCYPART_ARC
(0,15),-2.11977 # DEPENDENCYPART_ARC
(0,16),3.89971 # DEPENDENCYPART_ARC
(1,2),3.99299 # DEPENDENCYPART_ARC
(1,3),-0.30326 # DEPENDENCYPART_ARC
(1,4),-0.319315 # DEPENDENCYPART_ARC
(1,5),-1.31167 # DEPENDENCYPART_ARC
(1,6),-0.842634 # DEPENDENCYPART_ARC
(1,7),-1.56865 # DEPENDENCYPART_ARC
(1,8),-1.97042 # DEPENDENCYPART_ARC
(1,9),-1.15076 # DEPENDENCYPART_ARC
(1,10),-2.04482 # DEPENDENCYPART_ARC
(1,11),-1.40316 # DEPENDENCYPART_ARC
(1,12),-1.9274 # DEPENDENCYPART_ARC
(1,13),-2.42308 # DEPENDENCYPART_ARC
(1,14),-2.97048 # DEPENDENCYPART_ARC
(1,15),-2.49907 # DEPENDENCYPART_ARC
(1,16),-2.55923 # DEPENDENCYPART_ARC
(2,1),0.171087 # DEPENDENCYPART_ARC
(2,3),0.0789772 # DEPENDENCYPART_ARC
(2,4),-0.679261 # DEPENDENCYPART_ARC
(2,5),-0.920341 # DEPENDENCYPART_ARC
(2,6),-1.02824 # DEPENDENCYPART_ARC
(2,7),-1.24827 # DEPENDENCYPART_ARC
(2,8),-1.90084 # DEPENDENCYPART_ARC
(2,9),-0.945422 # DEPENDENCYPART_ARC
(2,10),-2.26103 # DEPENDENCYPART_ARC
(2,11),-0.877806 # DEPENDENCYPART_ARC
(2,12),-1.39274 # DEPENDENCYPART_ARC
(2,13),-2.07039 # DEPENDENCYPART_ARC
(2,14),-3.12484 # DEPENDENCYPART_ARC
(2,15),-3.93182 # DEPENDENCYPART_ARC
(2,16),-1.59902 # DEPENDENCYPART_ARC
(3,1),3.43496 # DEPENDENCYPART_ARC
(3,2),-1.76745 # DEPENDENCYPART_ARC
(3,4),0.465913 # DEPENDENCYPART_ARC
(3,5),1.56294 # DEPENDENCYPART_ARC
(3,6),0.902669 # DEPENDENCYPART_ARC
(3,7),1.06227 # DEPENDENCYPART_ARC
(3,8),-0.66609 # DEPENDENCYPART_ARC
(3,9),0.108948 # DEPENDENCYPART_ARC
(3,10),-2.56254 # DEPENDENCYPART_ARC
(3,11),0.00801369 # DEPENDENCYPART_ARC
(3,12),0.952117 # DEPENDENCYPART_ARC
(3,13),-1.15604 # DEPENDENCYPART_ARC
(3,14),-4.9494 # DEPENDENCYPART_ARC
(3,15),-1.48328 # DEPENDENCYPART_ARC
(3,16),0.227112 # DEPENDENCYPART_ARC
(4,1),-1.10568 # DEPENDENCYPART_ARC
(4,2),-0.904211 # DEPENDENCYPART_ARC
(4,3),-0.603421 # DEPENDENCYPART_ARC
(4,5),-0.439316 # DEPENDENCYPART_ARC
(4,6),-0.92635 # DEPENDENCYPART_ARC
(4,7),-1.01418 # DEPENDENCYPART_ARC
(4,8),-1.34494 # DEPENDENCYPART_ARC
(4,9),-0.582399 # DEPENDENCYPART_ARC
(4,10),-1.89051 # DEPENDENCYPART_ARC
(4,11),-0.95736 # DEPENDENCYPART_ARC
(4,12),-1.35392 # DEPENDENCYPART_ARC
(4,13),-1.65542 # DEPENDENCYPART_ARC
(4,14),-2.33326 # DEPENDENCYPART_ARC
(4,15),-2.40139 # DEPENDENCYPART_ARC
(4,16),-1.57642 # DEPENDENCYPART_ARC
(5,1),-0.491545 # DEPENDENCYPART_ARC
(5,2),0.731509 # DEPENDENCYPART_ARC
(5,3),-0.930283 # DEPENDENCYPART_ARC
(5,4),1.76706 # DEPENDENCYPART_ARC
(5,6),0.453462 # DEPENDENCYPART_ARC
(5,7),-0.544086 # DEPENDENCYPART_ARC
(5,8),-1.96767 # DEPENDENCYPART_ARC
