# _root_ Obecně ve světě platí , že takovéto osoby požívají zvláštní důstojnosti a nedotknutelnosti , uvedl Dobal .
#goldHeads=4,4,2,15,6,4,8,9,6,12,12,9,12,4,0,15,0,
#predictedHeads=4,4,2,0,6,4,8,9,6,11,12,9,12,6,0,15,0,
(0,1),0.177096 # DEPENDENCYPART_ARC
(0,2),-0.138616 # DEPENDENCYPART_ARC
(0,3),-1.31638 # DEPENDENCYPART_ARC
(0,4),0.455415 # DEPENDENCYPART_ARC
(0,5),0.000564155 # DEPENDENCYPART_ARC
(0,6),-1.34889 # DEPENDENCYPART_ARC
(0,7),-1.2726 # DEPENDENCYPART_ARC
(0,8),-2.40148 # DEPENDENCYPART_ARC
(0,9),0.265281 # DEPENDENCYPART_ARC
(0,10),-2.75293 # DEPENDENCYPART_ARC
(0,11),-3.51033 # DEPENDENCYPART_ARC
(0,12),-1.36198 # DEPENDENCYPART_ARC
(0,13),-3.45545 # DEPENDENCYPART_ARC
(0,14),-0.585902 # DEPENDENCYPART_ARC
(0,15),2.34128 # DEPENDENCYPART_ARC
(0,16),-3.35802 # DEPENDENCYPART_ARC
(0,17),4.33037 # DEPENDENCYPART_ARC
(1,2),0.38077 # DEPENDENCYPART_ARC
(1,3),-0.437336 # DEPENDENCYPART_ARC
(1,4),-0.882742 # DEPENDENCYPART_ARC
(1,5),-0.353581 # DEPENDENCYPART_ARC
(1,6),-1.17679 # DEPENDENCYPART_ARC
(1,7),-1.9412 # DEPENDENCYPART_ARC
(1,8),-3.51281 # DEPENDENCYPART_ARC
(1,9),-1.99197 # DEPENDENCYPART_ARC
(1,10),-2.02855 # DEPENDENCYPART_ARC
(1,11),-2.3872 # DEPENDENCYPART_ARC
(1,12),-2.03265 # DEPENDENCYPART_ARC
(1,13),-2.88328 # DEPENDENCYPART_ARC
(1,14),-0.660346 # DEPENDENCYPART_ARC
(1,15),-2.87301 # DEPENDENCYPART_ARC
(1,16),-5.77113 # DEPENDENCYPART_ARC
(1,17),-2.66945 # DEPENDENCYPART_ARC
(2,1),-0.618917 # DEPENDENCYPART_ARC
(2,3),5.34242 # DEPENDENCYPART_ARC
(2,4),-0.783622 # DEPENDENCYPART_ARC
(2,5),-0.328157 # DEPENDENCYPART_ARC
(2,6),-1.22259 # DEPENDENCYPART_ARC
(2,7),-3.75816 # DEPENDENCYPART_ARC
(2,8),-3.64913 # DEPENDENCYPART_ARC
(2,9),-2.03774 # DEPENDENCYPART_ARC
(2,10),-3.52479 # DEPENDENCYPART_ARC
(2,11),-5.95027 # DEPENDENCYPART_ARC
(2,12),-1.64268 # DEPENDENCYPART_ARC
(2,13),-7.33798 # DEPENDENCYPART_ARC
(2,14),-1.6127 # DEPENDENCYPART_ARC
(2,15),-2.9005 # DEPENDENCYPART_ARC
(2,16),-8.86135 # DEPENDENCYPART_ARC
(2,17),-3.05086 # DEPENDENCYPART_ARC
(3,1),0.0427283 # DEPENDENCYPART_ARC
(3,2),0.801808 # DEPENDENCYPART_ARC
(3,4),-1.07287 # DEPENDENCYPART_ARC
(3,5),-1.38924 # DEPENDENCYPART_ARC
(3,6),-0.51847 # DEPENDENCYPART_ARC
(3,7),-2.72499 # DEPENDENCYPART_ARC
(3,8),-2.17052 # DEPENDENCYPART_ARC
(3,9),-3.37736 # DEPENDENCYPART_ARC
(3,10),-4.62511 # DEPENDENCYPART_ARC
(3,11),-1.61066 # DEPENDENCYPART_ARC
(3,12),-1.32819 # DEPENDENCYPART_ARC
(3,13),-3.40815 # DEPENDENCYPART_ARC
(3,14),-2.0875 # DEPENDENCYPART_ARC
(3,15),-6.17682 # DEPENDENCYPART_ARC
(3,16),-5.92681 # DEPENDENCYPART_ARC
(3,17),-6.197 # DEPENDENCYPART_ARC
(4,1),1.98345 # DEPENDENCYPART_ARC
(4,2),2.44831 # DEPENDENCYPART_ARC
(4,3),1.06574 # DEPENDENCYPART_ARC
(4,5),1.00329 # DEPENDENCYPART_ARC
(4,6),1.79268 # DEPENDENCYPART_ARC
(4,7),-2.28021 # DEPENDENCYPART_ARC
(4,8),-1.67696 # DEPENDENCYPART_ARC
(4,9),-0.882714 # DEPENDENCYPART_ARC
(4,10),-5.56672 # DEPENDENCYPART_ARC
(4,11),-3.8638 # DEPENDENCYPART_ARC
(4,12),-0.145991 # DEPENDENCYPART_ARC
(4,13),-5.74681 # DEPENDENCYPART_ARC
(4,14),0.784305 # DEPENDENCYPART_ARC
(4,15),-3.94866 # DEPENDENCYPART_ARC
(4,16),-3.11089 # DEPENDENCYPART_ARC
(4,17),-1.01104 # DEPENDENCYPART_ARC
(5,1),-0.393002 # DEPENDENCYPART_ARC
(5,2),-0.156918 # DEPENDENCYPART_ARC
(5,3),-0.0281469 # DEPENDENCYPART_ARC
(5,4),-0.311768 # DEPENDENCYPART_ARC
(5,6),0.396646 # DEPENDENCYPART_ARC
(5,7),-0.965504 # DEPENDENCYPART_ARC
(5,8),-1.43181 # DEPENDENCYPART_ARC
(5,9),-0.157489 # DEPENDENCYPART_ARC
(5,10),-1.15446 # DEPENDENCYPART_ARC
(5,11),-2.33069 # DEPENDENCYPART_ARC
(5,12),-1.1091 # DEPENDENCYPART_ARC
(5,13),-2.75437 # DEPENDENCYPART_ARC
(5,14),-0.966683 # DEPENDENCYPART_ARC
(5,15),-2.00595 # DEPENDENCYPART_ARC
(5,16),-3.67995 # DEPENDENCYPART_ARC
(5,17),-1.69806 # DEPENDENCYPART_ARC
(6,1),-1.1602 # DEPENDENCYPART_ARC
(6,2),-1.31751 # DEPENDENCYPART_ARC
(6,3),-0.382889 # DEPENDENCYPART_ARC
(6,4),-0.828303 # DEPENDENCYPART_ARC
(6,5),2.97313 # DEPENDENCYPART_ARC
(6,7),0.253195 # DEPENDENCYPART_ARC
(6,8),-1.50626 # DEPENDENCYPART_ARC
(6,9),2.52377 # DEPENDENCYPART_ARC
(6,10),-1.03813 # DEPENDENCYPART_ARC
(6,11),-2.09117 # DEPENDENCYPART_ARC
(6,12),0.50214 # DEPENDENCYPART_ARC
(6,13),-2.46933 # DEPENDENCYPART_ARC
(6,14),1.29535 # DEPENDENCYPART_ARC
(6,15),0.384234 # DEPENDENCYPART_ARC
(6,16),-3.58037 # DEPENDENCYPART_ARC
(6,17),-0.688072 # DEPENDENCYPART_ARC
(7,1),-1.77311 # DEPENDENCYPART_ARC
(7,2),-2.06834 # DEPENDENCYPART_ARC
(7,3),-3.62736 # DEPENDENCYPART_ARC
(7,4),-3.29058 # DEPENDENCYPART_ARC
(7,5),-0.818582 # DEPENDENCYPART_ARC
(7,6),-0.229667 # DEPENDENCYPART_ARC
(7,8),0.296753 # DEPENDENCYPART_ARC
