# _root_ Ale taky čarodějem - uvážíme - li , že za pouhých 20 let dokázal vybudovat čtvrté největší hospodářské impérium v Itálii , že dokázal za kratičké tři měsíce " vydupat ze země " vlastní stranu Forza Italia .
#goldHeads=0,3,1,7,7,7,1,22,22,15,12,10,12,9,14,19,19,19,15,15,20,5,22,23,30,28,28,25,30,24,30,31,30,35,30,35,36,0,
#predictedHeads=0,5,1,1,7,7,3,9,5,14,13,14,12,9,14,19,19,19,15,19,20,23,15,23,24,28,28,25,14,24,30,31,35,35,30,37,35,0,
(0,1),2.17655 # DEPENDENCYPART_ARC
(0,2),-0.607795 # DEPENDENCYPART_ARC
(0,3),-0.793096 # DEPENDENCYPART_ARC
(0,4),-0.136447 # DEPENDENCYPART_ARC
(0,5),0.90492 # DEPENDENCYPART_ARC
(0,6),-0.102596 # DEPENDENCYPART_ARC
(0,7),-1.05644 # DEPENDENCYPART_ARC
(0,8),-0.582204 # DEPENDENCYPART_ARC
(0,9),-2.30446 # DEPENDENCYPART_ARC
(0,10),-1.61475 # DEPENDENCYPART_ARC
(0,11),-3.46115 # DEPENDENCYPART_ARC
(0,12),-1.94554 # DEPENDENCYPART_ARC
(0,13),-3.89286 # DEPENDENCYPART_ARC
(0,14),-1.2729 # DEPENDENCYPART_ARC
(0,15),-1.14787 # DEPENDENCYPART_ARC
(0,16),-3.33817 # DEPENDENCYPART_ARC
(0,17),-3.18832 # DEPENDENCYPART_ARC
(0,18),-3.33797 # DEPENDENCYPART_ARC
(0,19),-4.50112 # DEPENDENCYPART_ARC
(0,20),-4.50601 # DEPENDENCYPART_ARC
(0,21),-3.927 # DEPENDENCYPART_ARC
(0,22),-1.29996 # DEPENDENCYPART_ARC
(0,23),-6.78185 # DEPENDENCYPART_ARC
(0,24),-3.34146 # DEPENDENCYPART_ARC
(0,25),-5.3954 # DEPENDENCYPART_ARC
(0,26),-4.63663 # DEPENDENCYPART_ARC
(0,27),-5.08147 # DEPENDENCYPART_ARC
(0,28),-5.32298 # DEPENDENCYPART_ARC
(0,29),-9.48957 # DEPENDENCYPART_ARC
(0,30),-1.43554 # DEPENDENCYPART_ARC
(0,31),-8.37746 # DEPENDENCYPART_ARC
(0,32),-7.09636 # DEPENDENCYPART_ARC
(0,33),-11.5615 # DEPENDENCYPART_ARC
(0,34),-5.95749 # DEPENDENCYPART_ARC
