# _root_ Dříve byly ty slabší lacinější , ale když slyšíte , kolik teď stojí připravit špičkový šestnáctkový motor . . .
#goldHeads=2,7,2,3,2,7,0,7,8,13,13,13,9,13,17,17,14,0,0,0,
#predictedHeads=2,7,2,3,7,7,0,7,8,8,14,13,8,13,17,17,14,0,0,0,
(0,1),-0.348167 # DEPENDENCYPART_ARC
(0,2),-0.0454992 # DEPENDENCYPART_ARC
(0,3),-1.75511 # DEPENDENCYPART_ARC
(0,4),-1.76626 # DEPENDENCYPART_ARC
(0,5),-1.81399 # DEPENDENCYPART_ARC
(0,6),-0.570154 # DEPENDENCYPART_ARC
(0,7),0.485789 # DEPENDENCYPART_ARC
(0,8),-1.99924 # DEPENDENCYPART_ARC
(0,9),-1.63874 # DEPENDENCYPART_ARC
(0,10),-1.43482 # DEPENDENCYPART_ARC
(0,11),-2.09351 # DEPENDENCYPART_ARC
(0,12),-1.97353 # DEPENDENCYPART_ARC
(0,13),-1.65836 # DEPENDENCYPART_ARC
(0,14),-2.04758 # DEPENDENCYPART_ARC
(0,15),-3.64983 # DEPENDENCYPART_ARC
(0,16),-3.53242 # DEPENDENCYPART_ARC
(0,17),-4.86756 # DEPENDENCYPART_ARC
(0,18),2.25956 # DEPENDENCYPART_ARC
(0,19),2.15361 # DEPENDENCYPART_ARC
(0,20),3.86078 # DEPENDENCYPART_ARC
(1,2),-1.11442 # DEPENDENCYPART_ARC
(1,3),-0.838897 # DEPENDENCYPART_ARC
(1,4),-1.68148 # DEPENDENCYPART_ARC
(1,5),-1.9011 # DEPENDENCYPART_ARC
(1,6),-1.07521 # DEPENDENCYPART_ARC
(1,7),-1.19136 # DEPENDENCYPART_ARC
(1,8),-1.34084 # DEPENDENCYPART_ARC
(1,9),-3.27377 # DEPENDENCYPART_ARC
(1,10),-1.0799 # DEPENDENCYPART_ARC
(1,12),-1.88162 # DEPENDENCYPART_ARC
(1,13),-3.57683 # DEPENDENCYPART_ARC
(1,14),-2.76411 # DEPENDENCYPART_ARC
(1,15),-3.83155 # DEPENDENCYPART_ARC
(1,16),-3.81998 # DEPENDENCYPART_ARC
(1,17),-4.70546 # DEPENDENCYPART_ARC
(1,18),-2.73016 # DEPENDENCYPART_ARC
(1,19),-3.27908 # DEPENDENCYPART_ARC
(1,20),-3.58207 # DEPENDENCYPART_ARC
(2,1),1.71154 # DEPENDENCYPART_ARC
(2,3),1.47152 # DEPENDENCYPART_ARC
(2,4),-0.132329 # DEPENDENCYPART_ARC
(2,5),0.151921 # DEPENDENCYPART_ARC
(2,6),0.438294 # DEPENDENCYPART_ARC
(2,7),0.497122 # DEPENDENCYPART_ARC
(2,8),1.21061 # DEPENDENCYPART_ARC
(2,9),-1.12471 # DEPENDENCYPART_ARC
(2,10),0.4769 # DEPENDENCYPART_ARC
(2,11),-1.6106 # DEPENDENCYPART_ARC
(2,12),-1.69731 # DEPENDENCYPART_ARC
(2,13),-3.58288 # DEPENDENCYPART_ARC
(2,14),-2.59721 # DEPENDENCYPART_ARC
(2,15),-7.25734 # DEPENDENCYPART_ARC
(2,16),-7.92115 # DEPENDENCYPART_ARC
(2,17),-4.00559 # DEPENDENCYPART_ARC
(2,18),-0.497472 # DEPENDENCYPART_ARC
(2,19),-0.36162 # DEPENDENCYPART_ARC
(2,20),-0.842061 # DEPENDENCYPART_ARC
(3,1),-0.236509 # DEPENDENCYPART_ARC
(3,2),-2.40053 # DEPENDENCYPART_ARC
(3,4),0.818121 # DEPENDENCYPART_ARC
(3,5),0.242108 # DEPENDENCYPART_ARC
(3,6),0.571302 # DEPENDENCYPART_ARC
(3,7),0.315227 # DEPENDENCYPART_ARC
(3,8),-0.010631 # DEPENDENCYPART_ARC
(3,9),-1.62598 # DEPENDENCYPART_ARC
(3,10),0.277159 # DEPENDENCYPART_ARC
(3,12),-0.654297 # DEPENDENCYPART_ARC
(3,13),-3.13357 # DEPENDENCYPART_ARC
(3,14),-3.38269 # DEPENDENCYPART_ARC
(3,15),-2.42387 # DEPENDENCYPART_ARC
(3,16),-2.6055 # DEPENDENCYPART_ARC
(3,17),-1.79423 # DEPENDENCYPART_ARC
(3,18),-0.554614 # DEPENDENCYPART_ARC
(3,19),-0.843045 # DEPENDENCYPART_ARC
(3,20),-1.11816 # DEPENDENCYPART_ARC
(4,1),-0.173272 # DEPENDENCYPART_ARC
(4,2),-2.17873 # DEPENDENCYPART_ARC
(4,3),-0.113582 # DEPENDENCYPART_ARC
(4,5),-1.15945 # DEPENDENCYPART_ARC
(4,6),0.0215171 # DEPENDENCYPART_ARC
(4,7),0.712187 # DEPENDENCYPART_ARC
(4,8),0.55945 # DEPENDENCYPART_ARC
(4,9),-2.79492 # DEPENDENCYPART_ARC
(4,10),-0.444878 # DEPENDENCYPART_ARC
(4,12),-0.80821 # DEPENDENCYPART_ARC
(4,13),-3.37046 # DEPENDENCYPART_ARC
(4,14),-1.14986 # DEPENDENCYPART_ARC
(4,15),-3.69736 # DEPENDENCYPART_ARC
(4,16),-3.78726 # DEPENDENCYPART_ARC
(4,17),-3.03542 # DEPENDENCYPART_ARC
(4,18),-1.69063 # DEPENDENCYPART_ARC
(4,19),-2.11022 # DEPENDENCYPART_ARC
(4,20),-2.64185 # DEPENDENCYPART_ARC
(5,1),0.167748 # DEPENDENCYPART_ARC
(5,2),-1.97915 # DEPENDENCYPART_ARC
(5,3),0.0960509 # DEPENDENCYPART_ARC
(5,4),-0.750076 # DEPENDENCYPART_ARC
(5,6),0.276712 # DEPENDENCYPART_ARC
(5,7),0.262022 # DEPENDENCYPART_ARC
(5,8),0.150506 # DEPENDENCYPART_ARC
(5,9),-2.61731 # DEPENDENCYPART_ARC
(5,10),-1.04117 # DEPENDENCYPART_ARC
(5,12),-1.17031 # DEPENDENCYPART_ARC
(5,13),-3.23857 # DEPENDENCYPART_ARC
(5,14),-1.10845 # DEPENDENCYPART_ARC
(5,15),-3.68163 # DEPENDENCYPART_ARC
(5,16),-3.89721 # DEPENDENCYPART_ARC
(5,17),-3.69104 # DEPENDENCYPART_ARC
(5,18),-2.06111 # DEPENDENCYPART_ARC
(5,19),-2.48479 # DEPENDENCYPART_ARC
(5,20),-3.15859 # DEPENDENCYPART_ARC
(6,1),-1.41548 # DEPENDENCYPART_ARC
(6,2),-0.782223 # DEPENDENCYPART_ARC
(6,3),-0.517303 # DEPENDENCYPART_ARC
(6,4),-0.993909 # DEPENDENCYPART_ARC
(6,5),-0.889005 # DEPENDENCYPART_ARC
(6,7),0.0391035 # DEPENDENCYPART_ARC
(6,8),-0.788688 # DEPENDENCYPART_ARC
(6,9),-0.791778 # DEPENDENCYPART_ARC
(6,10),-1.08583 # DEPENDENCYPART_ARC
(6,11),-2.10547 # DEPENDENCYPART_ARC
(6,12),-1.19275 # DEPENDENCYPART_ARC
(6,13),-1.27783 # DEPENDENCYPART_ARC
(6,14),-2.03545 # DEPENDENCYPART_ARC
(6,15),-1.57155 # DEPENDENCYPART_ARC
(6,16),-0.896097 # DEPENDENCYPART_ARC
(6,17),-3.84231 # DEPENDENCYPART_ARC
(6,18),-1.23403 # DEPENDENCYPART_ARC
(6,19),-1.23158 # DEPENDENCYPART_ARC
(6,20),-1.55807 # DEPENDENCYPART_ARC
(7,1),-0.335178 # DEPENDENCYPART_ARC
(7,2),0.680714 # DEPENDENCYPART_ARC
(7,3),-0.309424 # DEPENDENCYPART_ARC
(7,4),0.645545 # DEPENDENCYPART_ARC
(7,5),1.20097 # DEPENDENCYPART_ARC
(7,6),2.78432 # DEPENDENCYPART_ARC
(7,8),1.78174 # DEPENDENCYPART_ARC
(7,9),1.30927 # DEPENDENCYPART_ARC
(7,10),0.907911 # DEPENDENCYPART_ARC
(7,11),-0.0187115 # DEPENDENCYPART_ARC
(7,12),-0.101958 # DEPENDENCYPART_ARC
(7,13),0.215009 # DEPENDENCYPART_ARC
(7,14),-0.405894 # DEPENDENCYPART_ARC
(7,15),-1.32908 # DEPENDENCYPART_ARC
(7,16),-1.30711 # DEPENDENCYPART_ARC
(7,17),-1.3562 # DEPENDENCYPART_ARC
(7,18),-0.138284 # DEPENDENCYPART_ARC
(7,19),0.0377336 # DEPENDENCYPART_ARC
(7,20),-0.310836 # DEPENDENCYPART_ARC
(8,1),-0.53307 # DEPENDENCYPART_ARC
(8,2),-0.576486 # DEPENDENCYPART_ARC
(8,3),-0.779201 # DEPENDENCYPART_ARC
(8,4),-1.06727 # DEPENDENCYPART_ARC
(8,5),-0.834972 # DEPENDENCYPART_ARC
(8,6),2.2661 # DEPENDENCYPART_ARC
(8,7),0.876399 # DEPENDENCYPART_ARC
(8,9),2.88606 # DEPENDENCYPART_ARC
(8,10),1.38518 # DEPENDENCYPART_ARC
(8,12),-0.547368 # DEPENDENCYPART_ARC
(8,13),0.355708 # DEPENDENCYPART_ARC
