# _root_ Program třítýdenní přehlídky , jejíž hlavní část začne v úterý vypuštěním balónu České spořitelny , je zaměřen především na hudbu a výtvarné umění .
#goldHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,21,19,23,21,0,
#predictedHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,19,19,23,21,0,
(0,1),-0.727076 # DEPENDENCYPART_ARC
(0,2),-1.30767 # DEPENDENCYPART_ARC
(0,3),-1.52788 # DEPENDENCYPART_ARC
(0,4),-0.344664 # DEPENDENCYPART_ARC
(0,6),-1.61198 # DEPENDENCYPART_ARC
(0,7),-2.33251 # DEPENDENCYPART_ARC
(0,8),-0.12908 # DEPENDENCYPART_ARC
(0,9),-2.26161 # DEPENDENCYPART_ARC
(0,10),-2.93197 # DEPENDENCYPART_ARC
(0,11),-2.397 # DEPENDENCYPART_ARC
(0,12),-3.35274 # DEPENDENCYPART_ARC
(0,13),-3.31729 # DEPENDENCYPART_ARC
(0,14),-3.71887 # DEPENDENCYPART_ARC
(0,15),-1.10637 # DEPENDENCYPART_ARC
(0,16),0.240292 # DEPENDENCYPART_ARC
(0,17),-1.59009 # DEPENDENCYPART_ARC
(0,18),-3.12877 # DEPENDENCYPART_ARC
(0,19),-5.22192 # DEPENDENCYPART_ARC
(0,20),-5.0293 # DEPENDENCYPART_ARC
(0,21),-1.6177 # DEPENDENCYPART_ARC
(0,22),-4.23063 # DEPENDENCYPART_ARC
(0,23),-4.99773 # DEPENDENCYPART_ARC
(0,24),3.53933 # DEPENDENCYPART_ARC
(1,2),-0.0445468 # DEPENDENCYPART_ARC
(1,3),3.22786 # DEPENDENCYPART_ARC
(1,4),0.281946 # DEPENDENCYPART_ARC
(1,5),-0.196101 # DEPENDENCYPART_ARC
(1,6),-0.931252 # DEPENDENCYPART_ARC
(1,7),0.98592 # DEPENDENCYPART_ARC
(1,8),0.116396 # DEPENDENCYPART_ARC
(1,9),-0.524799 # DEPENDENCYPART_ARC
(1,10),-4.47033 # DEPENDENCYPART_ARC
(1,11),-2.92556 # DEPENDENCYPART_ARC
(1,12),-0.471482 # DEPENDENCYPART_ARC
(1,13),-2.81993 # DEPENDENCYPART_ARC
(1,14),-0.709901 # DEPENDENCYPART_ARC
(1,15),-1.1126 # DEPENDENCYPART_ARC
(1,16),-2.56015 # DEPENDENCYPART_ARC
(1,17),-1.87804 # DEPENDENCYPART_ARC
(1,18),-1.14861 # DEPENDENCYPART_ARC
(1,19),-1.73463 # DEPENDENCYPART_ARC
(1,20),-7.10695 # DEPENDENCYPART_ARC
(1,21),-0.691684 # DEPENDENCYPART_ARC
(1,22),-5.25203 # DEPENDENCYPART_ARC
(1,23),-6.85452 # DEPENDENCYPART_ARC
(1,24),-9.66591 # DEPENDENCYPART_ARC
(2,1),-1.39562 # DEPENDENCYPART_ARC
(2,3),0.798802 # DEPENDENCYPART_ARC
(2,4),-0.81241 # DEPENDENCYPART_ARC
(2,6),-3.24436 # DEPENDENCYPART_ARC
(2,7),-2.00465 # DEPENDENCYPART_ARC
(2,8),-2.9204 # DEPENDENCYPART_ARC
(2,9),-1.59563 # DEPENDENCYPART_ARC
(2,10),-5.04277 # DEPENDENCYPART_ARC
(2,11),-3.47835 # DEPENDENCYPART_ARC
(2,12),-5.06185 # DEPENDENCYPART_ARC
(2,13),-4.80026 # DEPENDENCYPART_ARC
(2,14),-5.0137 # DEPENDENCYPART_ARC
(2,15),-1.27911 # DEPENDENCYPART_ARC
(2,16),-4.46393 # DEPENDENCYPART_ARC
(2,17),-5.20246 # DEPENDENCYPART_ARC
(2,18),-2.24823 # DEPENDENCYPART_ARC
(2,19),-3.08389 # DEPENDENCYPART_ARC
(2,20),-8.64019 # DEPENDENCYPART_ARC
(2,21),-1.93331 # DEPENDENCYPART_ARC
(2,22),-6.48203 # DEPENDENCYPART_ARC
(2,23),-7.55404 # DEPENDENCYPART_ARC
(2,24),-4.98603 # DEPENDENCYPART_ARC
(3,1),-2.00276 # DEPENDENCYPART_ARC
(3,2),5.50571 # DEPENDENCYPART_ARC
(3,4),-0.0935649 # DEPENDENCYPART_ARC
(3,5),-1.31435 # DEPENDENCYPART_ARC
(3,6),-0.563496 # DEPENDENCYPART_ARC
(3,7),-0.326594 # DEPENDENCYPART_ARC
(3,8),1.23937 # DEPENDENCYPART_ARC
(3,9),-1.1749 # DEPENDENCYPART_ARC
(3,10),-5.24037 # DEPENDENCYPART_ARC
(3,11),-3.67418 # DEPENDENCYPART_ARC
(3,12),-0.946459 # DEPENDENCYPART_ARC
(3,13),0.233866 # DEPENDENCYPART_ARC
(3,14),-0.860095 # DEPENDENCYPART_ARC
(3,15),-0.318366 # DEPENDENCYPART_ARC
(3,16),-2.08702 # DEPENDENCYPART_ARC
(3,17),-1.13322 # DEPENDENCYPART_ARC
(3,18),-1.00293 # DEPENDENCYPART_ARC
(3,19),-2.43931 # DEPENDENCYPART_ARC
(3,20),-8.03045 # DEPENDENCYPART_ARC
(3,21),-0.609068 # DEPENDENCYPART_ARC
(3,22),-5.02607 # DEPENDENCYPART_ARC
(3,23),-8.17103 # DEPENDENCYPART_ARC
(3,24),-8.76562 # DEPENDENCYPART_ARC
(4,1),-0.172888 # DEPENDENCYPART_ARC
(4,2),-0.590452 # DEPENDENCYPART_ARC
(4,3),-0.420265 # DEPENDENCYPART_ARC
(4,6),-0.169217 # DEPENDENCYPART_ARC
(4,7),-0.232522 # DEPENDENCYPART_ARC
(4,8),0.433782 # DEPENDENCYPART_ARC
(4,9),-1.27772 # DEPENDENCYPART_ARC
(4,10),-1.81358 # DEPENDENCYPART_ARC
(4,11),-1.77141 # DEPENDENCYPART_ARC
(4,12),-1.91851 # DEPENDENCYPART_ARC
(4,13),-1.74237 # DEPENDENCYPART_ARC
(4,14),-2.1054 # DEPENDENCYPART_ARC
(4,15),-0.272238 # DEPENDENCYPART_ARC
(4,16),-0.678365 # DEPENDENCYPART_ARC
(4,17),-1.18364 # DEPENDENCYPART_ARC
(4,18),-2.16586 # DEPENDENCYPART_ARC
(4,19),-3.07593 # DEPENDENCYPART_ARC
(4,20),-4.27518 # DEPENDENCYPART_ARC
(4,21),-1.19019 # DEPENDENCYPART_ARC
(4,22),-3.23851 # DEPENDENCYPART_ARC
(4,23),-4.41074 # DEPENDENCYPART_ARC
(4,24),-1.71893 # DEPENDENCYPART_ARC
(6,1),-2.52682 # DEPENDENCYPART_ARC
(6,2),-3.17691 # DEPENDENCYPART_ARC
(6,3),-3.46562 # DEPENDENCYPART_ARC
(6,4),-0.941212 # DEPENDENCYPART_ARC
(6,7),-1.05638 # DEPENDENCYPART_ARC
(6,8),-2.77859 # DEPENDENCYPART_ARC
(6,9),-1.04918 # DEPENDENCYPART_ARC
(6,10),-4.2833 # DEPENDENCYPART_ARC
(6,11),-2.59171 # DEPENDENCYPART_ARC
(6,12),-4.23226 # DEPENDENCYPART_ARC
(6,13),-4.39996 # DEPENDENCYPART_ARC
(6,14),-4.96775 # DEPENDENCYPART_ARC
(6,15),-1.24847 # DEPENDENCYPART_ARC
(6,16),-4.8834 # DEPENDENCYPART_ARC
(6,17),-4.69424 # DEPENDENCYPART_ARC
(6,18),-2.66897 # DEPENDENCYPART_ARC
(6,19),-2.94762 # DEPENDENCYPART_ARC
(6,20),-8.17278 # DEPENDENCYPART_ARC
(6,21),-2.23856 # DEPENDENCYPART_ARC
(6,22),-6.03931 # DEPENDENCYPART_ARC
(6,23),-8.19182 # DEPENDENCYPART_ARC
(6,24),-4.40733 # DEPENDENCYPART_ARC
(7,1),-0.734429 # DEPENDENCYPART_ARC
(7,2),1.71175 # DEPENDENCYPART_ARC
(7,3),-2.74681 # DEPENDENCYPART_ARC
(7,4),0.240956 # DEPENDENCYPART_ARC
(7,5),4.61477 # DEPENDENCYPART_ARC
(7,6),5.66664 # DEPENDENCYPART_ARC
(7,8),-1.02589 # DEPENDENCYPART_ARC
