# _root_ " I když se Taliban dostal těsně ke Kábulu , nevěříme , že na něj zaútočí .
#goldHeads=3,3,11,6,6,3,6,7,8,3,0,13,11,16,14,13,0,
#predictedHeads=6,3,11,6,6,3,6,6,8,3,0,13,11,16,14,13,0,
(0,1),-0.521179 # DEPENDENCYPART_ARC
(0,2),-1.17056 # DEPENDENCYPART_ARC
(0,3),-1.15799 # DEPENDENCYPART_ARC
(0,5),-1.86242 # DEPENDENCYPART_ARC
(0,6),-0.642406 # DEPENDENCYPART_ARC
(0,7),-1.40571 # DEPENDENCYPART_ARC
(0,8),-1.90485 # DEPENDENCYPART_ARC
(0,9),-1.00005 # DEPENDENCYPART_ARC
(0,10),-0.734167 # DEPENDENCYPART_ARC
(0,11),-0.525928 # DEPENDENCYPART_ARC
(0,12),-0.997059 # DEPENDENCYPART_ARC
(0,13),-3.71568 # DEPENDENCYPART_ARC
(0,14),-3.30739 # DEPENDENCYPART_ARC
(0,16),-2.0375 # DEPENDENCYPART_ARC
(0,17),3.54342 # DEPENDENCYPART_ARC
(1,2),-2.5533 # DEPENDENCYPART_ARC
(1,3),-3.19252 # DEPENDENCYPART_ARC
(1,4),-3.91924 # DEPENDENCYPART_ARC
(1,5),-4.7351 # DEPENDENCYPART_ARC
(1,6),-3.29359 # DEPENDENCYPART_ARC
(1,7),-3.99678 # DEPENDENCYPART_ARC
(1,8),-4.45633 # DEPENDENCYPART_ARC
(1,9),-5.75271 # DEPENDENCYPART_ARC
(1,10),-3.7864 # DEPENDENCYPART_ARC
(1,11),-4.1404 # DEPENDENCYPART_ARC
(1,12),-4.00093 # DEPENDENCYPART_ARC
(1,13),-4.79974 # DEPENDENCYPART_ARC
(1,14),-5.57191 # DEPENDENCYPART_ARC
(1,16),-4.934 # DEPENDENCYPART_ARC
(1,17),-3.97395 # DEPENDENCYPART_ARC
(2,1),0.65582 # DEPENDENCYPART_ARC
(2,3),0.31007 # DEPENDENCYPART_ARC
(2,4),-0.141588 # DEPENDENCYPART_ARC
(2,5),-0.789311 # DEPENDENCYPART_ARC
(2,6),0.405357 # DEPENDENCYPART_ARC
(2,7),-0.831742 # DEPENDENCYPART_ARC
(2,8),-0.287089 # DEPENDENCYPART_ARC
(2,9),-1.31455 # DEPENDENCYPART_ARC
(2,10),0.0988892 # DEPENDENCYPART_ARC
(2,11),-1.2018 # DEPENDENCYPART_ARC
(2,12),-0.747034 # DEPENDENCYPART_ARC
(2,13),-2.43732 # DEPENDENCYPART_ARC
(2,14),-1.41366 # DEPENDENCYPART_ARC
(2,15),-2.06909 # DEPENDENCYPART_ARC
(2,16),-2.8958 # DEPENDENCYPART_ARC
(2,17),-1.88319 # DEPENDENCYPART_ARC
(3,1),0.667298 # DEPENDENCYPART_ARC
(3,2),2.20386 # DEPENDENCYPART_ARC
(3,5),0.122002 # DEPENDENCYPART_ARC
(3,6),3.26068 # DEPENDENCYPART_ARC
(3,7),-0.463903 # DEPENDENCYPART_ARC
(3,8),-0.599898 # DEPENDENCYPART_ARC
(3,9),-1.66218 # DEPENDENCYPART_ARC
(3,10),2.39727 # DEPENDENCYPART_ARC
(3,11),0.591125 # DEPENDENCYPART_ARC
(3,12),0.888029 # DEPENDENCYPART_ARC
(3,13),-1.93038 # DEPENDENCYPART_ARC
(3,14),-1.99944 # DEPENDENCYPART_ARC
(3,16),-1.11566 # DEPENDENCYPART_ARC
(3,17),-0.86666 # DEPENDENCYPART_ARC
(5,1),-0.594803 # DEPENDENCYPART_ARC
(5,2),0.122443 # DEPENDENCYPART_ARC
(5,3),0.384782 # DEPENDENCYPART_ARC
(5,4),-0.641156 # DEPENDENCYPART_ARC
(5,6),-1.70397 # DEPENDENCYPART_ARC
(5,7),-1.18941 # DEPENDENCYPART_ARC
(5,8),-1.43392 # DEPENDENCYPART_ARC
