# _root_ Cigarety v nákupní hodnotě asi 6 miliónů korun budou pravděpodobně dodatečně procleny , čímž se jejich prodejní cena zvýší asi o jeden milión korun , a prodány v Praze a Bratislavě .
#goldHeads=26,1,4,2,6,4,6,7,26,26,12,26,19,19,19,18,18,19,12,23,19,23,21,23,19,0,26,27,30,28,30,0,
#predictedHeads=12,1,4,2,6,4,6,7,12,12,12,13,19,19,19,18,18,19,26,23,19,23,21,23,26,0,26,27,30,28,30,0,
(0,1),-0.0280466 # DEPENDENCYPART_ARC
(0,2),0.460406 # DEPENDENCYPART_ARC
(0,3),-0.629152 # DEPENDENCYPART_ARC
(0,4),-0.805483 # DEPENDENCYPART_ARC
(0,5),-0.506751 # DEPENDENCYPART_ARC
(0,6),-0.626733 # DEPENDENCYPART_ARC
(0,7),-1.25955 # DEPENDENCYPART_ARC
(0,8),-2.28759 # DEPENDENCYPART_ARC
(0,9),0.965689 # DEPENDENCYPART_ARC
(0,10),-1.09738 # DEPENDENCYPART_ARC
(0,11),-1.32759 # DEPENDENCYPART_ARC
(0,12),-0.0919461 # DEPENDENCYPART_ARC
(0,13),0.204818 # DEPENDENCYPART_ARC
(0,14),-0.997537 # DEPENDENCYPART_ARC
(0,15),-2.55383 # DEPENDENCYPART_ARC
(0,16),-1.28087 # DEPENDENCYPART_ARC
(0,17),-1.86894 # DEPENDENCYPART_ARC
(0,18),-3.39339 # DEPENDENCYPART_ARC
(0,19),-0.693549 # DEPENDENCYPART_ARC
(0,20),-1.71099 # DEPENDENCYPART_ARC
(0,21),-4.44145 # DEPENDENCYPART_ARC
(0,22),-3.83673 # DEPENDENCYPART_ARC
(0,23),-3.08497 # DEPENDENCYPART_ARC
(0,24),-3.19377 # DEPENDENCYPART_ARC
(0,25),-0.954811 # DEPENDENCYPART_ARC
(0,26),1.03582 # DEPENDENCYPART_ARC
(0,27),-1.21741 # DEPENDENCYPART_ARC
(0,28),-5.95995 # DEPENDENCYPART_ARC
(0,29),-3.90223 # DEPENDENCYPART_ARC
(0,30),-0.923085 # DEPENDENCYPART_ARC
(0,31),-4.31968 # DEPENDENCYPART_ARC
(0,32),5.01452 # DEPENDENCYPART_ARC
(1,2),2.31643 # DEPENDENCYPART_ARC
(1,3),-0.340508 # DEPENDENCYPART_ARC
(1,4),0.0948645 # DEPENDENCYPART_ARC
(1,5),0.0960981 # DEPENDENCYPART_ARC
(1,6),-0.0279893 # DEPENDENCYPART_ARC
(1,7),-0.400288 # DEPENDENCYPART_ARC
(1,8),-0.117417 # DEPENDENCYPART_ARC
(1,9),-1.76312 # DEPENDENCYPART_ARC
(1,10),-0.767117 # DEPENDENCYPART_ARC
(1,11),-0.785235 # DEPENDENCYPART_ARC
(1,12),-1.95875 # DEPENDENCYPART_ARC
(1,13),-0.919398 # DEPENDENCYPART_ARC
(1,14),-2.38515 # DEPENDENCYPART_ARC
(1,15),-2.59154 # DEPENDENCYPART_ARC
(1,16),-1.96853 # DEPENDENCYPART_ARC
(1,17),-2.65639 # DEPENDENCYPART_ARC
(1,18),-4.28207 # DEPENDENCYPART_ARC
(1,19),-3.42235 # DEPENDENCYPART_ARC
(1,20),-1.36262 # DEPENDENCYPART_ARC
(1,21),-2.39519 # DEPENDENCYPART_ARC
(1,22),-5.28106 # DEPENDENCYPART_ARC
(1,23),-8.22756 # DEPENDENCYPART_ARC
(1,24),-5.38183 # DEPENDENCYPART_ARC
(1,25),-1.34243 # DEPENDENCYPART_ARC
(1,26),-1.46399 # DEPENDENCYPART_ARC
(1,27),-4.24581 # DEPENDENCYPART_ARC
(1,28),-4.55801 # DEPENDENCYPART_ARC
(1,29),-7.58276 # DEPENDENCYPART_ARC
(1,30),-2.38333 # DEPENDENCYPART_ARC
(1,31),-7.74453 # DEPENDENCYPART_ARC
(1,32),-11.439 # DEPENDENCYPART_ARC
(2,1),-2.57814 # DEPENDENCYPART_ARC
(2,3),0.756302 # DEPENDENCYPART_ARC
(2,4),4.38027 # DEPENDENCYPART_ARC
(2,5),-0.40024 # DEPENDENCYPART_ARC
(2,6),-0.775375 # DEPENDENCYPART_ARC
(2,7),-1.82481 # DEPENDENCYPART_ARC
(2,8),-2.47735 # DEPENDENCYPART_ARC
(2,9),-2.1037 # DEPENDENCYPART_ARC
(2,10),-1.92068 # DEPENDENCYPART_ARC
(2,11),-1.84503 # DEPENDENCYPART_ARC
(2,12),-2.73203 # DEPENDENCYPART_ARC
(2,13),-3.04867 # DEPENDENCYPART_ARC
(2,14),-3.42928 # DEPENDENCYPART_ARC
(2,15),-4.03913 # DEPENDENCYPART_ARC
(2,16),-5.58071 # DEPENDENCYPART_ARC
(2,17),-4.24274 # DEPENDENCYPART_ARC
(2,18),-6.0288 # DEPENDENCYPART_ARC
(2,19),-3.00936 # DEPENDENCYPART_ARC
(2,20),-1.93965 # DEPENDENCYPART_ARC
(2,21),-2.67056 # DEPENDENCYPART_ARC
(2,22),-4.88528 # DEPENDENCYPART_ARC
(2,23),-9.46774 # DEPENDENCYPART_ARC
(2,24),-10.9938 # DEPENDENCYPART_ARC
(2,25),-4.81963 # DEPENDENCYPART_ARC
(2,26),-6.55763 # DEPENDENCYPART_ARC
(2,27),-3.93636 # DEPENDENCYPART_ARC
(2,28),-3.50926 # DEPENDENCYPART_ARC
(2,29),-10.4432 # DEPENDENCYPART_ARC
(2,30),-6.33666 # DEPENDENCYPART_ARC
(2,31),-12.2677 # DEPENDENCYPART_ARC
(2,32),-6.3676 # DEPENDENCYPART_ARC
(3,1),-3.24155 # DEPENDENCYPART_ARC
(3,2),-0.760476 # DEPENDENCYPART_ARC
(3,4),0.398989 # DEPENDENCYPART_ARC
(3,5),-0.899987 # DEPENDENCYPART_ARC
(3,6),-0.960018 # DEPENDENCYPART_ARC
(3,7),-1.25629 # DEPENDENCYPART_ARC
(3,8),-2.45835 # DEPENDENCYPART_ARC
(3,9),-3.33429 # DEPENDENCYPART_ARC
(3,10),-1.55946 # DEPENDENCYPART_ARC
(3,11),-1.44004 # DEPENDENCYPART_ARC
(3,12),-3.31495 # DEPENDENCYPART_ARC
(3,13),-1.37053 # DEPENDENCYPART_ARC
(3,14),-3.0369 # DEPENDENCYPART_ARC
(3,15),-2.82997 # DEPENDENCYPART_ARC
(3,16),-4.77093 # DEPENDENCYPART_ARC
(3,17),-4.64059 # DEPENDENCYPART_ARC
(3,18),-4.93001 # DEPENDENCYPART_ARC
(3,19),-4.05517 # DEPENDENCYPART_ARC
(3,20),-2.42504 # DEPENDENCYPART_ARC
(3,21),-3.87231 # DEPENDENCYPART_ARC
(3,22),-3.93958 # DEPENDENCYPART_ARC
(3,23),-6.81217 # DEPENDENCYPART_ARC
(3,24),-6.0025 # DEPENDENCYPART_ARC
(3,25),-2.17754 # DEPENDENCYPART_ARC
(3,26),-3.06396 # DEPENDENCYPART_ARC
(3,27),-4.62121 # DEPENDENCYPART_ARC
(3,28),-4.29804 # DEPENDENCYPART_ARC
(3,29),-7.11584 # DEPENDENCYPART_ARC
(3,30),-3.22664 # DEPENDENCYPART_ARC
(3,31),-7.62185 # DEPENDENCYPART_ARC
(3,32),-5.4737 # DEPENDENCYPART_ARC
(4,1),-3.11162 # DEPENDENCYPART_ARC
(4,2),0.0979219 # DEPENDENCYPART_ARC
(4,3),4.96562 # DEPENDENCYPART_ARC
(4,5),0.656275 # DEPENDENCYPART_ARC
(4,6),1.1017 # DEPENDENCYPART_ARC
(4,7),0.444695 # DEPENDENCYPART_ARC
(4,8),1.08218 # DEPENDENCYPART_ARC
(4,9),-1.73054 # DEPENDENCYPART_ARC
(4,10),-0.39263 # DEPENDENCYPART_ARC
(4,11),-0.418481 # DEPENDENCYPART_ARC
(4,12),-1.83653 # DEPENDENCYPART_ARC
(4,13),-0.818181 # DEPENDENCYPART_ARC
(4,14),-2.15727 # DEPENDENCYPART_ARC
(4,15),-2.14021 # DEPENDENCYPART_ARC
(4,16),-2.11427 # DEPENDENCYPART_ARC
(4,17),-2.28502 # DEPENDENCYPART_ARC
(4,18),-3.49649 # DEPENDENCYPART_ARC
(4,19),-3.03017 # DEPENDENCYPART_ARC
(4,20),-1.33038 # DEPENDENCYPART_ARC
(4,21),-2.29016 # DEPENDENCYPART_ARC
(4,22),-4.92985 # DEPENDENCYPART_ARC
(4,23),-7.74153 # DEPENDENCYPART_ARC
(4,24),-4.598 # DEPENDENCYPART_ARC
(4,25),-1.36562 # DEPENDENCYPART_ARC
(4,26),-1.12457 # DEPENDENCYPART_ARC
(4,27),-4.81748 # DEPENDENCYPART_ARC
(4,28),-4.30354 # DEPENDENCYPART_ARC
(4,29),-5.83787 # DEPENDENCYPART_ARC
(4,30),-1.77665 # DEPENDENCYPART_ARC
(4,31),-6.63182 # DEPENDENCYPART_ARC
(4,32),-10.1222 # DEPENDENCYPART_ARC
(5,1),-1.15271 # DEPENDENCYPART_ARC
(5,2),-0.609451 # DEPENDENCYPART_ARC
(5,3),-0.365574 # DEPENDENCYPART_ARC
(5,4),-0.12503 # DEPENDENCYPART_ARC
(5,6),-0.527273 # DEPENDENCYPART_ARC
(5,7),-0.714861 # DEPENDENCYPART_ARC
(5,8),-1.17551 # DEPENDENCYPART_ARC
(5,9),-0.745997 # DEPENDENCYPART_ARC
(5,10),-1.30042 # DEPENDENCYPART_ARC
(5,11),-1.31649 # DEPENDENCYPART_ARC
(5,12),-1.36699 # DEPENDENCYPART_ARC
(5,13),-1.24466 # DEPENDENCYPART_ARC
(5,14),-2.20976 # DEPENDENCYPART_ARC
(5,15),-2.29733 # DEPENDENCYPART_ARC
(5,16),-2.38808 # DEPENDENCYPART_ARC
(5,17),-2.38109 # DEPENDENCYPART_ARC
(5,18),-2.18176 # DEPENDENCYPART_ARC
(5,19),-2.22046 # DEPENDENCYPART_ARC
(5,20),-1.98295 # DEPENDENCYPART_ARC
(5,21),-2.22273 # DEPENDENCYPART_ARC
(5,22),-2.63211 # DEPENDENCYPART_ARC
(5,23),-2.54007 # DEPENDENCYPART_ARC
(5,24),-2.41526 # DEPENDENCYPART_ARC
(5,25),-3.28772 # DEPENDENCYPART_ARC
(5,26),-1.52852 # DEPENDENCYPART_ARC
(5,27),-3.20496 # DEPENDENCYPART_ARC
(5,28),-2.80846 # DEPENDENCYPART_ARC
(5,29),-2.50375 # DEPENDENCYPART_ARC
(5,30),-1.72821 # DEPENDENCYPART_ARC
(5,31),-2.53218 # DEPENDENCYPART_ARC
(5,32),-4.34556 # DEPENDENCYPART_ARC
(6,1),-0.50928 # DEPENDENCYPART_ARC
(6,2),-0.0436253 # DEPENDENCYPART_ARC
(6,3),0.732072 # DEPENDENCYPART_ARC
(6,4),0.216281 # DEPENDENCYPART_ARC
(6,5),2.87781 # DEPENDENCYPART_ARC
(6,7),3.19117 # DEPENDENCYPART_ARC
(6,8),1.1698 # DEPENDENCYPART_ARC
(6,9),-0.697549 # DEPENDENCYPART_ARC
(6,10),0.117288 # DEPENDENCYPART_ARC
(6,11),0.0260756 # DEPENDENCYPART_ARC
(6,12),-1.19661 # DEPENDENCYPART_ARC
(6,13),-1.01943 # DEPENDENCYPART_ARC
(6,14),-0.973697 # DEPENDENCYPART_ARC
(6,15),-1.01837 # DEPENDENCYPART_ARC
(6,16),-1.0954 # DEPENDENCYPART_ARC
(6,17),-1.61516 # DEPENDENCYPART_ARC
(6,18),-0.801051 # DEPENDENCYPART_ARC
(6,19),-1.41122 # DEPENDENCYPART_ARC
(6,20),-0.97748 # DEPENDENCYPART_ARC
(6,21),-2.2483 # DEPENDENCYPART_ARC
(6,22),-2.24169 # DEPENDENCYPART_ARC
(6,23),-1.47693 # DEPENDENCYPART_ARC
(6,24),-2.95254 # DEPENDENCYPART_ARC
(6,25),-1.74531 # DEPENDENCYPART_ARC
(6,26),-1.54031 # DEPENDENCYPART_ARC
(6,27),-1.78456 # DEPENDENCYPART_ARC
(6,28),-2.39201 # DEPENDENCYPART_ARC
(6,29),-3.09635 # DEPENDENCYPART_ARC
(6,30),-1.38193 # DEPENDENCYPART_ARC
(6,31),-3.63544 # DEPENDENCYPART_ARC
(6,32),-4.142 # DEPENDENCYPART_ARC
(7,1),-4.08051 # DEPENDENCYPART_ARC
(7,2),-1.60109 # DEPENDENCYPART_ARC
(7,3),-3.36037 # DEPENDENCYPART_ARC
(7,4),-3.7484 # DEPENDENCYPART_ARC
(7,5),0.753743 # DEPENDENCYPART_ARC
(7,6),0.754227 # DEPENDENCYPART_ARC
(7,8),3.74222 # DEPENDENCYPART_ARC
(7,9),-1.39883 # DEPENDENCYPART_ARC
(7,10),-0.827683 # DEPENDENCYPART_ARC
(7,11),-0.913832 # DEPENDENCYPART_ARC
(7,12),-1.30449 # DEPENDENCYPART_ARC
(7,13),-1.6113 # DEPENDENCYPART_ARC
(7,14),-2.94755 # DEPENDENCYPART_ARC
(7,15),-3.11454 # DEPENDENCYPART_ARC
(7,16),-3.09696 # DEPENDENCYPART_ARC
(7,17),-6.96827 # DEPENDENCYPART_ARC
(7,18),-4.37359 # DEPENDENCYPART_ARC
(7,19),-3.88484 # DEPENDENCYPART_ARC
(7,20),-2.118 # DEPENDENCYPART_ARC
(7,21),-3.102 # DEPENDENCYPART_ARC
(7,22),-4.97707 # DEPENDENCYPART_ARC
(7,23),-8.3644 # DEPENDENCYPART_ARC
(7,24),-4.05499 # DEPENDENCYPART_ARC
(7,25),-1.97663 # DEPENDENCYPART_ARC
(7,26),-2.21004 # DEPENDENCYPART_ARC
(7,27),-4.06025 # DEPENDENCYPART_ARC
(7,28),-5.14826 # DEPENDENCYPART_ARC
(7,29),-7.4388 # DEPENDENCYPART_ARC
(7,30),-2.58104 # DEPENDENCYPART_ARC
(7,31),-8.05342 # DEPENDENCYPART_ARC
(7,32),-9.47533 # DEPENDENCYPART_ARC
(8,1),-3.90029 # DEPENDENCYPART_ARC
(8,2),-2.26926 # DEPENDENCYPART_ARC
(8,3),-1.82488 # DEPENDENCYPART_ARC
(8,4),-3.31151 # DEPENDENCYPART_ARC
(8,5),0.0506911 # DEPENDENCYPART_ARC
(8,6),-0.269785 # DEPENDENCYPART_ARC
(8,7),0.740107 # DEPENDENCYPART_ARC
(8,9),-1.80366 # DEPENDENCYPART_ARC
(8,10),-1.29406 # DEPENDENCYPART_ARC
(8,11),-1.38988 # DEPENDENCYPART_ARC
(8,12),-1.93247 # DEPENDENCYPART_ARC
(8,13),-1.92795 # DEPENDENCYPART_ARC
(8,14),-3.08857 # DEPENDENCYPART_ARC
(8,15),-3.33043 # DEPENDENCYPART_ARC
(8,16),-3.44773 # DEPENDENCYPART_ARC
(8,17),-5.45561 # DEPENDENCYPART_ARC
(8,18),-4.97095 # DEPENDENCYPART_ARC
(8,19),-4.45043 # DEPENDENCYPART_ARC
(8,20),-2.35629 # DEPENDENCYPART_ARC
(8,21),-3.1306 # DEPENDENCYPART_ARC
(8,22),-6.07739 # DEPENDENCYPART_ARC
(8,23),-8.85684 # DEPENDENCYPART_ARC
(8,24),-4.74779 # DEPENDENCYPART_ARC
(8,25),-2.21168 # DEPENDENCYPART_ARC
(8,26),-2.33406 # DEPENDENCYPART_ARC
(8,27),-5.14173 # DEPENDENCYPART_ARC
(8,28),-5.33843 # DEPENDENCYPART_ARC
(8,29),-7.87583 # DEPENDENCYPART_ARC
(8,30),-2.90375 # DEPENDENCYPART_ARC
(8,31),-8.3249 # DEPENDENCYPART_ARC
(8,32),-9.40428 # DEPENDENCYPART_ARC
(9,1),1.037 # DEPENDENCYPART_ARC
(9,2),-1.01275 # DEPENDENCYPART_ARC
(9,3),-4.78767 # DEPENDENCYPART_ARC
(9,4),-1.48207 # DEPENDENCYPART_ARC
(9,5),0.145622 # DEPENDENCYPART_ARC
(9,6),0.0563791 # DEPENDENCYPART_ARC
(9,7),-1.07125 # DEPENDENCYPART_ARC
(9,8),-1.65563 # DEPENDENCYPART_ARC
(9,10),1.38599 # DEPENDENCYPART_ARC
(9,11),0.998843 # DEPENDENCYPART_ARC
(9,12),0.16215 # DEPENDENCYPART_ARC
(9,13),-0.184962 # DEPENDENCYPART_ARC
(9,14),-2.23303 # DEPENDENCYPART_ARC
(9,15),-1.31606 # DEPENDENCYPART_ARC
(9,16),-5.52623 # DEPENDENCYPART_ARC
(9,17),-2.41505 # DEPENDENCYPART_ARC
(9,18),-2.34202 # DEPENDENCYPART_ARC
(9,19),-2.30367 # DEPENDENCYPART_ARC
(9,20),-0.878264 # DEPENDENCYPART_ARC
(9,21),-1.79261 # DEPENDENCYPART_ARC
(9,22),-2.59268 # DEPENDENCYPART_ARC
(9,23),-1.73314 # DEPENDENCYPART_ARC
(9,24),-2.88312 # DEPENDENCYPART_ARC
(9,25),-0.806569 # DEPENDENCYPART_ARC
(9,26),-0.870853 # DEPENDENCYPART_ARC
(9,27),-3.78276 # DEPENDENCYPART_ARC
(9,28),-2.35555 # DEPENDENCYPART_ARC
(9,29),-5.35674 # DEPENDENCYPART_ARC
(9,30),-1.16227 # DEPENDENCYPART_ARC
(9,31),-4.72981 # DEPENDENCYPART_ARC
(9,32),-1.41436 # DEPENDENCYPART_ARC
(10,1),-1.65926 # DEPENDENCYPART_ARC
(10,2),-1.69023 # DEPENDENCYPART_ARC
(10,3),-2.14135 # DEPENDENCYPART_ARC
(10,4),-2.03745 # DEPENDENCYPART_ARC
(10,5),-0.438883 # DEPENDENCYPART_ARC
(10,6),-0.326053 # DEPENDENCYPART_ARC
(10,7),-0.260916 # DEPENDENCYPART_ARC
(10,8),-0.316044 # DEPENDENCYPART_ARC
(10,9),-0.237287 # DEPENDENCYPART_ARC
(10,11),0.293691 # DEPENDENCYPART_ARC
(10,12),-1.3121 # DEPENDENCYPART_ARC
(10,13),-0.663534 # DEPENDENCYPART_ARC
(10,14),-0.717596 # DEPENDENCYPART_ARC
(10,15),-1.55458 # DEPENDENCYPART_ARC
(10,16),-1.37675 # DEPENDENCYPART_ARC
(10,17),-2.46844 # DEPENDENCYPART_ARC
(10,18),-3.36568 # DEPENDENCYPART_ARC
(10,19),-1.5806 # DEPENDENCYPART_ARC
(10,20),-0.989299 # DEPENDENCYPART_ARC
(10,21),-1.62001 # DEPENDENCYPART_ARC
(10,22),-2.2194 # DEPENDENCYPART_ARC
(10,23),-3.67922 # DEPENDENCYPART_ARC
(10,24),-2.43999 # DEPENDENCYPART_ARC
(10,25),-1.60998 # DEPENDENCYPART_ARC
(10,26),-2.35277 # DEPENDENCYPART_ARC
(10,27),-2.90374 # DEPENDENCYPART_ARC
(10,28),-2.00324 # DEPENDENCYPART_ARC
(10,29),-3.84519 # DEPENDENCYPART_ARC
(10,30),-2.95188 # DEPENDENCYPART_ARC
(10,31),-4.16311 # DEPENDENCYPART_ARC
(10,32),-3.79377 # DEPENDENCYPART_ARC
(11,1),-2.28521 # DEPENDENCYPART_ARC
(11,2),-2.11272 # DEPENDENCYPART_ARC
(11,3),-2.5187 # DEPENDENCYPART_ARC
(11,4),-2.68545 # DEPENDENCYPART_ARC
(11,5),-0.595034 # DEPENDENCYPART_ARC
(11,6),-0.744428 # DEPENDENCYPART_ARC
(11,7),-0.963302 # DEPENDENCYPART_ARC
(11,8),-0.863414 # DEPENDENCYPART_ARC
(11,9),-0.647787 # DEPENDENCYPART_ARC
(11,10),1.97199 # DEPENDENCYPART_ARC
(11,12),-1.16074 # DEPENDENCYPART_ARC
(11,13),-0.930357 # DEPENDENCYPART_ARC
(11,14),-0.968909 # DEPENDENCYPART_ARC
(11,15),-1.83141 # DEPENDENCYPART_ARC
(11,16),-1.57944 # DEPENDENCYPART_ARC
(11,17),-2.8138 # DEPENDENCYPART_ARC
(11,18),-3.88022 # DEPENDENCYPART_ARC
(11,19),-1.91863 # DEPENDENCYPART_ARC
(11,20),-1.38997 # DEPENDENCYPART_ARC
(11,21),-1.87758 # DEPENDENCYPART_ARC
(11,22),-2.70098 # DEPENDENCYPART_ARC
(11,23),-4.06117 # DEPENDENCYPART_ARC
(11,24),-3.05025 # DEPENDENCYPART_ARC
(11,25),-1.6964 # DEPENDENCYPART_ARC
(11,26),-2.63162 # DEPENDENCYPART_ARC
(11,27),-3.21517 # DEPENDENCYPART_ARC
(11,28),-2.34834 # DEPENDENCYPART_ARC
(11,29),-4.46977 # DEPENDENCYPART_ARC
(11,30),-2.82907 # DEPENDENCYPART_ARC
(11,31),-5.03338 # DEPENDENCYPART_ARC
(11,32),-3.84882 # DEPENDENCYPART_ARC
(12,1),3.16708 # DEPENDENCYPART_ARC
(12,2),1.12856 # DEPENDENCYPART_ARC
(12,3),-5.25009 # DEPENDENCYPART_ARC
(12,4),-0.0137028 # DEPENDENCYPART_ARC
(12,5),1.21551 # DEPENDENCYPART_ARC
(12,6),0.634538 # DEPENDENCYPART_ARC
(12,7),0.302201 # DEPENDENCYPART_ARC
(12,8),0.287154 # DEPENDENCYPART_ARC
(12,9),4.45341 # DEPENDENCYPART_ARC
(12,10),2.97824 # DEPENDENCYPART_ARC
(12,11),4.11519 # DEPENDENCYPART_ARC
(12,13),0.719371 # DEPENDENCYPART_ARC
(12,14),-0.704745 # DEPENDENCYPART_ARC
(12,15),0.186665 # DEPENDENCYPART_ARC
(12,16),-4.31012 # DEPENDENCYPART_ARC
(12,17),-2.35625 # DEPENDENCYPART_ARC
(12,18),-1.8355 # DEPENDENCYPART_ARC
(12,19),-1.2515 # DEPENDENCYPART_ARC
(12,20),-0.616355 # DEPENDENCYPART_ARC
(12,21),-0.389612 # DEPENDENCYPART_ARC
(12,22),-4.14117 # DEPENDENCYPART_ARC
(12,23),-2.1077 # DEPENDENCYPART_ARC
(12,24),-2.24651 # DEPENDENCYPART_ARC
(12,25),-0.310331 # DEPENDENCYPART_ARC
