# _root_ Havel se vyslovil pro to , co si myslí většina na obou stranách : Měli bychom hledět do budoucnosti , aniž by se zapomnělo poučení minulosti .
#goldHeads=3,3,0,3,14,9,9,9,5,9,10,13,11,4,14,15,15,17,18,21,17,24,24,21,24,25,0,
#predictedHeads=3,3,0,3,4,9,9,9,5,9,10,13,11,9,5,15,15,17,18,21,15,24,24,21,24,25,0,
(0,1),-1.1218 # DEPENDENCYPART_ARC
(0,2),-1.54869 # DEPENDENCYPART_ARC
(0,3),0.211287 # DEPENDENCYPART_ARC
(0,4),-1.90489 # DEPENDENCYPART_ARC
(0,5),-1.7398 # DEPENDENCYPART_ARC
(0,6),-0.381558 # DEPENDENCYPART_ARC
(0,7),-0.919853 # DEPENDENCYPART_ARC
(0,8),-1.57736 # DEPENDENCYPART_ARC
(0,9),-0.771224 # DEPENDENCYPART_ARC
(0,10),-2.69975 # DEPENDENCYPART_ARC
(0,11),-2.76667 # DEPENDENCYPART_ARC
(0,12),-2.95394 # DEPENDENCYPART_ARC
(0,13),-3.27701 # DEPENDENCYPART_ARC
(0,14),-0.245178 # DEPENDENCYPART_ARC
(0,15),-0.0573903 # DEPENDENCYPART_ARC
(0,16),-1.99266 # DEPENDENCYPART_ARC
(0,17),-2.3389 # DEPENDENCYPART_ARC
(0,18),-6.10955 # DEPENDENCYPART_ARC
(0,19),-5.33122 # DEPENDENCYPART_ARC
(0,20),-1.25868 # DEPENDENCYPART_ARC
(0,21),-4.12038 # DEPENDENCYPART_ARC
(0,22),-4.67836 # DEPENDENCYPART_ARC
(0,23),-4.48951 # DEPENDENCYPART_ARC
(0,24),-2.43825 # DEPENDENCYPART_ARC
(0,25),-6.59987 # DEPENDENCYPART_ARC
(0,26),-6.81905 # DEPENDENCYPART_ARC
(0,27),4.16549 # DEPENDENCYPART_ARC
(1,2),0.253389 # DEPENDENCYPART_ARC
(1,3),-0.746105 # DEPENDENCYPART_ARC
(1,4),-2.70022 # DEPENDENCYPART_ARC
(1,5),-2.64326 # DEPENDENCYPART_ARC
(1,6),-1.03022 # DEPENDENCYPART_ARC
(1,7),-2.73328 # DEPENDENCYPART_ARC
(1,8),-1.62832 # DEPENDENCYPART_ARC
(1,9),-1.04955 # DEPENDENCYPART_ARC
(1,10),-4.58781 # DEPENDENCYPART_ARC
(1,11),-3.59377 # DEPENDENCYPART_ARC
(1,12),-4.17284 # DEPENDENCYPART_ARC
