# _root_ " Kondiční příprava je pochopitelně náročná a stereotypní , takže zápasy jsem zařazoval především pro odreagování , " tvrdí chebský kormidelník .
#goldHeads=4,3,4,19,4,7,4,7,10,4,13,13,10,16,13,15,4,4,0,21,19,0,
#predictedHeads=4,3,4,0,4,7,4,7,10,4,13,13,10,16,13,15,13,4,0,21,19,0,
(0,1),-0.0671195 # DEPENDENCYPART_ARC
(0,2),-0.225268 # DEPENDENCYPART_ARC
(0,3),-0.87988 # DEPENDENCYPART_ARC
(0,4),0.193237 # DEPENDENCYPART_ARC
(0,5),-0.305285 # DEPENDENCYPART_ARC
(0,6),-1.02389 # DEPENDENCYPART_ARC
(0,7),-0.609418 # DEPENDENCYPART_ARC
(0,8),-1.39589 # DEPENDENCYPART_ARC
(0,9),-0.535316 # DEPENDENCYPART_ARC
(0,10),-1.26006 # DEPENDENCYPART_ARC
(0,11),-3.54672 # DEPENDENCYPART_ARC
(0,12),-0.815772 # DEPENDENCYPART_ARC
(0,13),-0.71999 # DEPENDENCYPART_ARC
(0,14),-2.24289 # DEPENDENCYPART_ARC
(0,15),-3.90118 # DEPENDENCYPART_ARC
(0,16),-3.56814 # DEPENDENCYPART_ARC
(0,17),-0.0698262 # DEPENDENCYPART_ARC
(0,18),-6.9309 # DEPENDENCYPART_ARC
(0,19),1.12469 # DEPENDENCYPART_ARC
(0,20),-3.51351 # DEPENDENCYPART_ARC
(0,21),-3.78399 # DEPENDENCYPART_ARC
(0,22),3.52885 # DEPENDENCYPART_ARC
(1,2),-1.34216 # DEPENDENCYPART_ARC
(1,3),-3.11036 # DEPENDENCYPART_ARC
(1,4),-2.59456 # DEPENDENCYPART_ARC
(1,5),-2.98773 # DEPENDENCYPART_ARC
(1,6),-3.24248 # DEPENDENCYPART_ARC
(1,7),-2.66417 # DEPENDENCYPART_ARC
(1,8),-3.66342 # DEPENDENCYPART_ARC
(1,9),-2.93788 # DEPENDENCYPART_ARC
(1,10),-3.0009 # DEPENDENCYPART_ARC
(1,11),-5.27892 # DEPENDENCYPART_ARC
(1,12),-3.87475 # DEPENDENCYPART_ARC
(1,13),-4.13995 # DEPENDENCYPART_ARC
(1,14),-4.40363 # DEPENDENCYPART_ARC
(1,15),-4.4105 # DEPENDENCYPART_ARC
(1,16),-6.07499 # DEPENDENCYPART_ARC
(1,17),-3.73717 # DEPENDENCYPART_ARC
(1,18),-3.28295 # DEPENDENCYPART_ARC
(1,19),-4.9989 # DEPENDENCYPART_ARC
(1,20),-5.13504 # DEPENDENCYPART_ARC
(1,21),-7.06697 # DEPENDENCYPART_ARC
(1,22),-4.42166 # DEPENDENCYPART_ARC
(2,1),0.120174 # DEPENDENCYPART_ARC
(2,3),0.256536 # DEPENDENCYPART_ARC
(2,4),-1.56972 # DEPENDENCYPART_ARC
(2,5),-0.3105 # DEPENDENCYPART_ARC
(2,6),-1.60186 # DEPENDENCYPART_ARC
(2,7),-0.456777 # DEPENDENCYPART_ARC
(2,8),-2.27547 # DEPENDENCYPART_ARC
(2,9),-0.267198 # DEPENDENCYPART_ARC
(2,10),-0.330858 # DEPENDENCYPART_ARC
(2,11),-3.51057 # DEPENDENCYPART_ARC
(2,12),-3.14787 # DEPENDENCYPART_ARC
(2,13),-3.86635 # DEPENDENCYPART_ARC
(2,14),-1.72689 # DEPENDENCYPART_ARC
(2,15),-2.14108 # DEPENDENCYPART_ARC
(2,16),-5.46933 # DEPENDENCYPART_ARC
(2,17),-1.49465 # DEPENDENCYPART_ARC
(2,18),-1.85229 # DEPENDENCYPART_ARC
(2,19),-4.72275 # DEPENDENCYPART_ARC
(2,20),-2.86143 # DEPENDENCYPART_ARC
(2,21),-6.20417 # DEPENDENCYPART_ARC
(2,22),-3.7347 # DEPENDENCYPART_ARC
(3,1),0.641985 # DEPENDENCYPART_ARC
(3,2),4.61602 # DEPENDENCYPART_ARC
(3,4),-0.421495 # DEPENDENCYPART_ARC
(3,5),-0.289682 # DEPENDENCYPART_ARC
(3,6),0.894714 # DEPENDENCYPART_ARC
(3,7),-0.103844 # DEPENDENCYPART_ARC
(3,8),-0.331471 # DEPENDENCYPART_ARC
(3,9),-0.327935 # DEPENDENCYPART_ARC
(3,10),-0.95448 # DEPENDENCYPART_ARC
(3,11),-3.62983 # DEPENDENCYPART_ARC
(3,12),-3.69714 # DEPENDENCYPART_ARC
(3,13),-4.76834 # DEPENDENCYPART_ARC
(3,14),-1.28362 # DEPENDENCYPART_ARC
(3,15),-2.24887 # DEPENDENCYPART_ARC
(3,16),-6.18472 # DEPENDENCYPART_ARC
(3,17),-1.42778 # DEPENDENCYPART_ARC
(3,18),-2.21365 # DEPENDENCYPART_ARC
(3,19),-7.14093 # DEPENDENCYPART_ARC
(3,20),-3.291 # DEPENDENCYPART_ARC
(3,21),-4.12258 # DEPENDENCYPART_ARC
(3,22),-6.50001 # DEPENDENCYPART_ARC
(4,1),1.89142 # DEPENDENCYPART_ARC
(4,2),0.919246 # DEPENDENCYPART_ARC
(4,3),2.8216 # DEPENDENCYPART_ARC
(4,5),2.34424 # DEPENDENCYPART_ARC
(4,6),3.63141 # DEPENDENCYPART_ARC
(4,7),1.23514 # DEPENDENCYPART_ARC
(4,8),1.93705 # DEPENDENCYPART_ARC
(4,9),0.597343 # DEPENDENCYPART_ARC
(4,10),1.9429 # DEPENDENCYPART_ARC
(4,11),-2.20515 # DEPENDENCYPART_ARC
(4,12),-0.798122 # DEPENDENCYPART_ARC
(4,13),-2.91235 # DEPENDENCYPART_ARC
(4,14),-2.30134 # DEPENDENCYPART_ARC
(4,15),-0.292679 # DEPENDENCYPART_ARC
(4,16),-3.25777 # DEPENDENCYPART_ARC
(4,17),0.732125 # DEPENDENCYPART_ARC
(4,18),0.907253 # DEPENDENCYPART_ARC
(4,19),-4.15313 # DEPENDENCYPART_ARC
(4,20),-3.71853 # DEPENDENCYPART_ARC
(4,21),-4.34133 # DEPENDENCYPART_ARC
(4,22),-0.45343 # DEPENDENCYPART_ARC
(5,1),-1.57111 # DEPENDENCYPART_ARC
(5,2),-2.33692 # DEPENDENCYPART_ARC
(5,3),-2.03903 # DEPENDENCYPART_ARC
(5,4),-1.65664 # DEPENDENCYPART_ARC
(5,6),-1.36157 # DEPENDENCYPART_ARC
(5,7),0.138844 # DEPENDENCYPART_ARC
(5,8),-2.21077 # DEPENDENCYPART_ARC
(5,9),-0.551809 # DEPENDENCYPART_ARC
(5,10),-0.597448 # DEPENDENCYPART_ARC
(5,11),-1.94406 # DEPENDENCYPART_ARC
(5,12),-2.9399 # DEPENDENCYPART_ARC
(5,13),-2.75823 # DEPENDENCYPART_ARC
(5,14),-1.69715 # DEPENDENCYPART_ARC
(5,15),-2.27813 # DEPENDENCYPART_ARC
(5,16),-2.49746 # DEPENDENCYPART_ARC
(5,17),-1.47553 # DEPENDENCYPART_ARC
(5,18),-1.94078 # DEPENDENCYPART_ARC
(5,19),-2.91619 # DEPENDENCYPART_ARC
(5,20),-3.53407 # DEPENDENCYPART_ARC
(5,21),-4.37652 # DEPENDENCYPART_ARC
(5,22),-3.46201 # DEPENDENCYPART_ARC
(6,1),-0.859993 # DEPENDENCYPART_ARC
(6,2),-1.33727 # DEPENDENCYPART_ARC
(6,3),-1.84035 # DEPENDENCYPART_ARC
(6,4),-1.9065 # DEPENDENCYPART_ARC
(6,5),2.21127 # DEPENDENCYPART_ARC
(6,7),0.383914 # DEPENDENCYPART_ARC
(6,8),-1.42702 # DEPENDENCYPART_ARC
(6,9),-0.854852 # DEPENDENCYPART_ARC
(6,10),-0.510035 # DEPENDENCYPART_ARC
(6,11),-2.68844 # DEPENDENCYPART_ARC
(6,12),-2.77024 # DEPENDENCYPART_ARC
(6,13),-3.45943 # DEPENDENCYPART_ARC
(6,14),-1.96487 # DEPENDENCYPART_ARC
(6,15),-2.13837 # DEPENDENCYPART_ARC
(6,16),-5.09319 # DEPENDENCYPART_ARC
(6,17),-1.80557 # DEPENDENCYPART_ARC
(6,18),-2.00888 # DEPENDENCYPART_ARC
(6,19),-4.45626 # DEPENDENCYPART_ARC
(6,20),-3.07565 # DEPENDENCYPART_ARC
(6,21),-5.77913 # DEPENDENCYPART_ARC
(6,22),-3.53704 # DEPENDENCYPART_ARC
(7,1),1.44245 # DEPENDENCYPART_ARC
(7,2),1.01567 # DEPENDENCYPART_ARC
(7,3),0.470087 # DEPENDENCYPART_ARC
(7,4),1.32328 # DEPENDENCYPART_ARC
(7,5),1.4228 # DEPENDENCYPART_ARC
(7,6),3.90376 # DEPENDENCYPART_ARC
(7,8),4.82188 # DEPENDENCYPART_ARC
(7,9),0.415379 # DEPENDENCYPART_ARC
(7,10),0.894595 # DEPENDENCYPART_ARC
(7,11),0.074517 # DEPENDENCYPART_ARC
(7,12),-0.50577 # DEPENDENCYPART_ARC
(7,13),-0.219779 # DEPENDENCYPART_ARC
(7,14),-0.593839 # DEPENDENCYPART_ARC
(7,15),-0.913856 # DEPENDENCYPART_ARC
(7,16),-2.33719 # DEPENDENCYPART_ARC
(7,17),0.372258 # DEPENDENCYPART_ARC
(7,18),0.673117 # DEPENDENCYPART_ARC
(7,19),-2.26879 # DEPENDENCYPART_ARC
(7,20),-0.196976 # DEPENDENCYPART_ARC
(7,21),-4.12012 # DEPENDENCYPART_ARC
(7,22),-2.11465 # DEPENDENCYPART_ARC
(8,1),-1.75101 # DEPENDENCYPART_ARC
(8,2),-2.67761 # DEPENDENCYPART_ARC
(8,3),-2.9252 # DEPENDENCYPART_ARC
(8,4),-3.35872 # DEPENDENCYPART_ARC
(8,5),-0.518915 # DEPENDENCYPART_ARC
