# _root_ jiná , určená k setí přímo do země , se mohou prodávat i později .
#goldHeads=2,11,2,3,4,8,5,7,2,11,0,11,14,12,0,
#predictedHeads=2,9,2,3,4,8,3,7,11,12,0,11,14,12,0,
(0,1),-0.596571 # DEPENDENCYPART_ARC
(0,2),-0.12452 # DEPENDENCYPART_ARC
(0,3),-1.12939 # DEPENDENCYPART_ARC
(0,4),0.127777 # DEPENDENCYPART_ARC
(0,5),-1.03099 # DEPENDENCYPART_ARC
(0,6),-0.172757 # DEPENDENCYPART_ARC
(0,7),0.231611 # DEPENDENCYPART_ARC
(0,8),-1.77834 # DEPENDENCYPART_ARC
(0,9),-0.202174 # DEPENDENCYPART_ARC
(0,11),0.643218 # DEPENDENCYPART_ARC
(0,12),0.309456 # DEPENDENCYPART_ARC
(0,13),-2.65639 # DEPENDENCYPART_ARC
(0,14),-1.8637 # DEPENDENCYPART_ARC
(0,15),3.99893 # DEPENDENCYPART_ARC
(1,2),0.14078 # DEPENDENCYPART_ARC
(1,3),-0.950934 # DEPENDENCYPART_ARC
(1,4),0.232323 # DEPENDENCYPART_ARC
(1,5),-1.19377 # DEPENDENCYPART_ARC
(1,6),-1.04133 # DEPENDENCYPART_ARC
(1,7),-0.32169 # DEPENDENCYPART_ARC
(1,8),-3.02021 # DEPENDENCYPART_ARC
(1,9),-0.671972 # DEPENDENCYPART_ARC
(1,10),-2.62171 # DEPENDENCYPART_ARC
(1,11),-2.50715 # DEPENDENCYPART_ARC
(1,12),-1.64951 # DEPENDENCYPART_ARC
(1,13),-1.23473 # DEPENDENCYPART_ARC
(1,14),-1.88765 # DEPENDENCYPART_ARC
(1,15),-2.47833 # DEPENDENCYPART_ARC
(2,1),1.19677 # DEPENDENCYPART_ARC
(2,3),1.78578 # DEPENDENCYPART_ARC
(2,4),0.499816 # DEPENDENCYPART_ARC
(2,5),-0.0262783 # DEPENDENCYPART_ARC
(2,6),0.148556 # DEPENDENCYPART_ARC
(2,7),-0.119972 # DEPENDENCYPART_ARC
(2,8),-0.653952 # DEPENDENCYPART_ARC
(2,9),0.0330007 # DEPENDENCYPART_ARC
(2,10),-1.19204 # DEPENDENCYPART_ARC
(2,11),0.144216 # DEPENDENCYPART_ARC
(2,12),-0.290335 # DEPENDENCYPART_ARC
(2,13),-1.27252 # DEPENDENCYPART_ARC
(2,14),-0.658479 # DEPENDENCYPART_ARC
(2,15),-0.287303 # DEPENDENCYPART_ARC
(3,1),-0.894946 # DEPENDENCYPART_ARC
(3,2),1.35569 # DEPENDENCYPART_ARC
(3,4),2.31249 # DEPENDENCYPART_ARC
(3,5),0.679211 # DEPENDENCYPART_ARC
(3,6),0.0847105 # DEPENDENCYPART_ARC
(3,7),1.04215 # DEPENDENCYPART_ARC
(3,8),-1.68376 # DEPENDENCYPART_ARC
(3,9),0.74771 # DEPENDENCYPART_ARC
(3,10),-1.87258 # DEPENDENCYPART_ARC
(3,11),-2.45935 # DEPENDENCYPART_ARC
(3,12),-1.21029 # DEPENDENCYPART_ARC
(3,13),-1.04328 # DEPENDENCYPART_ARC
(3,14),-0.980189 # DEPENDENCYPART_ARC
(3,15),-1.18633 # DEPENDENCYPART_ARC
(4,1),-2.60438 # DEPENDENCYPART_ARC
(4,2),-0.507731 # DEPENDENCYPART_ARC
(4,3),-1.5021 # DEPENDENCYPART_ARC
(4,5),4.23471 # DEPENDENCYPART_ARC
(4,6),-0.792823 # DEPENDENCYPART_ARC
(4,7),-1.29001 # DEPENDENCYPART_ARC
(4,8),-1.88732 # DEPENDENCYPART_ARC
(4,9),-0.468869 # DEPENDENCYPART_ARC
(4,11),-2.67086 # DEPENDENCYPART_ARC
(4,13),-2.61026 # DEPENDENCYPART_ARC
(4,14),-2.13188 # DEPENDENCYPART_ARC
(4,15),-2.44162 # DEPENDENCYPART_ARC
(5,1),-4.49223 # DEPENDENCYPART_ARC
(5,2),-0.675753 # DEPENDENCYPART_ARC
(5,3),-3.22703 # DEPENDENCYPART_ARC
(5,4),0.131127 # DEPENDENCYPART_ARC
(5,6),-0.651374 # DEPENDENCYPART_ARC
(5,7),0.314032 # DEPENDENCYPART_ARC
(5,8),0.339755 # DEPENDENCYPART_ARC
(5,9),-0.601594 # DEPENDENCYPART_ARC
(5,10),-1.36174 # DEPENDENCYPART_ARC
(5,11),-0.417134 # DEPENDENCYPART_ARC
(5,12),-0.455067 # DEPENDENCYPART_ARC
