# _root_ Celý film připomíná spíš několik samostatných , volně řazených epizod , v nichž se vždycky jedna z hrdinek octne v nesnázích a zbývající tři ji společně zachraňují .
#goldHeads=2,3,0,3,3,7,10,9,7,5,22,22,12,19,19,19,16,17,22,19,20,10,27,27,27,27,22,0,
#predictedHeads=2,3,0,5,3,7,10,9,10,5,19,27,12,19,19,19,16,17,10,19,20,20,27,27,27,27,22,0,
(0,1),-0.241166 # DEPENDENCYPART_ARC
(0,2),-1.22583 # DEPENDENCYPART_ARC
(0,3),1.2074 # DEPENDENCYPART_ARC
(0,4),-0.247199 # DEPENDENCYPART_ARC
(0,5),-1.27644 # DEPENDENCYPART_ARC
(0,6),-1.93067 # DEPENDENCYPART_ARC
(0,7),-0.172295 # DEPENDENCYPART_ARC
(0,8),-0.930424 # DEPENDENCYPART_ARC
(0,9),-2.05181 # DEPENDENCYPART_ARC
(0,10),-2.27594 # DEPENDENCYPART_ARC
(0,11),-0.191356 # DEPENDENCYPART_ARC
(0,12),-2.79211 # DEPENDENCYPART_ARC
(0,13),-2.03513 # DEPENDENCYPART_ARC
(0,14),-2.30911 # DEPENDENCYPART_ARC
(0,15),-1.29042 # DEPENDENCYPART_ARC
(0,16),-3.01292 # DEPENDENCYPART_ARC
(0,17),-3.42677 # DEPENDENCYPART_ARC
(0,18),-3.41736 # DEPENDENCYPART_ARC
(0,19),-0.155474 # DEPENDENCYPART_ARC
(0,20),-4.13802 # DEPENDENCYPART_ARC
(0,21),-3.04551 # DEPENDENCYPART_ARC
(0,22),-0.8127 # DEPENDENCYPART_ARC
(0,23),-2.91527 # DEPENDENCYPART_ARC
(0,24),-4.34687 # DEPENDENCYPART_ARC
(0,25),-2.37824 # DEPENDENCYPART_ARC
(0,26),-3.34797 # DEPENDENCYPART_ARC
(0,27),-1.38871 # DEPENDENCYPART_ARC
(0,28),4.89332 # DEPENDENCYPART_ARC
(1,2),-0.931656 # DEPENDENCYPART_ARC
(1,3),-2.63741 # DEPENDENCYPART_ARC
(1,4),-1.52354 # DEPENDENCYPART_ARC
(1,5),-1.12031 # DEPENDENCYPART_ARC
(1,6),-5.00793 # DEPENDENCYPART_ARC
(1,7),-1.64602 # DEPENDENCYPART_ARC
(1,8),-1.83976 # DEPENDENCYPART_ARC
(1,9),-5.51224 # DEPENDENCYPART_ARC
(1,10),-3.10216 # DEPENDENCYPART_ARC
(1,11),-1.66332 # DEPENDENCYPART_ARC
(1,12),-3.03472 # DEPENDENCYPART_ARC
(1,13),-4.1969 # DEPENDENCYPART_ARC
(1,14),-3.64748 # DEPENDENCYPART_ARC
(1,15),-2.3722 # DEPENDENCYPART_ARC
(1,16),-3.18334 # DEPENDENCYPART_ARC
(1,17),-2.51378 # DEPENDENCYPART_ARC
(1,18),-4.5766 # DEPENDENCYPART_ARC
(1,19),-4.37998 # DEPENDENCYPART_ARC
(1,20),-3.30221 # DEPENDENCYPART_ARC
(1,21),-5.53087 # DEPENDENCYPART_ARC
(1,22),-2.96807 # DEPENDENCYPART_ARC
(1,23),-5.38706 # DEPENDENCYPART_ARC
(1,24),-3.54558 # DEPENDENCYPART_ARC
(1,25),-7.01232 # DEPENDENCYPART_ARC
(1,26),-3.13686 # DEPENDENCYPART_ARC
(1,27),-5.46285 # DEPENDENCYPART_ARC
(1,28),-5.06453 # DEPENDENCYPART_ARC
(2,1),5.22023 # DEPENDENCYPART_ARC
