# _root_ V prvním poločase , kdy se domácí celek ujal ve 28 . minutě vedení brankou z kopačky Kellyho , rozpoutali podnapilí výtržníci z Anglie na horní části tribuny nepokoje .
#goldHeads=20,3,1,9,9,9,8,9,3,9,13,11,10,9,9,15,16,17,9,0,22,20,22,23,20,27,25,27,20,0,
#predictedHeads=9,3,1,9,9,9,8,9,19,9,13,11,10,13,14,15,16,17,20,0,22,20,22,23,20,27,25,27,20,0,
(0,1),-1.13548 # DEPENDENCYPART_ARC
(0,2),-1.73954 # DEPENDENCYPART_ARC
(0,3),-0.800634 # DEPENDENCYPART_ARC
(0,4),-0.0631248 # DEPENDENCYPART_ARC
(0,5),-0.705972 # DEPENDENCYPART_ARC
(0,7),-1.4549 # DEPENDENCYPART_ARC
(0,8),-1.51064 # DEPENDENCYPART_ARC
(0,9),-0.207274 # DEPENDENCYPART_ARC
(0,10),-2.46 # DEPENDENCYPART_ARC
(0,11),-1.99807 # DEPENDENCYPART_ARC
(0,12),0.108275 # DEPENDENCYPART_ARC
(0,13),-2.27876 # DEPENDENCYPART_ARC
(0,14),-2.54501 # DEPENDENCYPART_ARC
(0,15),-2.05364 # DEPENDENCYPART_ARC
(0,16),-3.53593 # DEPENDENCYPART_ARC
(0,17),-3.22105 # DEPENDENCYPART_ARC
(0,18),-2.67809 # DEPENDENCYPART_ARC
(0,19),-0.433492 # DEPENDENCYPART_ARC
(0,20),0.605908 # DEPENDENCYPART_ARC
(0,21),-3.69405 # DEPENDENCYPART_ARC
(0,22),-3.29137 # DEPENDENCYPART_ARC
(0,23),-6.1619 # DEPENDENCYPART_ARC
(0,24),-3.4929 # DEPENDENCYPART_ARC
(0,25),-5.75463 # DEPENDENCYPART_ARC
(0,26),-4.02923 # DEPENDENCYPART_ARC
(0,27),-4.27362 # DEPENDENCYPART_ARC
(0,28),-4.40422 # DEPENDENCYPART_ARC
(0,29),-4.02068 # DEPENDENCYPART_ARC
(0,30),4.02122 # DEPENDENCYPART_ARC
(1,2),1.94426 # DEPENDENCYPART_ARC
(1,3),3.71838 # DEPENDENCYPART_ARC
(1,4),-0.439993 # DEPENDENCYPART_ARC
(1,5),-0.506625 # DEPENDENCYPART_ARC
(1,7),-2.932 # DEPENDENCYPART_ARC
