# _root_ Cigarety Camel , které se v pátek pokusila z Turecka do ČSFR propašovat skupina patnácti osob , byly podle našich informací určeny k prodeji v Praze .
#goldHeads=18,1,8,13,8,8,6,1,13,9,13,11,8,8,16,14,8,0,18,21,19,18,22,23,24,25,0,
#predictedHeads=8,1,8,8,8,8,6,0,8,9,8,11,8,13,16,14,8,22,18,21,19,16,22,23,24,25,0,
(0,1),-0.26057 # DEPENDENCYPART_ARC
(0,2),0.319182 # DEPENDENCYPART_ARC
(0,3),0.225258 # DEPENDENCYPART_ARC
(0,4),-1.47899 # DEPENDENCYPART_ARC
(0,6),-0.429184 # DEPENDENCYPART_ARC
(0,7),-2.29016 # DEPENDENCYPART_ARC
(0,8),0.547088 # DEPENDENCYPART_ARC
(0,9),-2.44702 # DEPENDENCYPART_ARC
(0,10),-1.7437 # DEPENDENCYPART_ARC
(0,11),-1.1367 # DEPENDENCYPART_ARC
(0,12),-2.63165 # DEPENDENCYPART_ARC
(0,13),-0.386797 # DEPENDENCYPART_ARC
(0,14),-2.7594 # DEPENDENCYPART_ARC
(0,15),-2.01924 # DEPENDENCYPART_ARC
(0,16),-3.45958 # DEPENDENCYPART_ARC
(0,17),-0.415375 # DEPENDENCYPART_ARC
(0,18),0.104935 # DEPENDENCYPART_ARC
(0,19),-4.36062 # DEPENDENCYPART_ARC
(0,21),-5.2225 # DEPENDENCYPART_ARC
(0,22),-1.50787 # DEPENDENCYPART_ARC
(0,23),-5.60268 # DEPENDENCYPART_ARC
(0,24),-4.06085 # DEPENDENCYPART_ARC
(0,25),-4.24479 # DEPENDENCYPART_ARC
(0,26),-3.94991 # DEPENDENCYPART_ARC
(0,27),4.07605 # DEPENDENCYPART_ARC
(1,2),2.28702 # DEPENDENCYPART_ARC
(1,3),-0.0129153 # DEPENDENCYPART_ARC
(1,4),-1.34696 # DEPENDENCYPART_ARC
(1,5),-1.75469 # DEPENDENCYPART_ARC
(1,6),-0.0903188 # DEPENDENCYPART_ARC
(1,7),-4.15974 # DEPENDENCYPART_ARC
(1,8),0.894913 # DEPENDENCYPART_ARC
(1,9),-1.14107 # DEPENDENCYPART_ARC
(1,10),-1.66602 # DEPENDENCYPART_ARC
(1,11),-0.169015 # DEPENDENCYPART_ARC
(1,12),-2.52714 # DEPENDENCYPART_ARC
(1,13),0.141979 # DEPENDENCYPART_ARC
(1,14),-5.02863 # DEPENDENCYPART_ARC
(1,15),-2.92975 # DEPENDENCYPART_ARC
(1,16),-3.96391 # DEPENDENCYPART_ARC
(1,17),-1.01217 # DEPENDENCYPART_ARC
(1,18),-3.70539 # DEPENDENCYPART_ARC
(1,19),-3.09497 # DEPENDENCYPART_ARC
(1,20),-3.93655 # DEPENDENCYPART_ARC
(1,21),-5.02075 # DEPENDENCYPART_ARC
(1,22),-2.12433 # DEPENDENCYPART_ARC
(1,23),-4.6121 # DEPENDENCYPART_ARC
(1,24),-8.93462 # DEPENDENCYPART_ARC
(1,25),-3.29547 # DEPENDENCYPART_ARC
(1,26),-7.95914 # DEPENDENCYPART_ARC
(1,27),-10.0203 # DEPENDENCYPART_ARC
(2,1),0.235475 # DEPENDENCYPART_ARC
(2,3),0.232481 # DEPENDENCYPART_ARC
(2,4),-1.74382 # DEPENDENCYPART_ARC
(2,5),-1.72788 # DEPENDENCYPART_ARC
(2,6),-1.27089 # DEPENDENCYPART_ARC
(2,7),-3.48648 # DEPENDENCYPART_ARC
(2,8),-0.603324 # DEPENDENCYPART_ARC
(2,9),-1.70786 # DEPENDENCYPART_ARC
(2,10),-2.19888 # DEPENDENCYPART_ARC
(2,11),-1.17927 # DEPENDENCYPART_ARC
(2,12),-1.67299 # DEPENDENCYPART_ARC
(2,13),0.501877 # DEPENDENCYPART_ARC
(2,14),-4.89306 # DEPENDENCYPART_ARC
(2,15),-2.62396 # DEPENDENCYPART_ARC
(2,16),-4.42096 # DEPENDENCYPART_ARC
(2,17),-0.242944 # DEPENDENCYPART_ARC
(2,18),-5.2444 # DEPENDENCYPART_ARC
(2,19),-3.92723 # DEPENDENCYPART_ARC
(2,20),-4.65057 # DEPENDENCYPART_ARC
(2,21),-5.94456 # DEPENDENCYPART_ARC
(2,22),-3.21 # DEPENDENCYPART_ARC
(2,23),-5.35688 # DEPENDENCYPART_ARC
(2,24),-9.03767 # DEPENDENCYPART_ARC
(2,25),-4.52504 # DEPENDENCYPART_ARC
(2,26),-7.91849 # DEPENDENCYPART_ARC
(2,27),-9.6864 # DEPENDENCYPART_ARC
(3,1),-0.992057 # DEPENDENCYPART_ARC
(3,2),-1.14106 # DEPENDENCYPART_ARC
(3,4),-1.25408 # DEPENDENCYPART_ARC
(3,5),-1.46425 # DEPENDENCYPART_ARC
(3,6),-1.53587 # DEPENDENCYPART_ARC
(3,7),-1.73907 # DEPENDENCYPART_ARC
(3,8),-0.235693 # DEPENDENCYPART_ARC
(3,9),-2.28814 # DEPENDENCYPART_ARC
(3,10),-2.90525 # DEPENDENCYPART_ARC
(3,11),-2.35728 # DEPENDENCYPART_ARC
(3,12),-3.57904 # DEPENDENCYPART_ARC
(3,13),-0.921512 # DEPENDENCYPART_ARC
(3,14),-4.10254 # DEPENDENCYPART_ARC
(3,15),-2.41093 # DEPENDENCYPART_ARC
(3,16),-4.12478 # DEPENDENCYPART_ARC
(3,17),-1.08406 # DEPENDENCYPART_ARC
(3,18),-2.9469 # DEPENDENCYPART_ARC
(3,19),-3.98321 # DEPENDENCYPART_ARC
(3,20),-2.87163 # DEPENDENCYPART_ARC
(3,21),-5.98634 # DEPENDENCYPART_ARC
(3,22),-2.18181 # DEPENDENCYPART_ARC
(3,23),-3.96682 # DEPENDENCYPART_ARC
(3,24),-6.57903 # DEPENDENCYPART_ARC
(3,25),-4.72108 # DEPENDENCYPART_ARC
(3,26),-6.83788 # DEPENDENCYPART_ARC
(3,27),-2.58968 # DEPENDENCYPART_ARC
(4,1),-2.69926 # DEPENDENCYPART_ARC
(4,2),-2.29845 # DEPENDENCYPART_ARC
(4,3),-0.356367 # DEPENDENCYPART_ARC
(4,6),-0.792267 # DEPENDENCYPART_ARC
(4,7),0.227817 # DEPENDENCYPART_ARC
(4,8),-0.738601 # DEPENDENCYPART_ARC
(4,9),-0.135518 # DEPENDENCYPART_ARC
(4,10),-1.02039 # DEPENDENCYPART_ARC
(4,11),-0.655257 # DEPENDENCYPART_ARC
(4,12),-2.22291 # DEPENDENCYPART_ARC
(4,14),-1.8411 # DEPENDENCYPART_ARC
(4,16),-1.7384 # DEPENDENCYPART_ARC
(4,17),-0.940625 # DEPENDENCYPART_ARC
(4,18),-5.25076 # DEPENDENCYPART_ARC
(4,19),-1.42177 # DEPENDENCYPART_ARC
(4,21),-2.56862 # DEPENDENCYPART_ARC
(4,22),-4.68338 # DEPENDENCYPART_ARC
(4,23),-2.48172 # DEPENDENCYPART_ARC
(4,24),-1.7616 # DEPENDENCYPART_ARC
(4,25),-2.12496 # DEPENDENCYPART_ARC
(4,26),-1.91938 # DEPENDENCYPART_ARC
(4,27),-2.56093 # DEPENDENCYPART_ARC
(6,1),-4.85437 # DEPENDENCYPART_ARC
(6,2),-2.95277 # DEPENDENCYPART_ARC
(6,3),-0.340801 # DEPENDENCYPART_ARC
(6,4),-1.73412 # DEPENDENCYPART_ARC
(6,7),5.27745 # DEPENDENCYPART_ARC
(6,8),-0.984373 # DEPENDENCYPART_ARC
(6,9),-1.08843 # DEPENDENCYPART_ARC
(6,10),-3.73966 # DEPENDENCYPART_ARC
(6,11),-1.41148 # DEPENDENCYPART_ARC
(6,12),-2.43341 # DEPENDENCYPART_ARC
(6,14),-8.17498 # DEPENDENCYPART_ARC
(6,15),-2.64545 # DEPENDENCYPART_ARC
(6,16),-9.59422 # DEPENDENCYPART_ARC
(6,17),-1.9567 # DEPENDENCYPART_ARC
(6,18),-2.72073 # DEPENDENCYPART_ARC
(6,19),-2.41714 # DEPENDENCYPART_ARC
(6,20),-5.36695 # DEPENDENCYPART_ARC
(6,21),-10.976 # DEPENDENCYPART_ARC
(6,23),-3.01338 # DEPENDENCYPART_ARC
(6,24),-12.5398 # DEPENDENCYPART_ARC
(6,25),-3.04254 # DEPENDENCYPART_ARC
(6,26),-14.3063 # DEPENDENCYPART_ARC
(6,27),-4.39078 # DEPENDENCYPART_ARC
(7,1),-5.76288 # DEPENDENCYPART_ARC
(7,2),-1.13604 # DEPENDENCYPART_ARC
(7,3),-1.10132 # DEPENDENCYPART_ARC
(7,4),-1.42952 # DEPENDENCYPART_ARC
(7,5),-1.88809 # DEPENDENCYPART_ARC
(7,6),1.55315 # DEPENDENCYPART_ARC
(7,8),-1.47531 # DEPENDENCYPART_ARC
(7,9),-1.4628 # DEPENDENCYPART_ARC
(7,10),-0.71053 # DEPENDENCYPART_ARC
(7,11),-1.34754 # DEPENDENCYPART_ARC
(7,12),-1.91627 # DEPENDENCYPART_ARC
(7,13),-1.38563 # DEPENDENCYPART_ARC
(7,14),-5.4711 # DEPENDENCYPART_ARC
(7,15),-3.37156 # DEPENDENCYPART_ARC
(7,16),-3.95286 # DEPENDENCYPART_ARC
(7,17),-2.51701 # DEPENDENCYPART_ARC
(7,18),-6.27182 # DEPENDENCYPART_ARC
(7,19),-3.9641 # DEPENDENCYPART_ARC
(7,20),-5.59756 # DEPENDENCYPART_ARC
(7,21),-4.55233 # DEPENDENCYPART_ARC
(7,22),-4.99026 # DEPENDENCYPART_ARC
(7,23),-4.62066 # DEPENDENCYPART_ARC
(7,24),-8.00188 # DEPENDENCYPART_ARC
(7,25),-4.65819 # DEPENDENCYPART_ARC
(7,26),-7.42911 # DEPENDENCYPART_ARC
(7,27),-9.63535 # DEPENDENCYPART_ARC
(8,1),2.4618 # DEPENDENCYPART_ARC
(8,2),-1.54846 # DEPENDENCYPART_ARC
(8,3),2.69478 # DEPENDENCYPART_ARC
(8,4),3.14888 # DEPENDENCYPART_ARC
(8,5),4.37172 # DEPENDENCYPART_ARC
(8,6),3.24818 # DEPENDENCYPART_ARC
(8,7),2.17554 # DEPENDENCYPART_ARC
(8,9),3.01317 # DEPENDENCYPART_ARC
(8,10),-0.748522 # DEPENDENCYPART_ARC
(8,11),2.57173 # DEPENDENCYPART_ARC
(8,12),-1.59481 # DEPENDENCYPART_ARC
(8,13),2.36574 # DEPENDENCYPART_ARC
(8,14),1.75471 # DEPENDENCYPART_ARC
(8,15),-0.985939 # DEPENDENCYPART_ARC
(8,16),-1.1019 # DEPENDENCYPART_ARC
(8,17),1.21173 # DEPENDENCYPART_ARC
(8,18),-2.97198 # DEPENDENCYPART_ARC
(8,19),1.37801 # DEPENDENCYPART_ARC
(8,20),-5.56151 # DEPENDENCYPART_ARC
(8,21),-3.05547 # DEPENDENCYPART_ARC
(8,22),-1.06629 # DEPENDENCYPART_ARC
(8,23),-0.0526173 # DEPENDENCYPART_ARC
(8,24),-2.9575 # DEPENDENCYPART_ARC
(8,25),0.0668254 # DEPENDENCYPART_ARC
(8,26),-5.37821 # DEPENDENCYPART_ARC
(8,27),-0.505707 # DEPENDENCYPART_ARC
(9,1),-5.25441 # DEPENDENCYPART_ARC
(9,2),-3.48835 # DEPENDENCYPART_ARC
(9,3),-1.61673 # DEPENDENCYPART_ARC
(9,4),-2.72724 # DEPENDENCYPART_ARC
(9,6),-1.52271 # DEPENDENCYPART_ARC
(9,7),-0.827938 # DEPENDENCYPART_ARC
(9,8),-1.64961 # DEPENDENCYPART_ARC
(9,10),4.30754 # DEPENDENCYPART_ARC
(9,11),-0.478505 # DEPENDENCYPART_ARC
(9,12),1.29973 # DEPENDENCYPART_ARC
(9,14),-5.3725 # DEPENDENCYPART_ARC
(9,15),-1.47498 # DEPENDENCYPART_ARC
(9,16),-4.24538 # DEPENDENCYPART_ARC
(9,17),-1.27372 # DEPENDENCYPART_ARC
(9,18),-2.69253 # DEPENDENCYPART_ARC
(9,19),-1.94767 # DEPENDENCYPART_ARC
(9,20),-3.94778 # DEPENDENCYPART_ARC
(9,21),-5.83716 # DEPENDENCYPART_ARC
(9,23),-2.73782 # DEPENDENCYPART_ARC
(9,24),-9.96521 # DEPENDENCYPART_ARC
(9,25),-3.05291 # DEPENDENCYPART_ARC
(9,26),-10.9951 # DEPENDENCYPART_ARC
(9,27),-3.72235 # DEPENDENCYPART_ARC
(10,1),-8.05114 # DEPENDENCYPART_ARC
(10,2),-2.91412 # DEPENDENCYPART_ARC
(10,3),-2.66207 # DEPENDENCYPART_ARC
(10,4),-6.9448 # DEPENDENCYPART_ARC
(10,5),-5.12675 # DEPENDENCYPART_ARC
(10,6),-1.90914 # DEPENDENCYPART_ARC
(10,7),-4.60316 # DEPENDENCYPART_ARC
(10,8),-4.88332 # DEPENDENCYPART_ARC
