# _root_ Regulované a centrálně stanovené ceny se zjišťují na příslušných orgánech ( tisk , energie , pojištění aj . ) .
#goldHeads=2,5,4,2,7,7,0,7,10,8,17,17,17,17,17,17,10,17,17,0,
#predictedHeads=2,5,4,2,7,7,0,7,10,8,13,15,17,15,7,15,16,17,17,0,
(0,1),-0.480989 # DEPENDENCYPART_ARC
(0,2),-0.358738 # DEPENDENCYPART_ARC
(0,3),-0.411034 # DEPENDENCYPART_ARC
(0,4),-0.876616 # DEPENDENCYPART_ARC
(0,5),-1.54529 # DEPENDENCYPART_ARC
(0,6),-1.81031 # DEPENDENCYPART_ARC
(0,7),0.0706251 # DEPENDENCYPART_ARC
(0,8),-0.990467 # DEPENDENCYPART_ARC
(0,9),-2.46565 # DEPENDENCYPART_ARC
(0,10),-2.23366 # DEPENDENCYPART_ARC
(0,11),-1.00015 # DEPENDENCYPART_ARC
(0,12),-0.81713 # DEPENDENCYPART_ARC
(0,13),-0.79364 # DEPENDENCYPART_ARC
(0,14),-1.62019 # DEPENDENCYPART_ARC
(0,15),-0.970287 # DEPENDENCYPART_ARC
(0,16),-2.37738 # DEPENDENCYPART_ARC
(0,17),-1.80604 # DEPENDENCYPART_ARC
(0,18),1.6763 # DEPENDENCYPART_ARC
(0,19),-0.91619 # DEPENDENCYPART_ARC
(0,20),3.70061 # DEPENDENCYPART_ARC
(1,2),-0.369201 # DEPENDENCYPART_ARC
(1,3),-1.47535 # DEPENDENCYPART_ARC
(1,4),-2.55176 # DEPENDENCYPART_ARC
(1,5),-3.06121 # DEPENDENCYPART_ARC
(1,6),-2.04381 # DEPENDENCYPART_ARC
(1,7),-3.6139 # DEPENDENCYPART_ARC
(1,8),-2.075 # DEPENDENCYPART_ARC
(1,9),-4.34249 # DEPENDENCYPART_ARC
(1,10),-2.60366 # DEPENDENCYPART_ARC
(1,11),-2.07574 # DEPENDENCYPART_ARC
(1,12),-4.59885 # DEPENDENCYPART_ARC
(1,13),-1.86026 # DEPENDENCYPART_ARC
(1,14),-6.18341 # DEPENDENCYPART_ARC
(1,15),-2.09077 # DEPENDENCYPART_ARC
(1,16),-6.74996 # DEPENDENCYPART_ARC
(1,17),-5.21729 # DEPENDENCYPART_ARC
(1,18),-4.50334 # DEPENDENCYPART_ARC
(1,19),-2.3455 # DEPENDENCYPART_ARC
(1,20),-5.40047 # DEPENDENCYPART_ARC
(2,1),2.93316 # DEPENDENCYPART_ARC
(2,3),0.939182 # DEPENDENCYPART_ARC
(2,4),4.89471 # DEPENDENCYPART_ARC
(2,5),0.665691 # DEPENDENCYPART_ARC
(2,6),-0.15646 # DEPENDENCYPART_ARC
(2,7),1.07539 # DEPENDENCYPART_ARC
(2,8),0.428438 # DEPENDENCYPART_ARC
(2,9),1.29705 # DEPENDENCYPART_ARC
(2,10),-1.30026 # DEPENDENCYPART_ARC
(2,11),-0.0986701 # DEPENDENCYPART_ARC
(2,12),-1.57365 # DEPENDENCYPART_ARC
