# _root_ Přestože je chemická struktura molekuly známa již od let sedmdesátých , nenašli chemici levný způsob , jak tuto molekulu syntetizovat .
#goldHeads=12,1,4,2,4,2,9,2,8,9,1,0,12,15,12,20,20,19,20,15,0,
#predictedHeads=12,1,4,2,4,2,9,12,8,9,1,0,12,15,12,1,20,19,20,15,0,
(0,1),-0.144013 # DEPENDENCYPART_ARC
(0,2),-0.480303 # DEPENDENCYPART_ARC
(0,3),-1.20195 # DEPENDENCYPART_ARC
(0,4),-1.8683 # DEPENDENCYPART_ARC
(0,5),-3.03403 # DEPENDENCYPART_ARC
(0,6),-1.54025 # DEPENDENCYPART_ARC
(0,7),-1.52773 # DEPENDENCYPART_ARC
(0,8),-1.98452 # DEPENDENCYPART_ARC
(0,9),-3.78266 # DEPENDENCYPART_ARC
(0,10),-3.42301 # DEPENDENCYPART_ARC
(0,11),-0.630182 # DEPENDENCYPART_ARC
(0,12),-0.304051 # DEPENDENCYPART_ARC
(0,13),-3.68799 # DEPENDENCYPART_ARC
(0,14),-3.00257 # DEPENDENCYPART_ARC
(0,15),-4.17672 # DEPENDENCYPART_ARC
(0,16),-1.08493 # DEPENDENCYPART_ARC
(0,17),-3.31621 # DEPENDENCYPART_ARC
(0,18),-1.93342 # DEPENDENCYPART_ARC
(0,19),-4.98145 # DEPENDENCYPART_ARC
(0,20),-1.96685 # DEPENDENCYPART_ARC
(0,21),4.06372 # DEPENDENCYPART_ARC
(1,2),2.47789 # DEPENDENCYPART_ARC
(1,3),0.237915 # DEPENDENCYPART_ARC
(1,4),-0.757899 # DEPENDENCYPART_ARC
(1,5),-1.16208 # DEPENDENCYPART_ARC
(1,6),-1.26889 # DEPENDENCYPART_ARC
(1,7),-0.704512 # DEPENDENCYPART_ARC
(1,8),-1.33315 # DEPENDENCYPART_ARC
(1,9),-2.30425 # DEPENDENCYPART_ARC
(1,10),-1.14788 # DEPENDENCYPART_ARC
(1,11),2.65605 # DEPENDENCYPART_ARC
(1,12),0.155457 # DEPENDENCYPART_ARC
(1,13),-2.78936 # DEPENDENCYPART_ARC
(1,14),-2.78226 # DEPENDENCYPART_ARC
(1,15),-2.97418 # DEPENDENCYPART_ARC
(1,16),1.79818 # DEPENDENCYPART_ARC
(1,17),-1.70447 # DEPENDENCYPART_ARC
(1,18),-2.40351 # DEPENDENCYPART_ARC
(1,19),-4.37129 # DEPENDENCYPART_ARC
(1,20),-0.4934 # DEPENDENCYPART_ARC
(1,21),-1.60591 # DEPENDENCYPART_ARC
(2,1),1.54916 # DEPENDENCYPART_ARC
(2,3),2.31294 # DEPENDENCYPART_ARC
(2,4),3.21175 # DEPENDENCYPART_ARC
(2,5),0.295 # DEPENDENCYPART_ARC
(2,6),3.64994 # DEPENDENCYPART_ARC
(2,7),-0.160698 # DEPENDENCYPART_ARC
(2,8),1.15537 # DEPENDENCYPART_ARC
(2,9),-2.12939 # DEPENDENCYPART_ARC
(2,10),-0.691461 # DEPENDENCYPART_ARC
(2,11),0.391565 # DEPENDENCYPART_ARC
(2,12),-2.21021 # DEPENDENCYPART_ARC
(2,13),-0.95659 # DEPENDENCYPART_ARC
(2,14),-2.22531 # DEPENDENCYPART_ARC
(2,15),-0.390132 # DEPENDENCYPART_ARC
(2,16),-0.235038 # DEPENDENCYPART_ARC
(2,17),-2.47513 # DEPENDENCYPART_ARC
(2,18),-4.53639 # DEPENDENCYPART_ARC
(2,19),-2.28674 # DEPENDENCYPART_ARC
(2,20),0.422233 # DEPENDENCYPART_ARC
(2,21),-1.14829 # DEPENDENCYPART_ARC
(3,1),-0.781863 # DEPENDENCYPART_ARC
(3,2),-2.30853 # DEPENDENCYPART_ARC
(3,4),-0.316218 # DEPENDENCYPART_ARC
(3,5),-1.20535 # DEPENDENCYPART_ARC
(3,7),-1.15684 # DEPENDENCYPART_ARC
(3,8),-0.918873 # DEPENDENCYPART_ARC
(3,9),-2.37837 # DEPENDENCYPART_ARC
(3,10),-1.36652 # DEPENDENCYPART_ARC
(3,11),-0.575254 # DEPENDENCYPART_ARC
(3,12),-2.68195 # DEPENDENCYPART_ARC
(3,13),-4.81169 # DEPENDENCYPART_ARC
(3,14),-4.76933 # DEPENDENCYPART_ARC
(3,15),-4.8574 # DEPENDENCYPART_ARC
(3,16),-1.4239 # DEPENDENCYPART_ARC
(3,17),-2.05373 # DEPENDENCYPART_ARC
(3,18),-4.90796 # DEPENDENCYPART_ARC
(3,19),-6.67703 # DEPENDENCYPART_ARC
(3,20),-2.41051 # DEPENDENCYPART_ARC
(3,21),-3.9691 # DEPENDENCYPART_ARC
(4,1),-0.0409066 # DEPENDENCYPART_ARC
(4,2),-0.911155 # DEPENDENCYPART_ARC
(4,3),5.43239 # DEPENDENCYPART_ARC
(4,5),2.98361 # DEPENDENCYPART_ARC
(4,6),0.587622 # DEPENDENCYPART_ARC
(4,7),-0.0677262 # DEPENDENCYPART_ARC
(4,8),0.137702 # DEPENDENCYPART_ARC
(4,9),-0.0648844 # DEPENDENCYPART_ARC
(4,10),-1.09224 # DEPENDENCYPART_ARC
(4,11),-0.584341 # DEPENDENCYPART_ARC
(4,12),-1.5964 # DEPENDENCYPART_ARC
(4,13),-3.37111 # DEPENDENCYPART_ARC
(4,14),-3.11928 # DEPENDENCYPART_ARC
(4,15),-4.73942 # DEPENDENCYPART_ARC
(4,16),-0.669018 # DEPENDENCYPART_ARC
(4,17),-1.06385 # DEPENDENCYPART_ARC
(4,18),-2.81605 # DEPENDENCYPART_ARC
(4,19),-5.68717 # DEPENDENCYPART_ARC
(4,20),-1.25498 # DEPENDENCYPART_ARC
(4,21),-6.81252 # DEPENDENCYPART_ARC
(5,1),-0.980176 # DEPENDENCYPART_ARC
(5,2),-1.81191 # DEPENDENCYPART_ARC
(5,3),0.526953 # DEPENDENCYPART_ARC
(5,4),-1.42832 # DEPENDENCYPART_ARC
(5,6),0.920443 # DEPENDENCYPART_ARC
(5,7),0.163177 # DEPENDENCYPART_ARC
(5,8),0.289409 # DEPENDENCYPART_ARC
(5,9),0.879424 # DEPENDENCYPART_ARC
(5,10),0.0115148 # DEPENDENCYPART_ARC
(5,11),0.0565866 # DEPENDENCYPART_ARC
(5,12),-0.90329 # DEPENDENCYPART_ARC
(5,13),-3.37988 # DEPENDENCYPART_ARC
(5,14),-2.94755 # DEPENDENCYPART_ARC
(5,15),-3.82468 # DEPENDENCYPART_ARC
(5,16),-0.236509 # DEPENDENCYPART_ARC
(5,17),-0.772767 # DEPENDENCYPART_ARC
(5,18),-2.87566 # DEPENDENCYPART_ARC
(5,19),-4.69785 # DEPENDENCYPART_ARC
(5,20),-1.04559 # DEPENDENCYPART_ARC
(5,21),-5.1599 # DEPENDENCYPART_ARC
(6,1),-0.0941411 # DEPENDENCYPART_ARC
(6,2),0.470325 # DEPENDENCYPART_ARC
(6,3),-0.0034148 # DEPENDENCYPART_ARC
(6,4),1.00124 # DEPENDENCYPART_ARC
(6,5),1.317 # DEPENDENCYPART_ARC
(6,7),1.51001 # DEPENDENCYPART_ARC
(6,8),0.444219 # DEPENDENCYPART_ARC
(6,9),1.71897 # DEPENDENCYPART_ARC
(6,11),0.672285 # DEPENDENCYPART_ARC
(6,12),-1.5033 # DEPENDENCYPART_ARC
(6,13),-1.41688 # DEPENDENCYPART_ARC
(6,14),-0.592831 # DEPENDENCYPART_ARC
(6,15),-0.194009 # DEPENDENCYPART_ARC
(6,16),0.0425828 # DEPENDENCYPART_ARC
(6,17),-0.36417 # DEPENDENCYPART_ARC
(6,18),-1.43587 # DEPENDENCYPART_ARC
(6,19),-1.09797 # DEPENDENCYPART_ARC
(6,20),0.602481 # DEPENDENCYPART_ARC
(6,21),-1.82972 # DEPENDENCYPART_ARC
(7,1),-1.22537 # DEPENDENCYPART_ARC
(7,2),-1.48 # DEPENDENCYPART_ARC
(7,3),-1.44565 # DEPENDENCYPART_ARC
(7,4),-1.46946 # DEPENDENCYPART_ARC
