# _root_ Tuto sumu obdržely dvakrát : jednorázově po volbách a pak , na základě roční zprávy o hospodaření , rozdělenou do čtyřletých částek .
#goldHeads=2,3,0,5,3,8,9,7,5,9,13,13,19,15,13,15,16,13,10,19,22,20,0,
#predictedHeads=2,3,9,5,0,9,9,7,5,9,13,13,9,15,13,15,16,19,15,19,22,20,0,
(0,1),-0.384265 # DEPENDENCYPART_ARC
(0,2),-1.89202 # DEPENDENCYPART_ARC
(0,3),0.623728 # DEPENDENCYPART_ARC
(0,4),-0.391954 # DEPENDENCYPART_ARC
(0,5),0.323953 # DEPENDENCYPART_ARC
(0,6),-0.89711 # DEPENDENCYPART_ARC
(0,7),-1.30976 # DEPENDENCYPART_ARC
(0,8),-2.31579 # DEPENDENCYPART_ARC
(0,9),-0.0396079 # DEPENDENCYPART_ARC
(0,10),-0.565432 # DEPENDENCYPART_ARC
(0,11),-0.231237 # DEPENDENCYPART_ARC
(0,12),-1.75855 # DEPENDENCYPART_ARC
(0,13),-2.62809 # DEPENDENCYPART_ARC
(0,14),-2.44919 # DEPENDENCYPART_ARC
(0,15),-2.38968 # DEPENDENCYPART_ARC
(0,16),-1.55123 # DEPENDENCYPART_ARC
(0,17),-2.45584 # DEPENDENCYPART_ARC
(0,18),-0.871025 # DEPENDENCYPART_ARC
(0,19),-2.64197 # DEPENDENCYPART_ARC
(0,20),-1.65024 # DEPENDENCYPART_ARC
(0,21),-3.41272 # DEPENDENCYPART_ARC
(0,22),-2.91951 # DEPENDENCYPART_ARC
(0,23),3.83038 # DEPENDENCYPART_ARC
(1,2),0.175663 # DEPENDENCYPART_ARC
(1,3),-1.51411 # DEPENDENCYPART_ARC
(1,4),-1.1365 # DEPENDENCYPART_ARC
(1,5),-1.1887 # DEPENDENCYPART_ARC
(1,6),-1.62846 # DEPENDENCYPART_ARC
(1,7),-1.2194 # DEPENDENCYPART_ARC
(1,8),-2.70951 # DEPENDENCYPART_ARC
(1,9),-1.23839 # DEPENDENCYPART_ARC
(1,10),-1.79059 # DEPENDENCYPART_ARC
(1,11),-1.58668 # DEPENDENCYPART_ARC
(1,12),-1.94235 # DEPENDENCYPART_ARC
(1,13),-2.40351 # DEPENDENCYPART_ARC
(1,14),-3.65174 # DEPENDENCYPART_ARC
