# _root_ Do oblasti Plitvických jezer , kde působí náš prapor jako součást ochranných sil OSN , se začnou přesunovat autobusy 10 . října .
#goldHeads=17,1,4,2,7,7,2,9,7,11,9,13,11,13,7,18,0,17,17,22,20,17,0,
#predictedHeads=7,1,4,2,7,7,0,9,7,11,9,13,11,13,17,18,13,17,18,22,20,19,0,
(0,1),-0.503339 # DEPENDENCYPART_ARC
(0,2),-1.67589 # DEPENDENCYPART_ARC
(0,3),-1.81672 # DEPENDENCYPART_ARC
(0,4),-1.68643 # DEPENDENCYPART_ARC
(0,5),-0.51949 # DEPENDENCYPART_ARC
(0,6),-0.95219 # DEPENDENCYPART_ARC
(0,7),-0.228271 # DEPENDENCYPART_ARC
(0,9),-1.9243 # DEPENDENCYPART_ARC
(0,10),-2.57863 # DEPENDENCYPART_ARC
(0,11),-2.8413 # DEPENDENCYPART_ARC
(0,12),-3.597 # DEPENDENCYPART_ARC
(0,13),-3.79958 # DEPENDENCYPART_ARC
(0,14),-3.02137 # DEPENDENCYPART_ARC
(0,15),-1.31906 # DEPENDENCYPART_ARC
(0,17),-0.487219 # DEPENDENCYPART_ARC
(0,18),-1.60452 # DEPENDENCYPART_ARC
(0,19),-5.31469 # DEPENDENCYPART_ARC
(0,20),-3.12807 # DEPENDENCYPART_ARC
(0,21),0.0851501 # DEPENDENCYPART_ARC
(0,22),-5.46536 # DEPENDENCYPART_ARC
(0,23),3.80119 # DEPENDENCYPART_ARC
(1,2),2.78879 # DEPENDENCYPART_ARC
(1,3),-0.983742 # DEPENDENCYPART_ARC
(1,4),-0.438107 # DEPENDENCYPART_ARC
(1,5),-0.810025 # DEPENDENCYPART_ARC
(1,6),-1.07364 # DEPENDENCYPART_ARC
(1,7),-2.40521 # DEPENDENCYPART_ARC
(1,8),-5.46172 # DEPENDENCYPART_ARC
(1,9),-6.72505 # DEPENDENCYPART_ARC
(1,10),-2.41809 # DEPENDENCYPART_ARC
(1,11),-9.27135 # DEPENDENCYPART_ARC
(1,12),-3.88181 # DEPENDENCYPART_ARC
(1,13),-6.79474 # DEPENDENCYPART_ARC
(1,14),-9.35047 # DEPENDENCYPART_ARC
(1,15),-2.54514 # DEPENDENCYPART_ARC
(1,17),-3.37856 # DEPENDENCYPART_ARC
(1,19),-13.5887 # DEPENDENCYPART_ARC
(1,20),-5.65633 # DEPENDENCYPART_ARC
(1,21),-4.069 # DEPENDENCYPART_ARC
(1,22),-12.8068 # DEPENDENCYPART_ARC
(1,23),-5.25544 # DEPENDENCYPART_ARC
(2,1),1.27194 # DEPENDENCYPART_ARC
(2,3),-0.139153 # DEPENDENCYPART_ARC
(2,4),3.00142 # DEPENDENCYPART_ARC
(2,5),-0.0701782 # DEPENDENCYPART_ARC
(2,6),-0.078005 # DEPENDENCYPART_ARC
(2,7),-0.0902496 # DEPENDENCYPART_ARC
(2,8),-4.51341 # DEPENDENCYPART_ARC
(2,9),-2.16516 # DEPENDENCYPART_ARC
(2,10),-0.348762 # DEPENDENCYPART_ARC
(2,11),-2.53782 # DEPENDENCYPART_ARC
(2,12),-1.76052 # DEPENDENCYPART_ARC
(2,13),0.0582457 # DEPENDENCYPART_ARC
(2,14),-0.606545 # DEPENDENCYPART_ARC
(2,15),-0.796858 # DEPENDENCYPART_ARC
(2,16),-3.65211 # DEPENDENCYPART_ARC
(2,17),-2.8909 # DEPENDENCYPART_ARC
(2,18),-2.52896 # DEPENDENCYPART_ARC
(2,19),-6.39531 # DEPENDENCYPART_ARC
(2,20),-3.17929 # DEPENDENCYPART_ARC
(2,21),-6.39401 # DEPENDENCYPART_ARC
(2,22),-4.0539 # DEPENDENCYPART_ARC
(2,23),-8.95827 # DEPENDENCYPART_ARC
(3,1),0.040665 # DEPENDENCYPART_ARC
(3,2),-0.56445 # DEPENDENCYPART_ARC
(3,4),0.367166 # DEPENDENCYPART_ARC
(3,5),-0.993936 # DEPENDENCYPART_ARC
(3,6),-0.631941 # DEPENDENCYPART_ARC
(3,7),-2.89091 # DEPENDENCYPART_ARC
(3,8),-4.76184 # DEPENDENCYPART_ARC
(3,9),-3.27323 # DEPENDENCYPART_ARC
(3,10),-0.195554 # DEPENDENCYPART_ARC
(3,11),-4.13268 # DEPENDENCYPART_ARC
(3,12),-4.45468 # DEPENDENCYPART_ARC
(3,13),-4.30903 # DEPENDENCYPART_ARC
(3,14),-5.14622 # DEPENDENCYPART_ARC
(3,15),-1.49004 # DEPENDENCYPART_ARC
(3,16),-4.03932 # DEPENDENCYPART_ARC
(3,17),-4.37575 # DEPENDENCYPART_ARC
(3,18),-3.66023 # DEPENDENCYPART_ARC
(3,19),-4.56458 # DEPENDENCYPART_ARC
(3,20),-2.69829 # DEPENDENCYPART_ARC
(3,21),-3.82691 # DEPENDENCYPART_ARC
(3,22),-7.08413 # DEPENDENCYPART_ARC
(3,23),-4.94111 # DEPENDENCYPART_ARC
(4,1),-0.39053 # DEPENDENCYPART_ARC
(4,2),-1.07777 # DEPENDENCYPART_ARC
(4,3),4.86022 # DEPENDENCYPART_ARC
(4,5),-0.382099 # DEPENDENCYPART_ARC
(4,6),-0.0832225 # DEPENDENCYPART_ARC
(4,7),0.00803304 # DEPENDENCYPART_ARC
(4,8),-4.1225 # DEPENDENCYPART_ARC
(4,9),-2.43338 # DEPENDENCYPART_ARC
(4,10),-0.636068 # DEPENDENCYPART_ARC
(4,11),-3.07003 # DEPENDENCYPART_ARC
(4,12),-1.74739 # DEPENDENCYPART_ARC
(4,13),-0.405754 # DEPENDENCYPART_ARC
(4,14),-1.47429 # DEPENDENCYPART_ARC
(4,15),-0.783823 # DEPENDENCYPART_ARC
(4,16),-3.63479 # DEPENDENCYPART_ARC
(4,17),-1.29699 # DEPENDENCYPART_ARC
(4,18),-2.26269 # DEPENDENCYPART_ARC
(4,19),-5.69369 # DEPENDENCYPART_ARC
(4,20),-3.20294 # DEPENDENCYPART_ARC
(4,21),-5.52343 # DEPENDENCYPART_ARC
(4,22),-4.39987 # DEPENDENCYPART_ARC
(4,23),-7.71337 # DEPENDENCYPART_ARC
(5,1),-0.885984 # DEPENDENCYPART_ARC
(5,2),0.33522 # DEPENDENCYPART_ARC
(5,3),-0.226657 # DEPENDENCYPART_ARC
(5,4),-0.202316 # DEPENDENCYPART_ARC
(5,6),-0.591101 # DEPENDENCYPART_ARC
(5,7),-0.123043 # DEPENDENCYPART_ARC
(5,8),-1.03289 # DEPENDENCYPART_ARC
(5,9),-0.812105 # DEPENDENCYPART_ARC
(5,10),-0.805964 # DEPENDENCYPART_ARC
(5,11),-2.05302 # DEPENDENCYPART_ARC
(5,12),-1.40753 # DEPENDENCYPART_ARC
(5,13),-2.36838 # DEPENDENCYPART_ARC
(5,14),-2.12167 # DEPENDENCYPART_ARC
(5,15),-0.685531 # DEPENDENCYPART_ARC
(5,16),-2.9548 # DEPENDENCYPART_ARC
(5,17),-1.42695 # DEPENDENCYPART_ARC
(5,18),-1.92778 # DEPENDENCYPART_ARC
(5,19),-4.52097 # DEPENDENCYPART_ARC
(5,20),-3.11473 # DEPENDENCYPART_ARC
(5,21),-1.55063 # DEPENDENCYPART_ARC
(5,22),-4.10643 # DEPENDENCYPART_ARC
(5,23),-1.92649 # DEPENDENCYPART_ARC
(6,1),-0.904454 # DEPENDENCYPART_ARC
(6,2),-0.417102 # DEPENDENCYPART_ARC
(6,3),-0.548914 # DEPENDENCYPART_ARC
(6,4),-0.394925 # DEPENDENCYPART_ARC
(6,5),-0.336413 # DEPENDENCYPART_ARC
(6,7),-0.209857 # DEPENDENCYPART_ARC
(6,8),-0.822476 # DEPENDENCYPART_ARC
(6,9),-1.52643 # DEPENDENCYPART_ARC
(6,10),-0.0160573 # DEPENDENCYPART_ARC
(6,11),-2.16142 # DEPENDENCYPART_ARC
(6,12),-1.60599 # DEPENDENCYPART_ARC
(6,13),-2.68073 # DEPENDENCYPART_ARC
(6,14),-2.88957 # DEPENDENCYPART_ARC
(6,15),-1.1192 # DEPENDENCYPART_ARC
(6,17),-2.48638 # DEPENDENCYPART_ARC
(6,18),-2.53602 # DEPENDENCYPART_ARC
(6,19),-4.3377 # DEPENDENCYPART_ARC
(6,20),-2.37483 # DEPENDENCYPART_ARC
(6,21),-2.59417 # DEPENDENCYPART_ARC
(6,22),-4.31126 # DEPENDENCYPART_ARC
(6,23),-3.47732 # DEPENDENCYPART_ARC
(7,1),0.370359 # DEPENDENCYPART_ARC
(7,2),-2.24569 # DEPENDENCYPART_ARC
(7,3),-4.2881 # DEPENDENCYPART_ARC
(7,4),-3.17889 # DEPENDENCYPART_ARC
(7,5),1.06976 # DEPENDENCYPART_ARC
(7,6),2.44937 # DEPENDENCYPART_ARC
(7,8),0.460595 # DEPENDENCYPART_ARC
(7,9),3.75205 # DEPENDENCYPART_ARC
(7,10),1.34382 # DEPENDENCYPART_ARC
(7,11),0.896454 # DEPENDENCYPART_ARC
(7,12),-4.17543 # DEPENDENCYPART_ARC
(7,13),-1.94698 # DEPENDENCYPART_ARC
(7,14),-1.55668 # DEPENDENCYPART_ARC
(7,15),0.598758 # DEPENDENCYPART_ARC
(7,16),-1.80888 # DEPENDENCYPART_ARC
(7,17),-1.90397 # DEPENDENCYPART_ARC
(7,18),-0.393498 # DEPENDENCYPART_ARC
(7,19),-1.77419 # DEPENDENCYPART_ARC
(7,20),-0.519498 # DEPENDENCYPART_ARC
(7,21),-0.347459 # DEPENDENCYPART_ARC
(7,22),-3.83545 # DEPENDENCYPART_ARC
(7,23),-0.767065 # DEPENDENCYPART_ARC
(8,5),-1.2481 # DEPENDENCYPART_ARC
(8,15),-1.29645 # DEPENDENCYPART_ARC
(8,21),-1.97563 # DEPENDENCYPART_ARC
(8,23),-2.32914 # DEPENDENCYPART_ARC
(9,1),-2.31163 # DEPENDENCYPART_ARC
(9,2),-4.88385 # DEPENDENCYPART_ARC
(9,3),-5.87771 # DEPENDENCYPART_ARC
(9,4),-6.43305 # DEPENDENCYPART_ARC
(9,5),-1.56761 # DEPENDENCYPART_ARC
(9,6),-1.48484 # DEPENDENCYPART_ARC
(9,7),-2.37098 # DEPENDENCYPART_ARC
(9,8),3.02655 # DEPENDENCYPART_ARC
(9,10),-0.00165404 # DEPENDENCYPART_ARC
(9,11),1.39638 # DEPENDENCYPART_ARC
(9,12),-3.41886 # DEPENDENCYPART_ARC
(9,13),1.2729 # DEPENDENCYPART_ARC
(9,14),0.0940271 # DEPENDENCYPART_ARC
(9,15),-0.670957 # DEPENDENCYPART_ARC
(9,16),-2.93802 # DEPENDENCYPART_ARC
