# _root_ Na setkání vedoucích pracovníků firem , které se na jeho výstavbě podílejí , se členy městské rady to uvedl ředitel společnosti Inženýring dopravních staveb Bohumil Kvasnička .
#goldHeads=19,1,4,2,4,12,12,12,12,11,9,5,12,2,14,17,15,19,0,26,20,21,24,22,26,19,0,
#predictedHeads=19,1,4,2,4,12,12,12,12,11,9,5,19,19,14,17,15,19,0,26,20,21,24,22,26,19,0,
(0,1),-0.656499 # DEPENDENCYPART_ARC
(0,2),-1.53423 # DEPENDENCYPART_ARC
(0,4),-1.80103 # DEPENDENCYPART_ARC
(0,5),-1.73285 # DEPENDENCYPART_ARC
(0,6),-0.386395 # DEPENDENCYPART_ARC
(0,7),-2.06866 # DEPENDENCYPART_ARC
(0,9),-1.91474 # DEPENDENCYPART_ARC
(0,11),-2.99694 # DEPENDENCYPART_ARC
(0,12),-0.641944 # DEPENDENCYPART_ARC
(0,13),-0.668818 # DEPENDENCYPART_ARC
(0,14),-4.2486 # DEPENDENCYPART_ARC
(0,15),-3.02901 # DEPENDENCYPART_ARC
(0,16),-3.54686 # DEPENDENCYPART_ARC
(0,17),-3.7717 # DEPENDENCYPART_ARC
(0,18),-3.83705 # DEPENDENCYPART_ARC
(0,19),2.46751 # DEPENDENCYPART_ARC
(0,20),-3.18238 # DEPENDENCYPART_ARC
(0,21),-4.02457 # DEPENDENCYPART_ARC
(0,22),-3.47711 # DEPENDENCYPART_ARC
(0,23),-4.96811 # DEPENDENCYPART_ARC
(0,24),-5.01706 # DEPENDENCYPART_ARC
(0,25),-4.25134 # DEPENDENCYPART_ARC
(0,26),-3.92533 # DEPENDENCYPART_ARC
(0,27),4.04249 # DEPENDENCYPART_ARC
(1,2),3.60659 # DEPENDENCYPART_ARC
(1,3),-1.94539 # DEPENDENCYPART_ARC
(1,4),-2.95384 # DEPENDENCYPART_ARC
(1,5),-4.06185 # DEPENDENCYPART_ARC
(1,6),-0.773022 # DEPENDENCYPART_ARC
(1,7),-4.44321 # DEPENDENCYPART_ARC
(1,9),-2.76131 # DEPENDENCYPART_ARC
(1,10),-4.43123 # DEPENDENCYPART_ARC
(1,11),-2.44199 # DEPENDENCYPART_ARC
(1,12),-2.90641 # DEPENDENCYPART_ARC
(1,13),-2.05008 # DEPENDENCYPART_ARC
(1,14),-3.13007 # DEPENDENCYPART_ARC
(1,15),-8.64565 # DEPENDENCYPART_ARC
(1,16),-4.63525 # DEPENDENCYPART_ARC
(1,17),-9.49323 # DEPENDENCYPART_ARC
(1,18),-6.2114 # DEPENDENCYPART_ARC
(1,19),-4.03305 # DEPENDENCYPART_ARC
(1,20),-13.2419 # DEPENDENCYPART_ARC
(1,21),-13.3288 # DEPENDENCYPART_ARC
(1,22),-14.9824 # DEPENDENCYPART_ARC
(1,23),-5.73103 # DEPENDENCYPART_ARC
(1,24),-15.3412 # DEPENDENCYPART_ARC
(1,25),-17.0799 # DEPENDENCYPART_ARC
(1,26),-17.9199 # DEPENDENCYPART_ARC
(1,27),-4.36028 # DEPENDENCYPART_ARC
(2,1),1.08803 # DEPENDENCYPART_ARC
(2,3),0.216156 # DEPENDENCYPART_ARC
(2,4),2.51219 # DEPENDENCYPART_ARC
(2,5),1.95 # DEPENDENCYPART_ARC
(2,6),0.191894 # DEPENDENCYPART_ARC
(2,7),-2.20377 # DEPENDENCYPART_ARC
(2,8),-0.840934 # DEPENDENCYPART_ARC
(2,9),-0.418877 # DEPENDENCYPART_ARC
(2,10),-1.27309 # DEPENDENCYPART_ARC
(2,11),-0.970597 # DEPENDENCYPART_ARC
(2,12),0.483662 # DEPENDENCYPART_ARC
(2,13),-0.203756 # DEPENDENCYPART_ARC
(2,14),-1.90902 # DEPENDENCYPART_ARC
(2,15),-4.03349 # DEPENDENCYPART_ARC
(2,16),-2.36296 # DEPENDENCYPART_ARC
(2,17),-0.950921 # DEPENDENCYPART_ARC
(2,18),-2.57934 # DEPENDENCYPART_ARC
(2,19),-0.104993 # DEPENDENCYPART_ARC
(2,20),-6.2582 # DEPENDENCYPART_ARC
(2,21),-2.4326 # DEPENDENCYPART_ARC
(2,22),-4.90979 # DEPENDENCYPART_ARC
(2,23),-3.96069 # DEPENDENCYPART_ARC
(2,24),-3.34221 # DEPENDENCYPART_ARC
(2,25),-6.3309 # DEPENDENCYPART_ARC
(2,26),-5.50765 # DEPENDENCYPART_ARC
(2,27),-10.6823 # DEPENDENCYPART_ARC
(3,1),0.843062 # DEPENDENCYPART_ARC
(3,2),-1.00734 # DEPENDENCYPART_ARC
(3,4),1.32103 # DEPENDENCYPART_ARC
(3,5),-0.0100136 # DEPENDENCYPART_ARC
(3,6),-0.328386 # DEPENDENCYPART_ARC
(3,8),0.672104 # DEPENDENCYPART_ARC
(3,9),-0.355185 # DEPENDENCYPART_ARC
(3,11),-1.9132 # DEPENDENCYPART_ARC
(3,12),-0.720796 # DEPENDENCYPART_ARC
(3,13),-0.850511 # DEPENDENCYPART_ARC
(3,14),-2.11196 # DEPENDENCYPART_ARC
(3,15),-4.25631 # DEPENDENCYPART_ARC
(3,16),-4.67915 # DEPENDENCYPART_ARC
(3,17),-3.31803 # DEPENDENCYPART_ARC
(3,19),-3.43033 # DEPENDENCYPART_ARC
(3,20),-6.56073 # DEPENDENCYPART_ARC
(3,21),-6.00666 # DEPENDENCYPART_ARC
(3,22),-6.46994 # DEPENDENCYPART_ARC
(3,23),-5.06862 # DEPENDENCYPART_ARC
(3,24),-6.08592 # DEPENDENCYPART_ARC
(3,25),-8.65067 # DEPENDENCYPART_ARC
(3,26),-8.53442 # DEPENDENCYPART_ARC
(3,27),-5.35166 # DEPENDENCYPART_ARC
(4,1),-0.680712 # DEPENDENCYPART_ARC
(4,2),-3.4681 # DEPENDENCYPART_ARC
(4,3),4.36754 # DEPENDENCYPART_ARC
(4,5),3.52915 # DEPENDENCYPART_ARC
(4,6),-0.342185 # DEPENDENCYPART_ARC
(4,7),-2.42336 # DEPENDENCYPART_ARC
(4,8),-2.28072 # DEPENDENCYPART_ARC
(4,9),-1.38039 # DEPENDENCYPART_ARC
(4,10),-2.89193 # DEPENDENCYPART_ARC
(4,11),-2.38795 # DEPENDENCYPART_ARC
(4,12),0.99573 # DEPENDENCYPART_ARC
(4,13),-0.732409 # DEPENDENCYPART_ARC
(4,14),-2.12615 # DEPENDENCYPART_ARC
(4,15),-6.8539 # DEPENDENCYPART_ARC
(4,16),-3.07574 # DEPENDENCYPART_ARC
(4,17),-2.02181 # DEPENDENCYPART_ARC
(4,18),-4.62895 # DEPENDENCYPART_ARC
(4,19),-0.220917 # DEPENDENCYPART_ARC
(4,20),-7.18233 # DEPENDENCYPART_ARC
(4,21),-2.94763 # DEPENDENCYPART_ARC
(4,22),-6.38218 # DEPENDENCYPART_ARC
(4,23),-2.5144 # DEPENDENCYPART_ARC
(4,24),-4.71589 # DEPENDENCYPART_ARC
(4,25),-7.83651 # DEPENDENCYPART_ARC
(4,26),-7.58966 # DEPENDENCYPART_ARC
(4,27),-10.8333 # DEPENDENCYPART_ARC
(5,1),-1.24443 # DEPENDENCYPART_ARC
(5,2),-2.6489 # DEPENDENCYPART_ARC
(5,3),1.042 # DEPENDENCYPART_ARC
(5,4),1.16562 # DEPENDENCYPART_ARC
(5,6),-0.198562 # DEPENDENCYPART_ARC
(5,7),-1.5092 # DEPENDENCYPART_ARC
(5,8),-1.79808 # DEPENDENCYPART_ARC
(5,9),-0.536309 # DEPENDENCYPART_ARC
(5,10),-2.10189 # DEPENDENCYPART_ARC
(5,11),-1.87565 # DEPENDENCYPART_ARC
(5,12),2.91932 # DEPENDENCYPART_ARC
(5,13),0.0207472 # DEPENDENCYPART_ARC
(5,14),-1.00345 # DEPENDENCYPART_ARC
(5,15),-6.48664 # DEPENDENCYPART_ARC
(5,16),-1.71651 # DEPENDENCYPART_ARC
(5,17),-1.71763 # DEPENDENCYPART_ARC
(5,18),-4.32298 # DEPENDENCYPART_ARC
(5,19),0.587288 # DEPENDENCYPART_ARC
(5,20),-6.03022 # DEPENDENCYPART_ARC
(5,21),-2.68136 # DEPENDENCYPART_ARC
(5,22),-5.61628 # DEPENDENCYPART_ARC
(5,23),-1.18543 # DEPENDENCYPART_ARC
(5,24),-3.99191 # DEPENDENCYPART_ARC
(5,25),-7.27084 # DEPENDENCYPART_ARC
(5,26),-6.06289 # DEPENDENCYPART_ARC
(5,27),-9.91836 # DEPENDENCYPART_ARC
(6,1),-1.8447 # DEPENDENCYPART_ARC
(6,2),-0.622986 # DEPENDENCYPART_ARC
(6,3),-1.3511 # DEPENDENCYPART_ARC
(6,4),-1.16873 # DEPENDENCYPART_ARC
(6,5),-1.13628 # DEPENDENCYPART_ARC
(6,7),-1.25133 # DEPENDENCYPART_ARC
(6,8),-1.46149 # DEPENDENCYPART_ARC
(6,9),-1.60775 # DEPENDENCYPART_ARC
(6,10),-1.74885 # DEPENDENCYPART_ARC
(6,11),-1.88406 # DEPENDENCYPART_ARC
(6,12),-0.374949 # DEPENDENCYPART_ARC
(6,13),-1.12639 # DEPENDENCYPART_ARC
(6,14),-2.92287 # DEPENDENCYPART_ARC
(6,15),-3.042 # DEPENDENCYPART_ARC
(6,16),-2.27522 # DEPENDENCYPART_ARC
(6,17),-3.35781 # DEPENDENCYPART_ARC
(6,18),-2.31089 # DEPENDENCYPART_ARC
(6,19),-1.60659 # DEPENDENCYPART_ARC
(6,20),-3.90533 # DEPENDENCYPART_ARC
(6,21),-4.31916 # DEPENDENCYPART_ARC
(6,22),-4.46046 # DEPENDENCYPART_ARC
(6,23),-3.42097 # DEPENDENCYPART_ARC
(6,24),-5.12044 # DEPENDENCYPART_ARC
(6,25),-5.05928 # DEPENDENCYPART_ARC
(6,26),-4.99218 # DEPENDENCYPART_ARC
(6,27),-2.81682 # DEPENDENCYPART_ARC
(7,1),-1.65354 # DEPENDENCYPART_ARC
(7,2),-4.48428 # DEPENDENCYPART_ARC
(7,4),-3.92036 # DEPENDENCYPART_ARC
(7,5),-2.59136 # DEPENDENCYPART_ARC
(7,6),-0.50516 # DEPENDENCYPART_ARC
(7,9),-0.367654 # DEPENDENCYPART_ARC
(7,11),-0.940858 # DEPENDENCYPART_ARC
(7,12),-0.156284 # DEPENDENCYPART_ARC
(7,13),-0.454685 # DEPENDENCYPART_ARC
(7,15),-1.93778 # DEPENDENCYPART_ARC
(7,16),-2.13363 # DEPENDENCYPART_ARC
(7,17),-2.01457 # DEPENDENCYPART_ARC
(7,19),-2.24619 # DEPENDENCYPART_ARC
(7,20),-1.39932 # DEPENDENCYPART_ARC
(7,21),-2.37683 # DEPENDENCYPART_ARC
(7,22),-1.85921 # DEPENDENCYPART_ARC
(7,23),-3.24048 # DEPENDENCYPART_ARC
(7,24),-2.7796 # DEPENDENCYPART_ARC
(7,25),-2.34642 # DEPENDENCYPART_ARC
(7,26),-2.32611 # DEPENDENCYPART_ARC
(7,27),-2.02084 # DEPENDENCYPART_ARC
(9,1),-2.29365 # DEPENDENCYPART_ARC
(9,2),-1.76973 # DEPENDENCYPART_ARC
(9,3),-3.46296 # DEPENDENCYPART_ARC
(9,4),-3.83784 # DEPENDENCYPART_ARC
(9,5),-2.91079 # DEPENDENCYPART_ARC
(9,6),-0.22501 # DEPENDENCYPART_ARC
(9,7),-1.63974 # DEPENDENCYPART_ARC
(9,10),1.04025 # DEPENDENCYPART_ARC
(9,11),5.50316 # DEPENDENCYPART_ARC
(9,12),-0.879976 # DEPENDENCYPART_ARC
(9,13),-0.605268 # DEPENDENCYPART_ARC
(9,14),-1.26902 # DEPENDENCYPART_ARC
(9,15),-2.94813 # DEPENDENCYPART_ARC
(9,16),-2.99481 # DEPENDENCYPART_ARC
(9,17),-3.45595 # DEPENDENCYPART_ARC
(9,18),-2.36321 # DEPENDENCYPART_ARC
(9,19),-2.48873 # DEPENDENCYPART_ARC
(9,20),-7.59193 # DEPENDENCYPART_ARC
(9,21),-7.50743 # DEPENDENCYPART_ARC
(9,22),-9.02784 # DEPENDENCYPART_ARC
(9,23),-4.38034 # DEPENDENCYPART_ARC
(9,24),-9.199 # DEPENDENCYPART_ARC
(9,25),-11.5856 # DEPENDENCYPART_ARC
(9,26),-12.0707 # DEPENDENCYPART_ARC
(9,27),-3.03505 # DEPENDENCYPART_ARC
(10,3),-2.39669 # DEPENDENCYPART_ARC
(10,6),-1.61655 # DEPENDENCYPART_ARC
(10,13),-1.11214 # DEPENDENCYPART_ARC
(10,27),-2.75079 # DEPENDENCYPART_ARC
(11,1),-0.667919 # DEPENDENCYPART_ARC
(11,2),-2.06127 # DEPENDENCYPART_ARC
(11,3),-5.32942 # DEPENDENCYPART_ARC
(11,4),-4.00593 # DEPENDENCYPART_ARC
(11,5),-4.90113 # DEPENDENCYPART_ARC
(11,6),-0.869422 # DEPENDENCYPART_ARC
(11,7),-1.89068 # DEPENDENCYPART_ARC
(11,8),-2.17685 # DEPENDENCYPART_ARC
(11,9),0.391817 # DEPENDENCYPART_ARC
(11,10),5.36883 # DEPENDENCYPART_ARC
