# _root_ Je to ale otázka úhlu pohledu : nejde o žádné zničení - jde o směr , směřování , které se - je - li upřímné a zásadní - brzy ztratí z dohledu .
#goldHeads=7,1,0,1,4,5,3,12,8,11,9,7,12,13,16,14,16,30,30,30,24,24,24,30,26,22,26,24,30,17,30,31,0,
#predictedHeads=7,1,0,1,4,5,3,16,8,11,9,8,16,13,14,24,16,24,22,22,24,24,24,1,26,17,26,24,30,28,30,31,0,
(0,1),-0.0361762 # DEPENDENCYPART_ARC
(0,2),-1.13401 # DEPENDENCYPART_ARC
(0,3),0.904703 # DEPENDENCYPART_ARC
(0,4),-2.0934 # DEPENDENCYPART_ARC
(0,5),-2.83197 # DEPENDENCYPART_ARC
(0,6),-2.91779 # DEPENDENCYPART_ARC
(0,7),0.468752 # DEPENDENCYPART_ARC
(0,8),-0.295144 # DEPENDENCYPART_ARC
(0,9),-3.45109 # DEPENDENCYPART_ARC
(0,10),-2.3225 # DEPENDENCYPART_ARC
(0,11),-3.73201 # DEPENDENCYPART_ARC
(0,12),-0.707086 # DEPENDENCYPART_ARC
(0,13),-0.659647 # DEPENDENCYPART_ARC
(0,14),-4.64389 # DEPENDENCYPART_ARC
(0,15),-4.42773 # DEPENDENCYPART_ARC
(0,16),-1.84018 # DEPENDENCYPART_ARC
(0,17),-4.47204 # DEPENDENCYPART_ARC
(0,18),-1.6398 # DEPENDENCYPART_ARC
(0,19),-2.46808 # DEPENDENCYPART_ARC
(0,21),-1.1308 # DEPENDENCYPART_ARC
(0,22),-1.32017 # DEPENDENCYPART_ARC
(0,23),-1.71535 # DEPENDENCYPART_ARC
(0,24),-3.40376 # DEPENDENCYPART_ARC
(0,25),-4.98872 # DEPENDENCYPART_ARC
(0,26),-2.54394 # DEPENDENCYPART_ARC
(0,27),-5.26572 # DEPENDENCYPART_ARC
(0,28),-2.3019 # DEPENDENCYPART_ARC
(0,29),-4.14309 # DEPENDENCYPART_ARC
(0,30),-2.60584 # DEPENDENCYPART_ARC
(0,31),-10.3335 # DEPENDENCYPART_ARC
(0,32),-6.90641 # DEPENDENCYPART_ARC
(0,33),4.03201 # DEPENDENCYPART_ARC
(1,2),4.4933 # DEPENDENCYPART_ARC
(1,3),1.01431 # DEPENDENCYPART_ARC
(1,4),1.92812 # DEPENDENCYPART_ARC
(1,5),-0.216078 # DEPENDENCYPART_ARC
(1,6),-0.156327 # DEPENDENCYPART_ARC
(1,7),0.0880871 # DEPENDENCYPART_ARC
(1,8),-1.86327 # DEPENDENCYPART_ARC
(1,9),-1.38939 # DEPENDENCYPART_ARC
(1,10),-1.7559 # DEPENDENCYPART_ARC
(1,11),-0.270531 # DEPENDENCYPART_ARC
(1,12),-0.540702 # DEPENDENCYPART_ARC
(1,13),-2.4219 # DEPENDENCYPART_ARC
(1,14),-2.61511 # DEPENDENCYPART_ARC
(1,15),-2.25896 # DEPENDENCYPART_ARC
(1,16),-0.410097 # DEPENDENCYPART_ARC
(1,17),-2.51846 # DEPENDENCYPART_ARC
(1,18),-0.952744 # DEPENDENCYPART_ARC
(1,19),-4.08358 # DEPENDENCYPART_ARC
(1,20),-2.40676 # DEPENDENCYPART_ARC
(1,21),-2.12898 # DEPENDENCYPART_ARC
(1,22),-3.51726 # DEPENDENCYPART_ARC
(1,23),-2.62384 # DEPENDENCYPART_ARC
(1,24),0.557249 # DEPENDENCYPART_ARC
(1,25),-2.35393 # DEPENDENCYPART_ARC
(1,26),-2.46586 # DEPENDENCYPART_ARC
(1,27),-2.64837 # DEPENDENCYPART_ARC
(1,28),-3.80674 # DEPENDENCYPART_ARC
(1,29),-3.62233 # DEPENDENCYPART_ARC
(1,30),-5.15866 # DEPENDENCYPART_ARC
(1,31),-2.39634 # DEPENDENCYPART_ARC
(1,32),-9.3171 # DEPENDENCYPART_ARC
(1,33),-2.57683 # DEPENDENCYPART_ARC
(2,1),-1.25735 # DEPENDENCYPART_ARC
(2,3),-0.350272 # DEPENDENCYPART_ARC
(2,4),-0.743705 # DEPENDENCYPART_ARC
(2,5),-1.84481 # DEPENDENCYPART_ARC
(2,6),-2.10944 # DEPENDENCYPART_ARC
(2,7),-1.23683 # DEPENDENCYPART_ARC
(2,8),-3.12182 # DEPENDENCYPART_ARC
(2,9),-2.44882 # DEPENDENCYPART_ARC
(2,11),-3.77561 # DEPENDENCYPART_ARC
(2,12),-1.46805 # DEPENDENCYPART_ARC
(2,13),-3.92935 # DEPENDENCYPART_ARC
(2,14),-3.0183 # DEPENDENCYPART_ARC
(2,15),-4.39417 # DEPENDENCYPART_ARC
(2,16),-1.49615 # DEPENDENCYPART_ARC
(2,17),-5.1017 # DEPENDENCYPART_ARC
(2,18),-1.80235 # DEPENDENCYPART_ARC
(2,19),-2.29729 # DEPENDENCYPART_ARC
(2,21),-2.86492 # DEPENDENCYPART_ARC
(2,22),-5.54934 # DEPENDENCYPART_ARC
