# _root_ Sociální demokraté namítají , že vláda se školným přichází v době , kdy rostou náklady na základní životní potřeby .
#goldHeads=2,3,0,5,3,9,9,7,5,9,10,14,14,11,14,15,19,19,16,0,
#predictedHeads=2,3,0,5,3,9,6,7,5,9,10,14,14,11,14,15,19,19,16,0,
(0,1),-0.836166 # DEPENDENCYPART_ARC
(0,2),-1.38884 # DEPENDENCYPART_ARC
(0,3),0.622323 # DEPENDENCYPART_ARC
(0,4),0.0327758 # DEPENDENCYPART_ARC
(0,5),-2.31324 # DEPENDENCYPART_ARC
(0,6),-2.29994 # DEPENDENCYPART_ARC
(0,7),-1.77458 # DEPENDENCYPART_ARC
(0,8),-3.25723 # DEPENDENCYPART_ARC
(0,9),-0.128104 # DEPENDENCYPART_ARC
(0,10),-2.43448 # DEPENDENCYPART_ARC
(0,11),-3.3519 # DEPENDENCYPART_ARC
(0,12),-0.756902 # DEPENDENCYPART_ARC
(0,13),-2.15301 # DEPENDENCYPART_ARC
(0,14),-1.47372 # DEPENDENCYPART_ARC
(0,15),-3.58959 # DEPENDENCYPART_ARC
(0,16),-3.87002 # DEPENDENCYPART_ARC
(0,17),-3.84618 # DEPENDENCYPART_ARC
(0,18),-3.82642 # DEPENDENCYPART_ARC
(0,19),-4.09042 # DEPENDENCYPART_ARC
(0,20),3.69299 # DEPENDENCYPART_ARC
(1,2),-0.828252 # DEPENDENCYPART_ARC
(1,3),-2.28533 # DEPENDENCYPART_ARC
(1,4),-1.39917 # DEPENDENCYPART_ARC
(1,5),-0.615508 # DEPENDENCYPART_ARC
(1,6),-3.85638 # DEPENDENCYPART_ARC
(1,7),-2.2023 # DEPENDENCYPART_ARC
(1,8),-3.19278 # DEPENDENCYPART_ARC
(1,9),-3.98392 # DEPENDENCYPART_ARC
(1,10),-2.6451 # DEPENDENCYPART_ARC
(1,11),-5.06327 # DEPENDENCYPART_ARC
(1,12),-2.19491 # DEPENDENCYPART_ARC
(1,13),-2.53367 # DEPENDENCYPART_ARC
(1,14),-4.93562 # DEPENDENCYPART_ARC
(1,15),-6.77026 # DEPENDENCYPART_ARC
(1,16),-3.00074 # DEPENDENCYPART_ARC
(1,17),-5.52308 # DEPENDENCYPART_ARC
(1,18),-5.57111 # DEPENDENCYPART_ARC
(1,19),-7.94943 # DEPENDENCYPART_ARC
(1,20),-4.5511 # DEPENDENCYPART_ARC
(2,1),5.65021 # DEPENDENCYPART_ARC
(2,3),-1.0918 # DEPENDENCYPART_ARC
(2,4),-1.34181 # DEPENDENCYPART_ARC
(2,5),-0.603101 # DEPENDENCYPART_ARC
(2,6),-1.43187 # DEPENDENCYPART_ARC
(2,7),-1.13274 # DEPENDENCYPART_ARC
(2,8),-4.17543 # DEPENDENCYPART_ARC
(2,9),-4.48663 # DEPENDENCYPART_ARC
(2,10),-3.39956 # DEPENDENCYPART_ARC
(2,11),-3.96933 # DEPENDENCYPART_ARC
(2,12),-1.87216 # DEPENDENCYPART_ARC
(2,13),-1.79077 # DEPENDENCYPART_ARC
(2,14),-5.17103 # DEPENDENCYPART_ARC
(2,15),-5.69914 # DEPENDENCYPART_ARC
(2,16),-3.54041 # DEPENDENCYPART_ARC
