# _root_ " Chtěl jsem víc , ale v posledních třech závodech ME se mi motor Porsche rozsypával , " říká Bartoš .
#goldHeads=6,6,2,2,6,19,16,10,10,7,10,16,16,16,14,6,6,6,0,19,0,
#predictedHeads=2,6,2,2,6,19,16,10,10,7,10,16,16,16,14,6,2,2,0,19,0,
(0,1),-0.880184 # DEPENDENCYPART_ARC
(0,2),0.195879 # DEPENDENCYPART_ARC
(0,3),-0.380014 # DEPENDENCYPART_ARC
(0,4),-1.33276 # DEPENDENCYPART_ARC
(0,5),-0.63932 # DEPENDENCYPART_ARC
(0,6),0.68579 # DEPENDENCYPART_ARC
(0,7),-2.53429 # DEPENDENCYPART_ARC
(0,8),-2.96432 # DEPENDENCYPART_ARC
(0,9),-2.71617 # DEPENDENCYPART_ARC
(0,10),-2.7559 # DEPENDENCYPART_ARC
(0,11),-2.36636 # DEPENDENCYPART_ARC
(0,13),-2.11207 # DEPENDENCYPART_ARC
(0,14),-2.57748 # DEPENDENCYPART_ARC
(0,15),-3.2737 # DEPENDENCYPART_ARC
(0,16),-2.04429 # DEPENDENCYPART_ARC
(0,17),-0.523218 # DEPENDENCYPART_ARC
(0,18),-7.04353 # DEPENDENCYPART_ARC
(0,19),1.2352 # DEPENDENCYPART_ARC
(0,20),-3.93039 # DEPENDENCYPART_ARC
(0,21),2.95681 # DEPENDENCYPART_ARC
(1,2),-2.91009 # DEPENDENCYPART_ARC
(1,3),-3.51069 # DEPENDENCYPART_ARC
(1,4),-3.37408 # DEPENDENCYPART_ARC
(1,5),-3.24193 # DEPENDENCYPART_ARC
(1,6),-3.27857 # DEPENDENCYPART_ARC
(1,7),-4.6946 # DEPENDENCYPART_ARC
(1,8),-4.7539 # DEPENDENCYPART_ARC
(1,9),-4.22172 # DEPENDENCYPART_ARC
(1,10),-5.73971 # DEPENDENCYPART_ARC
(1,11),-5.99334 # DEPENDENCYPART_ARC
(1,12),-5.25891 # DEPENDENCYPART_ARC
(1,14),-6.50449 # DEPENDENCYPART_ARC
(1,15),-6.72319 # DEPENDENCYPART_ARC
(1,16),-5.40729 # DEPENDENCYPART_ARC
(1,17),-3.88331 # DEPENDENCYPART_ARC
(1,18),-3.48419 # DEPENDENCYPART_ARC
(1,19),-6.06329 # DEPENDENCYPART_ARC
(1,20),-7.78695 # DEPENDENCYPART_ARC
(1,21),-4.67702 # DEPENDENCYPART_ARC
(2,1),2.01257 # DEPENDENCYPART_ARC
(2,3),4.47854 # DEPENDENCYPART_ARC
(2,4),2.0114 # DEPENDENCYPART_ARC
(2,5),1.18876 # DEPENDENCYPART_ARC
(2,6),1.11971 # DEPENDENCYPART_ARC
(2,7),0.950516 # DEPENDENCYPART_ARC
(2,8),-4.71882 # DEPENDENCYPART_ARC
(2,9),-1.94927 # DEPENDENCYPART_ARC
(2,10),-1.18938 # DEPENDENCYPART_ARC
(2,11),-1.1919 # DEPENDENCYPART_ARC
(2,12),-0.385656 # DEPENDENCYPART_ARC
(2,13),-0.647468 # DEPENDENCYPART_ARC
(2,14),0.298646 # DEPENDENCYPART_ARC
(2,15),-2.16158 # DEPENDENCYPART_ARC
(2,16),-1.68705 # DEPENDENCYPART_ARC
(2,17),1.73327 # DEPENDENCYPART_ARC
(2,18),1.83519 # DEPENDENCYPART_ARC
(2,19),-2.06673 # DEPENDENCYPART_ARC
(2,20),-2.03194 # DEPENDENCYPART_ARC
(2,21),0.326993 # DEPENDENCYPART_ARC
(3,1),0.493435 # DEPENDENCYPART_ARC
(3,2),-0.473272 # DEPENDENCYPART_ARC
(3,4),1.60522 # DEPENDENCYPART_ARC
(3,5),0.0153586 # DEPENDENCYPART_ARC
(3,6),-0.0674377 # DEPENDENCYPART_ARC
(3,7),-1.12581 # DEPENDENCYPART_ARC
(3,8),-5.26708 # DEPENDENCYPART_ARC
(3,9),-3.86548 # DEPENDENCYPART_ARC
(3,10),-2.94315 # DEPENDENCYPART_ARC
(3,11),-2.54097 # DEPENDENCYPART_ARC
(3,12),-2.64576 # DEPENDENCYPART_ARC
(3,13),-3.25291 # DEPENDENCYPART_ARC
(3,14),-1.61053 # DEPENDENCYPART_ARC
(3,15),-3.97526 # DEPENDENCYPART_ARC
(3,16),-3.30484 # DEPENDENCYPART_ARC
(3,17),-0.228724 # DEPENDENCYPART_ARC
(3,18),0.235759 # DEPENDENCYPART_ARC
(3,19),-5.13028 # DEPENDENCYPART_ARC
(3,20),-4.07064 # DEPENDENCYPART_ARC
(3,21),-0.675002 # DEPENDENCYPART_ARC
(4,1),-0.323259 # DEPENDENCYPART_ARC
(4,2),-1.34856 # DEPENDENCYPART_ARC
(4,3),-1.0734 # DEPENDENCYPART_ARC
(4,5),0.75769 # DEPENDENCYPART_ARC
(4,6),1.09537 # DEPENDENCYPART_ARC
(4,7),-1.10087 # DEPENDENCYPART_ARC
(4,8),-1.45391 # DEPENDENCYPART_ARC
(4,9),0.0849803 # DEPENDENCYPART_ARC
(4,10),-0.797878 # DEPENDENCYPART_ARC
(4,11),-1.47238 # DEPENDENCYPART_ARC
(4,14),-4.04542 # DEPENDENCYPART_ARC
(4,15),-2.66111 # DEPENDENCYPART_ARC
(4,16),-1.89756 # DEPENDENCYPART_ARC
(4,17),-1.6318 # DEPENDENCYPART_ARC
(4,18),-1.8178 # DEPENDENCYPART_ARC
(4,19),-2.59047 # DEPENDENCYPART_ARC
(4,20),-5.56631 # DEPENDENCYPART_ARC
(4,21),-3.19069 # DEPENDENCYPART_ARC
(5,1),-0.127721 # DEPENDENCYPART_ARC
(5,2),-0.274488 # DEPENDENCYPART_ARC
(5,3),-0.766374 # DEPENDENCYPART_ARC
(5,4),-0.383902 # DEPENDENCYPART_ARC
(5,6),-0.0459036 # DEPENDENCYPART_ARC
(5,7),-0.575164 # DEPENDENCYPART_ARC
(5,8),-0.592442 # DEPENDENCYPART_ARC
(5,9),-0.874576 # DEPENDENCYPART_ARC
