# _root_ Inkasovaly se také " zkušební taxy " , které šly přímo do kapes zkoušejících učitelů , a rovněž poplatky za promoce .
#goldHeads=0,1,1,6,6,17,6,10,10,6,10,10,12,15,13,10,1,19,17,19,20,0,
#predictedHeads=0,1,1,6,6,1,6,10,10,6,13,10,12,15,13,17,10,19,17,19,20,0,
(0,1),0.201745 # DEPENDENCYPART_ARC
(0,3),-0.767994 # DEPENDENCYPART_ARC
(0,4),-2.46618 # DEPENDENCYPART_ARC
(0,5),-1.95709 # DEPENDENCYPART_ARC
(0,6),-2.0194 # DEPENDENCYPART_ARC
(0,7),-2.56085 # DEPENDENCYPART_ARC
(0,8),-1.04179 # DEPENDENCYPART_ARC
(0,9),-2.37353 # DEPENDENCYPART_ARC
(0,10),-1.02779 # DEPENDENCYPART_ARC
(0,11),-1.88371 # DEPENDENCYPART_ARC
(0,12),-3.15608 # DEPENDENCYPART_ARC
(0,13),-3.94046 # DEPENDENCYPART_ARC
(0,15),-4.0309 # DEPENDENCYPART_ARC
(0,16),-1.59132 # DEPENDENCYPART_ARC
(0,17),-0.813458 # DEPENDENCYPART_ARC
(0,18),-2.92474 # DEPENDENCYPART_ARC
(0,19),-3.16886 # DEPENDENCYPART_ARC
(0,20),-3.76603 # DEPENDENCYPART_ARC
(0,21),-3.63062 # DEPENDENCYPART_ARC
(0,22),3.70163 # DEPENDENCYPART_ARC
(1,2),4.02504 # DEPENDENCYPART_ARC
(1,3),2.4126 # DEPENDENCYPART_ARC
(1,4),0.85528 # DEPENDENCYPART_ARC
(1,5),-0.965325 # DEPENDENCYPART_ARC
(1,6),2.39949 # DEPENDENCYPART_ARC
(1,7),0.609118 # DEPENDENCYPART_ARC
(1,8),0.556202 # DEPENDENCYPART_ARC
(1,9),-2.34913 # DEPENDENCYPART_ARC
(1,10),-1.2925 # DEPENDENCYPART_ARC
(1,11),-1.02355 # DEPENDENCYPART_ARC
(1,12),0.376762 # DEPENDENCYPART_ARC
(1,13),-3.03178 # DEPENDENCYPART_ARC
(1,14),-5.53732 # DEPENDENCYPART_ARC
(1,15),-2.57377 # DEPENDENCYPART_ARC
(1,16),-0.52061 # DEPENDENCYPART_ARC
(1,17),0.156488 # DEPENDENCYPART_ARC
(1,18),-0.836403 # DEPENDENCYPART_ARC
(1,19),-1.05614 # DEPENDENCYPART_ARC
(1,20),-0.812485 # DEPENDENCYPART_ARC
(1,21),-2.71263 # DEPENDENCYPART_ARC
(1,22),-0.742463 # DEPENDENCYPART_ARC
(3,1),-0.939207 # DEPENDENCYPART_ARC
(3,4),0.266408 # DEPENDENCYPART_ARC
(3,5),-0.735321 # DEPENDENCYPART_ARC
(3,6),-1.21029 # DEPENDENCYPART_ARC
(3,7),-1.39163 # DEPENDENCYPART_ARC
(3,8),-1.71124 # DEPENDENCYPART_ARC
(3,9),-2.02463 # DEPENDENCYPART_ARC
(3,10),-1.33463 # DEPENDENCYPART_ARC
(3,11),-1.37016 # DEPENDENCYPART_ARC
(3,12),-1.93915 # DEPENDENCYPART_ARC
(3,13),-3.22911 # DEPENDENCYPART_ARC
(3,14),-2.16519 # DEPENDENCYPART_ARC
(3,15),-3.2407 # DEPENDENCYPART_ARC
(3,16),-2.30019 # DEPENDENCYPART_ARC
(3,17),-2.41522 # DEPENDENCYPART_ARC
(3,18),-1.87879 # DEPENDENCYPART_ARC
(3,19),-3.93372 # DEPENDENCYPART_ARC
(3,20),-2.94101 # DEPENDENCYPART_ARC
(3,21),-4.41532 # DEPENDENCYPART_ARC
