# _root_ Ruští zástupci na jednáních navrhli , že by splátky mohly tvořit dodávky zbraní , což česká strana odmítla .
#goldHeads=2,5,5,3,14,7,5,10,11,7,10,10,12,0,18,17,18,14,0,
#predictedHeads=2,5,5,3,0,7,5,10,10,14,10,10,12,7,18,17,18,14,0,
(0,1),-0.788162 # DEPENDENCYPART_ARC
(0,2),-0.598842 # DEPENDENCYPART_ARC
(0,3),0.758785 # DEPENDENCYPART_ARC
(0,4),-2.30499 # DEPENDENCYPART_ARC
(0,5),0.5188 # DEPENDENCYPART_ARC
(0,6),0.128652 # DEPENDENCYPART_ARC
(0,7),-1.64256 # DEPENDENCYPART_ARC
(0,9),-4.11711 # DEPENDENCYPART_ARC
(0,10),-0.422582 # DEPENDENCYPART_ARC
(0,11),-0.931337 # DEPENDENCYPART_ARC
(0,12),-4.08762 # DEPENDENCYPART_ARC
(0,13),-4.82626 # DEPENDENCYPART_ARC
(0,14),-0.441601 # DEPENDENCYPART_ARC
(0,16),-3.4041 # DEPENDENCYPART_ARC
(0,17),-5.80079 # DEPENDENCYPART_ARC
(0,18),-1.9071 # DEPENDENCYPART_ARC
(0,19),4.23164 # DEPENDENCYPART_ARC
(1,2),-1.03928 # DEPENDENCYPART_ARC
(1,3),-0.250184 # DEPENDENCYPART_ARC
(1,4),-2.01873 # DEPENDENCYPART_ARC
(1,5),-3.06877 # DEPENDENCYPART_ARC
(1,6),-1.52791 # DEPENDENCYPART_ARC
(1,7),-1.25165 # DEPENDENCYPART_ARC
(1,9),-5.35819 # DEPENDENCYPART_ARC
(1,10),-4.89951 # DEPENDENCYPART_ARC
(1,11),-2.83347 # DEPENDENCYPART_ARC
(1,12),-6.615 # DEPENDENCYPART_ARC
(1,13),-6.21502 # DEPENDENCYPART_ARC
(1,14),-2.64356 # DEPENDENCYPART_ARC
(1,16),-5.33896 # DEPENDENCYPART_ARC
(1,17),-7.58359 # DEPENDENCYPART_ARC
(1,18),-6.58705 # DEPENDENCYPART_ARC
(1,19),-4.83583 # DEPENDENCYPART_ARC
(2,1),4.72525 # DEPENDENCYPART_ARC
(2,3),1.53425 # DEPENDENCYPART_ARC
