# _root_ zeptali jsme se JÁNA LANGOŠE , bývalého ministra vnitra ČSFR : Jaký je váš názor na policejní zákrok , k němuž došlo minulou středu na fotbalovém stadiónu Slovanu v Bratislavě ?
#goldHeads=0,1,1,5,6,1,8,6,8,8,13,13,1,15,13,15,18,16,22,22,20,18,24,22,22,27,25,27,27,29,0,
#predictedHeads=0,1,1,5,6,1,8,6,8,8,13,13,6,15,13,15,18,16,22,22,20,18,24,22,22,27,25,27,28,29,0,
(0,1),-0.395476 # DEPENDENCYPART_ARC
(0,2),-0.764757 # DEPENDENCYPART_ARC
(0,4),-3.61615 # DEPENDENCYPART_ARC
(0,5),-3.02521 # DEPENDENCYPART_ARC
(0,6),-0.733164 # DEPENDENCYPART_ARC
(0,7),-3.44456 # DEPENDENCYPART_ARC
(0,8),-4.20538 # DEPENDENCYPART_ARC
(0,9),-4.09875 # DEPENDENCYPART_ARC
(0,10),-3.38287 # DEPENDENCYPART_ARC
(0,11),-0.536871 # DEPENDENCYPART_ARC
(0,12),-2.60845 # DEPENDENCYPART_ARC
(0,13),-1.45507 # DEPENDENCYPART_ARC
(0,15),-4.29736 # DEPENDENCYPART_ARC
(0,16),-5.06378 # DEPENDENCYPART_ARC
(0,17),-4.41231 # DEPENDENCYPART_ARC
(0,18),-5.26396 # DEPENDENCYPART_ARC
(0,19),-1.69657 # DEPENDENCYPART_ARC
(0,20),-5.06277 # DEPENDENCYPART_ARC
(0,22),-3.34584 # DEPENDENCYPART_ARC
(0,23),-5.17315 # DEPENDENCYPART_ARC
(0,24),-6.16046 # DEPENDENCYPART_ARC
(0,25),-7.27632 # DEPENDENCYPART_ARC
(0,26),-5.47348 # DEPENDENCYPART_ARC
(0,27),-7.01541 # DEPENDENCYPART_ARC
(0,28),-6.65303 # DEPENDENCYPART_ARC
(0,29),-6.25043 # DEPENDENCYPART_ARC
(0,30),-6.18543 # DEPENDENCYPART_ARC
(0,31),2.7771 # DEPENDENCYPART_ARC
(1,2),4.53537 # DEPENDENCYPART_ARC
(1,3),3.37648 # DEPENDENCYPART_ARC
(1,4),-0.501367 # DEPENDENCYPART_ARC
(1,5),-0.413649 # DEPENDENCYPART_ARC
(1,6),0.920247 # DEPENDENCYPART_ARC
(1,7),-2.55294 # DEPENDENCYPART_ARC
(1,8),-0.724564 # DEPENDENCYPART_ARC
(1,9),-0.907258 # DEPENDENCYPART_ARC
(1,10),-2.11844 # DEPENDENCYPART_ARC
(1,11),-0.494858 # DEPENDENCYPART_ARC
(1,12),-1.88761 # DEPENDENCYPART_ARC
(1,13),-0.134992 # DEPENDENCYPART_ARC
(1,14),-3.01331 # DEPENDENCYPART_ARC
(1,15),-0.181613 # DEPENDENCYPART_ARC
(1,16),-0.0463004 # DEPENDENCYPART_ARC
(1,17),-4.46077 # DEPENDENCYPART_ARC
(1,18),0.0336586 # DEPENDENCYPART_ARC
(1,19),0.2584 # DEPENDENCYPART_ARC
(1,20),-1.3589 # DEPENDENCYPART_ARC
(1,22),-2.58625 # DEPENDENCYPART_ARC
(1,23),-5.7558 # DEPENDENCYPART_ARC
(1,24),-1.89669 # DEPENDENCYPART_ARC
(1,25),-1.17179 # DEPENDENCYPART_ARC
(1,26),-6.74425 # DEPENDENCYPART_ARC
(1,27),-3.4315 # DEPENDENCYPART_ARC
(1,28),-5.22051 # DEPENDENCYPART_ARC
(1,29),-2.29947 # DEPENDENCYPART_ARC
(1,30),-5.65124 # DEPENDENCYPART_ARC
(1,31),-0.341213 # DEPENDENCYPART_ARC
(2,1),-1.48736 # DEPENDENCYPART_ARC
(2,3),0.21677 # DEPENDENCYPART_ARC
(2,4),-1.55303 # DEPENDENCYPART_ARC
(2,5),-2.50841 # DEPENDENCYPART_ARC
(2,6),-0.349948 # DEPENDENCYPART_ARC
(2,7),-5.23664 # DEPENDENCYPART_ARC
(2,8),-3.03004 # DEPENDENCYPART_ARC
(2,9),-3.71541 # DEPENDENCYPART_ARC
(2,10),-4.23947 # DEPENDENCYPART_ARC
(2,11),-1.48856 # DEPENDENCYPART_ARC
(2,12),-4.68049 # DEPENDENCYPART_ARC
(2,13),-3.40442 # DEPENDENCYPART_ARC
(2,14),-5.89616 # DEPENDENCYPART_ARC
(2,15),-2.89556 # DEPENDENCYPART_ARC
(2,16),-2.73946 # DEPENDENCYPART_ARC
(2,17),-6.724 # DEPENDENCYPART_ARC
(2,18),-3.39854 # DEPENDENCYPART_ARC
(2,19),-0.665682 # DEPENDENCYPART_ARC
(2,20),-3.34001 # DEPENDENCYPART_ARC
(2,22),-4.69426 # DEPENDENCYPART_ARC
(2,23),-7.77651 # DEPENDENCYPART_ARC
(2,24),-4.82224 # DEPENDENCYPART_ARC
(2,25),-3.68937 # DEPENDENCYPART_ARC
(2,26),-9.0809 # DEPENDENCYPART_ARC
(2,27),-6.08024 # DEPENDENCYPART_ARC
(2,28),-8.44436 # DEPENDENCYPART_ARC
(2,29),-4.83898 # DEPENDENCYPART_ARC
(2,30),-9.2189 # DEPENDENCYPART_ARC
(2,31),-1.72811 # DEPENDENCYPART_ARC
(4,1),-4.53708 # DEPENDENCYPART_ARC
(4,2),-2.38044 # DEPENDENCYPART_ARC
(4,3),-1.73632 # DEPENDENCYPART_ARC
(4,5),0.159258 # DEPENDENCYPART_ARC
(4,6),-0.493148 # DEPENDENCYPART_ARC
(4,7),-0.644312 # DEPENDENCYPART_ARC
(4,8),-1.03336 # DEPENDENCYPART_ARC
(4,9),-0.595657 # DEPENDENCYPART_ARC
(4,10),-0.750592 # DEPENDENCYPART_ARC
(4,11),-1.12412 # DEPENDENCYPART_ARC
(4,12),-3.05291 # DEPENDENCYPART_ARC
(4,13),-1.34498 # DEPENDENCYPART_ARC
(4,14),-3.68125 # DEPENDENCYPART_ARC
(4,15),-4.52448 # DEPENDENCYPART_ARC
(4,16),-2.07689 # DEPENDENCYPART_ARC
(4,17),-5.9392 # DEPENDENCYPART_ARC
(4,18),-7.45779 # DEPENDENCYPART_ARC
(4,19),-1.13625 # DEPENDENCYPART_ARC
(4,20),-4.94682 # DEPENDENCYPART_ARC
(4,21),-4.87998 # DEPENDENCYPART_ARC
(4,22),-1.12384 # DEPENDENCYPART_ARC
(4,23),-7.01392 # DEPENDENCYPART_ARC
(4,24),-8.90908 # DEPENDENCYPART_ARC
(4,25),-3.47882 # DEPENDENCYPART_ARC
(4,26),-6.08951 # DEPENDENCYPART_ARC
(4,27),-7.61102 # DEPENDENCYPART_ARC
(4,28),-4.38478 # DEPENDENCYPART_ARC
(4,29),-3.81168 # DEPENDENCYPART_ARC
(4,30),-7.99215 # DEPENDENCYPART_ARC
(4,31),-3.67722 # DEPENDENCYPART_ARC
(5,1),-4.18195 # DEPENDENCYPART_ARC
(5,2),-1.93795 # DEPENDENCYPART_ARC
(5,3),-2.10222 # DEPENDENCYPART_ARC
