# _root_ Stát má v podnicích obvykle 30 procentní majetkovou účast , která by mohla být převedena českým věřitelům , uvedl E . Obminskij .
#goldHeads=2,19,2,3,2,7,9,9,2,13,13,13,9,15,13,17,15,2,0,22,20,19,0,
#predictedHeads=2,0,2,3,7,7,9,9,2,13,13,13,9,15,13,17,15,13,0,22,20,19,0,
(0,1),-1.36401 # DEPENDENCYPART_ARC
(0,2),0.181461 # DEPENDENCYPART_ARC
(0,3),-1.20078 # DEPENDENCYPART_ARC
(0,4),-2.2424 # DEPENDENCYPART_ARC
(0,5),-0.352208 # DEPENDENCYPART_ARC
(0,6),-1.21308 # DEPENDENCYPART_ARC
(0,7),-1.76715 # DEPENDENCYPART_ARC
(0,8),-1.78311 # DEPENDENCYPART_ARC
(0,9),-1.90016 # DEPENDENCYPART_ARC
(0,10),-0.398289 # DEPENDENCYPART_ARC
(0,11),-1.83611 # DEPENDENCYPART_ARC
(0,12),-1.55411 # DEPENDENCYPART_ARC
(0,13),-0.712147 # DEPENDENCYPART_ARC
(0,14),-2.32454 # DEPENDENCYPART_ARC
(0,15),-1.89545 # DEPENDENCYPART_ARC
(0,16),-3.65681 # DEPENDENCYPART_ARC
(0,17),-4.7004 # DEPENDENCYPART_ARC
(0,18),-0.91187 # DEPENDENCYPART_ARC
(0,19),1.41279 # DEPENDENCYPART_ARC
(0,20),-5.32685 # DEPENDENCYPART_ARC
(0,21),1.49201 # DEPENDENCYPART_ARC
(0,22),-5.13629 # DEPENDENCYPART_ARC
(0,23),3.59175 # DEPENDENCYPART_ARC
(1,2),-0.69015 # DEPENDENCYPART_ARC
(1,3),-1.19478 # DEPENDENCYPART_ARC
(1,4),-1.6614 # DEPENDENCYPART_ARC
(1,5),-1.13003 # DEPENDENCYPART_ARC
(1,6),-1.22629 # DEPENDENCYPART_ARC
(1,7),-4.12372 # DEPENDENCYPART_ARC
(1,8),-4.20785 # DEPENDENCYPART_ARC
(1,9),-5.24783 # DEPENDENCYPART_ARC
(1,10),-1.37754 # DEPENDENCYPART_ARC
(1,11),-1.79894 # DEPENDENCYPART_ARC
(1,12),-3.15575 # DEPENDENCYPART_ARC
(1,13),-4.31934 # DEPENDENCYPART_ARC
(1,14),-4.87654 # DEPENDENCYPART_ARC
(1,15),-5.97748 # DEPENDENCYPART_ARC
(1,16),-5.64061 # DEPENDENCYPART_ARC
(1,17),-7.0876 # DEPENDENCYPART_ARC
(1,18),-2.50732 # DEPENDENCYPART_ARC
(1,19),-8.63882 # DEPENDENCYPART_ARC
(1,20),-7.3794 # DEPENDENCYPART_ARC
(1,21),-7.94519 # DEPENDENCYPART_ARC
(1,22),-7.65357 # DEPENDENCYPART_ARC
(1,23),-9.33548 # DEPENDENCYPART_ARC
(2,1),3.10675 # DEPENDENCYPART_ARC
(2,3),2.82138 # DEPENDENCYPART_ARC
(2,4),0.626037 # DEPENDENCYPART_ARC
(2,5),1.22746 # DEPENDENCYPART_ARC
(2,6),1.32241 # DEPENDENCYPART_ARC
(2,7),-1.75919 # DEPENDENCYPART_ARC
(2,8),-3.20453 # DEPENDENCYPART_ARC
(2,9),1.93127 # DEPENDENCYPART_ARC
(2,10),0.193113 # DEPENDENCYPART_ARC
(2,11),-1.89197 # DEPENDENCYPART_ARC
(2,12),0.647079 # DEPENDENCYPART_ARC
(2,13),-2.51668 # DEPENDENCYPART_ARC
(2,14),-0.841427 # DEPENDENCYPART_ARC
(2,15),-1.42323 # DEPENDENCYPART_ARC
(2,16),-5.93933 # DEPENDENCYPART_ARC
(2,17),-2.46629 # DEPENDENCYPART_ARC
(2,18),-0.173946 # DEPENDENCYPART_ARC
(2,19),-4.87238 # DEPENDENCYPART_ARC
(2,20),-5.36771 # DEPENDENCYPART_ARC
(2,21),-1.69741 # DEPENDENCYPART_ARC
(2,22),-3.80846 # DEPENDENCYPART_ARC
(2,23),-1.81669 # DEPENDENCYPART_ARC
(3,1),-3.1438 # DEPENDENCYPART_ARC
(3,2),-2.00774 # DEPENDENCYPART_ARC
(3,4),4.50445 # DEPENDENCYPART_ARC
(3,5),-1.11906 # DEPENDENCYPART_ARC
(3,6),-1.16905 # DEPENDENCYPART_ARC
(3,7),-2.88951 # DEPENDENCYPART_ARC
(3,8),-2.96276 # DEPENDENCYPART_ARC
(3,9),-3.04967 # DEPENDENCYPART_ARC
(3,10),-1.20631 # DEPENDENCYPART_ARC
(3,11),-4.14666 # DEPENDENCYPART_ARC
(3,12),-2.15329 # DEPENDENCYPART_ARC
(3,13),-2.95781 # DEPENDENCYPART_ARC
(3,14),-2.56372 # DEPENDENCYPART_ARC
(3,15),-3.10487 # DEPENDENCYPART_ARC
(3,16),-3.79996 # DEPENDENCYPART_ARC
(3,17),-6.62546 # DEPENDENCYPART_ARC
(3,18),-3.93649 # DEPENDENCYPART_ARC
(3,19),-3.56804 # DEPENDENCYPART_ARC
(3,20),-7.55716 # DEPENDENCYPART_ARC
(3,21),-4.08802 # DEPENDENCYPART_ARC
(3,22),-10.9378 # DEPENDENCYPART_ARC
(3,23),-5.30754 # DEPENDENCYPART_ARC
(4,1),-2.45391 # DEPENDENCYPART_ARC
(4,2),-1.614 # DEPENDENCYPART_ARC
(4,3),1.48244 # DEPENDENCYPART_ARC
(4,5),0.34317 # DEPENDENCYPART_ARC
(4,6),0.345046 # DEPENDENCYPART_ARC
(4,7),-3.46418 # DEPENDENCYPART_ARC
(4,8),-3.70565 # DEPENDENCYPART_ARC
(4,9),-2.2914 # DEPENDENCYPART_ARC
(4,10),-0.227686 # DEPENDENCYPART_ARC
(4,11),-3.34986 # DEPENDENCYPART_ARC
(4,12),-0.497037 # DEPENDENCYPART_ARC
(4,13),-1.92315 # DEPENDENCYPART_ARC
(4,14),-2.4838 # DEPENDENCYPART_ARC
(4,15),-3.81169 # DEPENDENCYPART_ARC
(4,16),-4.13327 # DEPENDENCYPART_ARC
(4,17),-4.9939 # DEPENDENCYPART_ARC
(4,18),-1.37635 # DEPENDENCYPART_ARC
(4,19),-6.87999 # DEPENDENCYPART_ARC
(4,20),-5.26315 # DEPENDENCYPART_ARC
(4,21),-5.49675 # DEPENDENCYPART_ARC
(4,22),-6.08034 # DEPENDENCYPART_ARC
(4,23),-7.39587 # DEPENDENCYPART_ARC
