# _root_ Přestože soupeř v závěru již nehrál v nejsilnější sestavě , považuji výhru za náš úspěch , " konstatoval olomoucký trenér Jiří Teplý .
#goldHeads=11,6,6,3,6,1,6,9,7,1,18,11,11,15,13,11,11,0,20,22,22,18,0,
#predictedHeads=18,6,6,3,6,1,6,9,7,1,0,11,12,15,13,11,11,0,20,21,22,18,0,
(0,1),-0.00585404 # DEPENDENCYPART_ARC
(0,2),-1.41743 # DEPENDENCYPART_ARC
(0,3),-0.179368 # DEPENDENCYPART_ARC
(0,4),-2.02557 # DEPENDENCYPART_ARC
(0,5),-0.783603 # DEPENDENCYPART_ARC
(0,6),0.482461 # DEPENDENCYPART_ARC
(0,7),-1.83408 # DEPENDENCYPART_ARC
(0,8),-2.15528 # DEPENDENCYPART_ARC
(0,9),-2.66848 # DEPENDENCYPART_ARC
(0,10),-0.558698 # DEPENDENCYPART_ARC
(0,11),1.67028 # DEPENDENCYPART_ARC
(0,12),-3.30671 # DEPENDENCYPART_ARC
(0,13),-2.86192 # DEPENDENCYPART_ARC
(0,14),-2.06408 # DEPENDENCYPART_ARC
(0,15),-3.36822 # DEPENDENCYPART_ARC
(0,16),0.136852 # DEPENDENCYPART_ARC
(0,17),-5.9169 # DEPENDENCYPART_ARC
(0,18),3.83699 # DEPENDENCYPART_ARC
(0,19),-3.65427 # DEPENDENCYPART_ARC
(0,20),-4.00847 # DEPENDENCYPART_ARC
(0,21),-4.06928 # DEPENDENCYPART_ARC
(0,22),-3.83818 # DEPENDENCYPART_ARC
(0,23),3.6857 # DEPENDENCYPART_ARC
(1,2),0.847154 # DEPENDENCYPART_ARC
(1,3),0.131379 # DEPENDENCYPART_ARC
(1,4),-0.433708 # DEPENDENCYPART_ARC
(1,5),-0.137575 # DEPENDENCYPART_ARC
(1,6),1.8933 # DEPENDENCYPART_ARC
(1,7),-1.16909 # DEPENDENCYPART_ARC
(1,8),-1.05562 # DEPENDENCYPART_ARC
(1,9),-1.75944 # DEPENDENCYPART_ARC
(1,10),2.96388 # DEPENDENCYPART_ARC
(1,11),0.731882 # DEPENDENCYPART_ARC
(1,12),-2.59591 # DEPENDENCYPART_ARC
(1,13),-1.64563 # DEPENDENCYPART_ARC
(1,14),-1.62227 # DEPENDENCYPART_ARC
(1,15),-3.19993 # DEPENDENCYPART_ARC
(1,16),1.71636 # DEPENDENCYPART_ARC
(1,17),0.634429 # DEPENDENCYPART_ARC
(1,18),-0.285402 # DEPENDENCYPART_ARC
(1,19),-2.90274 # DEPENDENCYPART_ARC
(1,20),-4.406 # DEPENDENCYPART_ARC
(1,21),-4.55285 # DEPENDENCYPART_ARC
(1,22),-3.57109 # DEPENDENCYPART_ARC
(1,23),-1.6937 # DEPENDENCYPART_ARC
(2,1),0.180869 # DEPENDENCYPART_ARC
(2,3),1.53003 # DEPENDENCYPART_ARC
(2,4),0.23632 # DEPENDENCYPART_ARC
(2,5),0.128137 # DEPENDENCYPART_ARC
(2,6),-0.327364 # DEPENDENCYPART_ARC
(2,7),-1.23949 # DEPENDENCYPART_ARC
(2,8),-2.99913 # DEPENDENCYPART_ARC
(2,9),-2.46409 # DEPENDENCYPART_ARC
(2,10),-0.582794 # DEPENDENCYPART_ARC
(2,11),-2.60973 # DEPENDENCYPART_ARC
(2,12),-6.38363 # DEPENDENCYPART_ARC
(2,13),-1.75935 # DEPENDENCYPART_ARC
(2,14),-4.67752 # DEPENDENCYPART_ARC
(2,15),-6.80023 # DEPENDENCYPART_ARC
(2,16),-0.976829 # DEPENDENCYPART_ARC
(2,17),-1.5412 # DEPENDENCYPART_ARC
(2,18),-2.97028 # DEPENDENCYPART_ARC
(2,19),-2.15347 # DEPENDENCYPART_ARC
(2,20),-5.74282 # DEPENDENCYPART_ARC
(2,21),-5.94548 # DEPENDENCYPART_ARC
(2,22),-1.68185 # DEPENDENCYPART_ARC
(2,23),-8.40477 # DEPENDENCYPART_ARC
(3,1),-1.27304 # DEPENDENCYPART_ARC
(3,2),-2.3478 # DEPENDENCYPART_ARC
(3,4),4.30072 # DEPENDENCYPART_ARC
(3,5),-0.834916 # DEPENDENCYPART_ARC
(3,6),-2.50697 # DEPENDENCYPART_ARC
(3,7),-2.11653 # DEPENDENCYPART_ARC
(3,8),-1.1956 # DEPENDENCYPART_ARC
(3,9),-1.3462 # DEPENDENCYPART_ARC
(3,10),-1.83875 # DEPENDENCYPART_ARC
(3,11),-2.47079 # DEPENDENCYPART_ARC
(3,12),-6.71361 # DEPENDENCYPART_ARC
(3,13),-2.69281 # DEPENDENCYPART_ARC
(3,14),-5.31676 # DEPENDENCYPART_ARC
(3,15),-8.13512 # DEPENDENCYPART_ARC
(3,16),-3.04102 # DEPENDENCYPART_ARC
(3,17),-3.2998 # DEPENDENCYPART_ARC
