# _root_ Ve Francii mi říkali , že kdyby moje auto šlapalo tak jako mistru Evropy Dubourgovi , koukali by se mi všichni na záda s kilometrovým odstupem .
#goldHeads=4,1,4,0,6,4,17,9,10,7,10,11,15,15,12,7,6,17,17,17,17,17,22,17,26,24,0,
#predictedHeads=4,1,4,0,6,4,17,9,10,7,10,13,15,13,16,7,6,17,17,17,17,17,22,23,26,24,0,
(0,1),-0.799339 # DEPENDENCYPART_ARC
(0,2),-1.02371 # DEPENDENCYPART_ARC
(0,3),-1.57604 # DEPENDENCYPART_ARC
(0,4),-0.163757 # DEPENDENCYPART_ARC
(0,5),-0.282469 # DEPENDENCYPART_ARC
(0,6),-2.27508 # DEPENDENCYPART_ARC
(0,7),-2.34252 # DEPENDENCYPART_ARC
(0,9),-2.88506 # DEPENDENCYPART_ARC
(0,10),-0.150115 # DEPENDENCYPART_ARC
(0,11),-2.48124 # DEPENDENCYPART_ARC
(0,12),-2.35627 # DEPENDENCYPART_ARC
(0,13),-3.23704 # DEPENDENCYPART_ARC
(0,14),-2.73701 # DEPENDENCYPART_ARC
(0,15),-2.52737 # DEPENDENCYPART_ARC
(0,16),-1.24975 # DEPENDENCYPART_ARC
(0,17),-0.433712 # DEPENDENCYPART_ARC
(0,20),-2.78114 # DEPENDENCYPART_ARC
(0,21),-3.44969 # DEPENDENCYPART_ARC
(0,22),-5.43072 # DEPENDENCYPART_ARC
(0,23),-5.43912 # DEPENDENCYPART_ARC
(0,24),-6.40014 # DEPENDENCYPART_ARC
(0,25),-4.92335 # DEPENDENCYPART_ARC
(0,26),-4.78862 # DEPENDENCYPART_ARC
(0,27),5.00407 # DEPENDENCYPART_ARC
(1,2),3.83774 # DEPENDENCYPART_ARC
(1,3),-0.854779 # DEPENDENCYPART_ARC
(1,5),-1.08317 # DEPENDENCYPART_ARC
(1,9),-4.26276 # DEPENDENCYPART_ARC
(1,11),-2.27056 # DEPENDENCYPART_ARC
(1,13),-6.25563 # DEPENDENCYPART_ARC
(1,14),-7.96382 # DEPENDENCYPART_ARC
(1,15),-7.92416 # DEPENDENCYPART_ARC
(1,16),-2.60786 # DEPENDENCYPART_ARC
(1,20),-5.81576 # DEPENDENCYPART_ARC
(1,21),-7.70681 # DEPENDENCYPART_ARC
(1,22),-3.8393 # DEPENDENCYPART_ARC
(1,23),-11.6735 # DEPENDENCYPART_ARC
(1,24),-3.90651 # DEPENDENCYPART_ARC
(1,25),-5.20889 # DEPENDENCYPART_ARC
(1,26),-13.0716 # DEPENDENCYPART_ARC
(1,27),-4.89412 # DEPENDENCYPART_ARC
(2,1),0.0995141 # DEPENDENCYPART_ARC
(2,3),-0.0714108 # DEPENDENCYPART_ARC
(2,4),-2.05858 # DEPENDENCYPART_ARC
(2,5),-1.06803 # DEPENDENCYPART_ARC
(2,6),-0.680863 # DEPENDENCYPART_ARC
(2,7),-1.65957 # DEPENDENCYPART_ARC
(2,8),-3.14822 # DEPENDENCYPART_ARC
(2,9),-2.59029 # DEPENDENCYPART_ARC
(2,10),-3.89896 # DEPENDENCYPART_ARC
(2,11),-1.37288 # DEPENDENCYPART_ARC
(2,12),-2.33224 # DEPENDENCYPART_ARC
(2,13),-6.86205 # DEPENDENCYPART_ARC
(2,14),-2.50217 # DEPENDENCYPART_ARC
(2,15),-6.81212 # DEPENDENCYPART_ARC
(2,16),-2.21527 # DEPENDENCYPART_ARC
(2,17),-6.74224 # DEPENDENCYPART_ARC
