# _root_ Pravděpodobnost , že pracovník úřadu bude kontrolovat právě " svého " taxikáře , je však malá .
#goldHeads=14,3,1,7,4,7,3,12,10,12,10,7,3,15,0,14,0,
#predictedHeads=14,3,1,7,4,7,3,10,10,12,12,7,15,15,0,14,0,
(0,1),0.439333 # DEPENDENCYPART_ARC
(0,2),0.0567298 # DEPENDENCYPART_ARC
(0,3),-0.203738 # DEPENDENCYPART_ARC
(0,4),-0.836428 # DEPENDENCYPART_ARC
(0,5),-2.44541 # DEPENDENCYPART_ARC
(0,6),0.50953 # DEPENDENCYPART_ARC
(0,7),0.0992428 # DEPENDENCYPART_ARC
(0,8),-1.1122 # DEPENDENCYPART_ARC
(0,9),-3.09072 # DEPENDENCYPART_ARC
(0,10),-1.18744 # DEPENDENCYPART_ARC
(0,11),-4.07241 # DEPENDENCYPART_ARC
(0,12),-2.6889 # DEPENDENCYPART_ARC
(0,13),-0.70932 # DEPENDENCYPART_ARC
(0,14),0.279917 # DEPENDENCYPART_ARC
(0,15),0.657238 # DEPENDENCYPART_ARC
(0,16),-2.74412 # DEPENDENCYPART_ARC
(0,17),3.9428 # DEPENDENCYPART_ARC
(1,2),0.162221 # DEPENDENCYPART_ARC
(1,3),1.4935 # DEPENDENCYPART_ARC
(1,4),0.347741 # DEPENDENCYPART_ARC
(1,5),1.80682 # DEPENDENCYPART_ARC
(1,6),-0.704354 # DEPENDENCYPART_ARC
(1,7),-0.685636 # DEPENDENCYPART_ARC
(1,8),-1.04225 # DEPENDENCYPART_ARC
(1,9),-0.9503 # DEPENDENCYPART_ARC
(1,10),-3.38083 # DEPENDENCYPART_ARC
(1,11),-1.58479 # DEPENDENCYPART_ARC
(1,12),-5.93037 # DEPENDENCYPART_ARC
(1,13),-0.954476 # DEPENDENCYPART_ARC
(1,14),-4.24336 # DEPENDENCYPART_ARC
(1,15),-1.67977 # DEPENDENCYPART_ARC
(1,16),-2.81666 # DEPENDENCYPART_ARC
(1,17),-5.11586 # DEPENDENCYPART_ARC
(2,1),-0.103944 # DEPENDENCYPART_ARC
(2,3),-0.0913154 # DEPENDENCYPART_ARC
(2,4),-0.767399 # DEPENDENCYPART_ARC
(2,5),-1.17428 # DEPENDENCYPART_ARC
(2,6),-0.353879 # DEPENDENCYPART_ARC
(2,7),-0.739713 # DEPENDENCYPART_ARC
(2,8),-1.26165 # DEPENDENCYPART_ARC
(2,9),-0.357639 # DEPENDENCYPART_ARC
(2,10),-1.98533 # DEPENDENCYPART_ARC
(2,11),-0.812774 # DEPENDENCYPART_ARC
(2,12),-3.19452 # DEPENDENCYPART_ARC
(2,13),-1.28059 # DEPENDENCYPART_ARC
(2,14),-2.78948 # DEPENDENCYPART_ARC
(2,15),-1.55924 # DEPENDENCYPART_ARC
(2,16),-3.30622 # DEPENDENCYPART_ARC
(2,17),-1.62461 # DEPENDENCYPART_ARC
(3,1),-0.282579 # DEPENDENCYPART_ARC
(3,2),2.57572 # DEPENDENCYPART_ARC
(3,4),-0.284064 # DEPENDENCYPART_ARC
